,ORPM_adv_h,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_DRPM_h,weighted_ORPM_h,DRPM_adv_h,weighted_ORPM_a,Winpercent_h,Winpercent_a,weighted_DRPM_a
0,0.6070510814988337,0.7825337644459356,0.724219316685597,0.33577102272286474,0.980330681282016,0.4179225710293297,0.7662285182843488,0.5,0.5,0.4999258806642055
1,0.6197096782484303,0.7540105057050721,0.4791400138738416,0.9227652414570406,1.0,0.6627478626779792,0.7605806435031396,0.5,0.5,0.5972695161010821
2,0.5945242345647543,0.7023300765649508,0.5454234498776099,0.4999258806642055,0.7662285182843488,0.5555035789529049,0.5771800491548401,0.0,0.5,0.3889187227583956
3,0.5417922619890784,0.37475256531743584,0.3552425163830785,0.4583545034489896,0.30829535059756275,0.464004934498666,0.2247108266194059,0.5,0.5,0.5303446344516574
4,0.4362353304934226,0.35519809193583063,0.6003974187615054,0.3867817806433797,0.4638901075920271,0.2933822853220273,0.5914194466051818,0.5,0.5,0.8000172099993252
5,0.5498757870383554,0.488080958569095,0.18746939323544887,0.8054304171092226,0.2822489451239006,0.7937226840897043,0.18249737104718974,0.5,0.5,0.21798504892981407
6,0.4361970436905064,0.3577603852679682,0.5176989880918685,0.4935578143021575,0.39797583269330894,0.3969446961699626,0.5255817453122962,0.5,0.5,0.6996684219622323
7,0.4997631968210278,0.32610968226284665,0.5647974299904314,0.09017834421661808,0.3227150512749696,0.2105678282300092,0.3231886576329139,0.5,0.5,0.6690426877565997
8,0.4881762112545212,0.4740447229475117,0.5847297169173947,0.25387343085238284,0.4480613935930341,0.3825115450213991,0.4717089710839918,0.5,0.5,0.4888503408095847
9,0.33808920218534605,0.4227441533946783,0.6378812115667823,0.5373370807824411,0.4367590478738315,0.4700337823406796,0.7605806435031396,0.5,1.0,0.5972695161010821
10,0.4501782759866178,0.6844609760493547,0.5505240121529371,0.8000505267042086,0.6963760326209198,0.7337482308741728,0.7960194806476841,0.5,0.5,0.3325540649558629
11,0.4712672736496277,0.6173607409128247,0.3505354951648669,1.0,0.5385381699843681,0.8649608114442051,0.5960036226851126,0.5,0.5,0.2700783771115898
12,0.7230734583037722,0.4869975662802205,0.32909863578734344,0.4612420726889146,0.6284282559514879,0.3731362878622444,0.18228133934394344,0.5,0.5,0.7149694969644258
13,0.34185536475810785,0.4936938067608818,0.8239257229338655,0.14644940967806575,0.4868911618130671,0.32492879383314643,0.8031804322968514,0.5,0.5,0.4965918220117729
14,0.8074314658273236,0.8545247589626928,0.24006060767562826,0.6138946815354323,0.7526533778599347,0.8069473407677161,0.13779044620528744,0.5,0.5,0.0
15,0.8677972427322923,0.6981589605746612,0.15729353675955504,0.6180868014079888,0.7355944854645846,0.6313933817552915,0.0,0.5,0.5,0.35530003789740594
16,0.4298911598861101,0.4820508024002752,0.5118808249074129,0.21798504892981407,0.18249737104718974,0.5639033523565979,0.3227150512749696,0.0,1.0,0.09017834421661808
17,0.6833543099928879,0.5412700853620587,0.2145264173054059,0.8000172099993252,0.5914194466051818,0.6348362877738339,0.2247108266194059,0.0,1.0,0.5303446344516574
18,0.4357681513618656,0.37187267895052,0.4799572419435982,0.4583545034489896,0.30829535059756275,0.4605087113332742,0.4367590478738315,0.0,0.0,0.5373370807824411
19,0.4052699870199544,0.3765232540900397,0.35756723755658226,0.8054304171092226,0.2822489451239006,0.6582900381498189,0.4717089710839918,1.0,1.0,0.4888503408095847
20,0.298424683936412,0.6130317396069189,0.8282528140545984,0.3889187227583956,0.5771800491548401,0.5265738500177655,0.980330681282016,1.0,1.0,0.33577102272286474
21,0.628740655331658,0.4681734677259472,0.5916297058537048,0.3325540649558629,0.7960194806476841,0.16627703247793146,0.5385381699843681,0.0,1.0,1.0
22,0.2627908726561481,0.34092700307131,0.7118368229871427,0.6996684219622323,0.5255817453122962,0.3884515902525959,1.0,0.0,0.0,0.9227652414570406
23,0.2080264105297973,0.3131664475461584,0.5680438575310681,0.7149694969644258,0.18228133934394344,0.6075218081501101,0.7662285182843488,0.0,0.0,0.4999258806642055
24,0.4805851158899835,0.6150648648174346,0.5936590195966766,0.25387343085238284,0.4480613935930341,0.5537120105871586,0.4868911618130671,0.0,0.0,0.14644940967806575
25,0.5822690741797304,0.6221638993933246,0.4947249260704209,0.4612420726889146,0.6284282559514879,0.5372301460227674,0.4638901075920271,1.0,1.0,0.3867817806433797
26,0.15181198368954008,0.08235054442698986,0.6750928930812808,0.35530003789740594,0.0,0.2776247555965987,0.6963760326209198,0.0,1.0,0.8000505267042086
27,0.8288078150035232,0.9512910617165302,0.463369874076491,0.33577102272286474,0.980330681282016,0.6227963392531233,0.3227150512749696,1.0,0.5,0.09017834421661808
28,0.5796222874056406,0.541086351117276,0.5575000393859956,0.2700783771115898,0.5960036226851126,0.3663706481645743,0.4367590478738315,0.0,0.5,0.5373370807824411
29,0.7261426464527885,0.670410720829528,0.34718909966434586,0.5972695161010821,0.7605806435031396,0.5694575063260463,0.30829535059756275,1.0,0.0,0.4583545034489896
30,0.6775595193519086,0.7796824124493477,0.4708563414971219,0.4965918220117729,0.8031804322968514,0.621359195579695,0.4480613935930341,1.0,0.0,0.25387343085238284
31,0.1989879163466544,0.2658764495791311,0.7967248723188642,0.4935578143021575,0.39797583269330894,0.28539628642255843,1.0,1.0,0.5,0.9227652414570406
32,0.5204698562545067,0.2702160208256051,0.30230981592452866,0.6690426877565997,0.3231886576329139,0.43180613532368856,0.2822489451239006,0.0,0.5,0.8054304171092226
33,0.5527355390354242,0.5499849859587858,0.5291103990594767,0.3889187227583956,0.5771800491548401,0.4500341909744055,0.4717089710839918,0.5,1.0,0.4888503408095847
34,0.3369501693066302,0.3335985936806516,0.6846905967595112,0.0,0.13779044620528744,0.3066091096783102,0.4638901075920271,0.0,0.5,0.3867817806433797
35,0.7766565730603205,0.5500266585499703,0.264501072274826,0.6180868014079888,0.7355944854645846,0.4515586522217815,0.18228133934394344,1.0,0.0,0.7149694969644258
36,0.3929423960622167,0.4757576679690208,0.4426679880015301,1.0,0.5385381699843681,0.6930526592322839,0.7526533778599347,0.5,1.0,0.6138946815354323
37,0.478893272213892,0.3007653354181179,0.4542403037590422,0.21798504892981407,0.18249737104718974,0.3438202072390784,0.2247108266194059,0.5,0.5,0.5303446344516574
38,0.4806547082503854,0.4100553340475137,0.6606579347938277,0.14644940967806575,0.4868911618130671,0.2233904938579167,0.5255817453122962,0.5,0.0,0.6996684219622323
39,0.4783169486061252,0.7175601155999624,0.6271935574396955,0.6138946815354323,0.7526533778599347,0.6406703082897847,0.7960194806476841,0.5,0.5,0.3325540649558629
40,0.15414767529878132,0.2131314812575793,0.811223594253992,0.4583545034489896,0.30829535059756275,0.26779463099597445,1.0,0.0,0.333333333,0.9227652414570406
41,0.4837876833668123,0.5724265954369394,0.6702289863321051,0.2700783771115898,0.5960036226851126,0.4044181522113376,0.6284282559514879,0.5,1.0,0.4612420726889146
