,ORPM_adv_h,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_DRPM_h,weighted_ORPM_h,DRPM_adv_h,weighted_ORPM_a,Winpercent_h,Winpercent_a,weighted_DRPM_a,ORB_h,DRtg_h,+/-_h,TS%_a_x,TOV_h,TRB_a,FGA_h,ORB_a,BLK_a,DREB%_a
1033,0.4371010102248135,0.3304149583139477,0.5033999755892294,0.21798504892981407,0.18249737104718974,0.37981527274041227,0.30829535059756275,0.304347826,0.31884058,0.4583545034489896,0.6526687946924897,0.7274520181513133,0.3534790148587624,0.5238334003404186,0.6402505349857494,0.3813294610889941,0.7052760698294456,0.3946421919255182,0.20395926638271386,0.2011669758812616
1034,0.00983465935899197,0.27356720176019644,0.8420988970454065,0.35530003789740594,0.0,0.5097645075872707,0.980330681282016,0.352941176,0.5735294120000001,0.33577102272286474,0.7932997250082046,0.4809243813209987,0.6547295075731365,0.6644123965096264,0.4938699307696735,0.4160147411586578,0.7989866679864195,0.29091169651013205,0.7869817271512098,0.09514526710402998
1035,0.40098610500409815,0.534689953977215,0.5591171384448939,0.4935578143021575,0.39797583269330894,0.6117397185952839,0.5960036226851126,0.264705882,0.5507246379999999,0.2700783771115898,0.5259240370271614,0.9283407263352876,0.1967525143957417,0.2427476781172041,0.3652285939766853,0.17006446582287846,0.5157559816934235,0.2507260754627421,0.34322975366622965,0.16396964399237124
1036,0.6762346112677171,0.5328952801660474,0.383840112807474,0.3889187227583956,0.5771800491548401,0.4292870441533691,0.2247108266194059,0.529411765,0.289855072,0.5303446344516574,0.3231486681509504,0.5194313979445355,0.5452308229463343,0.8612063664333638,0.4220597426770829,0.8129592175707223,0.4246264774993996,0.6376395917963338,0.6051388828020146,0.07909668367346936
1037,0.3825005509045783,0.4749846214780765,0.5710239495626787,0.6996684219622323,0.5255817453122962,0.5511994529305752,0.7605806435031396,0.5735294120000001,0.794117647,0.5972695161010821,0.4452072694184001,0.6078161077011921,0.4214552175611012,0.5710785107630789,0.7154048686726284,0.7217700350301037,0.7120245805663563,0.6540278212803503,0.7187467336868616,0.05378422619047619
1038,0.2731854998000528,0.1634047840993622,0.7596961140038965,0.0,0.13779044620528744,0.09999139500033744,0.5914194466051818,0.347826087,0.434782609,0.8000172099993252,0.2935121345900837,0.7519506149565225,0.26750273824188386,0.4742396385724298,0.3944524797786269,0.38185938178499995,0.5479334033540773,0.3017806354266125,0.4571831324051458,0.07911666666666665
1039,0.224030696796517,0.2953339330949168,0.8954405085363055,0.25387343085238284,0.4480613935930341,0.16555409469767113,1.0,0.271428571,0.7536231879999999,0.9227652414570406,0.6033269599860737,0.8441747206131942,0.2402360903239765,0.4624572364455667,0.5865453649001929,0.4235176846961176,0.6222583932883511,0.5160937844447406,0.533173691806132,0.07865156249999998
1040,0.5039094317459824,0.5299905131386979,0.4833542739104117,0.4888503408095847,0.4717089710839918,0.5510342800831025,0.4638901075920271,0.6176470589999999,0.441176471,0.3867817806433797,0.6099729295909959,0.258599492064768,0.7907705186034782,0.6037153987432318,0.4219464141646401,0.7190627530027346,0.3858224378778052,0.5857798051727445,0.6420858411161794,0.25240165289256195
1041,0.4501782759866178,0.6844609760493547,0.5505240121529371,0.8000505267042086,0.6963760326209198,0.7337482308741728,0.7960194806476841,0.565217391,0.579710145,0.3325540649558629,0.32788586267468856,0.4765366841470695,0.6182206074489913,0.2854032511029927,0.3645359036544351,0.2929945162612709,0.453059244514552,0.3155716556432324,0.33345628930057164,0.09756304483188044
1042,0.5508895610552683,0.5072884342076815,0.2568768767284434,1.0,0.5385381699843681,0.7313314596087794,0.4367590478738315,0.565217391,0.328571429,0.5373370807824411,0.3889953186447137,0.006995647418618578,0.8380265692972992,0.5355408858371365,0.2332741278149198,0.7394347994887102,0.2902794731556905,0.6898390538111497,0.570919223610944,0.08784033225657589
1043,0.6730896554137936,0.4497406238112089,0.38789390625004894,0.4612420726889146,0.6284282559514879,0.327905827789846,0.2822489451239006,0.565217391,0.579710145,0.8054304171092226,0.6284221500968046,0.5164405191197425,0.43754137023558215,0.5784512018196849,0.5140101804154562,0.5865077990087084,0.5092514786373656,0.5515218439062755,0.30558998780460545,0.08605059851180845
1044,0.6657357306064299,0.6829055810639426,0.4847645040815999,0.4965918220117729,0.8031804322968514,0.5038707406010942,0.4717089710839918,0.544117647,0.623188406,0.4888503408095847,0.43468445745753226,0.4354392181561285,0.5209484058766127,0.6522355885190505,0.5656951470254756,0.5109343297608118,0.35359902878862937,0.5736456736831773,0.3675164017070395,0.08897954545454544
1045,0.5177194185722723,0.634040744392182,0.7222224832128055,0.3325540649558629,0.7960194806476841,0.3676422744273904,0.7605806435031396,0.571428571,0.797101449,0.5972695161010821,0.3928359639221741,0.5367785312087878,0.4614409736643708,0.5651889233959606,0.3516912667090488,0.7758573063879839,0.5364088632969642,0.6273438294930193,0.7073583034517066,0.061687499999999985
1046,0.3796766135139737,0.5150762568427292,0.5743457088737061,0.6996684219622323,0.5255817453122962,0.5998712706490135,0.7662285182843488,0.565217391,0.68115942,0.4999258806642055,0.4226164061493604,0.6832333624478094,0.3850159907474201,0.4098947648122884,0.6207300473644404,0.3403874833017644,0.6287836063671259,0.4010610098570232,0.2395981983592424,0.2723863636363636
1047,0.491470553802325,0.5916550056580511,0.5999615247610851,0.6180868014079888,0.7355944854645846,0.5020960599362783,0.7526533778599347,0.7536231879999999,0.5915492960000001,0.6138946815354323,0.6312937959987851,0.22106581645698054,0.7314971407192797,0.3825846810815855,0.6145751217683944,0.2551662538793972,0.3703706446377286,0.2770864755384957,0.6071645382599489,0.26028030303030303
1048,0.3922607691769404,0.31591623637881994,0.5561449439107812,0.21798504892981407,0.18249737104718974,0.3622136173138283,0.39797583269330894,0.314285714,0.275362319,0.4935578143021575,0.519134451199811,0.6641478878216202,0.4424423898453784,0.3880493601430668,0.5909392216610282,0.3491327157135452,0.5807608682871118,0.4071818407935993,0.514820756757406,0.3115530303030302
1049,0.7015753160635879,0.8282528140545984,0.6130317396069189,0.33577102272286474,0.980330681282016,0.4734261499822346,0.5771800491548401,0.579710145,0.536231884,0.3889187227583956,0.2002717683866323,0.5805023259008132,0.5126404164514451,0.3844115881002461,0.4731302101873455,0.4520301001272944,0.4088040744514319,0.3117080299263181,0.4362716553328278,0.01790125391849529
