,ORPM_adv_h,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_DRPM_h,weighted_ORPM_h,DRPM_adv_h,weighted_ORPM_a,Winpercent_h,Winpercent_a,weighted_DRPM_a,ORB_h,DRtg_h,+/-_h,TS%_a_x,TOV_h,TRB_a,FGA_h,ORB_a,BLK_a,DREB%_a,+/-_a,PIE_a,FG%_h,Def_Adv_h,PF_h,AST%_a_y,DRB_h,TOV_a,3P_a,AST_h
416,0.5383441102499347,0.7208369947620964,0.4933692921901908,0.5214499058259744,0.5887178599957179,0.7058406898349565,0.5138375222264652,0.423076923,0.428571429,0.11331028637852032,0.19527173533269748,0.6168091989184553,0.4964198608645589,0.7093136575689677,0.3540752923103542,0.7795920309033804,0.2958866439009307,0.618771617386217,0.5559460142315602,0.4974848521962128,0.3972070445724508,0.7429970215296727,0.4119567349398216,0.32716579014823644,0.3738941676335088,0.2561541809740291,0.3809654770532936,0.8914710522028478,0.6010262598230101,0.4252931046358724
417,0.6999540616001498,0.6982013559169146,0.4604409573220488,0.4138232362739145,0.7590869289783562,0.5198288291369643,0.3686064204111064,0.615384615,0.192307692,0.3745067591257952,0.4466963152513329,0.6292916948798628,0.4775266786505877,0.2717533929060232,0.5113017430707312,0.3083188207687829,0.4823854239605202,0.29388097917761946,0.30671232148019656,0.7059031890282371,0.3468007298365196,0.7602144624339527,0.4770264487161286,0.20744766015859994,0.3938302460133896,0.5724734777734051,0.481849708780643,0.3634083223688715,0.32867422162780685,0.481317557817732
418,0.4541834599737287,0.6340600098411519,0.35720518476271945,0.7449936888167894,0.3627953738010266,0.8635260500908697,0.4522682542570682,0.321428571,0.518518519,0.024196533199566158,0.29083546487171263,0.6478156958376879,0.487709535793071,0.3958493376677098,0.3976909469250841,0.4595762304251302,0.2766372164867508,0.3413477132722237,0.5749158702631718,0.5028997737326503,0.5132772593276597,0.8342967929577252,0.327047676965455,0.6531036792301474,0.3846357515027972,0.642873352405683,0.29393682413950106,0.5038104596196197,0.4435911103135104,0.4309905373460941
419,0.27543944960254463,0.1401339832039371,0.6600959494223384,0.24928829740665434,0.1519484342853623,0.19674437458160365,0.5904817514964302,0.296296296,0.884615385,0.8505816357296241,0.5239318704426396,0.6112136523165417,0.5243040916106882,0.4623488553191898,0.5989573544921555,0.34594085706252753,0.6415441569877779,0.3725106620272315,0.6220950925016824,0.17796577412249145,0.5510916253366545,0.6983541964448069,0.6059592725613321,0.5025343728535261,0.6219207869319342,0.19398454618844416,0.6522248560655234,0.4429723762652288,0.4357932058934805,0.6612587489189024
420,0.7016582697304016,0.6507006122041861,0.1122269102275502,0.7340671245685009,0.4022769544232873,0.8518004649198188,0.008468381139173198,0.464285714,0.115384615,0.03651938515440345,0.5125423192967871,0.6078000928136122,0.4381340800721433,0.4802996763624557,0.6535339943924185,0.6552780143259479,0.7068406070545441,0.4124319956753312,0.7214792472731879,0.1646588251444463,0.3759243259012405,0.6827401678460222,0.6337809862505611,0.650295667964673,0.7219443614861845,0.1408110486379571,0.7728515287458567,0.8246700710828032,0.6155409803146656,0.5888759837429453
421,0.4280026901673005,0.3768457280993525,0.4677208860564046,0.2589428709458969,0.11607718516854575,0.4870115687181293,0.25667721066422844,0.5,0.321428571,0.2846962504397791,0.3257249765177768,0.6282320897063346,0.5562971465180256,0.4911009966057849,0.6540268218207621,0.41928702537017787,0.5625604313979682,0.4255181570306,0.2346805344014872,0.1277258387664515,0.7158860961314342,0.7269471932199566,0.7225467056940598,0.5496986554313409,0.5253065499702898,0.1231962924168368,0.5506423754525746,0.3687526912648431,0.437184323487969,0.6496468869274783
422,0.5680103579381857,0.6126945537667087,0.4980891579695334,0.44702581829664784,0.5950359313974578,0.5442206962767266,0.4622218292830974,0.464285714,0.75862069,0.3593453010745389,0.4201515984288896,0.5273493641750838,0.542888719165016,0.5583969899881638,0.5307316249189137,0.5742354088939753,0.3026944564559129,0.4780593989223403,0.5069648988008029,0.3680645554067365,0.6480676177218937,0.7522543483556603,0.5075989693064259,0.5163110011106311,0.21718044148444735,0.3847021770637281,0.4648553120284401,0.5797155652827773,0.5960105698097062,0.2483206629630127
423,0.3665327958092561,0.3944361358498405,0.5247967329156654,0.3627428823332712,0.18105902193979986,0.5182487053077024,0.4417005980717627,0.333333333,0.4,0.3265594647316967,0.2417261578009631,0.7142576350048997,0.2555369788066234,0.4812989287458093,0.4231663809334588,0.4630136459240941,0.30784509830392603,0.4111570580738448,0.5018429126616017,0.1214895837313176,0.5614621778913688,0.6929928278670086,0.2922066895924996,0.5562217739728144,0.4177013355373568,0.15524495816607822,0.2712007541493863,0.4551663672272952,0.4545483195431656,0.32024968993724856
424,0.3498942291002565,0.4885406031866141,0.6443858491179311,0.4005379899231749,0.3913810105048829,0.5102665850268086,0.6845152298888368,0.517241379,0.689655172,0.38018146998911184,0.5200341595461612,0.6364649540047693,0.4803341395401421,0.2771773841725397,0.5623077755329661,0.30872352506245426,0.5945897592035416,0.3671113038897048,0.28668038711257443,0.09876449316393524,0.5969436752587144,0.6894947987158857,0.6288172484493767,0.44502944179511295,0.5740564357522935,0.18994082840236687,0.6069995430456651,0.2501497585867645,0.35679701222158605,0.5273179312294862
425,0.5031034075130117,0.3527774306250391,0.5163769165400766,0.3993898852639485,0.4623533047779223,0.31447048339921113,0.4562928120113611,0.7307692309999999,0.666666667,0.7672566387344606,0.26890748734090075,0.4332163465178573,0.4698702905777346,0.5879923675213817,0.2258848460123669,0.3761319876788571,0.20107018120295936,0.2661126085682895,0.5041665619333263,0.5065774937305442,0.5998817513930008,0.7562325511870082,0.1450056662292344,0.3669312937549655,0.1338908933225561,0.4001068376068377,0.2463959813981842,0.6046452187259845,0.5928682592340216,0.3633759048946095
426,0.6558461769955489,0.5845234963894967,0.17796378662068807,0.7672566387344606,0.4562928120113611,0.7612315874551123,0.1519484342853623,0.6785714290000001,0.321428571,0.24928829740665434,0.37592904550127615,0.5389245011198208,0.5773732365375821,0.6293571455042907,0.6371375007316732,0.6367397269480899,0.4093618042461386,0.5092973428359067,0.6920445970287485,0.45109029860934297,0.5266210419619851,0.7607290050979933,0.3812446856084847,0.4772121593652866,0.36588889969938265,0.5083662015146273,0.5610702635998422,0.6815125132243984,0.7488397021702399,0.4889094831722453
