,ORPM_adv_h,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_DRPM_h,weighted_ORPM_h,DRPM_adv_h,weighted_ORPM_a,Winpercent_h,Winpercent_a,weighted_DRPM_a,ORB_h,DRtg_h,+/-_h,TS%_a_x,TOV_h,TRB_a,FGA_h,ORB_a,BLK_a,DREB%_a,+/-_a,PIE_a,FG%_h,Def_Adv_h,PF_h,AST%_a_y,DRB_h,TOV_a,3P_a,AST_h
654,0.0,0.031809658259468354,0.8536672736691956,0.35530003789740594,0.0,0.2162673982201827,1.0,0.386363636,0.8,0.9227652414570406,0.3912446878375023,0.621131849029091,0.3553911517404742,0.6400332334023163,0.3531059844136816,0.5619437466500595,0.4755217321164517,0.5084150331813773,0.5858820057186487,0.2153454545454545,0.6024020580187319,0.3762376790439557,0.5539906835936749,0.4946703279186862,0.472692562047511,0.33197729291583394,0.4126754060251857,0.5654205451982712,0.41337370429390863,0.3057631296411057
655,0.4814955953268469,0.5697304433148063,0.4519700898120352,0.8000172099993252,0.5914194466051818,0.6693875686552053,0.6284282559514879,0.404761905,0.568181818,0.4612420726889146,0.4109914827937979,0.448537342850786,0.5326526687076509,0.5346902516902412,0.3354570411919596,0.5881922442869052,0.3422501824088223,0.4419763160590029,0.5195323945852325,0.1917797202797203,0.5282988138210366,0.3627961389595383,0.3976438418557382,0.4576896032292594,0.2066860038130693,0.2445533106134372,0.451416603387509,0.4759042988837326,0.29994526575989755,0.25198121649280475
656,0.6035884048058694,0.7730082956094315,0.5578675618265404,0.4965918220117729,0.8031804322968514,0.6132567224500916,0.5960036226851126,0.511627907,0.522727273,0.2700783771115898,0.38265921711520096,0.36541506909111054,0.7270242000838086,0.4515439895408977,0.4260404857430113,0.5951680351723602,0.4664409084199192,0.7104039854543003,0.4030923883332558,0.12447915685350915,0.4382569601895807,0.17404689091119474,0.4202806416549609,0.44219766059853227,0.4611241232883746,0.13004607463763362,0.5443604880584701,0.3894695427291329,0.3884902669633848,0.4477072290149747
657,0.6300926932440107,0.6459235622808255,0.2896221612419069,0.4935578143021575,0.39797583269330894,0.7467789071510786,0.13779044620528744,0.333333333,0.454545455,0.0,0.31153537826782224,0.5711123452723297,0.4713197063454293,0.6127827580434351,0.39594259673907506,0.5677295454357754,0.36577410302642976,0.3744428184137688,0.6661148850278349,0.28496474953617795,0.5154690560350751,0.4533334130967551,0.4002337017084148,0.41479861636566384,0.4983180820348209,0.3670610253595109,0.3353589237628604,0.6325256754280673,0.4389339127513544,0.3050073257015617
658,0.626995695760963,0.4757715477932746,0.4417591823284995,0.3889187227583956,0.5771800491548401,0.35993801750089793,0.3231886576329139,0.534883721,0.581395349,0.6690426877565997,0.3902286862723745,0.5549036465149843,0.2908741319380139,0.6832695026274175,0.3656876303929616,0.9160505337133612,0.2534141564942738,0.6504754817995269,0.877759489361313,0.04497607655502391,0.6311864621424099,0.2265261235176467,0.24583152472860506,0.5206793606975298,0.4241950026454212,0.122314290473018,0.1517387024325476,0.7407586172880429,0.6954094714684316,0.03661509648297912
659,0.6328811080234338,0.7942085779835162,0.4453818298129565,0.6138946815354323,0.7526533778599347,0.7337226359286833,0.4868911618130671,0.545454545,0.348837209,0.14644940967806575,0.737444496405379,0.5649201512056065,0.585923069661657,0.5187466104991498,0.486144826228941,0.6052373772625171,0.6035092098842445,0.5637239085899053,0.4300165494080139,0.12555543547361728,0.6117793367295913,0.3146195140458157,0.5068967842783906,0.47220278122783205,0.5296317064002886,0.20476951845622726,0.5931404449289692,0.4477728015190077,0.5108582377857209,0.4628925097821693
660,0.4491104389447317,0.2568768767284434,0.5072884342076815,0.5373370807824411,0.4367590478738315,0.26866854039122057,0.5385381699843681,0.302325581,0.395348837,1.0,0.4845726041300836,0.6819943031681432,0.2935899942487309,0.6449712700908835,0.46167702375680797,0.670765319413639,0.5417751352343187,0.6031761303296915,0.7405541523215001,0.09226552655265524,0.4851659314809687,0.2770877616593145,0.433103048119151,0.5286742750389765,0.5645620482807264,0.12277932698333123,0.4549120862413621,0.5776960272104058,0.6236339638254587,0.35099501269098593
661,0.6358521889362788,0.6851929916630745,0.43012736255790346,0.6180868014079888,0.7355944854645846,0.6156525103823045,0.4638901075920271,0.69047619,0.523809524,0.3867817806433797,0.29918115969325665,0.4286436187209435,0.6124231922505143,0.5794146765843095,0.12165021902707053,0.659004854942644,0.1984389192735146,0.5423019257889451,0.5882037090840175,0.11187869318181816,0.6886104598609036,0.2975608984377337,0.34263872522334693,0.4759562094290682,0.1801712202795544,0.15537202086629748,0.20589625104400186,0.530091086666381,0.4115389166264351,0.2623858598312496
662,0.7919735894702027,0.5680438575310681,0.3131664475461584,0.4999258806642055,0.7662285182843488,0.39247819184988986,0.18228133934394344,0.7555555559999999,0.5,0.7149694969644258,0.5051654491846526,0.4263482091534084,0.5099096453114575,0.9503105089178844,0.2105302854404925,0.8061246305597194,0.3153203462875944,0.6187974391898357,0.6555265949059776,0.05882469802924348,0.7932712588964301,0.23169656421431656,0.4524689581768534,0.5095093507861673,0.5678174194914586,0.0975092945029654,0.2972274598120543,0.6472202039956593,0.6758162237928076,0.31109504721386605
663,0.8288078150035232,0.9512910617165302,0.463369874076491,0.33577102272286474,0.980330681282016,0.6227963392531233,0.3227150512749696,0.604651163,0.295454545,0.09017834421661808,0.4195688628775121,0.7308339142508706,0.34261840848975034,0.4852739499075375,0.4472683981717008,0.4673349928413653,0.4879490383780314,0.4026644063465965,0.41035690146201054,0.0930873526055534,0.5388394175861897,0.2668381801334564,0.5024060873337968,0.4555142947309112,0.38576767034766973,0.15253032148720935,0.4887440898613313,0.35762120108515505,0.6173590238710385,0.42456868086865857
664,0.4822805814277277,0.7222224832128055,0.634040744392182,0.5972695161010821,0.7605806435031396,0.6323577255726096,0.7960194806476841,0.7142857140000001,0.630434783,0.3325540649558629,1.0,0.3352701124844719,0.6411191722092178,0.7515007090437529,0.4597540429706008,0.5041907972078762,0.7310482991518885,0.5470463153535177,0.4419140095046459,0.17440101522842635,0.6675244499711981,0.34646414369497835,0.5461944970644873,0.41435631891522495,0.72801202369334,0.18755354580307992,0.6452904336784503,0.2985101705167925,0.4549165433614341,0.6390756232068528
