,ORPM_adv_h,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_DRPM_h,weighted_ORPM_h,DRPM_adv_h,weighted_ORPM_a,Winpercent_h,Winpercent_a,weighted_DRPM_a,ORB_h,DRtg_h,+/-_h,TS%_a_x,TOV_h,TRB_a,FGA_h,ORB_a,BLK_a,DREB%_a,+/-_a,PIE_a,FG%_h,Def_Adv_h,PF_h,AST%_a_y,DRB_h,TOV_a,3P_a,AST_h,AST%_h_x,3P%_a,FG_h,PACE_a,BLK%_h,TOV%_h,TO RATIO_a,FTA_h,STL_h,EFG%_a
168,0.3862371404354358,0.5285107407863607,0.6449070921437533,0.3993898852639485,0.4623533047779223,0.5096875511771229,0.6845152298888368,0.7777777779999999,0.727272727,0.38018146998911184,0.4327602355086959,0.6228215702168265,0.5138179945574887,0.6006982469866524,0.4125768562029572,0.43398366538658506,0.5300138434213549,0.33511222480687364,0.5403310491156753,0.1762389169922848,0.8590376738383241,0.7595469476265488,0.6581351681521789,0.6197230292906556,0.426122400588271,0.2183032195242585,0.5140606301122909,0.340249592068294,0.4790297827114877,0.7375878875039151,0.7375878875039151,0.435965042759518,0.5762678125233001,0.29329755698097704,0.4867634564430371,0.3501257703849928,0.34782608695652184,0.4893192518887457,0.6977529593832695,0.2104672695976267
169,0.3852612564070309,0.4086208897217096,0.4602021189842155,0.7340671245685009,0.4022769544232873,0.5828810804949925,0.6263446357297235,0.545454545,0.6,0.5697310417476422,0.3826243752853725,0.5860267361466308,0.4609500867056029,0.5198172636129391,0.5180693535947473,0.33658316407159905,0.45511282371045797,0.2567011057988785,0.5804545399294261,0.5613630094674384,0.5955786821321339,0.8126903135010346,0.5560987633392585,0.4013965311600472,0.5322299330405962,0.4990998363338789,0.5408304224072349,0.4495208204548957,0.438921906524141,0.540790426761116,0.540790426761116,0.4653706907900451,0.4826965616648426,0.4677494576537169,0.5441768715252421,0.3940678954668026,0.5114708603145236,0.4202882172301306,0.5873946996423799,0.3532442923051716
170,0.4136003134722186,0.2543414261063077,0.5821312648152291,0.2545574944612001,0.2875670893857109,0.24142587363149426,0.4562928120113611,0.545454545,0.727272727,0.7672566387344606,0.3482060651757323,0.6380950723641741,0.3720538599145099,0.1902980709624132,0.3601565739210639,0.1836957089041268,0.2995650606807184,0.22452535388362072,0.32524741888607583,0.26826689985720764,0.4683503144968569,0.6179103877503264,0.2580768022398013,0.4907248169156168,0.3176378300738775,0.4113327951408911,0.3989759929897424,0.21238591240603194,0.24811188651163826,0.33179002895073983,0.33179002895073983,0.26138364984457885,0.24850568401108425,0.3058790030331917,0.4930951930581285,0.378098493772152,0.17572463768115942,0.2912716584756896,0.4352666339270491,0.1105950729461022
171,0.4748242742015789,0.5266077814019708,0.3682260249470293,0.6193720881191973,0.321403828906526,0.7066999771422422,0.3705682726524877,0.5,0.25,0.2095286792272325,0.4285814153394091,0.6160183800628876,0.4497730882903012,0.3415712186772896,0.6047141728063707,0.5389718854435473,0.5383338082231331,0.4945846899441924,0.4514122545472397,0.2408985478000717,0.4504482341025576,0.6779904864729038,0.6359449854314947,0.5668633971864261,0.4245593583489493,0.19397679331900705,0.5358847532628068,0.5345677351453301,0.6127274366010677,0.5426170481610589,0.5426170481610589,0.5640820661295699,0.5344178852514909,0.2100717991240892,0.5807406805865075,0.5393367805601015,0.11923514682449354,0.5469921672175316,0.5817791308666136,0.07718823431188643
172,0.5387219429255894,0.4205953634996044,0.4134421631425685,0.2846962504397791,0.25667721066422844,0.46063804692619503,0.18105902193979986,0.333333333,0.384615385,0.3627428823332712,0.44195066567333946,0.6980252170569885,0.4152691290546221,0.7159695546948077,0.4102255849474865,0.5505243409032569,0.5159511470551157,0.4262105589744407,0.2377181573411088,0.2469233333068192,0.4887330131693112,0.7198636954782467,0.4673444657608736,0.4240895498776416,0.3802108909483432,0.17111030878066955,0.4805953557434937,0.5624935321830364,0.6246301397426602,0.3978902536195552,0.3978902536195552,0.8270286164902326,0.5165007648411386,0.2136558052682305,0.555652916501413,0.32457255148431186,0.2670308062049377,0.5097969600057024,0.5510008550795599,0.18710541586132984
173,0.772712444073125,0.7130536719931735,0.3536970967820097,0.38018146998911184,0.6845152298888368,0.5660145196772004,0.1519484342853623,0.75,0.25,0.24928829740665434,0.4071111834861379,0.3554732496455454,0.8317126993383931,0.4715619080794957,0.3325435310065361,0.5529706582180597,0.4502747596019352,0.5334920161763177,0.25107172236693953,0.1342759164878468,0.5903016035659284,0.6787445185884418,0.6518359781461873,0.6113951382233677,0.2999709957359733,0.14109890109890108,0.5129922402824807,0.4260694136667982,0.232782869706304,0.669418453223183,0.669418453223183,0.3094586950571608,0.5548871880127869,0.12951273494337526,0.5736441878682625,0.3871086209235386,0.14459627329192545,0.43253512936263705,0.6155891102497195,0.12680625573366636
174,0.5315278866169287,0.7191238438028997,0.6439913809536555,0.11331028637852032,0.5138375222264652,0.5449435329335861,0.4522682542570682,0.363636364,0.6,0.024196533199566158,0.44472921384956543,0.548552032518775,0.4968243352136572,0.7244624637530286,0.4152335899903091,0.6057446829333505,0.4475559745519827,0.4107648561781625,0.7015059911508508,0.10289420029642786,0.5983367972589961,0.7030798777408868,0.4581493915684951,0.5681077638984403,0.42915348103705137,0.16377551020408165,0.4470384707291377,0.4933376741618731,0.7249879047570713,0.5028691176504984,0.5028691176504984,0.7035573573846013,0.4341802183808744,0.13550941308685988,0.5049485650724241,0.4181788097501078,0.08391748003549243,0.3649276717230638,0.7167084667135445,0.1559666284012361
175,0.6598446269343188,0.7679270571515948,0.21130891858156475,0.8505816357296241,0.5904817514964302,0.9230420941694001,0.2783289964207696,0.8,0.4166666670000001,0.011776443894169764,0.4215757310649655,0.4973761990575763,0.5886668726590424,0.2551691527571696,0.7545497465391755,0.2396968926777481,0.5977727615940986,0.2108155487509077,0.4166094902778125,0.0763402498065333,0.4065361048289631,0.6388732402952022,0.8544241700803453,0.5911690708752537,0.6595585115716122,0.03836264410640435,0.7428306911581293,0.3305406075697642,0.35632211328144403,0.7684977741044647,0.7684977741044647,0.4209845191123968,0.7093616710712145,0.06253090304691455,0.5761202423715848,0.5428062420623585,0.15733273259743186,0.3953774129791524,0.6267021714046176,0.0344169643009313
176,0.5138349445759071,0.5564398647377405,0.32324486340820274,0.8066867415192379,0.4687181847652646,0.7421468663011052,0.4417005980717627,0.833333333,0.4,0.3265594647316967,0.4478711467530371,0.432966953963546,0.5577954475668943,0.4696700538361091,0.4041516628160479,0.3613281332912632,0.5264368656371584,0.3324282344787538,0.4383299731256899,0.3260933204930946,0.506054833106311,0.6840113260058388,0.7351136923609809,0.4466905534564393,0.4544925578959037,0.2383860517293801,0.5942718837811387,0.4328930178187054,0.2657223493929949,0.5365780318539182,0.5365780318539182,0.3374719139663372,0.5686306257677943,0.3797734522785168,0.5630717469604721,0.1984117042057558,0.6517786561264823,0.5384101511804169,0.7450919370868997,0.20993379259901476
177,0.3573166805820295,0.2418499460305116,0.6352146726446393,0.3745067591257952,0.3686064204111064,0.23734471850878866,0.6472456972756417,0.3,0.636363636,0.895297991994477,0.4966342905827678,0.768847312910399,0.3258235869396715,0.5434821703468335,0.4016369142393415,0.580796746042094,0.4361574443047287,0.47817724214596896,0.4906102713939418,0.08747955278088328,0.6314682997001761,0.6783314871791898,0.3633632957768891,0.6732313366511672,0.2564647983579793,0.11431623931623933,0.4095177524225406,0.5718321470694933,0.6731837670403914,0.32259703708678256,0.32259703708678256,0.6868272375529108,0.3377052716294281,0.069998259608446,0.5131108992229291,0.3325435169473771,0.11714975845410627,0.4336396542165618,0.470113013970597,0.11400121403732814
