,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,Winpercent_h,Winpercent_a,weighted_ORPM_h,Def_Adv_h,PTS_a,+/-_a,3PA_h,3PAr_h,DRtg_h,DREB%_h,BLK_a,AST RATIO_a,FG_h,3P%_a,EFG%_h,TOV_h,FT%_h,STL_h,PACE_a,DRtg_a,3PA_a,ORtg_a,TS%_a_x
3591,0.6955416274476758,0.40575388570474014,0.3902716779100579,0.5095044258008422,0.6489104698030141,0.6399866218980659,0.2319398362387809,0.813333333,0.25,0.6624830618535502,0.4184287213280461,0.6973616120981059,0.3414584963514614,0.6224765631751503,0.6709112004634529,0.3961041642493063,0.058521238938053076,0.4427062369121565,0.07853996224040276,0.4620334465812282,0.6130705927708517,0.10557608041928004,0.3657743762093313,0.4811341487454466,0.5767028419945267,0.14629621529098516,0.7576258383570511,0.7109596563340537,0.6624980090850325,0.6779204737529397
3592,0.5025601863841209,0.6388535056840957,0.5027369674354626,0.1451097714034147,0.4569787760724429,0.4011565317424117,0.3410959758407631,0.445945946,0.533333333,0.4240932903336785,0.5484068294855788,0.7098084833836205,0.5645907757224087,0.4160871777151236,0.5482584525515835,0.6007437196266358,0.24667291471415176,0.673266626209007,0.2349486049926578,0.308683670066603,0.7098150866102395,0.2781169719414139,0.5863643036656272,0.1642364856489396,0.3176280301341281,0.16140330655355378,0.5442100943129471,0.6281101498630559,0.6772718072144134,0.6831825897111681
3593,0.6854407364505786,0.47718062883682,0.5191327286658874,0.5229424276256002,0.5746411257684758,0.6401579257227513,0.24503817792213026,0.578947368,0.533333333,0.6555782329438263,0.4812881463643902,0.4379649570944918,0.6406557757722858,0.2900083056119568,0.6726574805123755,0.6124976412242268,0.10566866635902164,0.5066965321560898,0.08392751714428448,0.3056209426592313,0.6868742715482438,0.11197082450347444,0.1687511379514713,0.21713209561383412,0.4912979888350206,0.09845813742828802,0.5449633151877689,0.39025654203409454,0.616215735860954,0.4856930052027204
3594,0.42886230880036375,0.3570377538126525,0.0,0.09962627330903512,0.6537686075711575,0.3919222091207346,0.3139222343046626,0.297297297,0.32,0.2810921591301117,0.4960720431691801,0.546255946256183,0.1124745493749641,0.3907203155498752,0.4755938639719734,0.6704922126343367,0.1306692625556262,0.23956816404504905,0.04488903167317264,0.42778194798791497,0.4973176963698624,0.10374091927489984,0.4316209294874075,0.3884418669962674,0.6122873101202571,0.10034601951870877,0.8614064970019542,0.5344490798753471,0.5689942710652994,0.5732743804342557
3595,0.455091593574223,0.6316367499660671,0.6995884480547916,0.42186998503939016,0.3420591018642962,0.4968441579606336,0.4281273686986465,0.6133333329999999,0.546666667,0.4108692564514636,0.47301845563099,0.31844485834527314,0.6818803827206403,0.5227380692113271,0.5003724828726925,0.6293156333353915,0.09195160427807483,0.3111518678293684,0.06830430282572852,0.4712668648327161,0.2850936363386628,0.09457452884066246,0.5130159045182768,0.44429820558284455,0.556612312875247,0.09047502585591732,0.4808736022958662,0.1978685520901481,0.5215352674340746,0.32776931256663744
3596,0.4912261449975428,0.23171808828850196,0.3466460137245015,0.8350285836740337,0.5669757260989271,0.7064529381899309,0.4256750020560925,0.56,0.28,0.4690790106529698,0.5007334909645103,0.4660624398543052,0.2723701527039313,0.5325382268660535,0.5018627734382144,0.5843092031879916,0.04787298107983386,0.3747413270103974,0.052824307007046496,0.3985283248452716,0.5452055014623363,0.09504565711751163,0.3675881477898577,0.4873077762882302,0.42815422182349816,0.06529861430004515,0.74731408115096,0.3812583757859364,0.4619412720131956,0.5028010690251871
3597,0.5648469017584985,0.5921546521689117,0.6407195491705322,0.4308222643634239,0.5145966311530064,0.4518312850791301,0.5263308880123236,0.693333333,0.7333333329999999,0.6674024894119317,0.4881574852530656,0.39173530427880215,0.5553651901128707,0.20847026987612294,0.3311222483299102,0.5580614066304834,0.06381465517241379,0.4778384202085897,0.052472637494663917,0.2544913811263349,0.5802100907706562,0.10946864986369506,0.4038485183580957,0.3926726938916168,0.4820055954063584,0.06383699830029235,0.5417165997881054,0.5593412485016658,0.4627946438053473,0.402265994174418
3598,0.4795006234464519,0.2402493159333567,0.15895936635293378,0.5675181650014599,0.5670371683942572,0.6838752328668802,0.20293151486793606,0.539473684,0.32,0.2815046810537294,0.4131283666357579,0.8700350628087434,0.5657831330506781,0.4570706177838263,0.5109356183875371,0.4721883268529278,0.07366771159874606,0.8388861678586723,0.09105151105338563,0.3988227693257584,0.6486996614364107,0.20405885822691974,0.404598131482452,0.5363857392795891,0.4750720242982043,0.20509065550906555,0.5744274474433257,0.9503533430223141,0.63632708073361,0.6794801908814018
3599,0.32040165598380016,0.6332272120748609,0.4040588482842061,0.0267357653064641,0.34461867934960433,0.34232704678397163,0.3393687008759285,0.355263158,0.466666667,0.12001861666608254,0.492082904502447,0.4852777286603862,0.7139701064127189,0.4989053230650413,0.6089560374677424,0.7338010360944163,0.11277789968652036,0.506570431789413,0.0819068596601636,0.4053529580481529,0.5158630688105434,0.1231737529293606,0.4507244399726112,0.20364111166878,0.5193414299312065,0.10235829925827312,0.3761299746358372,0.35713221547964075,0.5267856012629161,0.4751434028723278
3600,0.2803846814798409,0.7169850112349491,0.8710227738668656,0.4610614687455058,0.2316246125077728,0.3428788547250146,0.7726002830154062,0.315789474,0.72,0.38042707739051584,0.5800810973759063,0.5625425985509415,0.4652344831541798,0.3409428286505897,0.4961365702872802,0.6475701420155322,0.13813334879406305,0.7462421975293738,0.19504090623033352,0.5369643672490727,0.3033442885922016,0.24272788172134324,0.5762468939226464,0.4432871953189855,0.49473120081533,0.12403602130087485,0.6249322731642112,0.4194162346879362,0.4977612122027428,0.4475629662543161
3601,0.4258715293443552,0.5307968701294882,0.515139806900852,0.39955442018988624,0.517634111140974,0.3618971237811528,0.6733839307193784,0.546666667,0.447368421,0.5473753226751815,0.7101889835145899,0.6767555334271693,0.9161296462353908,0.3733744293109562,0.6133178574154499,0.6368609927391896,0.6232840909090908,0.28469654646981835,0.26838359878007456,0.3262204279383898,0.5922784718356559,0.7877947295423023,0.4256665606693374,0.4619221324667872,0.4694044178828941,0.1966458436960529,0.38639521454898,0.41321691305633335,0.6673012109421812,0.6841737522344398
