,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,Winpercent_h,Winpercent_a,weighted_ORPM_h,Def_Adv_h,PTS_a,+/-_a,3PA_h,3PAr_h,DRtg_h,DREB%_h,BLK_a,AST RATIO_a,FG_h
2319,0.79791639519931,0.3330727066907635,0.4698210871185016,0.7750116345631581,0.7900289835535464,0.6620407631444029,0.4537182330604766,0.805555556,0.5555555560000001,1.0,0.4853798656859528,0.6046788102569289,0.4742346077152144,0.29717163083856835,0.3402347489885682,0.32215741317412844,0.050962116040955616,0.47359565365955203,0.051363292124884,0.4108521387498252
2320,0.6795420224258975,0.6228581627741164,0.5441845965763098,0.23526729151180376,0.6307300166287327,0.4032500691709349,0.4271024431613795,0.694444444,0.577464789,0.783161740336169,0.5084864113393678,0.399384500767676,0.7749101224958068,0.2710587894477289,0.5980746966952465,0.4281376684792225,0.09968759301197026,0.2484733054386025,0.04531151667715545,0.23553619270493176
2321,0.5282551508340567,0.2505907401181048,0.08598977525359236,0.4480417347844047,0.6716535297919168,0.5987330036753868,0.25227455882280764,0.5,0.375,0.3997759379408404,0.49942880947897295,0.6435971116565179,0.7201914801372343,0.30697853623190563,0.44121279352769693,0.6460544209745827,0.15169032959072798,0.5624936764358507,0.10126764362132518,0.3077743427854696
2322,0.5702098661882642,0.3504540482195628,0.4144946926245877,0.6634093603262619,0.5756219136461114,0.6517299088532348,0.3625602555753532,0.594594595,0.375,0.552733097199459,0.5593444325339876,0.869691002400266,0.32016819137441976,0.6098318421075831,0.6919467416392778,0.37928539110732107,0.14815736040609134,0.6415204499800436,0.04604754131353565,0.6064485855441424
2323,0.3581549163782771,0.7522535397751517,0.5882130502031191,0.0086031586497759,0.2835777563254557,0.32661941952709656,0.3523810783143856,0.291666667,0.472222222,0.19258876304093506,0.5047125147039793,0.3545760964224035,0.626654499014861,0.1141414450436966,0.14486562876660225,0.7647683251119901,0.09152181818181816,0.21124769462843973,0.10357457520453113,0.2452567089990081
2324,0.5394138108812662,0.5455913323810969,0.4337794516412177,0.25915029783739113,0.4606424253157856,0.5412223848184762,0.17741481363346967,0.513888889,0.465753425,0.361833000276033,0.5256968110689931,0.424931329050553,0.5464145515824097,0.5178734665937005,0.6683911756675054,0.5493763475218376,0.11951684678957405,0.5006316843916239,0.10232981505636718,0.44996455293428905
2325,0.4447315961644447,0.5217754168128307,0.5441845965763098,0.4579150121647066,0.4172282622027053,0.5155399773925861,0.4271024431613795,0.430555556,0.5694444439999999,0.3928761672427976,0.4836575448957318,0.1326759163453416,0.6679578693061461,0.32229127253355505,0.4543377749278467,0.768266815174131,0.049258441558441536,0.14979553597529846,0.051342378143019465,0.24400966592924103
2326,0.4313733107474862,0.6124219880285594,0.5104682976387757,0.21357401432568865,0.44571509844860097,0.3652004067265914,0.480853796298793,0.369863014,0.465753425,0.4112343875041141,0.4547359482427761,0.3794812670342425,0.4674906672366683,0.3305476908999433,0.3823111531919736,0.7542085418886102,0.06951147919876731,0.44156563867528403,0.17025802391441155,0.4647449298957741
2327,0.4456544611660164,0.5203268938944207,0.4698210871185016,0.3625602555753532,0.4697342584382662,0.4540254852128782,0.4537182330604766,0.383561644,0.547945205,0.4144946926245877,0.5325054705604365,0.5140610902348596,0.4122695447154586,0.6503033771178421,0.6316783829066869,0.763719057870635,0.09613636363636363,0.4761462591468229,0.055756205267143824,0.8836081373004792
2328,0.47456686279719,0.3617953646256332,0.6873408884627465,1.0,0.4794791406032021,0.6503458088168741,0.7018952800574129,0.7777777779999999,0.6527777779999999,0.6498283378442331,0.39855104591320745,0.6098296744592071,0.461090676941575,0.5228694903488322,0.6730836907772201,0.4926709152046536,0.2353884297520661,0.4882994965242508,0.28800151579745153,0.4168965112714438
2329,0.7378596527316151,0.3663812844391881,0.31394515724247896,0.4950809682864632,0.7284820520970355,0.6335184126809441,0.2303415030984957,0.602739726,0.369863014,0.7316150208179427,0.5436167440012718,0.3633152492180217,0.4981136915580056,0.4764135838818129,0.6234438850404694,0.4521258790953157,0.1096118881118881,0.1668950068858826,0.05285299086823572,0.5209078025336216
2330,0.5921647465440258,0.3830957830792461,0.4212509959636467,0.6004650935350562,0.5505152783879448,0.6705320295766715,0.262335262592346,0.602739726,0.424657534,0.5135939578686323,0.5116629709745983,0.5153162479601991,0.6633556700685925,0.5103977411427489,0.6467269419570685,0.6777970696803264,0.08832316093800191,0.4689809606860006,0.09207552796556463,0.4602004459250144
2331,0.43647875620885374,0.25349458708914097,0.3386776890846005,0.7765035560157432,0.4662510445927334,0.7445043656665113,0.29170184437950425,0.506849315,0.297297297,0.27698390845109605,0.399342908170693,0.5462894008275155,0.2591137874442548,0.4158370842581728,0.5474664826907814,0.7172529238991701,0.2902865013774104,0.4837934316535403,0.2172225718481225,0.3416465549373184
2332,0.4140276291253801,0.1978163462616044,0.08598977525359236,0.5642841101695037,0.5677919735704536,0.6573585562980802,0.25227455882280764,0.219178082,0.369863014,0.20991488925185806,0.4803448647471749,0.6802109820575264,0.5499735623631336,0.4461734201490024,0.5393918812220193,0.5568798110738636,0.04940661741085768,0.5487416847121714,0.06760666432937518,0.4697473805779342
2333,0.5247031238361294,0.4309046110803453,0.361833000276033,0.4164202519582098,0.5203649377635624,0.5793173568652016,0.25915029783739113,0.452054795,0.506849315,0.3990605229604735,0.4147758284817736,0.4390774975920462,0.5582474573223929,0.4524111377363512,0.5247685817978538,0.4932787672567044,0.06039980961446927,0.4758519976860083,0.3050503461296413,0.5202183991897347
2334,0.52978963276571,0.30847787587311226,0.20696613590144614,0.480853796298793,0.6660277716376402,0.5430056921445456,0.3955823815944276,0.459459459,0.479452055,0.5104682976387757,0.479606768916617,0.6394429487741701,0.4773542641285721,0.2793244185643728,0.3228404207508423,0.7183275575236509,0.08191217363950927,0.6215906163073553,0.04073300105472508,0.292588112638961
2335,0.521590185735474,0.8970937906148794,1.0,0.23526729151180376,0.3813808348128749,0.2277859276229615,0.7750116345631581,0.698630137,0.808219178,0.783161740336169,0.4888949020896458,0.5644205222146551,0.8182817310436354,0.3540031399072343,0.5043343157932741,0.4947521296152893,0.07212255466052933,0.5711919946176128,0.05952031326480665,0.3940887848002553
