,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,Winpercent_h,Winpercent_a,weighted_ORPM_h,Def_Adv_h,PTS_a,+/-_a,3PA_h,3PAr_h,DRtg_h,DREB%_h,BLK_a,AST RATIO_a,FG_h
319,0.5456203244878646,0.4459087906205879,0.3109263621296478,0.3885862248190651,0.5822330021572847,0.5101573122851063,0.3682716002488525,0.363636364,0.6,0.4753923664442171,0.6148342713644902,0.8374891729683167,0.39059715124920735,0.4952671547767824,0.4738483382203328,0.5993257483488871,0.16731022784103647,0.8397491256998711,0.07569599456365131,0.5995646537053395
320,0.3009189666731508,0.677551858418186,0.5515237963737649,0.167922306656327,0.4974092152810369,0.08396115332816351,1.0,0.523809524,0.454545455,0.5463422269358388,0.5,0.3716408962789137,0.33636405371652506,0.4748118127753052,0.4139056466071296,0.40883572496698295,0.0,0.3768824528619991,0.0,0.7109669029014515
321,0.6670517418341955,0.3576285150787584,0.2151668246256263,0.4676960094354149,0.6570516838119163,0.6518424005074819,0.1640112084204512,0.611111111,0.227272727,0.5292701922494587,0.5553563662318258,0.3180071673432253,0.3014692398178027,0.28634616428164794,0.31019776295952345,0.4811778861566528,0.19276876182214664,0.2404410158717409,0.057543193359515486,0.4030453564963898
322,0.636996198959339,0.5539288012782596,0.4961749852144256,0.37525794885798097,0.5292300636279429,0.5566194620666299,0.2620190247247212,0.571428571,0.526315789,0.5546351124703113,0.5177469873802366,0.531845518024488,0.5734640424411991,0.47087314087534005,0.5834100953400906,0.7021916341479691,0.16903669847522304,0.5685952841998443,0.1742919389978214,0.6232042577454323
323,0.4153576781934678,0.40996974946184217,0.4410589049062372,0.6281493616650122,0.4538786684494219,0.5625474940975981,0.5030543734698162,0.35,0.5,0.3488162418050809,0.5,0.2660098850924162,0.3773654902964579,0.6435691527170688,0.7262649383901173,0.6330923243788693,0.0,0.3305309974953445,0.0,0.6867897110480409
324,0.5463799396818729,0.19363519454512806,0.0,0.5689443482752754,0.8036078918574036,0.5203660472200904,0.5282122538350946,0.65,0.227272727,0.6072157837148073,0.3982075290550223,0.4787681643355469,0.3985636019843739,0.307936930461212,0.6514899772622829,0.4650587381522726,0.3294193666912675,0.7695148719299001,0.2627397722330218,0.30875757595466685
325,0.6295786816594939,0.3662830594935331,0.4861137253967932,0.7806440089545374,0.5883737543595507,0.6847071030956109,0.4112298027633156,0.6521739129999999,0.380952381,0.6628612341158947,0.4677790086245145,0.8544833100576528,0.4732999972779317,0.6868894583841405,0.7306142025291015,0.3529434047047551,0.1835395707815388,0.915312492985036,0.12805480534879127,0.8213187216742698
326,0.485188205659262,0.6053723113432606,0.2835221634087094,0.0,0.5111376192905961,0.35257164777192873,0.2948567044561425,0.19047619,0.454545455,0.3057974019899016,0.50089308917551,0.3461022528464537,0.3328928862167594,0.4927278166503893,0.4632219742898081,0.6670503906289176,0.14806767033990376,0.3899224287843411,0.2807891307433261,0.7793167643235313
327,0.7489340105046987,0.7398346347457021,0.6786518845664776,0.1851478223268363,0.4687140517346998,0.5484885655035082,0.0881706913198198,0.6190476189999999,0.666666667,0.6160799880358772,0.4114494508419851,0.8455162653594401,0.6581987655664666,0.4598824303365411,0.5703733737235809,0.773007982130395,0.15691938211196152,0.7279987143989175,0.2292339108095646,0.43691965139532296
328,0.6643649121817453,0.9065844937994356,1.0,0.20795435458451625,0.3992686250795493,0.353903776181473,0.5001468022215703,0.476190476,0.45,0.7985372501590986,0.5033916070402052,0.484894891851299,0.31235175459968845,0.3259214604325976,0.433494181662224,0.6682335272439296,0.09514046029704304,0.6318350117153911,0.047036342924337636,0.4316078400175981
329,0.3075368364439284,0.6982295027050284,0.4873823565901279,0.04324608006179054,0.3897157888078113,0.20035709037820848,0.6425318993053736,0.19047619,0.826086957,0.2668139342057508,0.484856530023596,0.3679529349178867,0.5256998856523017,0.4246357633545017,0.4970679411034063,0.6989761544966421,0.3018725033380556,0.3736722502828938,0.3214544496409986,0.5735879508892207
330,0.3607653546772045,0.7882787081906559,0.9970463722536752,0.4676960094354149,0.2661119099978917,0.31092690076965296,0.8458422078961091,0.6315789470000001,0.6521739129999999,0.5292701922494587,0.5800835814012341,0.4561043438649167,0.460863155065488,0.2968599878280044,0.2808333455956525,0.4755773178508277,0.316622691292876,0.7170140658949147,0.2933354192740926,0.42050150639462397
331,0.9263242643426544,0.34305124286541644,0.2151668246256263,0.5001468022215703,0.8924165876871868,0.6680677969005595,0.1640112084204512,0.476190476,0.217391304,1.0,0.30073451037020016,0.3621107227571519,0.21164070174681526,0.5371618436677701,0.6293628493247824,0.6370728553836424,0.16901747506390413,0.3236027479071,0.06817031928208132,0.4123957657611228
332,0.4901193796328262,0.5082791324144758,0.5941556045712565,0.5970159371534793,0.5958769069945745,0.3622302562841839,0.8725554245851114,0.5,0.545454545,0.7859094185604056,0.8976881311071226,0.5210654107605923,0.5605686956691445,0.3470459845054725,0.5400345866313664,0.3422555741860197,0.7956955869419007,0.5602356699955565,0.5331132000106517,0.5858561174492705
333,0.34731898457050103,0.7026372269818972,0.5777184990768081,0.14419711757415982,0.2863733730750513,0.3664414446626832,0.4113142282487936,0.304347826,0.7142857140000001,0.1504652452269104,0.5337241013513021,0.5585215803519499,0.6024813793712088,0.5647912771730048,0.6120408272313278,0.7162543531993532,0.2774528738133449,0.5137719281917527,0.3738005840634127,0.5828341348284103
334,0.2356525779537884,0.7066658487065866,0.6987992136552656,0.28368869353075266,0.19377732816033144,0.35119988378959666,0.5812889259515593,0.476190476,0.590909091,0.08635386997592859,0.4050922944223561,0.4696565777379642,0.5389295164637596,0.5221453434230956,0.6687820469183494,0.5452358743317823,0.2075373460449132,0.4150860904422571,0.44441516808291065,0.7641201507276705
335,0.5423999599453677,0.5263230020472134,0.4753923664442171,0.4112298027633156,0.5053606794762879,0.5113217889721252,0.3885862248190651,0.363636364,0.347826087,0.4861137253967932,0.5371812372029534,0.5257063154105338,0.327192239294971,0.5552506834913771,0.5418984710199635,0.6717463450795156,0.12103538505595107,0.5395552876130975,0.18339826191189693,0.7903951678814345
