,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,Winpercent_h,Winpercent_a,weighted_ORPM_h,Def_Adv_h,PTS_a,+/-_a,3PA_h,3PAr_h,DRtg_h,DREB%_h,BLK_a,AST RATIO_a,FG_h,3P%_a,EFG%_h,TOV_h,FT%_h,STL_h,PACE_a,DRtg_a,3PA_a,ORtg_a,TS%_a_x
581,0.11681217762051815,0.870936927078086,0.9970463722536752,0.28368869353075266,0.04465374886112672,0.21892324281732184,0.8458422078961091,0.5,0.641025641,0.08635386997592859,0.5,0.4627415040085771,0.3616409381540935,0.4484562098380792,0.45755114005613,0.6044796960555323,0.06667199176730781,0.5478151568029113,0.09600564164061423,0.7639043303848032,0.3408588897621152,0.06840288061895207,0.34287033418890234,0.6078894980245205,0.6398075358467749,0.05936803979301315,0.5561477685678661,0.2771777773890011,0.5048887302717513,0.5839653899896396
582,0.7236047812972359,0.5270507201927203,0.3109263621296478,0.20795435458451625,0.7438054440147254,0.4198413771678319,0.3682716002488525,0.564102564,0.473684211,0.7985372501590986,0.4629274424613894,0.36896225280897976,0.4039453820118577,0.3679006941224968,0.5112695263372601,0.40339463773983336,0.06185618796944543,0.6039113415875913,0.07099783820684949,0.5197000338628817,0.2958173325181953,0.07529941296442623,0.3543066890943373,0.3234029578284056,0.41915823277908426,0.06773186409550046,0.6840164865412692,0.11327406425058625,0.529523684987785,0.5261779334729699
583,0.16703961636421674,0.4040564667619919,0.3488162418050809,0.5282122538350946,0.3255918790974596,0.4500314460850412,0.6281493616650122,0.289473684,0.513513514,0.0,0.4875662141852292,0.5969966776379048,0.6284163023306445,0.3846850152553305,0.4793131306384364,0.7525930489195499,0.07216479069980958,0.6481771898747309,0.07655974077185522,0.3526440083207032,0.5259546556703404,0.0758457023296308,0.5430807264998906,0.4203669559697131,0.1414987011582573,0.05579326707852091,0.3845029993767459,0.4069978109932026,0.6089911463849136,0.6846140981551779
584,0.3931655471842847,0.6373764598065932,0.4753923664442171,0.1640112084204512,0.3698872290907046,0.38771249180069295,0.3885862248190651,0.256410256,0.475,0.2151668246256263,0.5281802780875552,0.8993169742248606,0.4961394158633229,0.34902091374080396,0.3718917135333142,0.7787368441690269,0.12480579098870186,0.7955094751640713,0.12915629072423004,0.6022723506778167,0.7018664847072753,0.09264303310001268,0.602053434782696,0.4783988770393088,0.5582524194667373,0.08166266124624726,0.5034548731632754,0.6784486200165596,0.9340875260532052,0.8206526727000919
585,0.4855795388626993,0.4454246601078628,0.2835221634087094,0.3560630556189772,0.5114928675094166,0.5306031755814173,0.2948567044561425,0.578947368,0.447368421,0.3065078984275426,0.4917292832770501,0.3749871695970684,0.5291738667707921,0.3007149297357252,0.3243678016696345,0.5124255302903956,0.2157753453093557,0.6657036192530703,0.2956821026282854,0.4420222353924109,0.3724991827865991,0.2479982732215724,0.4014632634611073,0.5127033285924042,0.4558360752866861,0.2908769063180827,0.4741773088451216,0.3167686247363644,0.522688935557915,0.5693672954670059
586,0.7135111692403505,0.4865117033945192,0.5546351124703113,0.5970159371534793,0.6156371530450472,0.6108789941477492,0.37525794885798097,0.461538462,0.538461538,0.7859094185604056,0.4564646647890579,0.4541533072542069,0.3879658438051951,0.4427936747962008,0.676293809072167,0.5481881710747021,0.14126423787576742,0.6356584184360163,0.04977683291328773,0.5473686654635542,0.3808382047045551,0.1273531650910154,0.22149013123207892,0.511506226631951,0.6689713471283921,0.13010216770625038,0.7143650228669316,0.4325470229672729,0.3872650147473388,0.4604087757632158
587,0.5989298124906758,0.4613810005986985,0.4861137253967932,0.5689443482752754,0.5605510291590071,0.57885727275598,0.4112298027633156,0.657894737,0.384615385,0.6072157837148073,0.5,0.5764095722998133,0.42644987062523226,0.3314457310158927,0.5103907731495863,0.3953425330086749,0.0,0.549372743364942,0.0,0.5535195798243557,0.4667179012258897,0.0,0.06360605861181977,0.3963196878126311,0.6139115515031416,0.0,0.5804612264193311,0.5027630502699101,0.8003337086851637,0.5471531425740498
588,0.5422086082780223,0.7501305563376449,0.5463422269358388,0.0,0.3797275875270314,0.4160388466718365,0.167922306656327,0.225,0.473684211,0.3057974019899016,0.2674081325574228,0.4916127829134218,0.2671094011558046,0.5263508407940549,0.5713092952552561,0.7606361709173992,0.3447669305189093,0.3589059951284665,0.7811182417738488,0.625598295558312,0.33778673528574954,0.34190761050182783,0.5454542666836741,0.6761108187189602,0.6285539088494443,0.6866607951297146,0.5788774467784955,0.37263920132750017,0.4789011844512886,0.5400674545217377
589,0.456534420595277,0.545469321800266,0.6987992136552656,0.6425318993053736,0.3942915714674311,0.5306214866769071,0.5812889259515593,0.707317073,0.684210526,0.4873823565901279,0.50631515712762,0.7808096649497527,0.7298503258345358,0.4548459271910174,0.6443287257895576,0.6092619734918061,0.10849309002343302,0.6571095501884592,0.08372056766459804,0.4915729798487256,0.7684088013189191,0.1025733986850637,0.34195466397519525,0.6336992011756069,0.4814690747237853,0.08488499898229185,0.2565394109876481,0.4989377037180477,0.7780320621360961,0.7655558217729757
590,0.6019081748255312,0.31909018611568324,0.4753923664442171,0.8725554245851114,0.5593816190635197,0.7419845998830231,0.3885862248190651,0.605263158,0.487804878,0.5941556045712565,0.4855686417000821,0.8074979838677744,0.5734465585147447,0.31785855025217713,0.5200389631243818,0.540020637499797,0.2346775557052513,0.7083862907638905,0.20674966515161494,0.4556157274171004,0.6692210798428478,0.13507244589256284,0.3882311866877992,0.3710927534671965,0.4844599465617674,0.16842869701486834,0.4713160817365877,0.6307343794420642,0.8156149367596559,0.7228472191812039
591,0.5539288012782596,0.636996198959339,0.5546351124703113,0.2620190247247212,0.4707699363720572,0.4433805379333701,0.37525794885798097,0.461538462,0.525,0.4961749852144256,0.452173550843807,0.5525526882573203,0.3270381843411925,0.5814834758433277,0.5897043481386188,0.5659901064753561,0.5421904909721144,0.6594382484085684,0.4767864592645569,0.5835036693192573,0.3678347100313306,0.5680735571064583,0.7426930260625337,0.5507370241387174,0.3900801504235441,0.4458553791887124,0.771487617668712,0.4727785935672125,0.525997749227732,0.5828245654507975
