,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,Winpercent_h,Winpercent_a,weighted_ORPM_h
0,0.6463061610801081,0.4321586006819336,0.5916578925029645,0.7182183911119691,0.479406611382025,0.7630501656415519,0.1966441844445934,0.5,0.5,0.5540127569849536
1,0.4902131781751562,0.666400385395046,0.8382339366197342,0.5290293647926272,0.3449651718198216,0.4936913246711771,0.5415381663808253,0.5,0.5,0.5548271003227631
2,0.7328452021276275,0.3772883096596156,0.5997091265115061,0.8497466134499434,0.5694005698397728,0.8101882864343901,0.2347072386601577,0.5,0.5,0.7265747873850652
3,0.7080931660965932,0.20751712451316054,0.06392225592671591,0.5136733831179096,0.8186549363546467,0.6667612654625037,0.18302019943972486,0.5,0.5,0.6464299959148414
4,0.2889586416144525,0.6581032986427142,0.5548271003227631,0.17173862950873053,0.3118453209091169,0.3198043808585835,0.5290293647926272,0.5,1.0,0.21087649927687047
5,0.5501836632103898,0.5922776565726503,0.4642103313397146,0.1966441844445934,0.5697188924766188,0.3680604735990048,0.4582530438909755,1.0,0.5,0.5916578925029645
6,0.7519206527407419,0.26634239113408953,0.17651425336466486,0.5333082691355854,0.7535803492968632,0.7296050422805075,0.07804884178562582,0.5,0.5,0.6400643174688619
7,0.6449436525435257,0.5067711629952137,0.2625502708305818,0.1177465752975046,0.5770274164117167,0.5593841791633816,0.0,0.5,0.5,0.4033579632027984
8,0.3911292417569432,0.679802311410004,0.8382339366197342,0.4995099027794752,0.2548729446664557,0.4788035114454722,0.5415381663808253,0.5,0.0,0.3901366667460584
9,0.5177545240420096,0.5295713488646006,0.4183176292596527,0.27394661174919305,0.5802678983033316,0.38880634017090604,0.4944206980146633,0.5,0.5,0.5650489887959524
10,0.4207309502158194,0.30913152168357694,0.2857792704780253,0.5838559426250779,0.4335479699456506,0.7051598463175099,0.17706629540292446,0.5,0.5,0.16430360062836352
11,0.5706155513296672,0.6279497235714067,0.6734984638106701,0.3954171107366692,0.4811233372744385,0.4593715391004689,0.4759749663461017,0.5,0.5,0.6389915383301649
12,0.3179383240080432,0.5875615000125098,0.4200444743011543,0.14850424853946753,0.5109543775214224,0.18709996033413007,0.7689204705056741,0.5,0.5,0.4400693004217788
13,0.3827217705132187,0.583653171732271,0.7762841440765826,0.6291958641253692,0.2092148140446754,0.6320556725717392,0.3673567107853658,0.5,0.5,0.24472287774067836
14,0.5358353445117527,0.5606447260552763,0.5997091265115061,0.44588057489561106,0.3902690427184997,0.6065029297187631,0.2347072386601577,0.5,0.0,0.399118692658501
15,0.4753554718323613,0.4480048277445646,0.4897112736224241,0.5482170397894871,0.4723888497154112,0.5641167533150453,0.4210867463611522,0.5,0.5,0.4392375262681764
16,0.5977086072779978,0.6203621825301654,0.6189635236006545,0.3398608271506397,0.4547770034491894,0.5300856459484194,0.2802071984241512,0.5,0.5,0.5362949611184297
17,0.5478810140393293,0.5097743002750258,0.3901366667460584,0.2802071984241512,0.6251774053830109,0.3893971136438933,0.4995099027794752,0.0,0.0,0.6189635236006545
18,0.5301159701249472,0.6781353475277382,0.7762841440765826,0.4210867463611522,0.34323322502564546,0.5270981474495164,0.3673567107853658,1.0,1.0,0.4897112736224241
19,0.2481305592335279,0.6551945825678914,0.5540127569849536,0.17706629540292446,0.35326559854330425,0.2270759431853609,0.7182183911119691,1.0,0.0,0.2857792704780253
20,0.5111147134148284,0.32787060259419243,0.4183176292596527,0.7182183911119691,0.5742306399050128,0.6128698840680723,0.4944206980146633,0.5,0.0,0.5540127569849536
