0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"M. Finley, .B. Bowen, .M. Ginobili, .F. Oberto, .D. Washington",SAS,1,3.0,8.0,3.0,5.0,60.0,1.0,2.0,50.0,1.0,1.0,100,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,11-13-2007
"B. Bowen, .F. Elson, .M. Ginobili, .T. Parker, .F. Oberto",SAS,1,2.7,4.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11-13-2007
"M. Finley, .B. Bowen, .T. Duncan, .T. Parker, .M. Bonner",SAS,1,2.5,5.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,1.0,100,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,11-13-2007
"M. Finley, .F. Elson, .M. Ginobili, .F. Oberto, .D. Washington",SAS,1,2.2,4.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,11-13-2007
"B. Bowen, .F. Elson, .M. Ginobili, .T. Parker, .M. Bonner",SAS,1,2.1,4.0,1.0,3.0,33.3,1.0,3.0,33.3,1.0,2.0,50.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,11-13-2007
"B. Bowen, .T. Duncan, .F. Elson, .M. Ginobili, .T. Parker",SAS,1,2.0,3.0,1.0,4.0,25.0,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,11-13-2007
"B. Bowen, .F. Elson, .M. Ginobili, .F. Oberto, .D. Washington",SAS,1,1.2,5.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11-13-2007
"B. Bowen, .T. Duncan, .M. Ginobili, .T. Parker, .F. Oberto",SAS,1,1.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11-13-2007
"M. Finley, .M. Ginobili, .M. Bonner, .F. Oberto, .D. Washington",SAS,1,1.2,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,11-13-2007
"M. Finley, .T. Duncan, .M. Ginobili, .F. Oberto, .D. Washington",SAS,1,0.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,11-13-2007
