,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG
0,,,,
1,,,,
2,,,,
3,,,,
4,13.499999999999998,11.351020408163265,12.342857142857142,12.526530612244898
5,13.499999999999998,11.351020408163265,12.342857142857142,12.526530612244898
6,13.499999999999998,11.351020408163265,12.342857142857142,12.526530612244898
7,,,,
8,,,,
9,,,,
10,8.203125,9.054347826086955,7.171875,10.869565217391305
11,11.34020618556701,4.783510638297873,6.747422680412371,9.042553191489363
12,,,,
13,11.34020618556701,4.783510638297873,6.747422680412371,9.042553191489363
14,11.34020618556701,4.783510638297873,6.747422680412371,9.042553191489363
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,0.0,10.045918367346939,0.0,11.224489795918368
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,11.459375,11.020408163265307,8.629166666666666,6.731632653061225
29,11.459375,11.020408163265307,8.629166666666666,6.731632653061225
30,11.459375,11.020408163265307,8.629166666666666,6.731632653061225
31,11.459375,11.020408163265307,8.629166666666666,6.731632653061225
32,0.0,12.799999999999999,0.0,13.452631578947367
33,17.81734693877551,10.941666666666665,16.246938775510202,13.040624999999999
34,0.0,12.799999999999999,0.0,13.452631578947367
35,14.185416666666665,19.723404255319146,12.546875,12.191489361702127
36,,,,
37,9.670212765957448,9.874468085106384,8.329787234042554,10.759574468085106
38,,,,
39,0.0,33.214285714285715,0.0,30.588775510204083
40,11.34020618556701,4.783510638297873,6.747422680412371,9.042553191489363
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,7.8125,19.565217391304348,11.90625,16.365217391304345
47,,,,
48,7.395408163265307,7.5,7.428571428571429,8.79
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,9.871875,13.835106382978724,9.871875,16.45212765957447
55,,,,
56,,,,
57,,,,
58,15.750000000000002,18.0,18.229166666666668,15.555
59,22.479166666666668,7.3875,20.833333333333336,5.73125
60,,,,
61,12.146875,10.41304347826087,12.634374999999999,8.152173913043478
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,11.224489795918368,16.84285714285714,8.553061224489797,11.228571428571428
72,9.725,21.849056603773587,11.458333333333332,18.37735849056604
73,28.456382978723404,12.28125,22.192553191489363,20.25
74,,,,
75,0.0,13.11734693877551,0.0,13.607142857142858
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,10.377358490566039,20.057547169811322,9.905660377358492,18.354716981132075
82,7.395408163265307,7.5,7.428571428571429,8.79
83,0.0,17.017021276595745,0.0,12.76595744680851
84,7.395408163265307,7.5,7.428571428571429,8.79
85,0.0,8.104166666666666,0.0,7.677083333333334
86,,,,
87,0.0,25.25,0.0,26.625
88,,,,
89,,,,
90,17.346938775510203,27.61,18.75204081632653,26.201999999999998
