,weighted_DRPM_h,DRPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,ORPM_adv_h,Net_ORPM_adv_h,weighted_DRPM_a,Winpercent_a,Net_ORPM_adv_a,DRtg_a,Winpercent_h,DRtg_h,FG_a,PIE_h,STL%_h,DREB%_a,3P%_a,TRB%_a,3P_a,PACE_h,3P%_h,PF_h,FG%_h,+/-_a,FGA_a,DEFRTG_a,AST/TO_h,USG%_h,DREB%_h,PACE_a,EFG%_a,ORB%_h,TO RATIO_h,btb_a,TS%_a_y,Def_Adv_h,BLK%_h,PF_a,BLK%_a,Previous_Win_h
3404,0.3717739579186773,0.3361892070212199,0.3018452311880296,0.5120194531035526,0.6133709090208689,0.410271612471966,0.6993955438762376,0.516129032,0.4523301011764022,0.4880889672601887,0.650793651,0.20655776114273666,0.6362693321900177,0.2882490717960187,0.4871430935954677,0.043619215291750515,0.2529313215305577,0.4857205039476456,0.3169267052346758,0.13626769602297034,0.34939143721860005,0.25733933295174866,0.5424748746228141,0.4617602681662921,0.5847351850716392,0.07555256984591614,0.02876297577854672,0.5371085985486374,0.09869999999999997,0.07572008302071566,0.041876257545271627,0.5087409805245141,0.058823529411764684,0.0,0.04513444302176698,0.4972203592605606,0.4981639246215498,0.7120734497013613,0.5293949168552924,0.6666666666666666
3405,0.6279289514146746,0.4903180376584835,0.3863133247587891,0.5146298925002213,0.5692157477482238,0.43710664923065856,0.6472928760977078,0.444444444,0.3688591105639873,0.6354396831143296,0.6031746029999999,0.419921475351854,0.3061404780816405,0.3506454306150122,0.4752995647573373,0.2353285714285715,0.2626185552296321,0.5210863856434798,0.4261160269235376,0.2754470209103826,0.4465351054587485,0.37996954870441335,0.3032620077023728,0.3601643738867314,0.3745149917590853,0.26636932499001464,0.06526120937885642,0.6651270350182402,0.15494505494505495,0.2776690002341592,0.20886524822695032,0.3973403482647576,0.2797202797202797,0.0,0.22021563342318065,0.5276110228296083,0.5348356100553197,0.4708532568531604,0.421195451099119,0.3333333333333333
3406,0.9619037503127504,0.8191985149982465,0.11801248693462744,0.8353437609400434,0.8869385020765266,0.7603854430295941,0.3235067203162573,0.258064516,0.061813258073223916,0.6806361454331479,0.725806452,0.18832294868278934,0.4741682439277726,0.25409254167885337,0.4869271982192297,0.04822923076923077,0.3792396803502171,0.11585182253009725,0.3446941216596864,0.10741064334081953,0.4289053287244725,0.3769656843014627,0.5570227961457637,0.4210252914263124,0.4983274734310748,0.09690443759409276,0.011892911010558069,0.4967534830422374,0.08263736263736264,0.08030488018527455,0.053461538461538484,0.46364272617607,0.1538461538461538,0.0,0.0658582926507455,0.493949570502365,0.507302460507185,0.5761300831914028,0.5196685699741077,0.3333333333333333
3407,0.6155392865786712,0.5836121198515142,0.4622709605042343,0.2433720089590765,0.38192285003265297,0.3950315064462188,0.4483150468756428,0.349206349,0.4148218964542325,0.6451885762558665,0.467741935,0.3868691061366088,0.49416381403488,0.3635787946331016,0.4866839932594674,0.08351381951381953,0.3771161058857849,0.4453192140754793,0.4658303172401026,0.22147060974413102,0.42812031531277184,0.519409777443381,0.524074559054141,0.4858937304672618,0.5064129651852685,0.15006304661477074,0.07707910750507098,0.4200603491082259,0.16991001642036127,0.11717121939435587,0.1665001665001665,0.4046090437216439,0.12260536398467435,0.0,0.16773163942975267,0.5586913788013299,0.5605052970317871,0.5653215925045495,0.4706997798295257,0.3333333333333333
3408,0.2311372159316486,0.3069872012006603,0.6470260556388969,0.5940416552633111,0.4714194748539608,0.492668350032853,0.617162813530328,0.548387097,0.7032497913417873,0.4486438477454986,0.523809524,0.44734440906328665,0.4636165840698261,0.3317120777178348,0.4686610380736007,0.10771581359816658,0.3723828119409917,0.4446196680693973,0.2819969362695772,0.2566771909010364,0.5899287354964641,0.4994528005381853,0.5847990812352183,0.5319213798912464,0.3994907258582913,0.08673482101473988,0.16091777024946094,0.5905629435107965,0.17632909498878085,0.11917864696461185,0.05729564553093965,0.4322332424955197,0.0,0.0,0.0650359629271949,0.5618198231046662,0.4578457689151316,0.6527720514085278,0.4884139181757039,0.5
3409,0.3124747119219138,0.3204469409700069,0.5735915347296769,0.4171926682983178,0.4156362683512945,0.3751379322303202,0.6715808299819,0.580645161,0.6242324551172553,0.4948117537472656,0.523809524,0.3689504642794021,0.3825468155379377,0.39468288973384014,0.4942601179045973,0.3083090379008747,0.4549589863882098,0.5215991225305124,0.5010394602184023,0.3643482668939271,0.5266632021745097,0.722084116876888,0.7297528761614459,0.5629748215448082,0.4035593353992487,0.3640517716872397,0.10477941176470586,0.6619599004192995,0.25178571428571433,0.3212491000191017,0.2919096209912536,0.4541202795998919,0.16666666666666666,0.0,0.3009053903355021,0.534793590499217,0.5752645349424909,0.5008876620236233,0.5360262778564368,0.16666666666666666
3410,0.7678063571740353,0.6834101220740998,0.8546815555225113,0.18069763178976955,0.13644366372511185,0.3859729570750242,0.4009861130258357,0.523809524,0.5444434072984508,0.34503160150419243,0.6031746029999999,0.1973159942283498,0.5926965721142982,0.3034299712925516,0.4877400536350894,0.1267379310344828,0.5227109727321353,0.4453972332711285,0.7905382257505775,0.17143777474826105,0.5967720395079541,0.42078392962287997,0.6243042464828298,0.6672774114706934,0.5670650278897722,0.23689271061447045,0.07843714635441926,0.5822349931447536,0.13918896180380275,0.1750373883690125,0.1809660645867542,0.4653022134742773,0.08637612877895562,0.0,0.19059617459096967,0.476397548050228,0.5628485020758942,0.6896360423091907,0.4952321099139216,0.6666666666666666
3411,0.15368365035998394,0.2614237201736652,0.0,0.2789049178461513,0.6504452057841712,0.3239907925500077,0.6308362100126534,0.317460317,0.4029636933082208,0.6312172975408321,0.112903226,0.7275100107102149,0.37250688887595707,0.4185494637284161,0.4754121467826276,0.20725694444444448,0.5062832186700099,0.4946330008855176,0.4733277200558829,0.4698661563628173,0.5410604538839989,0.5142961454984639,0.3895905497632026,0.24672156458961764,0.5021344460871547,0.21727392417047592,0.04757010331014125,0.6322600794215761,0.2647450076804916,0.23337004683982215,0.25380291005291,0.4437385157688513,0.22700119474313016,0.0,0.2455314601541017,0.7228839862255332,0.5407313120874597,0.5942245472964479,0.9381990210426956,0.16666666666666666
3412,0.617162813530328,0.472790991774214,0.5735915347296769,0.6470260556388969,0.5396116056151573,0.4932774313292789,0.6715808299819,0.571428571,0.4723205653506282,0.4975859901094333,0.5555555560000001,0.34418245682607845,0.29643577468505994,0.4124714828897337,0.502209576663179,0.17297938144329894,0.3854179362531631,0.4764840871128874,0.4629596493279585,0.3037607868748318,0.30224485482949937,0.5579721875301709,0.5691479423328397,0.5475980611821498,0.3461123287549034,0.1826928751919865,0.0624217772215269,0.4986847251804315,0.20667857142857146,0.18642408448103465,0.1734167893961708,0.4463280741960139,0.3191489361702127,1.0,0.16918988422586947,0.5965741011483665,0.4977544948228894,0.4983359352384832,0.5261026005667775,0.3333333333333333
3413,0.17914924301729634,0.5895746215086481,0.1732333150829775,0.4891619197757314,0.6704162992648475,0.7407282089717784,0.0,0.349206349,0.4810041571972381,0.6576789522204647,0.365079365,0.4532361825022128,0.4453238842456478,0.1736814705383739,0.5266068478351862,0.027115384615384618,0.4184178127998462,0.43906420831516624,0.4378151567383694,0.05730344618397337,0.5390085885002844,0.6323056345154904,0.5065518224384882,0.3292608256065024,0.5084671762305137,0.0424546562477597,0.01735200449606594,0.7097908711105829,0.0370825295723385,0.03481264573474046,0.0581043956043956,0.4633760525009079,0.027600849256900217,0.0,0.05567922643394343,0.5154654473846015,0.5651760649828331,0.6804742080586635,0.5355538384893861,0.5
