,weighted_DRPM_h,DRPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,ORPM_adv_h,Net_ORPM_adv_h,weighted_DRPM_a,Winpercent_a,Net_ORPM_adv_a,DRtg_a
0,0.07626700188328095,0.352574901017604,0.3017338782902385,0.0,0.3491330608548807,0.3093856077089505,0.37111719984807295,0.5,0.6077329859704906,0.4860333630011256
1,0.6968639927051612,0.5799565392946692,0.33931907745165657,0.9031308843251512,0.7819059034367473,0.6866279451138766,0.536950914115823,0.5,0.3215184297848125,0.7185745836457624
2,0.7730135027469502,0.6978938078046831,0.5833502409634996,0.7697534499011205,0.5932016044688104,0.6974453958417746,0.377225887137584,0.5,0.4080332925803367,0.6351308818095462
3,0.5354966938513385,0.6536688616309134,0.3893987361837787,0.5961495053452931,0.6033753845807571,0.6825828263537393,0.2281589705895117,0.5,0.4263472312208367,0.6389853690737677
4,0.16580704634335164,0.5171894087075634,0.7267407262642307,0.4036745445194233,0.3384669091275964,0.632385698528338,0.13142822892822492,0.5,0.7796029967277449,0.7015206013670404
5,0.6062331078384953,0.5275132637020188,0.4748909584695115,1.0,0.7625545207652442,0.7288280378797306,0.5512065804344576,0.5,0.434981107940191,0.5439974655415749
6,0.2665609483108363,0.3019570867432576,0.8695277757306414,0.4628560404204245,0.2966641323448915,0.4011135905485255,0.6626467748243211,0.5,0.8025774750073004,0.40385114806620215
7,0.32132312646049044,0.28195044587434204,0.9356774681845941,0.260825658737267,0.16257409527633648,0.2518484127340596,0.7574222347118064,0.5,0.8092432818201037,0.3970018617848754
8,0.6654622320647089,0.685019319061968,0.6200419550796671,0.029407142266234976,0.20468259359328395,0.3615638699339913,0.2954235939407728,0.5,0.4795851220707605,0.7180217755781494
9,0.3250210438633023,0.31407852557907057,0.9031308843251512,0.5722476182192521,0.33455836694705043,0.4398552880946718,0.6968639927051612,0.0,0.7908891074225215,0.708906228675586
10,0.5030072355809599,0.4152715983432825,0.6940320480586207,0.4334231830723596,0.3696955675068694,0.3813308337365489,0.6724640388943951,0.5,0.5970964688113573,0.5978552110548216
11,0.30788246882946585,0.3854657773568215,0.33931907745165657,0.6436278055845939,0.6521543640664687,0.5547901765059787,0.536950914115823,1.0,0.512882043359174,0.6909753291024324
12,0.6626467748243211,0.4221543629905208,0.6900033438105799,0.8695277757306414,0.5897622159600308,0.5311248394337537,0.8183380488432794,0.5,0.5165133529313022,0.6006145883473166
