,weighted_DRPM_h,DRPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,ORPM_adv_h,Net_ORPM_adv_h,weighted_DRPM_a,Winpercent_a,Net_ORPM_adv_a,DRtg_a,Winpercent_h,DRtg_h,FG_a,PIE_h,STL%_h,DREB%_a,3P%_a,TRB%_a,3P_a,PACE_h
669,0.377225887137584,0.5745334582740361,0.3893987361837787,0.5833502409634996,0.5969757523898604,0.6760802967340225,0.2281589705895117,0.3695652170000001,0.5042102443385293,0.7591430616897333,0.477272727,0.7463757221657632,0.5135374608678789,0.57146804835924,0.5009414012274905,0.7095981795117176,0.7025712732527064,0.4144844024480909,0.4971670441604155,0.6473166848023919
670,0.2782935735468212,0.2526400353999355,0.7697534499011205,0.7189989315864845,0.474622740842682,0.4769481616181599,0.7730135027469502,0.682926829,0.7461162037489654,0.5432343973125375,0.6,0.66496113924461,0.4634085475974147,0.3147802725004798,0.4323152821281712,0.02991084812883204,0.3402756673430405,0.476364889245083,0.3370609797414016,0.024705001316728738
671,0.7574222347118064,0.8129970028917908,0.7267407262642307,0.9356774681845941,0.6044683709601817,0.9026641040458916,0.13142822892822492,0.531914894,0.4885515885178193,0.3979844613679,0.608695652,0.5255168258104548,0.39005827950472055,0.33543914825072485,0.4918359058248886,0.04259814612868048,0.7067637942781778,0.5347786855796208,0.6820250532117402,0.02238550304533753
672,0.6724640388943951,0.7533284962755218,0.4036745445194233,0.6940320480586207,0.6451787517695988,0.7629857019747506,0.16580704634335164,0.377777778,0.3662173555266696,0.6724177201571745,0.577777778,0.7096805732632999,0.5495272115679021,0.4204130882248564,0.4597104247440408,0.1080980088613677,0.6387834018345175,0.3919792943332995,0.480563660091382,0.12146779292092755
673,0.5662927154120547,0.5153980107803581,0.5961495053452931,0.5611211415926889,0.482485818123698,0.5135889659199683,0.5354966938513385,0.613636364,0.5162343205533695,0.4587100076889147,0.558139535,0.6224237722418562,0.4608334027012623,0.28299972729751843,0.4826908792056266,0.052101059950406016,0.4946296062587873,0.3516595450943065,0.5380093855604293,0.013692398203652109
674,0.5260959502399271,0.4599314212007159,1.0,0.6359221208660225,0.3179610604330112,0.5167912707703479,0.6062331078384953,0.7173913040000001,0.7411814804938596,0.6627178837952936,0.414634146,0.6157951095988896,0.6458720604737761,0.3046765969385523,0.4768769541372298,0.04690962817040139,0.651612351703109,0.5490259431032156,0.5553673034205393,0.014253099732279374
675,1.0,1.0,0.6850602472451086,0.4365806360639455,0.3757601944094184,0.7137608074158022,0.0,0.318181818,0.3480375446684615,0.7794803203807411,0.642857143,0.5445024047483351,0.1821923450243232,0.3645512561398351,0.490475677432221,0.2035607848702589,0.3720600986498331,0.40679783706466616,0.21245925074884747,0.0983569733608717
676,0.32132312646049044,0.4751029633062087,0.3017338782902385,0.260825658737267,0.4795458902235142,0.4418952989638471,0.37111719984807295,0.255813953,0.4871750091792598,0.7019842367524721,0.409090909,0.6184318882382867,0.4015394086638479,0.35957943217283284,0.4664420174281949,0.06491146076751313,0.49394129665345105,0.3275010307686212,0.4371832303165495,0.05824535273350265
677,0.6654622320647089,0.4842991196797738,0.9031308843251512,0.029407142266234976,0.06313812897054194,0.16407097984280214,0.6968639927051612,0.444444444,0.6234054302168417,0.6198241346856255,0.333333333,0.6393191876658507,0.3885502669242294,0.32452190296749883,0.5003858271599665,0.04544370229007635,0.6085964868462899,0.5260111101062375,0.5496636972441824,0.04227581792593015
678,0.6626467748243211,0.7774501426134105,0.08999648078914524,0.8695277757306414,0.8897656474707479,0.8807079435304075,0.10774648959750016,0.25,0.21168627205780025,0.6938899627865491,0.765957447,0.5425201124700713,0.29218672234316184,0.3128715942335484,0.4879629618386185,0.08979326666511983,0.2357571763683499,0.2806238344662254,0.11533592533368192,0.06617055800213224
679,0.30788246882946585,0.5206607602593147,0.4628560404204245,0.6436278055845939,0.5903858825820847,0.6878114069622238,0.2665609483108363,0.333333333,0.5756436784713412,0.7037442427921969,0.533333333,0.7598998928279515,0.3777744910970341,0.290367194065604,0.498979663830005,0.042700890313969966,0.4984498730586424,0.339615887275086,0.3755863039521654,0.030475894364451174
680,0.2954235939407728,0.3792363399124749,0.33931907745165657,0.6200419550796671,0.6403614388140053,0.5428076369677954,0.536950914115823,0.422222222,0.5190113198760017,0.4960313872308874,0.622222222,0.5393831940774778,0.4757507122907521,0.33311868767635416,0.4011046844189593,0.0981375012078462,0.4924426553838457,0.4158716124542327,0.3863495642374037,0.052022053350492516
681,0.8183380488432794,0.633565734204411,0.4748909584695115,0.6900033438105799,0.6075561926705342,0.5713375463361501,0.5512065804344576,0.659090909,0.3306338177058531,0.4747688378756632,0.7555555559999999,0.5153551185887149,0.5985842623584793,0.3223917464984572,0.5041393237087389,0.026279917350628484,0.4645512469688019,0.4193019137796795,0.3628352644364397,0.048036870910356105
682,0.377225887137584,0.688612943568792,0.6850602472451086,0.5833502409634996,0.44914499685919546,0.7883255382210397,0.0,0.311111111,0.6544179184468406,0.8226114095829156,0.488888889,0.6261174061925691,0.2259247951966065,0.3216813836386193,0.49744398372485704,0.09417190163884068,0.2565403790994797,0.3698988209388609,0.10670691207280593,0.07268068475597149
683,0.2782935735468212,0.37139843984774135,0.5961495053452931,0.7189989315864845,0.5614247131205957,0.5937970915674399,0.5354966938513385,0.622222222,0.6579185731742169,0.4510009553745388,0.586956522,0.7423953425867149,0.42403470639760094,0.2988735216388108,0.4389321538822557,0.06223150804360904,0.4470879299839714,0.3492165061204199,0.4553603943152192,0.014254068229499787
684,0.7574222347118064,0.7454306432004849,0.4628560404204245,0.9356774681845941,0.7364107138820848,0.8361841200211224,0.2665609483108363,0.326086957,0.354487791200696,0.7632658860141037,0.617021277,0.5041315189967824,0.3213751218390679,0.2862071492123306,0.4728100897470697,0.04766226140271943,0.541578609921538,0.282377890681707,0.3443593004652806,0.0056510554319667864
685,0.16580704634335164,0.5447700222300353,0.0,0.4036745445194233,0.7018372722597116,0.659522853093781,0.07626700188328095,0.282608696,0.4103901296890887,0.6712970066593059,0.3695652170000001,0.7560642365645838,0.3308953685595733,0.29752949884617064,0.5205412424927984,0.056019067932516535,0.29245419528202155,0.3861276874565929,0.15233379476969533,0.014067750245241643
