,weighted_DRPM_h,DRPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,ORPM_adv_h,Net_ORPM_adv_h,weighted_DRPM_a,Winpercent_a,Net_ORPM_adv_a,DRtg_a,Winpercent_h,DRtg_h,FG_a,PIE_h,STL%_h,DREB%_a,3P%_a,TRB%_a,3P_a,PACE_h
258,0.5209852083712596,0.5648623605272465,0.35567334447493626,0.5273311259368763,0.5925946034079664,0.5689089545871511,0.39126048731676666,0.368421053,0.4061305112691429,0.743901037082673,0.705882353,0.5111012015204203,0.4235245446249639,0.19320742937909333,0.4895548355179851,0.0913356009070295,0.4705840726939732,0.4274865288943219,0.41327451449934105,0.08125046398203171
259,0.4927310143358466,0.6343624859300179,0.566206273069191,0.37620324704512986,0.3975097156028884,0.5730614469584631,0.22400604247581096,0.352941176,0.5304916796209244,0.6046541192987053,0.4,0.7713846329605172,0.4406416504992125,0.17918227479697685,0.48831300539390005,0.05923958333333334,0.3648379025707544,0.5547586757695606,0.3350870128495944,0.16728533834293222
260,0.7496384929082869,0.8714363698512634,0.8969937831226978,1.0,0.5555629911972474,1.0,0.0067657532057600065,0.7777777779999999,0.5756641121865917,0.3689038127510866,0.705882353,0.2861560270801596,0.5037774894097571,0.339571792560072,0.4681589715089042,0.3008738340697104,0.4648790352291425,0.4054215435022409,0.5055011880309378,0.3856000632580725
261,0.3023251321656263,0.4395663622778773,0.43824003361527497,0.07306811010558706,0.3030211672017862,0.3197837023295333,0.4231924076098717,0.529411765,0.5583976626301675,0.5953547623411348,0.444444444,0.4478079388368624,0.7435008233987088,0.2113742307240013,0.4788343418475791,0.06491875,0.5871253744650757,0.4818595448167222,0.6200573418774024,0.07240299936575299
262,0.3051512946403281,0.4516715962615088,0.3895003835908779,0.3309312157944148,0.4684069733520902,0.4627941883407439,0.40180810211731055,0.333333333,0.5314594561733015,0.6015267125090782,0.117647059,0.6120881866924993,0.6667762655555374,0.2841742061453087,0.5244410197882843,0.09527027027027027,0.3245347986641517,0.490242510086081,0.37888398426470826,0.13989205788947184
263,0.3006582345536798,0.29856883922572697,0.5758061673689231,0.22832245169020424,0.31256243340689205,0.2624266924244727,0.7035205561022259,0.7222222220000001,0.6312839266430066,0.36948744235027065,0.0,0.577200515626266,0.4026757695987661,0.33077869121472864,0.4854513876179955,0.11545802650957293,0.5030884327213144,0.3786755375715049,0.4368140480500234,0.3308185785444554
264,0.3139693251912037,0.3163863837839265,0.09127618840988566,0.1257052560421889,0.5185715196594569,0.22060202543099253,0.6811965576233507,0.27777777800000003,0.3708573666909511,0.5864787291137754,0.529411765,0.2329447092237215,0.6206951680362438,0.6451044722071335,0.5028861542434735,0.20387648809523806,0.7649878631784639,0.4893284518538626,0.637233562799562,0.365928559883627
265,0.7833396092997764,0.7861797555262198,0.5915879204161867,0.9257907080883488,0.6802736486443632,0.8619351269644775,0.2109800982473368,0.222222222,0.3988941181973301,0.5262098208293264,0.7777777779999999,0.32216476386586435,0.513898735777794,0.32603180327440434,0.4650044237211414,0.06493955094991365,0.5342762038162565,0.44795460090238504,0.6042901542479124,0.21568861799541691
266,0.2754916392130933,0.4971937927303604,0.5019071506968406,0.15208491355213374,0.31130100228585555,0.4299222388843239,0.2811040537523727,0.4,0.6051242774169617,0.6050753581409823,0.5,0.3557422928720485,0.3956487560047915,0.251060745038088,0.5078217156549871,0.254,0.38269904394927867,0.4663128362947792,0.4232923322401759,0.2894140635197291
267,0.14115337480907286,0.3614380614335544,0.16948043450679767,0.3662887459984497,0.6061611503699967,0.4729105911450875,0.4182772519419642,0.5625,0.4979824936915977,0.610315538274575,0.375,0.520308167284949,0.4101423331078504,0.28156566936795063,0.4968653522937755,0.13891625615763548,0.5179651359259081,0.40150716841226936,0.54092854083019,0.2115591461286981
268,0.6325257487565376,0.5329256452388578,0.3361305227808391,0.6220665371545818,0.6542378773948071,0.5317771145592316,0.5666744582788219,0.588235294,0.34028219567497203,0.5200559961663317,0.7222222220000001,0.3041094054169804,0.4590590398076524,0.4131609632446133,0.4493199554838616,0.3030753968253968,0.3321873866333301,0.4211989478644107,0.3548617107998373,0.3880360194526136
269,0.0930220974786326,0.3349148449343805,0.43824003361527497,0.2977127283892232,0.4241976100088329,0.43525605813647295,0.4231924076098717,0.5555555560000001,0.6627523104334314,0.5287730907970686,0.352941176,0.5505047434201404,0.7523052633328888,0.20957119838336566,0.495442698356933,0.055492005921539606,0.6232241334010298,0.4940327699452969,0.7127399990423927,0.07217796456302415
270,0.5231219655356102,0.33694645939833623,0.5633141026593645,0.6452387788193806,0.5441913138673803,0.4054375820905727,0.8492290467389377,0.7777777779999999,0.5138244320667842,0.3080361436517247,0.6,0.20458521962368006,0.3067259198659698,0.3095470242719107,0.4667806563922806,0.3045408163265307,0.3781653917011839,0.4549827595891045,0.3712609580870175,0.285937156936182
271,0.5209852083712596,0.6550025550619614,0.5915879204161867,0.5273311259368763,0.4653389881285507,0.6571179940350529,0.2109800982473368,0.210526316,0.5296992025549193,0.5287406597806024,0.7222222220000001,0.38832086041330816,0.5022130570516243,0.2830266159695816,0.4944646597477928,0.2888541666666667,0.6014652227939867,0.4646550040418141,0.5788562694287879,0.2695892781051177
272,0.7496384929082869,0.6284537392862202,0.37620324704512986,1.0,0.8364846758190221,0.762223006558828,0.4927310143358466,0.4375,0.3028814546489379,0.8164089883602095,0.7222222220000001,0.027646040505157177,0.5288662063559526,0.16598464503359542,0.6034142951114592,0.08255086505190311,0.4626807086352197,0.21559614454462628,0.4098338298652915,0.08378550936654425
273,0.22400604247581096,0.4028643952669234,0.16948043450679767,0.566206273069191,0.7139994550233806,0.5756726692858115,0.4182772519419642,0.529411765,0.4566736757527979,0.5562913074811804,0.333333333,0.4812271076378062,0.5087955955971272,0.30612580119500266,0.4861845171961982,0.0974246231155779,0.5540454313207478,0.4644169049200272,0.6393596433957918,0.16133535124968776
274,0.8625246031768652,0.6479250724490216,0.3361305227808391,0.8422182716541164,0.7729907959747322,0.6449400276611519,0.5666744582788219,0.5555555560000001,0.22560899237392634,0.565145812194053,0.8235294120000001,0.17760381272987938,0.4476343959386875,0.8514108998732569,0.4765570488356837,0.05434375000000001,0.3219874354567908,0.4641426426795988,0.3781468689352956,0.6247749499967649
