,weighted_DRPM_h,DRPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,ORPM_adv_h,Net_ORPM_adv_h,weighted_DRPM_a,Winpercent_a,Net_ORPM_adv_a,DRtg_a,Winpercent_h,DRtg_h,FG_a,PIE_h,STL%_h,DREB%_a,3P%_a,TRB%_a,3P_a,PACE_h,3P%_h,PF_h,FG%_h,+/-_a,FGA_a,DEFRTG_a,AST/TO_h,USG%_h,DREB%_h,PACE_a,EFG%_a,ORB%_h,TO RATIO_h,btb_a,TS%_a_y,Def_Adv_h,BLK%_h,PF_a,BLK%_a,Previous_Win_h
1156,0.13142822892822492,0.232982998431758,0.029407142266234976,0.7267407262642307,0.8486667919989979,0.5337922936174272,0.6654622320647089,0.298701299,0.44224314062417536,0.7510466878506763,0.558441558,0.4584117781837817,0.4908181395643764,0.31255965977677497,0.4997448277975848,0.0664991600106104,0.4327082041880269,0.4117258679090178,0.44556864727930623,0.03759664703025202,0.6076539883307628,0.5526199705065907,0.5620847873647379,0.290259205652893,0.5225508330326605,0.05010111947234373,0.013720624726317323,0.3622635493062633,0.04954004347205517,0.05584840029279567,0.04839980228645195,0.4796114282229557,0.02618045815801777,0.0,0.04898527847775755,0.4905343725582284,0.4099469112986621,0.5841864121076619,0.4625114059024675,0.6666666666666666
1157,0.6724640388943951,0.7980985185055571,0.0,0.6940320480586207,0.8470160240293103,0.8070358828079248,0.07626700188328095,0.315789474,0.16113481295515164,0.7240927951831313,0.623376623,0.6460516157567844,0.32006484336795943,0.3101493447119781,0.4806259354420837,0.04597229379126872,0.4256674712751067,0.4078948412178263,0.3226697591208557,0.02106628577199637,0.36947396714746494,0.4931212075182624,0.4453947744614835,0.5173160628857021,0.2909535682909681,0.04045259608427418,0.01055529677934522,0.3717973411580364,0.025226177447937655,0.04056251119007343,0.028853272252137106,0.3125000680759749,0.017623081841432228,0.0,0.03029338132641876,0.4834234956912653,0.3711969261560106,0.3485261687069505,0.4375138114357656,0.8333333333333333
1158,0.6968639927051612,0.7151515221971625,0.4628560404204245,0.9031308843251512,0.7201374219523633,0.8196491755701216,0.2665609483108363,0.350649351,0.3842800648969799,0.6588348913992669,0.519480519,0.3827198253493879,0.296971650631125,0.3519700062328419,0.9627380482914908,0.08311002207622951,0.20624168877818644,0.5227147077403408,0.12823082389198087,0.0985390161099768,0.429579300424369,0.4010770513475867,0.29536225070048217,0.4830676464451424,0.3302998236711045,0.035428611041676335,0.03623293818480984,0.56988242619866,0.11333617667078935,0.0562909522096019,0.05813015932248655,0.3521319213201071,0.11151036052221824,0.0,0.05623143919593697,0.5366300167196028,0.4161662145445745,0.41437608318488506,0.331902880318944,0.5
1159,0.5512065804344576,0.7217300454184787,0.08999648078914524,0.4748909584695115,0.6924472388401831,0.6802169218025068,0.10774648959750016,0.233766234,0.266510465462648,0.7482881763857019,0.675324675,0.5189135006657732,0.31381942583494304,0.625822142328434,0.493417142681685,0.9376277944383864,0.5369427406638794,0.42436861653846425,0.23905505908477304,0.2599519855260913,0.2529648382325568,0.2511339886893364,0.4531475497772469,0.2539059705991565,0.34888109299690684,0.8847098190869302,0.0976544463939422,0.22594269120084065,0.3191206918469009,1.0,0.9015382084395824,0.4902930185258344,0.13043478260869568,0.0,0.9302902173752072,0.0,0.4783637556611542,0.3633009610929056,0.28913939853221715,0.0
1160,0.7730135027469502,0.6033603936674478,0.5611211415926889,0.7697534499011205,0.6043161541542158,0.6044319511281179,0.5662927154120547,0.486842105,0.3967400359706883,0.6108891871883064,0.7894736840000001,0.3900304064092944,0.39978380618255904,0.29869681268645004,0.543387431837137,0.018256348340863062,0.44026536393321797,0.4315257792377592,0.4757317753479822,0.023672348238891423,0.5458454196636191,0.7600278906737334,0.52503969062803,0.5201439478434027,0.4520170366942728,0.018703123467005617,0.0019140271493212672,0.4297395577599067,0.04241310188812357,0.015240863759323271,0.0,0.5099856321621269,0.038735177865612654,0.0,0.010776322282642706,0.5018889355484034,0.5634758995500029,0.4980030662394081,0.5614214516680984,0.5
1161,1.0,0.8144414000759634,0.3017338782902385,0.4365806360639455,0.5674233788868535,0.5311857387726431,0.37111719984807295,0.376623377,0.1532926754482276,0.5737674214711279,0.657894737,0.41832457702374704,0.3251107437578252,0.3541897445059854,0.4801093586813746,0.07617079162154312,0.5302205098065677,0.4070354077928669,0.4633779051940588,0.08120118801027075,0.4649422906391045,0.31911866295165603,0.09602449619183452,0.5927325775555404,0.3343965121310606,0.04546990101821565,0.011616164768294584,0.2767829787544692,0.07775701180293877,0.06437504347993611,0.04763817182709229,0.4147576766544471,0.08815592203898052,0.0,0.048408911032557865,0.5041250798801574,0.3725233839632491,0.4437928620963686,0.560533354740021,0.5
1162,0.30788246882946585,0.2447722099930932,0.6900033438105799,0.6436278055845939,0.476812230887007,0.416358771388677,0.8183380488432794,0.727272727,0.6910434408541178,0.5525719895796459,0.5256410260000001,0.5445285523127125,0.3361641391057656,0.31743463282628176,0.5022929073813261,0.05222093559230572,0.4613790217536013,0.4582343866193321,0.2844531943254709,0.05551762019311285,0.5821338654002665,0.6348334931368896,0.827371378520702,0.6565337717821105,0.2038824143570356,0.024668779860431558,0.030357554786620524,0.40899435956685537,0.04888901789070826,0.02785910546258517,0.037508500139592144,0.5284547489736832,0.03544395360252138,0.0,0.0406972448347932,0.5352569903602521,0.4112092300687632,0.5099520827541928,0.4950230171137048,0.6666666666666666
1163,0.377225887137584,0.5494661567953815,0.7189989315864845,0.5833502409634996,0.4321756546885076,0.6514160435545,0.2782935735468212,0.5844155839999999,0.6716601046851325,0.5358367476701362,0.519480519,0.6343062731329029,0.5132495620817688,0.3002302820955671,0.4880227593698337,0.0498009239986822,0.4983010258222088,0.4704494748356349,0.4325137837213113,0.02042472913902625,0.3136137430976806,0.7348408477439627,0.6366454788151433,0.5409671037469219,0.5040094023427056,0.02587020227943369,0.013291855203619907,0.38180680305211934,0.03296986628311312,0.024075141866677488,0.036218311337415626,0.44771726818495816,0.044384057971014496,1.0,0.03566862382001032,0.5060575289205231,0.4459621901365295,0.6341441024899339,0.4724700572970039,0.0
1164,0.07626700188328095,0.4552299777699647,0.4036745445194233,0.0,0.2981627277402884,0.4103901296890887,0.16580704634335164,0.333333333,0.659522853093781,0.5713749854593811,0.311688312,0.6623251087494915,0.5848966106439796,0.2902947707580442,0.4705146158731202,0.04455044082583222,0.6406746703683727,0.4899643899423021,0.4989629616454987,0.02048836602337479,0.3425089078883298,0.4859466457831015,0.5262425778507409,0.549877319967138,0.5977925899334898,0.03524024229880264,0.0064337047036008965,0.36929180050488253,0.018532369564502174,0.025228120655775885,0.031865577898204704,0.5253494941730613,0.03580562659846548,0.0,0.031130579297219057,0.4948861887584558,0.4425737614704919,0.6138695386359252,0.3907469470658334,0.3333333333333333
1165,0.536950914115823,0.4357443410255569,0.029407142266234976,0.33931907745165657,0.6549559675927108,0.33696686118813657,0.6654622320647089,0.294871795,0.24274192614316106,0.7087465807417023,0.493506494,0.6225685885960442,0.5298714566536833,0.30577795035452393,0.4809251137160804,0.06989449228780549,0.5833911835160408,0.4263637691939904,0.5010738130725303,0.018196689784410643,0.4912521265131871,0.6113713029682829,0.5438126506666555,0.33109150000846604,0.5372953179336311,0.0479062136502566,0.05378999014485995,0.5278571538245163,0.02665232495616497,0.06632318895470611,0.07651130859934667,0.512369392518123,0.0,1.0,0.07271882302365759,0.48953081892973704,0.4816328570728894,0.6495632203183964,0.4379370603468055,0.8333333333333333
