,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
0,".S. Jackson, .C. Maggette, .A. Biedrins, .K. Azubuike, .A. Morrow ",1,12.6,20.0,6.0,18.0,33.3,2.0,4.0,50.0,6.0,6.0,100,3.0,7.0,10.0,4.0,4.0,0.0,2.0,1.0,5.0,9.0,-5.0,GSW,Nov 18 2008
1,".S. Jackson, .C. Maggette, .A. Biedrins, .K. Azubuike, .C. Watson ",1,8.3,16.0,3.0,11.0,27.3,0.0,2.0,0.0,10.0,10.0,100,3.0,4.0,7.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,-4.0,GSW,Nov 18 2008
2,".S. Jackson, .C. Maggette, .A. Biedrins, .C. Watson, .A. Morrow ",1,5.4,15.0,7.0,12.0,58.3,0.0,2.0,0.0,1.0,2.0,50.0,2.0,4.0,6.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,8.0,GSW,Nov 18 2008
3,".S. Jackson, .C. Maggette, .R. Turiaf, .C. Watson, .A. Morrow ",1,4.4,12.0,4.0,6.0,66.7,2.0,3.0,66.7,2.0,2.0,100,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,-1.0,GSW,Nov 18 2008
4,".S. Jackson, .K. Azubuike, .B. Wright, .C. Watson, .A. Morrow ",1,3.6,8.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,-1.0,GSW,Nov 18 2008
5,".C. Maggette, .A. Biedrins, .K. Azubuike, .C. Watson, .A. Morrow ",1,2.8,9.0,4.0,6.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,GSW,Nov 18 2008
6,".C. Maggette, .R. Turiaf, .K. Azubuike, .C. Watson, .A. Morrow ",1,2.8,8.0,3.0,5.0,60.0,1.0,2.0,50.0,1.0,1.0,100,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,GSW,Nov 18 2008
7,".S. Jackson, .A. Biedrins, .B. Wright, .M. Belinelli, .C. Watson ",1,1.5,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,-3.0,GSW,Nov 18 2008
8,".S. Jackson, .C. Maggette, .R. Turiaf, .K. Azubuike, .C. Watson ",1,1.3,3.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,100,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,GSW,Nov 18 2008
9,".S. Jackson, .R. Turiaf, .B. Wright, .C. Watson, .A. Morrow ",1,1.3,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,GSW,Nov 18 2008
10,".S. Jackson, .A. Biedrins, .K. Azubuike, .C. Watson, .A. Morrow ",1,1.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,GSW,Nov 18 2008
11,".S. Jackson, .A. Biedrins, .K. Azubuike, .M. Belinelli, .C. Watson ",1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,GSW,Nov 18 2008
12,".S. Jackson, .A. Biedrins, .B. Wright, .C. Watson, .A. Morrow ",1,0.9,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,GSW,Nov 18 2008
13,".R. Turiaf, .K. Azubuike, .B. Wright, .C. Watson, .A. Morrow ",1,0.7,3.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,GSW,Nov 18 2008
14,".S. Jackson, .C. Maggette, .K. Azubuike, .C. Watson, .A. Morrow ",1,0.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,GSW,Nov 18 2008
15,".K. Azubuike, .B. Wright, .M. Belinelli, .C. Watson, .A. Morrow ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GSW,Nov 18 2008
0,".S. Jackson, .A. Biedrins, .M. Ellis, .K. Azubuike, .A. Morrow ",1,14.0,29.0,11.0,27.0,40.7,2.0,6.0,33.3,5.0,8.0,62.5,3.0,12.0,15.0,2.0,3.0,1.0,6.0,1.0,5.0,7.0,4.0,GSW,Jan 23 2009
1,".S. Jackson, .C. Maggette, .A. Biedrins, .M. Ellis, .K. Azubuike ",1,10.3,12.0,2.0,14.0,14.3,0.0,1.0,0.0,8.0,10.0,80.0,2.0,5.0,7.0,2.0,6.0,2.0,2.0,2.0,2.0,6.0,-8.0,GSW,Jan 23 2009
