Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Feb 1 2007,8:00p,Cleveland Cavaliers,89,Miami Heat,92,Box Score,,20125,
Thu Feb 1 2007,10:30p,San Antonio Spurs,87,Phoenix Suns,103,Box Score,,18422,
Fri Feb 2 2007,7:00p,Los Angeles Lakers,84,Indiana Pacers,95,Box Score,,17662,
Fri Feb 2 2007,7:00p,Golden State Warriors,102,Philadelphia 76ers,101,Box Score,,12768,
Fri Feb 2 2007,7:30p,Toronto Raptors,103,Atlanta Hawks,91,Box Score,,13200,
Fri Feb 2 2007,7:30p,Los Angeles Clippers,100,Boston Celtics,89,Box Score,,15740,
Fri Feb 2 2007,7:30p,Charlotte Bobcats,81,Cleveland Cavaliers,101,Box Score,,20562,
Fri Feb 2 2007,8:00p,Milwaukee Bucks,86,Detroit Pistons,96,Box Score,,22076,
Fri Feb 2 2007,8:00p,Minnesota Timberwolves,83,New Orleans/Oklahoma City Hornets,90,Box Score,,18032,
Fri Feb 2 2007,8:00p,New Jersey Nets,86,Orlando Magic,119,Box Score,,17451,
Fri Feb 2 2007,9:00p,Portland Trail Blazers,107,Denver Nuggets,114,Box Score,OT,19290,
Fri Feb 2 2007,10:30p,Chicago Bulls,107,Seattle SuperSonics,101,Box Score,,16291,
Sat Feb 3 2007,7:00p,Golden State Warriors,90,Charlotte Bobcats,98,Box Score,,15171,
Sat Feb 3 2007,7:00p,New York Knicks,94,Orlando Magic,86,Box Score,,17451,
Sat Feb 3 2007,7:00p,Los Angeles Lakers,118,Washington Wizards,102,Box Score,,20173,
Sat Feb 3 2007,8:00p,Indiana Pacers,116,Memphis Grizzlies,110,Box Score,,16163,
Sat Feb 3 2007,8:30p,Minnesota Timberwolves,93,Dallas Mavericks,94,Box Score,,20467,
Sat Feb 3 2007,8:30p,New Orleans/Oklahoma City Hornets,87,Houston Rockets,74,Box Score,,18081,
Sat Feb 3 2007,8:30p,Miami Heat,117,Milwaukee Bucks,98,Box Score,,17836,
Sat Feb 3 2007,9:00p,Utah Jazz,108,Phoenix Suns,105,Box Score,,18422,
Sat Feb 3 2007,10:00p,Chicago Bulls,88,Portland Trail Blazers,86,Box Score,,19980,
Sat Feb 3 2007,10:00p,Denver Nuggets,87,Sacramento Kings,94,Box Score,,17317,
Sun Feb 4 2007,12:00p,Atlanta Hawks,101,New Jersey Nets,99,Box Score,OT,14824,
Sun Feb 4 2007,12:00p,Los Angeles Clippers,110,Toronto Raptors,122,Box Score,,17214,
Sun Feb 4 2007,2:30p,Detroit Pistons,90,Cleveland Cavaliers,78,Box Score,,20140,
Mon Feb 5 2007,7:00p,Los Angeles Lakers,90,Atlanta Hawks,83,Box Score,,19600,
Mon Feb 5 2007,7:00p,Golden State Warriors,113,Indiana Pacers,98,Box Score,,12736,
Mon Feb 5 2007,7:00p,New Jersey Nets,98,Philadelphia 76ers,100,Box Score,OT,12251,
Mon Feb 5 2007,7:00p,Seattle SuperSonics,108,Washington Wizards,118,Box Score,,15332,
Mon Feb 5 2007,7:30p,Charlotte Bobcats,93,Miami Heat,113,Box Score,,19600,
Mon Feb 5 2007,8:30p,Minnesota Timberwolves,77,Houston Rockets,105,Box Score,,10761,
Mon Feb 5 2007,9:00p,Phoenix Suns,113,Denver Nuggets,108,Box Score,,19155,
Mon Feb 5 2007,9:00p,Chicago Bulls,95,Utah Jazz,100,Box Score,,19911,
Mon Feb 5 2007,10:00p,New Orleans/Oklahoma City Hornets,99,Sacramento Kings,105,Box Score,,17317,
Tue Feb 6 2007,7:30p,Boston Celtics,102,Detroit Pistons,109,Box Score,,22076,
Tue Feb 6 2007,7:30p,Los Angeles Clippers,90,New York Knicks,102,Box Score,,18539,
Tue Feb 6 2007,8:00p,Houston Rockets,98,Memphis Grizzlies,90,Box Score,,12496,
Tue Feb 6 2007,8:00p,Orlando Magic,111,Milwaukee Bucks,116,Box Score,,13579,
Tue Feb 6 2007,10:00p,Phoenix Suns,109,Portland Trail Blazers,102,Box Score,OT,17171,
Wed Feb 7 2007,7:00p,New Jersey Nets,87,Atlanta Hawks,85,Box Score,,14109,
Wed Feb 7 2007,7:00p,Los Angeles Clippers,77,Cleveland Cavaliers,94,Box Score,,20129,
Wed Feb 7 2007,7:00p,Seattle SuperSonics,103,Indiana Pacers,102,Box Score,,12923,
Wed Feb 7 2007,7:00p,Charlotte Bobcats,83,Philadelphia 76ers,92,Box Score,,11027,
Wed Feb 7 2007,7:00p,Orlando Magic,103,Toronto Raptors,113,Box Score,,15157,
Wed Feb 7 2007,7:00p,San Antonio Spurs,110,Washington Wizards,83,Box Score,,20173,
Wed Feb 7 2007,7:30p,Miami Heat,91,Boston Celtics,79,Box Score,,17088,
Wed Feb 7 2007,8:00p,Golden State Warriors,93,Minnesota Timberwolves,121,Box Score,,13212,
Wed Feb 7 2007,8:30p,Memphis Grizzlies,97,Dallas Mavericks,113,Box Score,,20263,
Wed Feb 7 2007,9:00p,New Orleans/Oklahoma City Hornets,114,Denver Nuggets,112,Box Score,OT,15298,
Thu Feb 8 2007,8:00p,Los Angeles Lakers,78,Detroit Pistons,93,Box Score,,22076,
Thu Feb 8 2007,8:00p,Milwaukee Bucks,101,New Orleans/Oklahoma City Hornets,109,Box Score,2OT,17364,
Thu Feb 8 2007,10:30p,Chicago Bulls,77,Sacramento Kings,86,Box Score,,17317,
Fri Feb 9 2007,7:00p,Portland Trail Blazers,108,Charlotte Bobcats,100,Box Score,OT,15013,
Fri Feb 9 2007,7:00p,Denver Nuggets,102,Indiana Pacers,95,Box Score,,17435,
Fri Feb 9 2007,7:00p,San Antonio Spurs,104,Orlando Magic,106,Box Score,,17451,
Fri Feb 9 2007,7:00p,Los Angeles Clippers,90,Philadelphia 76ers,89,Box Score,,13696,
Fri Feb 9 2007,7:00p,Los Angeles Lakers,92,Toronto Raptors,96,Box Score,,20012,
Fri Feb 9 2007,7:30p,New Jersey Nets,92,Boston Celtics,78,Box Score,,17829,
Fri Feb 9 2007,8:00p,Miami Heat,79,Cleveland Cavaliers,103,Box Score,,20562,
Fri Feb 9 2007,8:00p,Minnesota Timberwolves,97,Memphis Grizzlies,105,Box Score,OT,15963,
