,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
0,".H. Turkoglu, .J. Richardson, .D. Howard, .J. Nelson, .B. Bass ",1,13.0,28.0,12.0,21.0,57.1,3.0,3.0,100,1.0,3.0,33.3,2.0,10.0,12.0,8.0,3.0,0.0,3.0,1.0,5.0,5.0,10.0,ORL,Feb 25 2011
1,".H. Turkoglu, .J. Richardson, .D. Howard, .J. Nelson, .J. Redick ",1,8.7,31.0,11.0,14.0,78.6,4.0,6.0,66.7,5.0,5.0,100,1.0,11.0,12.0,9.0,1.0,1.0,1.0,0.0,4.0,4.0,20.0,ORL,Feb 25 2011
2,".H. Turkoglu, .G. Arenas, .D. Howard, .J. Redick, .E. Clark ",1,5.4,10.0,4.0,11.0,36.4,1.0,3.0,33.3,1.0,2.0,50.0,3.0,4.0,7.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,ORL,Feb 25 2011
3,".J. Richardson, .G. Arenas, .D. Howard, .J. Redick, .E. Clark ",1,4.8,6.0,3.0,12.0,25.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-9.0,ORL,Feb 25 2011
4,".J. Richardson, .D. Howard, .J. Nelson, .J. Redick, .E. Clark ",1,3.7,7.0,3.0,7.0,42.9,0.0,2.0,0.0,1.0,1.0,100,2.0,3.0,5.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,-2.0,ORL,Feb 25 2011
5,".H. Turkoglu, .G. Arenas, .J. Redick, .R. Anderson, .E. Clark ",1,3.5,9.0,2.0,4.0,50.0,0.0,2.0,0.0,5.0,6.0,83.3,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,ORL,Feb 25 2011
6,".H. Turkoglu, .J. Richardson, .D. Howard, .J. Nelson, .E. Clark ",1,2.8,8.0,3.0,5.0,60.0,2.0,2.0,100,0.0,2.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,ORL,Feb 25 2011
7,".H. Turkoglu, .J. Richardson, .J. Nelson, .J. Redick, .E. Clark ",1,1.7,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,ORL,Feb 25 2011
8,".H. Turkoglu, .J. Richardson, .G. Arenas, .D. Howard, .J. Redick ",1,1.5,4.0,1.0,1.0,100,0.0,0.0,0.0,2.0,2.0,100,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,ORL,Feb 25 2011
9,".Q. Richardson, .J. Richardson, .G. Arenas, .D. Howard, .J. Redick ",1,1.5,4.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,ORL,Feb 25 2011
10,".Q. Richardson, .J. Richardson, .D. Howard, .J. Nelson, .J. Redick ",1,0.9,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,ORL,Feb 25 2011
11,".H. Turkoglu, .J. Richardson, .G. Arenas, .J. Redick, .R. Anderson ",1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,ORL,Feb 25 2011
12,".H. Turkoglu, .D. Howard, .J. Nelson, .J. Redick, .E. Clark ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORL,Feb 25 2011
13,".J. Richardson, .D. Howard, .J. Nelson, .B. Bass, .E. Clark ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORL,Feb 25 2011
0,".D. Milicic, .L. Ridnour, .M. Beasley, .K. Love, .W. Johnson ",1,16.7,32.0,12.0,33.0,36.4,2.0,9.0,22.2,6.0,7.0,85.7,9.0,12.0,21.0,7.0,6.0,2.0,2.0,5.0,2.0,7.0,-7.0,MIN,Feb 25 2011
1,".L. Ridnour, .A. Tolliver, .M. Beasley, .K. Love, .W. Johnson ",1,6.2,12.0,5.0,8.0,62.5,1.0,1.0,100,1.0,2.0,50.0,1.0,5.0,6.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,MIN,Feb 25 2011
2,".A. Tolliver, .N. Pekovic, .J. Flynn, .W. Johnson, .L. Hayward ",1,5.6,8.0,4.0,11.0,36.4,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,MIN,Feb 25 2011
3,".L. Ridnour, .M. Beasley, .K. Love, .N. Pekovic, .W. Johnson ",1,3.4,4.0,1.0,4.0,25.0,0.0,0.0,0.0,2.0,2.0,100,0.0,5.0,5.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,MIN,Feb 25 2011
4,".A. Tolliver, .K. Love, .J. Flynn, .W. Johnson, .L. Hayward ",1,3.3,5.0,2.0,5.0,40.0,0.0,2.0,0.0,1.0,1.0,100,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,MIN,Feb 25 2011
5,".D. Milicic, .L. Ridnour, .A. Tolliver, .M. Beasley, .W. Johnson ",1,2.4,4.0,1.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,100,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,MIN,Feb 25 2011
6,".L. Ridnour, .A. Tolliver, .A. Randolph, .N. Pekovic, .L. Hayward ",1,2.4,3.0,1.0,3.0,33.3,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,-4.0,MIN,Feb 25 2011
7,".A. Tolliver, .A. Randolph, .J. Flynn, .W. Johnson, .L. Hayward ",1,1.8,4.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,MIN,Feb 25 2011
8,".D. Milicic, .A. Tolliver, .J. Flynn, .W. Johnson, .L. Hayward ",1,1.3,2.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,MIN,Feb 25 2011
9,".D. Milicic, .M. Beasley, .K. Love, .J. Flynn, .L. Hayward ",1,1.3,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-3.0,MIN,Feb 25 2011
10,".D. Milicic, .A. Tolliver, .M. Beasley, .J. Flynn, .W. Johnson ",1,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,-4.0,MIN,Feb 25 2011
11,".L. Ridnour, .A. Tolliver, .K. Love, .N. Pekovic, .L. Hayward ",1,1.1,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,MIN,Feb 25 2011
12,".K. Love, .N. Pekovic, .J. Flynn, .W. Johnson, .L. Hayward ",1,1.0,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,MIN,Feb 25 2011
13,".L. Ridnour, .K. Love, .N. Pekovic, .W. Johnson, .L. Hayward ",1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,MIN,Feb 25 2011
14,".L. Ridnour, .A. Tolliver, .K. Love, .A. Randolph, .L. Hayward ",1,0.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Feb 25 2011
15,".A. Tolliver, .M. Beasley, .J. Flynn, .W. Johnson, .L. Hayward ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Feb 25 2011
16,".D. Milicic, .K. Love, .J. Flynn, .W. Johnson, .L. Hayward ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Feb 25 2011
17,".D. Milicic, .M. Beasley, .K. Love, .J. Flynn, .W. Johnson ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Feb 25 2011
18,".L. Ridnour, .A. Tolliver, .M. Beasley, .W. Johnson, .L. Hayward ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Feb 25 2011
0,".A. Miller, .J. Przybilla, .L. Aldridge, .N. Batum, .W. Matthews ",2,12.4,19.5,8.0,19.5,41.0,1.0,2.5,40.0,2.5,2.5,100,0.5,6.0,6.5,4.0,4.0,2.0,0.0,1.0,4.5,3.5,-7.0,POR,Feb 1 2011
