Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Nov 1 2010,8:00p,Portland Trail Blazers,98,Chicago Bulls,110,Box Score,,21057,
Mon Nov 1 2010,10:00p,Toronto Raptors,108,Sacramento Kings,111,Box Score,,17317,
Mon Nov 1 2010,10:30p,San Antonio Spurs,97,Los Angeles Clippers,88,Box Score,,14964,
Tue Nov 2 2010,7:00p,Atlanta Hawks,100,Cleveland Cavaliers,88,Box Score,,20562,
Tue Nov 2 2010,7:00p,Philadelphia 76ers,115,Washington Wizards,116,Box Score,OT,17803,
Tue Nov 2 2010,7:30p,Boston Celtics,109,Detroit Pistons,86,Box Score,,15313,
Tue Nov 2 2010,7:30p,Minnesota Timberwolves,97,Miami Heat,129,Box Score,,19600,
Tue Nov 2 2010,8:00p,Portland Trail Blazers,90,Milwaukee Bucks,76,Box Score,,13087,
Tue Nov 2 2010,10:30p,Memphis Grizzlies,105,Los Angeles Lakers,124,Box Score,,18997,
Wed Nov 3 2010,7:00p,Detroit Pistons,85,Atlanta Hawks,94,Box Score,,13003,
Wed Nov 3 2010,7:00p,Charlotte Bobcats,85,New Jersey Nets,83,Box Score,,11778,
Wed Nov 3 2010,7:00p,Minnesota Timberwolves,86,Orlando Magic,128,Box Score,,18846,
Wed Nov 3 2010,7:00p,Indiana Pacers,75,Philadelphia 76ers,101,Box Score,,12277,
Wed Nov 3 2010,8:00p,Milwaukee Bucks,102,Boston Celtics,105,Box Score,OT,18624,
Wed Nov 3 2010,8:30p,New Orleans Hornets,107,Houston Rockets,99,Box Score,,13484,
Wed Nov 3 2010,9:00p,Dallas Mavericks,102,Denver Nuggets,101,Box Score,,14159,
Wed Nov 3 2010,9:00p,Toronto Raptors,108,Utah Jazz,125,Box Score,,17802,
Wed Nov 3 2010,10:00p,San Antonio Spurs,112,Phoenix Suns,110,Box Score,,17060,
Wed Nov 3 2010,10:30p,Memphis Grizzlies,109,Golden State Warriors,115,Box Score,,16607,
Wed Nov 3 2010,10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,107,Box Score,,18414,
Wed Nov 3 2010,10:30p,Los Angeles Lakers,112,Sacramento Kings,100,Box Score,,16113,
Thu Nov 4 2010,8:00p,New York Knicks,120,Chicago Bulls,112,Box Score,,21203,
Thu Nov 4 2010,10:30p,Oklahoma City Thunder,107,Portland Trail Blazers,106,Box Score,OT,20611,
Fri Nov 5 2010,7:00p,Milwaukee Bucks,94,Indiana Pacers,90,Box Score,,14115,
Fri Nov 5 2010,7:00p,New Jersey Nets,90,Orlando Magic,105,Box Score,,18846,
Fri Nov 5 2010,7:00p,Cleveland Cavaliers,123,Philadelphia 76ers,116,Box Score,,10589,
Fri Nov 5 2010,7:30p,Charlotte Bobcats,90,Detroit Pistons,97,Box Score,,13291,
Fri Nov 5 2010,7:30p,Washington Wizards,91,New York Knicks,112,Box Score,,19763,
Fri Nov 5 2010,8:00p,Chicago Bulls,105,Boston Celtics,110,Box Score,OT,18624,
Fri Nov 5 2010,8:00p,Atlanta Hawks,113,Minnesota Timberwolves,103,Box Score,,17222,
Fri Nov 5 2010,8:00p,Miami Heat,93,New Orleans Hornets,96,Box Score,,17988,
Fri Nov 5 2010,10:00p,Memphis Grizzlies,118,Phoenix Suns,123,Box Score,2OT,16470,
Fri Nov 5 2010,10:30p,Los Angeles Clippers,104,Denver Nuggets,111,Box Score,,15559,
Fri Nov 5 2010,10:30p,Utah Jazz,78,Golden State Warriors,85,Box Score,,17902,
Fri Nov 5 2010,10:30p,Toronto Raptors,103,Los Angeles Lakers,108,Box Score,,18997,
Sat Nov 6 2010,7:00p,Orlando Magic,91,Charlotte Bobcats,88,Box Score,,18136,
Sat Nov 6 2010,7:00p,Cleveland Cavaliers,107,Washington Wizards,102,Box Score,,14442,
Sat Nov 6 2010,7:30p,New Jersey Nets,89,Miami Heat,101,Box Score,,19600,
Sat Nov 6 2010,8:30p,New Orleans Hornets,87,Milwaukee Bucks,81,Box Score,,16731,
Sat Nov 6 2010,8:30p,Houston Rockets,121,San Antonio Spurs,124,Box Score,OT,17740,
Sat Nov 6 2010,9:00p,Denver Nuggets,103,Dallas Mavericks,92,Box Score,,19948,
Sat Nov 6 2010,9:00p,Los Angeles Clippers,107,Utah Jazz,109,Box Score,2OT,19911,
Sat Nov 6 2010,10:00p,Toronto Raptors,84,Portland Trail Blazers,97,Box Score,,20363,
Sat Nov 6 2010,10:00p,Memphis Grizzlies,100,Sacramento Kings,91,Box Score,,14085,
Sun Nov 7 2010,12:00p,Philadelphia 76ers,106,New York Knicks,96,Box Score,,18735,
Sun Nov 7 2010,5:00p,Phoenix Suns,118,Atlanta Hawks,114,Box Score,,13395,
Sun Nov 7 2010,6:00p,Golden State Warriors,97,Detroit Pistons,102,Box Score,,12813,
Sun Nov 7 2010,7:00p,Minnesota Timberwolves,94,Houston Rockets,120,Box Score,,15058,
Sun Nov 7 2010,7:00p,Boston Celtics,92,Oklahoma City Thunder,83,Box Score,,18203,
Sun Nov 7 2010,9:30p,Portland Trail Blazers,96,Los Angeles Lakers,121,Box Score,,18997,
Mon Nov 8 2010,7:00p,San Antonio Spurs,95,Charlotte Bobcats,91,Box Score,,14152,
Mon Nov 8 2010,7:00p,Atlanta Hawks,89,Orlando Magic,93,Box Score,,18846,
Mon Nov 8 2010,7:00p,Golden State Warriors,109,Toronto Raptors,102,Box Score,,14127,
Mon Nov 8 2010,8:00p,Denver Nuggets,92,Chicago Bulls,94,Box Score,,21355,
Mon Nov 8 2010,8:00p,Phoenix Suns,99,Memphis Grizzlies,109,Box Score,,10786,
Mon Nov 8 2010,8:30p,Boston Celtics,87,Dallas Mavericks,89,Box Score,,20194,
Tue Nov 9 2010,7:00p,Denver Nuggets,113,Indiana Pacers,144,Box Score,,11122,
Tue Nov 9 2010,7:00p,Cleveland Cavaliers,93,New Jersey Nets,91,Box Score,,10188,
Tue Nov 9 2010,7:30p,Utah Jazz,116,Miami Heat,114,Box Score,OT,19600,
Tue Nov 9 2010,8:00p,New York Knicks,80,Milwaukee Bucks,107,Box Score,,13286,
Tue Nov 9 2010,8:00p,Los Angeles Clippers,82,New Orleans Hornets,101,Box Score,,12479,
Tue Nov 9 2010,10:00p,Detroit Pistons,78,Portland Trail Blazers,100,Box Score,,20556,
Tue Nov 9 2010,10:30p,Minnesota Timberwolves,94,Los Angeles Lakers,99,Box Score,,18997,
Wed Nov 10 2010,7:00p,Milwaukee Bucks,108,Atlanta Hawks,91,Box Score,,11211,
Wed Nov 10 2010,7:00p,Utah Jazz,104,Orlando Magic,94,Box Score,,18846,
Wed Nov 10 2010,7:00p,Charlotte Bobcats,101,Toronto Raptors,96,Box Score,,14309,
Wed Nov 10 2010,7:00p,Houston Rockets,91,Washington Wizards,98,Box Score,,13665,
Wed Nov 10 2010,7:30p,New Jersey Nets,95,Cleveland Cavaliers,87,Box Score,,20562,
Wed Nov 10 2010,7:30p,Golden State Warriors,122,New York Knicks,117,Box Score,,19763,
Wed Nov 10 2010,8:00p,Dallas Mavericks,106,Memphis Grizzlies,91,Box Score,,10767,
Wed Nov 10 2010,8:00p,Philadelphia 76ers,103,Oklahoma City Thunder,109,Box Score,,18203,
Wed Nov 10 2010,9:30p,Los Angeles Clippers,95,San Antonio Spurs,107,Box Score,,17309,
Wed Nov 10 2010,10:00p,Minnesota Timberwolves,98,Sacramento Kings,89,Box Score,,12433,
Thu Nov 11 2010,8:00p,Golden State Warriors,90,Chicago Bulls,120,Box Score,,21140,
Thu Nov 11 2010,8:00p,Boston Celtics,112,Miami Heat,107,Box Score,,19650,
Thu Nov 11 2010,10:30p,Los Angeles Lakers,112,Denver Nuggets,118,Box Score,,19155,
Fri Nov 12 2010,7:00p,Utah Jazz,90,Atlanta Hawks,86,Box Score,,17069,
Fri Nov 12 2010,7:00p,Houston Rockets,102,Indiana Pacers,99,Box Score,,14414,
Fri Nov 12 2010,7:00p,Toronto Raptors,110,Orlando Magic,106,Box Score,,18846,
Fri Nov 12 2010,7:00p,Charlotte Bobcats,93,Washington Wizards,85,Box Score,,14855,
Fri Nov 12 2010,8:00p,New York Knicks,103,Minnesota Timberwolves,112,Box Score,,15232,
Fri Nov 12 2010,8:30p,Philadelphia 76ers,90,Dallas Mavericks,99,Box Score,,19989,
Fri Nov 12 2010,9:00p,Sacramento Kings,89,Phoenix Suns,103,Box Score,,18029,
Fri Nov 12 2010,9:30p,Portland Trail Blazers,108,Oklahoma City Thunder,110,Box Score,,18203,
Fri Nov 12 2010,10:30p,Detroit Pistons,113,Los Angeles Clippers,107,Box Score,OT,16960,
Sat Nov 13 2010,7:00p,Utah Jazz,96,Charlotte Bobcats,95,Box Score,,15486,
Sat Nov 13 2010,7:00p,Orlando Magic,91,New Jersey Nets,90,Box Score,,15086,
Sat Nov 13 2010,7:30p,Indiana Pacers,99,Cleveland Cavaliers,85,Box Score,,20562,
Sat Nov 13 2010,7:30p,Toronto Raptors,100,Miami Heat,109,Box Score,,19600,
Sat Nov 13 2010,8:00p,Washington Wizards,96,Chicago Bulls,103,Box Score,,21610,
Sat Nov 13 2010,8:00p,Boston Celtics,116,Memphis Grizzlies,110,Box Score,OT,18119,
Sat Nov 13 2010,8:00p,Portland Trail Blazers,87,New Orleans Hornets,107,Box Score,,14706,
Sat Nov 13 2010,8:30p,Golden State Warriors,72,Milwaukee Bucks,79,Box Score,,17049,
Sat Nov 13 2010,8:30p,Philadelphia 76ers,93,San Antonio Spurs,116,Box Score,,17627,
Sun Nov 14 2010,2:00p,Minnesota Timberwolves,105,Atlanta Hawks,111,Box Score,,12027,
Sun Nov 14 2010,6:00p,Detroit Pistons,100,Sacramento Kings,94,Box Score,,12377,
Sun Nov 14 2010,7:00p,San Antonio Spurs,117,Oklahoma City Thunder,104,Box Score,,18203,
Sun Nov 14 2010,7:30p,Houston Rockets,104,New York Knicks,96,Box Score,,19763,
Sun Nov 14 2010,9:30p,Phoenix Suns,121,Los Angeles Lakers,116,Box Score,,18997,
Mon Nov 15 2010,7:00p,Minnesota Timberwolves,110,Charlotte Bobcats,113,Box Score,,11211,
Mon Nov 15 2010,7:00p,Memphis Grizzlies,72,Orlando Magic,89,Box Score,,18846,
