Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Jun 1 2012,8:30p,Miami Heat,91,Boston Celtics,101,Box Score,,18624,
Sat Jun 2 2012,8:30p,San Antonio Spurs,103,Oklahoma City Thunder,109,Box Score,,18203,
Sun Jun 3 2012,8:30p,Miami Heat,91,Boston Celtics,93,Box Score,OT,18624,
Mon Jun 4 2012,9:00p,Oklahoma City Thunder,108,San Antonio Spurs,103,Box Score,,18581,
Tue Jun 5 2012,8:30p,Boston Celtics,94,Miami Heat,90,Box Score,,20021,
Wed Jun 6 2012,9:00p,San Antonio Spurs,99,Oklahoma City Thunder,107,Box Score,,18203,
Thu Jun 7 2012,8:30p,Miami Heat,98,Boston Celtics,79,Box Score,,18624,
Sat Jun 9 2012,8:30p,Boston Celtics,88,Miami Heat,101,Box Score,,20114,
Tue Jun 12 2012,9:00p,Miami Heat,94,Oklahoma City Thunder,105,Box Score,,18203,
Thu Jun 14 2012,9:00p,Miami Heat,100,Oklahoma City Thunder,96,Box Score,,18203,
Sun Jun 17 2012,8:00p,Oklahoma City Thunder,85,Miami Heat,91,Box Score,,20003,
Tue Jun 19 2012,9:00p,Oklahoma City Thunder,98,Miami Heat,104,Box Score,,20003,
Thu Jun 21 2012,9:00p,Oklahoma City Thunder,106,Miami Heat,121,Box Score,,20003,
