Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Apr 1 2012,1:00p,Chicago Bulls,78,Oklahoma City Thunder,92,Box Score,,18203,
Sun Apr 1 2012,3:30p,Miami Heat,72,Boston Celtics,91,Box Score,,18624,
Sun Apr 1 2012,6:00p,Denver Nuggets,104,Orlando Magic,101,Box Score,,18846,
Sun Apr 1 2012,6:00p,Washington Wizards,92,Toronto Raptors,99,Box Score,,16858,
Sun Apr 1 2012,7:00p,Indiana Pacers,104,Houston Rockets,102,Box Score,OT,18197,
Sun Apr 1 2012,9:00p,New Orleans Hornets,75,Phoenix Suns,92,Box Score,,15753,
Sun Apr 1 2012,9:00p,Minnesota Timberwolves,106,Portland Trail Blazers,119,Box Score,,20359,
Sun Apr 1 2012,9:30p,Golden State Warriors,112,Los Angeles Lakers,120,Box Score,,18997,
Mon Apr 2 2012,7:00p,Milwaukee Bucks,112,Washington Wizards,98,Box Score,,16234,
Mon Apr 2 2012,8:00p,Houston Rockets,99,Chicago Bulls,93,Box Score,,21936,
Mon Apr 2 2012,8:00p,Memphis Grizzlies,94,Oklahoma City Thunder,88,Box Score,,18203,
Mon Apr 2 2012,8:30p,Los Angeles Clippers,94,Dallas Mavericks,75,Box Score,,20479,
Mon Apr 2 2012,10:00p,Utah Jazz,102,Portland Trail Blazers,97,Box Score,,20050,
Mon Apr 2 2012,10:00p,Minnesota Timberwolves,108,Sacramento Kings,116,Box Score,,12279,
Tue Apr 3 2012,7:00p,San Antonio Spurs,125,Cleveland Cavaliers,90,Box Score,,14759,
Tue Apr 3 2012,7:00p,New York Knicks,104,Indiana Pacers,112,Box Score,,17042,
Tue Apr 3 2012,7:00p,Charlotte Bobcats,87,Toronto Raptors,92,Box Score,,14640,
Tue Apr 3 2012,7:30p,Orlando Magic,95,Detroit Pistons,102,Box Score,,16741,
Tue Apr 3 2012,7:30p,Philadelphia 76ers,93,Miami Heat,99,Box Score,,20015,
Tue Apr 3 2012,8:00p,Golden State Warriors,94,Memphis Grizzlies,98,Box Score,,14310,
Tue Apr 3 2012,10:00p,Phoenix Suns,109,Sacramento Kings,100,Box Score,,12462,
Tue Apr 3 2012,10:30p,New Jersey Nets,87,Los Angeles Lakers,91,Box Score,,18997,
Wed Apr 4 2012,7:00p,Toronto Raptors,99,Philadelphia 76ers,78,Box Score,,18186,
Wed Apr 4 2012,7:00p,Indiana Pacers,109,Washington Wizards,96,Box Score,,14561,
Wed Apr 4 2012,7:30p,Charlotte Bobcats,93,Atlanta Hawks,120,Box Score,,13046,
Wed Apr 4 2012,7:30p,San Antonio Spurs,87,Boston Celtics,86,Box Score,,18624,
Wed Apr 4 2012,8:00p,Oklahoma City Thunder,93,Miami Heat,98,Box Score,,20104,
Wed Apr 4 2012,8:00p,Cleveland Cavaliers,98,Milwaukee Bucks,107,Box Score,,11849,
Wed Apr 4 2012,8:00p,Golden State Warriors,97,Minnesota Timberwolves,94,Box Score,,17161,
Wed Apr 4 2012,8:00p,Denver Nuggets,92,New Orleans Hornets,94,Box Score,,15020,
Wed Apr 4 2012,8:30p,Memphis Grizzlies,85,Dallas Mavericks,95,Box Score,,20233,
Wed Apr 4 2012,9:00p,Phoenix Suns,107,Utah Jazz,105,Box Score,,19911,
Wed Apr 4 2012,10:00p,New Jersey Nets,88,Portland Trail Blazers,101,Box Score,,20464,
Wed Apr 4 2012,10:30p,Los Angeles Lakers,113,Los Angeles Clippers,108,Box Score,,19819,
Thu Apr 5 2012,7:00p,New York Knicks,96,Orlando Magic,80,Box Score,,19098,
Thu Apr 5 2012,7:30p,Washington Wizards,94,Detroit Pistons,99,Box Score,,12681,
Thu Apr 5 2012,9:30p,Boston Celtics,86,Chicago Bulls,93,Box Score,,22423,
Thu Apr 5 2012,10:00p,Los Angeles Clippers,93,Sacramento Kings,85,Box Score,,14411,
Fri Apr 6 2012,7:00p,Oklahoma City Thunder,98,Indiana Pacers,103,Box Score,,18165,
Fri Apr 6 2012,7:30p,Detroit Pistons,96,Atlanta Hawks,101,Box Score,,15143,
Fri Apr 6 2012,7:30p,Memphis Grizzlies,97,Miami Heat,82,Box Score,,20008,
Fri Apr 6 2012,7:30p,Washington Wizards,98,New Jersey Nets,110,Box Score,,12783,
Fri Apr 6 2012,7:30p,Cleveland Cavaliers,84,Toronto Raptors,80,Box Score,,16565,
Fri Apr 6 2012,8:30p,Portland Trail Blazers,99,Dallas Mavericks,97,Box Score,OT,20544,
Fri Apr 6 2012,8:30p,Charlotte Bobcats,90,Milwaukee Bucks,95,Box Score,,13374,
Fri Apr 6 2012,8:30p,New Orleans Hornets,103,San Antonio Spurs,128,Box Score,,18581,
Fri Apr 6 2012,9:00p,Phoenix Suns,99,Denver Nuggets,105,Box Score,,19155,
Fri Apr 6 2012,9:00p,Golden State Warriors,98,Utah Jazz,104,Box Score,,18933,
Fri Apr 6 2012,10:30p,Houston Rockets,112,Los Angeles Lakers,107,Box Score,,18997,
