Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Nov 1 2012,9:30p,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,18581,
Fri Nov 2 2012,7:00p,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,19124,
Fri Nov 2 2012,7:00p,Denver Nuggets,89,Orlando Magic,102,Box Score,,18846,
Fri Nov 2 2012,7:30p,Houston Rockets,109,Atlanta Hawks,102,Box Score,,18238,
Fri Nov 2 2012,7:30p,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,18624,
Fri Nov 2 2012,7:30p,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,20562,
Fri Nov 2 2012,8:00p,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,19356,
Fri Nov 2 2012,8:00p,Utah Jazz,86,New Orleans Hornets,88,Box Score,,14147,
Fri Nov 2 2012,8:00p,Miami Heat,84,New York Knicks,104,Box Score,,19033,
Fri Nov 2 2012,8:00p,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,18203,
Fri Nov 2 2012,10:00p,Detroit Pistons,89,Phoenix Suns,92,Box Score,,15107,
Fri Nov 2 2012,10:30p,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,19596,
Fri Nov 2 2012,10:30p,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,18997,
Sat Nov 3 2012,7:00p,Sacramento Kings,98,Indiana Pacers,106,Box Score,2OT,18165,
Sat Nov 3 2012,7:00p,Boston Celtics,89,Washington Wizards,86,Box Score,,20308,
Sat Nov 3 2012,7:30p,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,17732,
Sat Nov 3 2012,7:30p,Denver Nuggets,116,Miami Heat,119,Box Score,,20104,
Sat Nov 3 2012,8:00p,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,21758,
Sat Nov 3 2012,8:00p,Portland Trail Blazers,95,Houston Rockets,85,Box Score,OT,18140,
Sat Nov 3 2012,8:30p,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,19490,
Sat Nov 3 2012,8:30p,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,17086,
Sat Nov 3 2012,8:30p,Utah Jazz,100,San Antonio Spurs,110,Box Score,,18581,
Sat Nov 3 2012,10:30p,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,19060,
Sun Nov 4 2012,12:00p,Philadelphia 76ers,84,New York Knicks,100,Box Score,,19033,
Sun Nov 4 2012,6:00p,Phoenix Suns,94,Orlando Magic,115,Box Score,,17022,
Sun Nov 4 2012,6:00p,Minnesota Timberwolves,86,Toronto Raptors,105,Box Score,,16754,
Sun Nov 4 2012,7:00p,Atlanta Hawks,104,Oklahoma City Thunder,95,Box Score,,18203,
Sun Nov 4 2012,9:30p,Detroit Pistons,79,Los Angeles Lakers,108,Box Score,,18997,
Mon Nov 5 2012,7:00p,New York Knicks,110,Philadelphia 76ers,88,Box Score,,15783,
Mon Nov 5 2012,7:30p,Minnesota Timberwolves,107,Brooklyn Nets,96,Box Score,,14017,
Mon Nov 5 2012,7:30p,Phoenix Suns,99,Miami Heat,124,Box Score,,19600,
Mon Nov 5 2012,8:00p,Utah Jazz,94,Memphis Grizzlies,103,Box Score,,17401,
Mon Nov 5 2012,8:30p,Portland Trail Blazers,91,Dallas Mavericks,114,Box Score,,19521,
Mon Nov 5 2012,8:30p,Indiana Pacers,79,San Antonio Spurs,101,Box Score,,17158,
Mon Nov 5 2012,10:00p,Golden State Warriors,92,Sacramento Kings,94,Box Score,,17317,
Mon Nov 5 2012,10:30p,Cleveland Cavaliers,108,Los Angeles Clippers,101,Box Score,,19060,
Tue Nov 6 2012,8:00p,Orlando Magic,93,Chicago Bulls,99,Box Score,,21216,
Tue Nov 6 2012,8:00p,Toronto Raptors,88,Oklahoma City Thunder,108,Box Score,,18203,
Tue Nov 6 2012,9:00p,Detroit Pistons,97,Denver Nuggets,109,Box Score,,19155,
Wed Nov 7 2012,7:00p,Phoenix Suns,117,Charlotte Bobcats,110,Box Score,,13905,
Wed Nov 7 2012,7:30p,Indiana Pacers,86,Atlanta Hawks,89,Box Score,,10684,
Wed Nov 7 2012,7:30p,Washington Wizards,94,Boston Celtics,100,Box Score,OT,18624,
Wed Nov 7 2012,7:30p,Brooklyn Nets,73,Miami Heat,103,Box Score,,19627,
Wed Nov 7 2012,8:00p,Denver Nuggets,93,Houston Rockets,87,Box Score,,13372,
Wed Nov 7 2012,8:00p,Memphis Grizzlies,108,Milwaukee Bucks,90,Box Score,,11465,
Wed Nov 7 2012,8:00p,Orlando Magic,75,Minnesota Timberwolves,90,Box Score,,17121,
Wed Nov 7 2012,8:00p,Philadelphia 76ers,77,New Orleans Hornets,62,Box Score,,12988,
Wed Nov 7 2012,8:30p,Toronto Raptors,104,Dallas Mavericks,109,Box Score,,19763,
Wed Nov 7 2012,9:00p,Los Angeles Lakers,86,Utah Jazz,95,Box Score,,19911,
Wed Nov 7 2012,10:00p,Detroit Pistons,103,Sacramento Kings,105,Box Score,,10185,
Wed Nov 7 2012,10:30p,Cleveland Cavaliers,96,Golden State Warriors,106,Box Score,,18124,
Wed Nov 7 2012,10:30p,San Antonio Spurs,84,Los Angeles Clippers,106,Box Score,,19060,
Thu Nov 8 2012,8:00p,Oklahoma City Thunder,97,Chicago Bulls,91,Box Score,,21737,
Thu Nov 8 2012,10:30p,Los Angeles Clippers,103,Portland Trail Blazers,90,Box Score,,20425,
Fri Nov 9 2012,7:00p,Brooklyn Nets,107,Orlando Magic,68,Box Score,,17532,
Fri Nov 9 2012,7:00p,Milwaukee Bucks,101,Washington Wizards,91,Box Score,,14531,
Fri Nov 9 2012,7:30p,Miami Heat,95,Atlanta Hawks,89,Box Score,,16785,
Fri Nov 9 2012,7:30p,Philadelphia 76ers,106,Boston Celtics,100,Box Score,,18624,
Fri Nov 9 2012,7:30p,Dallas Mavericks,94,New York Knicks,104,Box Score,,19033,
Fri Nov 9 2012,8:00p,Houston Rockets,85,Memphis Grizzlies,93,Box Score,,16087,
Fri Nov 9 2012,8:00p,Indiana Pacers,94,Minnesota Timberwolves,96,Box Score,,18222,
Fri Nov 9 2012,8:00p,Charlotte Bobcats,99,New Orleans Hornets,107,Box Score,,12668,
Fri Nov 9 2012,8:00p,Detroit Pistons,94,Oklahoma City Thunder,105,Box Score,,18203,
Fri Nov 9 2012,9:00p,Cleveland Cavaliers,105,Phoenix Suns,107,Box Score,,15236,
Fri Nov 9 2012,10:00p,San Antonio Spurs,97,Sacramento Kings,86,Box Score,,13505,
Fri Nov 9 2012,10:30p,Utah Jazz,84,Denver Nuggets,104,Box Score,,15523,
Fri Nov 9 2012,10:30p,Golden State Warriors,77,Los Angeles Lakers,101,Box Score,,18997,
Sat Nov 10 2012,7:00p,Washington Wizards,85,Indiana Pacers,89,Box Score,,12036,
Sat Nov 10 2012,7:00p,Philadelphia 76ers,93,Toronto Raptors,83,Box Score,,19800,
