Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Dec 1 2009,7:00p,Boston Celtics,108,Charlotte Bobcats,90,Box Score,,15129,
Tue Dec 1 2009,7:00p,Washington Wizards,106,Toronto Raptors,102,Box Score,,15776,
Tue Dec 1 2009,7:30p,Phoenix Suns,99,New York Knicks,126,Box Score,,19763,
Tue Dec 1 2009,9:00p,Golden State Warriors,107,Denver Nuggets,135,Box Score,,14570,
Tue Dec 1 2009,10:00p,Miami Heat,107,Portland Trail Blazers,100,Box Score,,20417,
Tue Dec 1 2009,10:30p,New Orleans Hornets,99,Los Angeles Lakers,110,Box Score,,18997,
Wed Dec 2 2009,7:00p,Toronto Raptors,115,Atlanta Hawks,146,Box Score,,12272,
Wed Dec 2 2009,7:00p,Phoenix Suns,90,Cleveland Cavaliers,107,Box Score,,20562,
Wed Dec 2 2009,7:00p,New York Knicks,104,Orlando Magic,118,Box Score,,17461,
Wed Dec 2 2009,7:00p,Milwaukee Bucks,102,Washington Wizards,104,Box Score,,12272,
Wed Dec 2 2009,7:30p,Dallas Mavericks,117,New Jersey Nets,101,Box Score,,11689,
Wed Dec 2 2009,8:00p,Detroit Pistons,85,Chicago Bulls,92,Box Score,,21523,
Wed Dec 2 2009,8:00p,Memphis Grizzlies,97,Minnesota Timberwolves,95,Box Score,,11408,
Wed Dec 2 2009,8:00p,Philadelphia 76ers,106,Oklahoma City Thunder,117,Box Score,,17332,
Wed Dec 2 2009,10:00p,Indiana Pacers,105,Sacramento Kings,110,Box Score,,10021,
Wed Dec 2 2009,10:30p,Houston Rockets,102,Los Angeles Clippers,85,Box Score,,13836,
Thu Dec 3 2009,8:00p,Boston Celtics,90,San Antonio Spurs,83,Box Score,,18581,
Thu Dec 3 2009,10:30p,Miami Heat,96,Denver Nuggets,114,Box Score,,14998,
Thu Dec 3 2009,10:30p,Houston Rockets,111,Golden State Warriors,109,Box Score,,16432,
Fri Dec 4 2009,7:00p,Toronto Raptors,109,Washington Wizards,107,Box Score,OT,20173,
Fri Dec 4 2009,7:30p,New York Knicks,114,Atlanta Hawks,107,Box Score,,17165,
Fri Dec 4 2009,8:00p,Chicago Bulls,87,Cleveland Cavaliers,101,Box Score,,20562,
Fri Dec 4 2009,8:00p,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,16557,
Fri Dec 4 2009,8:00p,Dallas Mavericks,82,Memphis Grizzlies,98,Box Score,,13020,
Fri Dec 4 2009,8:00p,Charlotte Bobcats,91,New Jersey Nets,97,Box Score,,12131,
Fri Dec 4 2009,8:00p,Minnesota Timberwolves,89,New Orleans Hornets,98,Box Score,,14720,
Fri Dec 4 2009,8:00p,Boston Celtics,105,Oklahoma City Thunder,87,Box Score,,18203,
Fri Dec 4 2009,9:00p,Indiana Pacers,87,Utah Jazz,96,Box Score,,19347,
Fri Dec 4 2009,10:30p,Miami Heat,107,Los Angeles Lakers,108,Box Score,,18997,
Sat Dec 5 2009,7:00p,Philadelphia 76ers,105,Charlotte Bobcats,106,Box Score,,13352,
Sat Dec 5 2009,8:00p,Toronto Raptors,110,Chicago Bulls,78,Box Score,,20481,
Sat Dec 5 2009,8:00p,Utah Jazz,101,Minnesota Timberwolves,108,Box Score,,18466,
Sat Dec 5 2009,8:30p,Denver Nuggets,106,San Antonio Spurs,99,Box Score,,17592,
Sat Dec 5 2009,9:00p,Atlanta Hawks,80,Dallas Mavericks,75,Box Score,,19550,
Sat Dec 5 2009,9:00p,Sacramento Kings,107,Phoenix Suns,115,Box Score,,17747,
Sat Dec 5 2009,10:00p,Houston Rockets,89,Portland Trail Blazers,90,Box Score,,20555,
Sat Dec 5 2009,10:30p,Orlando Magic,126,Golden State Warriors,118,Box Score,,19054,
Sat Dec 5 2009,10:30p,Indiana Pacers,72,Los Angeles Clippers,88,Box Score,,15305,
Sun Dec 6 2009,12:00p,New Jersey Nets,97,New York Knicks,106,Box Score,,19602,
Sun Dec 6 2009,3:00p,Cleveland Cavaliers,101,Milwaukee Bucks,86,Box Score,,16625,
Sun Dec 6 2009,6:00p,Washington Wizards,94,Detroit Pistons,98,Box Score,,14123,
Sun Dec 6 2009,9:00p,Miami Heat,115,Sacramento Kings,102,Box Score,,13186,
Sun Dec 6 2009,9:30p,Phoenix Suns,88,Los Angeles Lakers,108,Box Score,,18997,
Mon Dec 7 2009,7:00p,Denver Nuggets,93,Philadelphia 76ers,83,Box Score,,20664,
Mon Dec 7 2009,7:30p,Portland Trail Blazers,84,New York Knicks,93,Box Score,,19763,
Mon Dec 7 2009,8:00p,Golden State Warriors,88,Oklahoma City Thunder,104,Box Score,,17334,
