Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Apr 1 2008,7:00p,New Orleans Hornets,98,Orlando Magic,97,Box Score,,17519,
Tue Apr 1 2008,7:30p,Philadelphia 76ers,108,New Jersey Nets,99,Box Score,,14534,
Tue Apr 1 2008,8:00p,New York Knicks,115,Milwaukee Bucks,119,Box Score,OT,13579,
Tue Apr 1 2008,8:00p,Detroit Pistons,94,Minnesota Timberwolves,90,Box Score,,15119,
Tue Apr 1 2008,8:30p,Boston Celtics,106,Chicago Bulls,92,Box Score,,22225,
Tue Apr 1 2008,8:30p,Golden State Warriors,92,San Antonio Spurs,116,Box Score,,18797,
Tue Apr 1 2008,9:00p,Phoenix Suns,120,Denver Nuggets,126,Box Score,,18870,
Tue Apr 1 2008,10:00p,Houston Rockets,98,Sacramento Kings,99,Box Score,,14169,
Wed Apr 2 2008,7:00p,Toronto Raptors,120,Atlanta Hawks,127,Box Score,OT,14691,
Wed Apr 2 2008,7:00p,Indiana Pacers,77,Boston Celtics,92,Box Score,,18624,
Wed Apr 2 2008,7:00p,Cleveland Cavaliers,118,Charlotte Bobcats,114,Box Score,,15106,
Wed Apr 2 2008,7:00p,Milwaukee Bucks,110,Washington Wizards,109,Box Score,,14355,
Wed Apr 2 2008,7:30p,New Orleans Hornets,106,Miami Heat,77,Box Score,,19122,
Wed Apr 2 2008,8:00p,New York Knicks,114,Memphis Grizzlies,130,Box Score,,10013,
Wed Apr 2 2008,9:00p,Minnesota Timberwolves,100,Utah Jazz,117,Box Score,,19911,
Wed Apr 2 2008,9:30p,Golden State Warriors,86,Dallas Mavericks,111,Box Score,,20331,
Wed Apr 2 2008,10:00p,Los Angeles Clippers,102,Seattle SuperSonics,84,Box Score,,10392,
Wed Apr 2 2008,10:30p,Portland Trail Blazers,91,Los Angeles Lakers,104,Box Score,,18997,
Thu Apr 3 2008,8:00p,Chicago Bulls,101,Cleveland Cavaliers,98,Box Score,,20562,
Thu Apr 3 2008,10:00p,Los Angeles Clippers,98,Sacramento Kings,110,Box Score,,12707,
Thu Apr 3 2008,10:30p,Houston Rockets,95,Portland Trail Blazers,86,Box Score,,19980,
Fri Apr 4 2008,7:00p,Charlotte Bobcats,105,Toronto Raptors,100,Box Score,,19800,
Fri Apr 4 2008,7:30p,Philadelphia 76ers,109,Atlanta Hawks,104,Box Score,,18729,
Fri Apr 4 2008,8:00p,New Jersey Nets,87,Detroit Pistons,106,Box Score,,22076,
Fri Apr 4 2008,8:00p,Golden State Warriors,117,Memphis Grizzlies,86,Box Score,,11463,
Fri Apr 4 2008,8:00p,New York Knicks,110,New Orleans Hornets,118,Box Score,,17779,
Fri Apr 4 2008,8:00p,San Antonio Spurs,64,Utah Jazz,90,Box Score,,19911,
Fri Apr 4 2008,8:00p,Miami Heat,95,Washington Wizards,109,Box Score,,18875,
Fri Apr 4 2008,8:30p,Indiana Pacers,105,Milwaukee Bucks,101,Box Score,,15639,
Fri Apr 4 2008,10:00p,Minnesota Timberwolves,88,Phoenix Suns,117,Box Score,,18422,
Fri Apr 4 2008,10:30p,Dallas Mavericks,108,Los Angeles Lakers,112,Box Score,,18997,
Fri Apr 4 2008,10:30p,Houston Rockets,79,Seattle SuperSonics,66,Box Score,,14170,
Sat Apr 5 2008,3:00p,Orlando Magic,101,Cleveland Cavaliers,86,Box Score,,20562,
Sat Apr 5 2008,7:00p,Boston Celtics,101,Charlotte Bobcats,78,Box Score,,19403,
Sat Apr 5 2008,7:00p,Atlanta Hawks,92,Philadelphia 76ers,85,Box Score,,19775,
Sat Apr 5 2008,7:30p,Toronto Raptors,90,New Jersey Nets,99,Box Score,,15927,
Sat Apr 5 2008,8:30p,Washington Wizards,99,Chicago Bulls,87,Box Score,,21929,
Sat Apr 5 2008,9:00p,Sacramento Kings,118,Denver Nuggets,115,Box Score,,18921,
Sun Apr 6 2008,1:00p,Golden State Warriors,96,New Orleans Hornets,108,Box Score,,17809,
Sun Apr 6 2008,3:30p,Dallas Mavericks,105,Phoenix Suns,98,Box Score,,18422,
Sun Apr 6 2008,6:00p,Milwaukee Bucks,97,Indiana Pacers,105,Box Score,,12107,
Sun Apr 6 2008,6:00p,Detroit Pistons,91,Miami Heat,75,Box Score,,19141,
Sun Apr 6 2008,6:00p,San Antonio Spurs,72,Portland Trail Blazers,65,Box Score,,19980,
Sun Apr 6 2008,6:30p,Memphis Grizzlies,113,Minnesota Timberwolves,101,Box Score,,16764,
Sun Apr 6 2008,7:00p,Orlando Magic,90,New York Knicks,100,Box Score,,19763,
