,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
1,".M. Blount, .R. Davis, .C. Quinn, .S. Lasme, .B. Ahearn ",1,7.6,23.0,7.0,11.0,63.6,3.0,5.0,60.0,6.0,6.0,100,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,MIA,Apr 6 2008
2,".M. Blount, .R. Davis, .E. Barron, .C. Quinn, .D. Cook ",1,7.4,13.0,6.0,13.0,46.2,0.0,2.0,0.0,1.0,1.0,100,0.0,6.0,6.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,MIA,Apr 6 2008
3,".E. Barron, .C. Quinn, .D. Cook, .J. Anthony, .B. Ahearn ",1,4.7,11.0,3.0,6.0,50.0,0.0,2.0,0.0,5.0,5.0,100,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,MIA,Apr 6 2008
4,".R. Davis, .E. Barron, .D. Cook, .S. Lasme, .B. Ahearn ",1,4.2,3.0,1.0,7.0,14.3,1.0,2.0,50.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,-7.0,MIA,Apr 6 2008
5,".J. Williams, .R. Davis, .S. Lasme, .J. Anthony, .B. Ahearn ",1,3.1,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,MIA,Apr 6 2008
6,".M. Blount, .R. Davis, .C. Quinn, .D. Cook, .J. Anthony ",1,2.4,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,MIA,Apr 6 2008
7,".J. Williams, .R. Davis, .D. Cook, .S. Lasme, .J. Anthony ",1,2.2,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,-5.0,MIA,Apr 6 2008
8,".R. Davis, .E. Barron, .C. Quinn, .J. Anthony, .B. Ahearn ",1,1.3,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,MIA,Apr 6 2008
9,".M. Blount, .J. Williams, .E. Barron, .D. Cook, .B. Ahearn ",1,1.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.0,MIA,Apr 6 2008
10,".M. Blount, .J. Williams, .R. Davis, .J. Anthony, .B. Ahearn ",1,1.2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,MIA,Apr 6 2008
