Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Jun 5 2008,9:00p,Los Angeles Lakers,88,Boston Celtics,98,Box Score,,18624,
Sun Jun 8 2008,9:00p,Los Angeles Lakers,102,Boston Celtics,108,Box Score,,18624,
Tue Jun 10 2008,9:00p,Boston Celtics,81,Los Angeles Lakers,87,Box Score,,18997,
Thu Jun 12 2008,9:00p,Boston Celtics,97,Los Angeles Lakers,91,Box Score,,18997,
Sun Jun 15 2008,9:00p,Boston Celtics,98,Los Angeles Lakers,103,Box Score,,18997,
Tue Jun 17 2008,9:00p,Los Angeles Lakers,92,Boston Celtics,131,Box Score,,18624,
