Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu May 1 2014,7:00p,Indiana Pacers,95,Atlanta Hawks,88,Box Score,,19044,
Thu May 1 2014,8:00p,Oklahoma City Thunder,104,Memphis Grizzlies,84,Box Score,,18119,
Thu May 1 2014,10:30p,Los Angeles Clippers,99,Golden State Warriors,100,Box Score,,19596,
Fri May 2 2014,7:00p,Toronto Raptors,83,Brooklyn Nets,97,Box Score,,17732,
Fri May 2 2014,8:00p,San Antonio Spurs,111,Dallas Mavericks,113,Box Score,,20799,
Fri May 2 2014,10:30p,Houston Rockets,98,Portland Trail Blazers,99,Box Score,,20204,
Sat May 3 2014,5:30p,Atlanta Hawks,80,Indiana Pacers,92,Box Score,,18165,
Sat May 3 2014,8:00p,Memphis Grizzlies,109,Oklahoma City Thunder,120,Box Score,,18203,
Sat May 3 2014,10:30p,Golden State Warriors,121,Los Angeles Clippers,126,Box Score,,19543,
Sun May 4 2014,1:00p,Brooklyn Nets,104,Toronto Raptors,103,Box Score,,20457,
Sun May 4 2014,3:30p,Dallas Mavericks,96,San Antonio Spurs,119,Box Score,,18581,
Mon May 5 2014,7:00p,Washington Wizards,102,Indiana Pacers,96,Box Score,,18165,
Mon May 5 2014,9:42p,Los Angeles Clippers,122,Oklahoma City Thunder,105,Box Score,,18203,
Tue May 6 2014,7:00p,Brooklyn Nets,86,Miami Heat,107,Box Score,,19470,
Tue May 6 2014,9:30p,Portland Trail Blazers,92,San Antonio Spurs,116,Box Score,,18581,
Wed May 7 2014,7:00p,Washington Wizards,82,Indiana Pacers,86,Box Score,,18165,
Wed May 7 2014,9:30p,Los Angeles Clippers,101,Oklahoma City Thunder,112,Box Score,,18203,
Thu May 8 2014,7:00p,Brooklyn Nets,82,Miami Heat,94,Box Score,,19639,
Thu May 8 2014,9:30p,Portland Trail Blazers,97,San Antonio Spurs,114,Box Score,,18581,
Fri May 9 2014,8:00p,Indiana Pacers,85,Washington Wizards,63,Box Score,,20356,
Fri May 9 2014,10:30p,Oklahoma City Thunder,118,Los Angeles Clippers,112,Box Score,,19530,
Sat May 10 2014,8:00p,Miami Heat,90,Brooklyn Nets,104,Box Score,,17732,
Sat May 10 2014,10:30p,San Antonio Spurs,118,Portland Trail Blazers,103,Box Score,,20321,
Sun May 11 2014,3:30p,Oklahoma City Thunder,99,Los Angeles Clippers,101,Box Score,,19365,
Sun May 11 2014,8:00p,Indiana Pacers,95,Washington Wizards,92,Box Score,,20356,
Mon May 12 2014,8:00p,Miami Heat,102,Brooklyn Nets,96,Box Score,,17732,
Mon May 12 2014,10:30p,San Antonio Spurs,92,Portland Trail Blazers,103,Box Score,,20141,
Tue May 13 2014,7:00p,Washington Wizards,102,Indiana Pacers,79,Box Score,,18165,
Tue May 13 2014,9:30p,Los Angeles Clippers,104,Oklahoma City Thunder,105,Box Score,,18203,
Wed May 14 2014,7:00p,Brooklyn Nets,94,Miami Heat,96,Box Score,,19615,
Wed May 14 2014,9:30p,Portland Trail Blazers,82,San Antonio Spurs,104,Box Score,,18581,
Thu May 15 2014,8:00p,Indiana Pacers,93,Washington Wizards,80,Box Score,,19502,
Thu May 15 2014,10:30p,Oklahoma City Thunder,104,Los Angeles Clippers,98,Box Score,,19565,
Sun May 18 2014,3:30p,Miami Heat,96,Indiana Pacers,107,Box Score,,18165,
Mon May 19 2014,9:00p,Oklahoma City Thunder,105,San Antonio Spurs,122,Box Score,,18581,
Tue May 20 2014,8:30p,Miami Heat,87,Indiana Pacers,83,Box Score,,18165,
Wed May 21 2014,9:00p,Oklahoma City Thunder,77,San Antonio Spurs,112,Box Score,,18581,
Sat May 24 2014,8:30p,Indiana Pacers,87,Miami Heat,99,Box Score,,20025,
Sun May 25 2014,8:30p,San Antonio Spurs,97,Oklahoma City Thunder,106,Box Score,,18203,
Mon May 26 2014,8:30p,Indiana Pacers,90,Miami Heat,102,Box Score,,19874,
Tue May 27 2014,9:00p,San Antonio Spurs,92,Oklahoma City Thunder,105,Box Score,,18203,
Wed May 28 2014,8:30p,Miami Heat,90,Indiana Pacers,93,Box Score,,18165,
Thu May 29 2014,9:00p,Oklahoma City Thunder,89,San Antonio Spurs,117,Box Score,,18581,
Fri May 30 2014,8:30p,Indiana Pacers,92,Miami Heat,117,Box Score,,20021,
Sat May 31 2014,8:30p,San Antonio Spurs,112,Oklahoma City Thunder,107,Box Score,OT,18203,
