,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
4,".D. Milicic, .D. Wilkins, .R. Hollins, .R. Sessions, .W. Ellington ",1,2.7,2.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,MIN,Apr 9 2010
5,".D. Milicic, .D. Wilkins, .R. Gomes, .R. Sessions, .W. Ellington ",1,2.5,7.0,3.0,5.0,60.0,1.0,1.0,100,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,MIN,Apr 9 2010
6,".D. Wilkins, .R. Gomes, .K. Love, .J. Flynn, .W. Ellington ",1,2.3,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-6.0,MIN,Apr 9 2010
7,".D. Milicic, .D. Wilkins, .C. Brewer, .K. Love, .J. Flynn ",1,2.2,7.0,3.0,4.0,75.0,0.0,1.0,0.0,1.0,1.0,100,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,MIN,Apr 9 2010
8,".D. Milicic, .D. Wilkins, .R. Gomes, .C. Brewer, .J. Flynn ",1,2.0,6.0,2.0,4.0,50.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,MIN,Apr 9 2010
9,".D. Milicic, .S. Pavlovic, .R. Hollins, .R. Sessions, .W. Ellington ",1,1.7,2.0,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,MIN,Apr 9 2010
10,".D. Wilkins, .R. Hollins, .C. Brewer, .R. Sessions, .K. Love ",1,1.5,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,MIN,Apr 9 2010
11,".D. Milicic, .S. Pavlovic, .R. Sessions, .K. Love, .W. Ellington ",1,1.4,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,MIN,Apr 9 2010
12,".R. Gomes, .R. Hollins, .C. Brewer, .K. Love, .J. Flynn ",1,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-6.0,MIN,Apr 9 2010
13,".D. Wilkins, .R. Gomes, .C. Brewer, .K. Love, .J. Flynn ",1,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-2.0,MIN,Apr 9 2010
14,".D. Milicic, .R. Gomes, .K. Love, .J. Flynn, .W. Ellington ",1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,MIN,Apr 9 2010
15,".D. Milicic, .S. Pavlovic, .R. Gomes, .R. Sessions, .K. Love ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Apr 9 2010
16,".D. Wilkins, .R. Hollins, .C. Brewer, .K. Love, .J. Flynn ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Apr 9 2010
17,".D. Wilkins, .R. Hollins, .R. Sessions, .K. Love, .W. Ellington ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,Apr 9 2010
0,".M. Camby, .A. Miller, .M. Webster, .L. Aldridge, .B. Roy ",1,9.3,16.0,6.0,20.0,30.0,1.0,4.0,25.0,3.0,5.0,60.0,6.0,6.0,12.0,4.0,2.0,2.0,3.0,1.0,6.0,6.0,1.0,POR,Feb 21 2010
