Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Nov 8 2013,8:30p,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,18581,
Fri Nov 8 2013,9:00p,Denver Nuggets,103,Phoenix Suns,114,Box Score,,15145,
Fri Nov 8 2013,10:00p,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,17627,
Sat Nov 9 2013,7:00p,Utah Jazz,91,Toronto Raptors,115,Box Score,,17211,
Sat Nov 9 2013,7:30p,Orlando Magic,94,Atlanta Hawks,104,Box Score,,15189,
Sat Nov 9 2013,7:30p,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,17732,
Sat Nov 9 2013,7:30p,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,20562,
Sat Nov 9 2013,7:30p,Boston Celtics,111,Miami Heat,110,Box Score,,19710,
Sat Nov 9 2013,8:00p,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,18108,
Sat Nov 9 2013,8:00p,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,16989,
Sat Nov 9 2013,8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,16448,
Sat Nov 9 2013,10:00p,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,15482,
Sun Nov 10 2013,7:00p,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,18203,
Sun Nov 10 2013,8:00p,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,13154,
Sun Nov 10 2013,9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,18997,
Sun Nov 10 2013,12:00a,San Antonio Spurs,120,New York Knicks,89,Box Score,,19812,
Mon Nov 11 2013,7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,13996,
Mon Nov 11 2013,7:00p,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,13130,
Mon Nov 11 2013,7:00p,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,12424,
Mon Nov 11 2013,7:30p,Orlando Magic,105,Boston Celtics,120,Box Score,,18624,
Mon Nov 11 2013,8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,21778,
Mon Nov 11 2013,8:00p,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,18134,
Mon Nov 11 2013,9:00p,Denver Nuggets,100,Utah Jazz,81,Box Score,,16866,
Mon Nov 11 2013,10:00p,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,18834,
Mon Nov 11 2013,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,19060,
