,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
12,".J. Foster, .T. Murphy, .J. Tinsley, .M. Dunleavy, .K. Rush ",1,1.4,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,IND,Dec 22 2007
13,".J. Foster, .J. Tinsley, .K. Rush, .I. Diogu, .D. Granger ",1,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,IND,Dec 22 2007
14,".J. O'Neal, .T. Murphy, .K. Rush, .M. Daniels, .D. Granger ",1,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,IND,Dec 22 2007
15,".J. Foster, .J. Tinsley, .M. Dunleavy, .K. Rush, .D. Granger ",1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,IND,Dec 22 2007
16,".J. O'Neal, .J. Tinsley, .M. Dunleavy, .K. Rush, .D. Granger ",1,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,IND,Dec 22 2007
17,".J. Foster, .J. Tinsley, .K. Rush, .M. Daniels, .I. Diogu ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Dec 22 2007
18,".J. Foster, .J. Tinsley, .M. Dunleavy, .I. Diogu, .D. Granger ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Dec 22 2007
19,".J. Foster, .K. Rush, .M. Daniels, .I. Diogu, .S. Williams ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Dec 22 2007
20,".J. O'Neal, .J. Foster, .J. Tinsley, .K. Rush, .M. Daniels ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Dec 22 2007
21,".J. O'Neal, .T. Murphy, .M. Dunleavy, .K. Rush, .M. Daniels ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Dec 22 2007
22,".T. Murphy, .J. Tinsley, .K. Rush, .M. Daniels, .D. Granger ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Dec 22 2007
0,".T. Murphy, .M. Dunleavy, .R. Murray, .D. Harrison, .D. Granger ",1,9.2,28.0,10.0,14.0,71.4,4.0,5.0,80.0,4.0,5.0,80.0,1.0,6.0,7.0,7.0,5.0,1.0,0.0,0.0,3.0,4.0,3.0,IND,Apr 16 2008
1,".J. O'Neal, .T. Murphy, .M. Dunleavy, .R. Murray, .D. Granger ",1,8.6,20.0,8.0,16.0,50.0,1.0,3.0,33.3,3.0,4.0,75.0,3.0,9.0,12.0,8.0,4.0,2.0,2.0,1.0,3.0,4.0,0.0,IND,Apr 16 2008
