Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 1 2006,7:00p,Indiana Pacers,106,Charlotte Bobcats,99,Box Score,,18518,
Wed Nov 1 2006,7:00p,Chicago Bulls,94,Orlando Magic,109,Box Score,,17451,
Wed Nov 1 2006,7:00p,Atlanta Hawks,75,Philadelphia 76ers,88,Box Score,,17119,
Wed Nov 1 2006,7:30p,New Orleans/Oklahoma City Hornets,91,Boston Celtics,87,Box Score,,18624,
Wed Nov 1 2006,7:30p,Toronto Raptors,92,New Jersey Nets,102,Box Score,,18646,
Wed Nov 1 2006,8:00p,Washington Wizards,94,Cleveland Cavaliers,97,Box Score,,20562,
Wed Nov 1 2006,8:00p,Milwaukee Bucks,105,Detroit Pistons,97,Box Score,,22076,
Wed Nov 1 2006,8:00p,New York Knicks,118,Memphis Grizzlies,117,Box Score,3OT,17113,
Wed Nov 1 2006,8:00p,Sacramento Kings,83,Minnesota Timberwolves,92,Box Score,,19356,
Wed Nov 1 2006,9:00p,Houston Rockets,97,Utah Jazz,107,Box Score,,18133,
Wed Nov 1 2006,10:00p,Portland Trail Blazers,110,Seattle SuperSonics,106,Box Score,,17072,
Wed Nov 1 2006,10:30p,Los Angeles Lakers,110,Golden State Warriors,98,Box Score,,19596,
Wed Nov 1 2006,10:30p,Los Angeles Clippers,104,Phoenix Suns,112,Box Score,,18422,
Thu Nov 2 2006,8:00p,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,20416,
Thu Nov 2 2006,10:30p,Denver Nuggets,95,Los Angeles Clippers,96,Box Score,,18050,
Fri Nov 3 2006,7:00p,New Orleans/Oklahoma City Hornets,100,Indiana Pacers,91,Box Score,,18165,
Fri Nov 3 2006,7:00p,Philadelphia 76ers,105,Orlando Magic,103,Box Score,,17451,
Fri Nov 3 2006,7:00p,Milwaukee Bucks,92,Toronto Raptors,109,Box Score,,19832,
Fri Nov 3 2006,7:30p,New York Knicks,92,Atlanta Hawks,102,Box Score,,19604,
Fri Nov 3 2006,7:30p,Detroit Pistons,101,Boston Celtics,88,Box Score,,18624,
Fri Nov 3 2006,7:30p,New Jersey Nets,85,Miami Heat,91,Box Score,,19600,
Fri Nov 3 2006,8:00p,Charlotte Bobcats,83,Memphis Grizzlies,96,Box Score,,13787,
Fri Nov 3 2006,8:00p,Cleveland Cavaliers,88,San Antonio Spurs,81,Box Score,,18797,
Fri Nov 3 2006,8:30p,Sacramento Kings,89,Chicago Bulls,88,Box Score,,22454,
Fri Nov 3 2006,9:00p,Minnesota Timberwolves,112,Denver Nuggets,109,Box Score,,19234,
