Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Nov 1 2009,1:00p,Orlando Magic,125,Toronto Raptors,116,Box Score,,18147,
Sun Nov 1 2009,6:00p,New Orleans Hornets,87,Boston Celtics,97,Box Score,,18624,
Sun Nov 1 2009,6:00p,Chicago Bulls,87,Miami Heat,95,Box Score,,15865,
Sun Nov 1 2009,7:00p,Portland Trail Blazers,83,Oklahoma City Thunder,74,Box Score,,16920,
Sun Nov 1 2009,8:00p,Memphis Grizzlies,123,Denver Nuggets,133,Box Score,,15823,
Sun Nov 1 2009,8:00p,Minnesota Timberwolves,112,Phoenix Suns,120,Box Score,,15376,
Sun Nov 1 2009,9:30p,Atlanta Hawks,110,Los Angeles Lakers,118,Box Score,,18997,
Mon Nov 2 2009,7:00p,New Jersey Nets,68,Charlotte Bobcats,79,Box Score,,9380,
Mon Nov 2 2009,7:30p,New Orleans Hornets,111,New York Knicks,117,Box Score,,19763,
Mon Nov 2 2009,9:00p,Houston Rockets,113,Utah Jazz,96,Box Score,,19911,
Mon Nov 2 2009,10:00p,Memphis Grizzlies,116,Sacramento Kings,127,Box Score,OT,17317,
Mon Nov 2 2009,10:30p,Minnesota Timberwolves,90,Los Angeles Clippers,93,Box Score,,13614,
Tue Nov 3 2009,7:00p,Washington Wizards,90,Cleveland Cavaliers,102,Box Score,,20562,
Tue Nov 3 2009,7:00p,Denver Nuggets,111,Indiana Pacers,93,Box Score,,10627,
Tue Nov 3 2009,7:00p,Boston Celtics,105,Philadelphia 76ers,74,Box Score,,11251,
Tue Nov 3 2009,7:30p,Orlando Magic,80,Detroit Pistons,85,Box Score,,15487,
Tue Nov 3 2009,7:30p,Phoenix Suns,104,Miami Heat,96,Box Score,,15105,
Tue Nov 3 2009,8:00p,Milwaukee Bucks,81,Chicago Bulls,83,Box Score,,19789,
Tue Nov 3 2009,8:00p,Los Angeles Lakers,101,Oklahoma City Thunder,98,Box Score,OT,18203,
Tue Nov 3 2009,8:30p,Utah Jazz,85,Dallas Mavericks,96,Box Score,,19725,
Tue Nov 3 2009,10:00p,Atlanta Hawks,97,Portland Trail Blazers,91,Box Score,,20325,
Wed Nov 4 2009,7:00p,Phoenix Suns,100,Orlando Magic,122,Box Score,,17461,
Wed Nov 4 2009,7:00p,Detroit Pistons,99,Toronto Raptors,110,Box Score,,17915,
Wed Nov 4 2009,7:00p,Miami Heat,93,Washington Wizards,89,Box Score,,17413,
Wed Nov 4 2009,7:30p,Denver Nuggets,122,New Jersey Nets,94,Box Score,,15319,
Wed Nov 4 2009,7:30p,Indiana Pacers,101,New York Knicks,89,Box Score,,19273,
Wed Nov 4 2009,8:00p,Boston Celtics,92,Minnesota Timberwolves,90,Box Score,,19133,
Wed Nov 4 2009,8:30p,Los Angeles Lakers,103,Houston Rockets,102,Box Score,OT,18291,
