,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE
991,MIN,NOP,2014-01-01,2013.0,112.0
992,NOP,SAC,2014-01-21,2013.0,114.0
993,NOP,ORL,2014-01-26,2013.0,92.0
994,NOP,BOS,2014-03-16,2013.0,120.0
995,POR,NOP,2013-12-21,2013.0,107.0
996,NOP,BKN,2014-03-24,2013.0,104.0
997,NOP,MIA,2014-03-22,2013.0,95.0
998,NOP,TOR,2014-03-19,2013.0,107.0
999,PHI,NOP,2013-11-29,2013.0,121.0
1000,NOP,CHI,2014-02-01,2013.0,79.0
1001,NOP,DEN,2013-12-27,2013.0,89.0
1002,NOP,PHX,2013-11-05,2013.0,104.0
1003,NOP,LAL,2013-11-08,2013.0,85.0
1004,NOP,DET,2013-12-11,2013.0,106.0
1005,NOP,POR,2013-12-30,2013.0,108.0
1006,NOP,GSW,2013-11-26,2013.0,102.0
1007,NOP,DAL,2013-12-04,2013.0,100.0
1008,NOP,CHA,2013-11-02,2013.0,84.0
1009,NOP,UTA,2013-11-20,2013.0,98.0
1010,NOP,IND,2013-10-30,2013.0,95.0
1011,NOP,WAS,2014-01-08,2013.0,102.0
1012,NOP,SAS,2014-01-13,2013.0,101.0
1013,NOP,MIL,2014-03-07,2013.0,104.0
1014,NOP,HOU,2014-01-15,2013.0,103.0
1015,NOP,OKC,2013-12-06,2013.0,109.0
1016,NOP,CLE,2013-11-22,2013.0,100.0
1017,NOP,PHI,2013-11-16,2013.0,98.0
1018,BKN,NOP,2014-02-09,2013.0,81.0
1019,NOP,ATL,2014-02-05,2013.0,100.0
1020,NYK,NOP,2013-12-01,2013.0,103.0
1021,ORL,NOP,2013-11-01,2013.0,90.0
1022,CHI,NOP,2013-12-02,2013.0,131.0
1023,CLE,NOP,2014-01-28,2013.0,100.0
1024,NOP,NYK,2014-02-19,2013.0,98.0
1025,NOP,MIN,2014-02-07,2013.0,91.0
1026,NOP,LAC,2014-02-24,2013.0,123.0
1027,PHX,NOP,2013-11-10,2013.0,94.0
1028,IND,NOP,2014-01-04,2013.0,82.0
1029,MEM,NOP,2013-11-06,2013.0,99.0
