,ORPM_adv_h,weighted_DRPM_h,weighted_ORPM_h,Net_ORPM_adv_a,Winpercent_h,Net_ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,weighted_ORPM_a,+/-_h,TS%_a_y,EFG%_a,DRtg_h,Winpercent_a,+/-_a,TRB_a,ORB_a,btb_a,DRB%_h,AST_a
2615,0.5364059280581792,0.4438241938786935,0.3546566233553976,0.41397951902808616,0.192307692,0.5631096135838513,0.6139713129638457,0.21879342449948205,0.28184476723903923,0.2717191110753961,0.12742846324693974,0.12414444687948956,0.7930721798577852,0.296296296,0.1334872921699895,0.3613167346274729,0.3648486768466894,1.0,0.4536418767739664,0.3094189836629412
2616,0.587980680511402,0.4329792089690301,0.689646054213925,0.5371676621891472,0.32,0.4482330583622037,0.3187559461139781,0.790836706884465,0.5136846931911211,0.4973936095188608,0.2285269405744825,0.19952612545205148,0.5134164457875647,0.4,0.302905501774677,0.5355973658673685,0.6303909590676189,0.0,0.43221316415733946,0.5618402799261266
2617,0.28486892569199795,0.2651859158715103,0.027617739867234814,0.5924324809092739,0.307692308,0.31556234917420994,0.4407675820829341,0.38213742085502,0.457879888483239,0.5094388256478655,0.1850583227047328,0.1842159367932564,0.5961888900993162,0.28,0.39621197735213626,0.3891575389425542,0.4718218795867777,1.0,0.5181283063389375,0.30226121057359845
2618,0.2094094462681838,0.14446975406789325,0.1521927456690863,0.792550317609501,0.6,0.1991748790811338,0.19701584282496148,0.7426971169520901,0.7333738531327186,0.5727557695781844,0.05906717089861335,0.05064893953782842,0.547843301197664,0.576923077,0.588291976956775,0.5054232347407971,0.3721001701310383,1.0,0.5325456254252036,0.6620332366080912
2619,0.5933667429949849,0.2408500624919173,0.6670317741396611,0.6159491115282634,0.814814815,0.6912861878202505,0.4801499605846635,0.28004299206058725,0.4802982881496912,0.5654828522121542,0.06754649996141081,0.07098087098087097,0.5356946691833611,0.458333333,0.4360705812871405,0.38441721945217183,0.4068764809042413,0.0,0.5346595738269844,0.5235811210899483
2620,0.4854616467498862,0.7093605773180409,0.6759054517515518,0.4966261213722396,0.807692308,0.3806390353296564,0.3971310303815248,0.9124703141150146,0.7049821582517792,0.5348272700221514,0.0917907951943608,0.09051689051689052,0.4579706517985952,0.84,0.7415382641094209,0.48261476694211,0.43788199426113295,0.0,0.3445677360242789,0.5261738830571786
2621,0.6730772237922723,0.855658043928221,0.4819020584465945,0.13452867415259895,0.807692308,0.5569258165300579,0.750565830562893,0.3609280968441193,0.13574761086204995,0.6097652791592084,0.14345322252491466,0.1364611747590471,0.4587664258480841,0.428571429,0.5244726484488783,0.4872986266338362,0.3347836412776061,1.0,0.510684317094827,0.5749906720447335
2622,0.6185884415184114,0.2379764296777185,0.9672032938221956,0.7442528255930198,0.6785714290000001,0.7403485557759499,0.3735676863622164,0.4876108339188066,0.7300264107853727,0.7567882910993735,0.06396542409508374,0.06336182336182336,0.3569254766807535,0.481481481,0.5620373057250357,0.38606931311033976,0.4835597744718406,0.0,0.513912092262924,0.5048997864419505
2623,0.5823935609962408,0.9124703141150146,0.7049821582517792,0.3116928076309974,0.846153846,0.628766293086318,0.7371684960500371,0.4441927471488378,0.5401950362592975,0.7220072304421303,0.12844580847615433,0.13570467357701402,0.4131341622788022,0.4166666670000001,0.5525583844607784,0.5483416423364555,0.5377542340140733,0.0,0.4443025609246127,0.5511813564155517
2624,0.6891882370771797,0.5833561581934618,0.8602785326009538,0.4460840066394052,0.346153846,0.5026188735948142,0.3620872891056801,0.855658043928221,0.4819020584465945,0.6017981292613708,0.08159770091752579,0.07357756735350096,0.4649150023778245,0.814814815,0.6606039672792505,0.4442893976196461,0.3949506411781937,1.0,0.4189020932733283,0.4900191645177492
2625,0.5665984481682709,0.07187484494176116,0.4878535196919393,0.6363230434269729,0.464285714,0.5186400662898032,0.3116188476298837,0.4438241938786935,0.3546566233553976,0.5729673877797937,0.042039816131119984,0.043966045331233064,0.5777929447185657,0.222222222,0.498833820367189,0.4491240018427452,0.3929573920599556,0.0,0.4990251382326346,0.3946434131245994
2626,0.41828473998407056,0.3014600153909067,0.5631052327461302,0.7108438773944357,0.384615385,0.6439163453116628,0.5163647213604846,0.2691486754347332,0.7265357527779891,0.5239854504172043,0.1397880302426027,0.12887635924285146,0.6062180978097371,0.448275862,0.5472107926981524,0.4914340448826309,0.5625808370386054,0.0,0.5912087987093839,0.4727724679562996
2627,0.5730104205629388,0.01146858420470176,0.6649453595100181,0.7498796376211483,0.538461538,0.4894935985915968,0.15996228512156802,0.6828563800206198,0.5189245183841404,0.4338536454604718,0.03568543022327584,0.03575966322234979,0.7263906028417052,0.535714286,0.5526758210524065,0.2981374047251992,0.3368196468221644,0.0,0.4071924602113305,0.3443948541870963
2628,0.5731263918960189,0.6508836373566241,0.8796266369247563,0.5401908309648875,0.642857143,0.5687399011932174,0.4534992354772565,0.7426971169520901,0.7333738531327186,0.43830809722320907,0.07106432722118376,0.07073945025164538,0.2836671294012485,0.5555555560000001,0.5819427745691831,0.5250831629032793,0.3999123265265734,0.0,0.4879720243683545,0.6585697257850915
2629,0.5349418721806611,0.790836706884465,0.5136846931911211,0.3233340773007081,0.423076923,0.5215760974676387,0.6653977012495468,0.464267055295513,0.4438009488297989,0.4481362173098401,0.1442563785526909,0.14196845537051725,0.6523617457869156,0.266666667,0.2776161217803582,0.38246816551215296,0.4180722953024322,0.0,0.5522958907006067,0.3827272403701487
2630,0.5896848632159465,0.5643716368450308,0.9007584611782116,0.5772131468405706,0.7692307690000001,0.6621547266313984,0.4937136289485553,0.5767837682623336,0.7213887347463187,0.6327072608963846,0.07656743154482641,0.07896116359274254,0.4657467757204998,0.5555555560000001,0.8684995964236707,0.3809087814160012,0.2460248527453881,0.0,0.4671518950319585,0.6472010610874137
2631,0.1689858428266549,0.2651859158715103,0.027617739867234814,0.7101788069915566,0.296296296,0.2902265359748894,0.4150177463570528,0.4329792089690301,0.689646054213925,0.4695999867140988,0.09946842905249366,0.10023293919666976,0.6281663707845174,0.307692308,0.3559829862524635,0.178972301744273,0.34108542472502945,0.0,0.5012095446719177,0.4410824351894605
