,ORPM_adv_h,weighted_DRPM_h,weighted_ORPM_h,Net_ORPM_adv_a,Winpercent_h,Net_ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,weighted_ORPM_a,+/-_h,TS%_a_y,EFG%_a,DRtg_h,Winpercent_a,+/-_a,TRB_a,ORB_a,btb_a,DRB%_h,AST_a,AST%_a_x,PF_a,FT_a,OREB%_h,TS%_a_x,3P%_a,TRB%_a,eFG%_a,DEFRTG_h,FTr_a,FTA_h,Def_Adv_h,PF_h,PTS_a,Previous_Win,FG%_h,FT_h,3PAr_h,eFG%_h,PACE_a
146,0.6145156772504045,0.5768659100931637,0.7128013226650749,0.455474100327594,0.444444444,0.4653287871924557,0.37967626867749693,0.8175133727381696,0.483769968164266,0.5498226643995481,0.0830020917303422,0.07242883813012446,0.5145212368602909,0.5,0.4494826463530144,0.5472299614563338,0.3924524883316678,1.0,0.3544541266217763,0.6068292738212901,0.6068292738212901,0.5823941821441686,0.4888575901808376,0.058848571357023025,0.546545294463037,0.6094870016856427,0.5530709714653237,0.4966811101781314,0.021385273505179016,0.4746873314243766,0.14363830691856638,0.4476596210494773,0.14340076452880207,0.5634366195117095,0.3333333333333333,0.023645210472267364,0.2369441488254829,0.049076531783248056,0.0,0.087195854363441
147,0.23721345981156602,0.30890000038190857,0.30490950604774314,0.7654393913996014,0.4,0.4346934459841845,0.4459632763034251,0.41697344777505824,0.8304825864246113,0.5491483402687274,0.3894748348888718,0.38242981023451456,0.5676785999801035,0.7,0.8132626504571029,0.4442066310107245,0.391099489221956,0.0,0.5280784108282747,0.5930497350825029,0.5930497350825029,0.318839340233137,0.5281114987127333,0.21819811341892406,0.5607320709516342,0.5010281503433299,0.4521987766745045,0.5375610165366768,0.4019624649979224,0.4704470832054756,0.6597561020804878,0.4678491364875326,0.4795081847988398,0.5970884455089527,0.3333333333333333,0.6239196214420469,0.6780282604349621,0.4342216191706204,0.6381425150557876,0.30266027434471104
148,0.6506370172533944,0.4550503530380222,0.9220893998406952,0.5854124586377666,0.625,0.9048191205530991,0.6700654333454222,0.11491948634717768,0.6208153653339062,0.6698002248481248,0.3098150659017868,0.2806969777958339,0.2400513025941965,0.222222222,0.3780699579374073,0.6410453532947927,0.6642043221138443,1.0,0.6587525342305642,0.463834151204008,0.463834151204008,0.6228805048576987,0.5694323227026271,0.5525509175236943,0.4348208794815062,0.1805898750948245,0.5134708877070362,0.3537547115533986,0.4228165679003851,0.42944506301345176,0.6567645973822607,0.5353015444329302,0.4920930118286762,0.5876987443604547,0.16666666666666666,0.4215664366476839,0.6752544879649434,0.3989756310469061,0.4194817632695052,0.34656546112854003
149,0.6164003152846154,0.2238227644342769,0.4448177740998577,0.4752837088333867,0.3,0.5185237999197828,0.4132934542256098,0.3972358559830573,0.21201714353062684,0.5246735909518649,0.2200428664466621,0.20446827733349804,0.5234750345957018,0.363636364,0.4623262468945668,0.4165470313821554,0.32225746257967897,0.0,0.6280462687188627,0.4600987303840159,0.4600987303840159,0.4536169762769592,0.3791231001761209,0.293831328314087,0.6049177265031597,0.8944198554806084,0.5394761834842564,0.606273763161544,0.2562586113314075,0.4981871293872875,0.4639323211178925,0.5101128758015658,0.6101582384280066,0.44410136362142016,0.5,0.4863508612162655,0.4524227413480862,0.4971559064476761,0.4799454171916848,0.2645881960102902
150,0.6044491802964845,0.6315121561586716,0.7590235365370707,0.46536370977772296,0.625,0.4724514964519553,0.3882168763107557,0.85507840353716,0.5501251759441016,0.5609419760865875,0.6044211207361344,0.6332386906760654,0.16682829334545668,0.7,0.4497650762837343,0.1725823277063947,0.18613699034442144,0.0,0.5041996992557289,0.2300338348228028,0.2300338348228028,0.13543824923018233,0.20147853885477013,0.31263303533418485,0.2519716546923432,0.2226731527392242,0.8586365565757736,0.2565158183704302,0.5484606956524847,0.34402065901966394,0.5098514404409945,0.3949774337026085,0.5199306872580417,0.18495082472884786,0.16666666666666666,0.5361822379953393,0.5263004622127202,0.4424284176273328,0.540300880975491,0.5025982483287399
151,0.2826944967081365,0.8997067466370625,0.5653889934162729,0.5801498398930979,0.9,0.4962637469178693,0.6584828147439351,0.5827411171491925,1.0,0.6377600075064506,0.25355181337838323,0.2332462467186937,0.3392024957791165,0.9,0.52774683583104,0.42680535772761097,0.4814477599341114,1.0,0.7160969284930093,0.4201194155864513,0.4201194155864513,0.4742615659970053,0.4330605831306667,0.3096575423628393,0.33373906718484725,0.5742199248626354,0.5179552682401016,0.2780228868182609,0.2616086016516645,0.6603450950097627,0.6273341988614636,0.5034828908464299,0.3931206929999821,0.4252957521374752,0.3333333333333333,0.5526801275437712,0.7142031786456957,0.7090979474084694,0.5310535768208147,0.2357565639641789
152,0.5061136818750627,0.3933903569501954,0.557408614374285,0.5738469469651258,0.7,0.7573849157900151,0.6896664368829423,0.014057483184310882,0.5451812506241597,0.6694624968571115,0.2425879731138349,0.234743744837534,0.2986771254504493,0.625,0.6362668790292503,0.6140284910734155,0.4696435868338532,0.0,0.5517708319417851,0.6730144603877438,0.6730144603877438,0.7885982501775142,0.429873084566851,0.2888729246487867,0.6612573915852824,0.7538550985900847,0.4671188230157452,0.6531116106455308,0.3213296708337975,0.3522793514495058,0.3311946346996522,0.5474950867158621,0.5111109444941784,0.6801248417538406,0.5,0.5986516293413708,0.3339235661575867,0.7226651381967613,0.6318982173441807,0.2038411001272541
153,0.8923496120391092,1.0,0.7846992240782187,0.0,0.5555555560000001,0.8721012577662371,0.9859975451003802,0.02800490979923964,0.0,0.6252877346467128,0.4488565153445979,0.458708850396943,0.6339184275759278,0.0,0.16389352168442256,0.6069262134330127,0.7066853289954942,0.0,0.5250742062458529,0.5849290528533407,0.5849290528533407,0.61942819701587,0.43244447673671776,0.0,0.3832819281601504,0.4845533059074157,0.5003976558167793,0.3711186395008024,0.2906729202733388,0.25686826847198285,0.4110526998677359,0.354098829640106,0.5571061354181502,0.6111664017403263,0.16666666666666666,0.3945995608152752,0.4560170445749862,0.48436736249687606,0.3990461566885657,0.538884801851628
154,0.6040828417948136,0.6876975955271738,0.38442223423780775,0.23974265178464246,0.5555555560000001,0.5462356224271726,0.7094367655821603,0.2688240643628531,0.1762565506481803,0.6327887467180608,0.34223676618974685,0.3374387032767213,0.4611324393585039,0.1,0.5465672790986125,0.6036793069688111,0.6959937766840831,0.0,0.4579727686146473,0.5670295384047117,0.5670295384047117,0.4952160704216644,0.6670462557919676,0.5192209450830141,0.3984665942443684,0.36355590337831395,0.3431042803601841,0.4202801292306191,0.5881534961062358,0.6961387549770971,0.7065935572665993,0.6267416270997612,0.4691665842670993,0.6402020405753518,0.3333333333333333,0.589370087781795,0.7690802768312046,0.5380328093392818,0.5756679398323035,0.3909135955850392
155,0.4263212294230336,0.2797514419237074,0.13219089484353858,0.485202130943658,0.5,0.2985479153682695,0.3842163471855449,0.5113187475526175,0.2795484359974714,0.5903304162884414,0.1761227720711349,0.16645511660263698,0.5327196810300032,0.272727273,0.5039876201501969,0.4308084931146027,0.4920119973027248,0.0,0.4880097434321426,0.4015912622395386,0.4015912622395386,0.4619629196857869,0.10365880304904407,0.28185127999847515,0.19405890928544686,0.09400471788071513,0.4716939778672608,0.2213766464846736,0.483378044162219,0.1494029547429997,0.34207244772202744,0.7013943684142258,0.5057655838351592,0.3462011616137541,0.5,0.4290871129287268,0.3857456465512363,0.2897131614719577,0.3526788646809356,0.17910940013777574
