,ORPM_adv_h,weighted_DRPM_h,weighted_ORPM_h,Net_ORPM_adv_a,Winpercent_h,Net_ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,weighted_ORPM_a,+/-_h,TS%_a_y,EFG%_a,DRtg_h,Winpercent_a,+/-_a,TRB_a,ORB_a,btb_a,DRB%_h,AST_a,AST%_a_x,PF_a,FT_a,OREB%_h,TS%_a_x,3P%_a,TRB%_a,eFG%_a,DEFRTG_h,FTr_a
749,0.6421824221955421,0.4119242604351301,0.9761807688658212,0.6381575724521205,0.5,0.6502438579580583,0.3654544518787956,0.6775778483679715,0.691815924474737,0.6430952439429849,0.13389402368332676,0.11858011858011852,0.5480687032053859,0.64,0.4282946745303473,0.3693991873738576,0.35776121536763905,0.0,0.3141006588226801,0.4268061228824368,0.4268061228824368,0.3716019243727064,0.3580388656700805,0.01430395913154534,0.29397902658328745,0.5008890796337925,0.4272983013715192,0.3336740751450132,0.08703314068013074,0.3391968278819447
750,0.2866678127498477,0.6375772356230157,0.11154179358461663,0.4476689056111609,0.346938776,0.3179631069140159,0.5884791058852143,0.4628795792254748,0.5382061680849213,0.5333374438310265,0.18472058790879414,0.1930765328025602,0.5073647902067254,0.708333333,0.7723889614436515,0.4324586394133227,0.4798638063819128,1.0,0.6025978757616547,0.5466539003314139,0.5466539003314139,0.4545610019176656,0.4886897270074467,0.0629387557492133,0.6904088597783278,0.56896447701758,0.4426755275592933,0.7253021842865188,0.08411801632140617,0.3507809539450504
751,0.26034368178245204,0.0182602568106508,0.2867933537359771,0.8720730745431846,0.32,0.32663070399748106,0.19313329557744088,0.6241535188719314,0.7661059901710731,0.447308897748181,0.23835987234540254,0.2348189267776897,0.5076026731293584,0.54,0.41471584340408496,0.5386422081441901,0.5151926713249066,0.0,0.633062332758207,0.4327325085589728,0.4327325085589728,0.42040915648859184,0.5664567077652081,0.029431978977157876,0.5309732585218442,0.3739370353921885,0.4457997227912448,0.5446821801591705,0.16698293435843672,0.5579530794727421
752,0.6992986611684184,0.3832455267822211,0.6295265007482639,0.4183003562910944,0.591836735,0.6444171054965807,0.5239995148928516,0.3358596613339621,0.23092917841142685,0.6070969798150636,0.07801301687781614,0.08153577661431065,0.5597747173213063,0.224489796,0.5953909518066994,0.5311356492453534,0.4119468650735625,0.0,0.42569350912156345,0.5235813064763678,0.5235813064763678,0.6101464387185921,0.5132579765784941,0.053755914550494166,0.651791331298754,0.5947619585508824,0.4512355037395003,0.7182394840046887,0.048991037359126806,0.4772434587235845
753,0.4867974420437085,0.5839602119854396,0.6894512678896118,0.5646409878114401,0.62,0.4772356196809576,0.4248003606202331,0.7324382128665589,0.7158563838021947,0.4687009783525181,0.1736653406021315,0.17404817404817408,0.510188786018248,0.76,0.6420967132786873,0.44967990087816057,0.4550496013699449,0.0,0.6791316389070158,0.4768465321259191,0.4768465321259191,0.4870852981609003,0.3329033544636101,0.14260249554367205,0.39662968156894907,0.6237890907775143,0.44507496690422604,0.551330113697266,0.11661815899104032,0.24961230530493045
754,0.5995711703952283,0.9625993976155623,0.9566176803869064,0.3970990924169507,0.729166667,0.6326895153518615,0.636614865040415,0.6928600448853366,0.7574753395964495,0.536616969047533,0.2764233249422393,0.2727768685215494,0.5933544832563069,0.568627451,0.5211567727520448,0.2543994849209918,0.27245812658706114,0.0,0.4613260487528337,0.3108941075966896,0.3108941075966896,0.2861650234730886,0.4344506325270271,0.12124246216861992,0.21301181694224866,0.4144705054008573,0.42342530779409737,0.2410673904718981,0.2708510638297872,0.518222464424184
755,0.6652630194769811,0.6537333987591099,0.5023558401714883,0.25348425884472864,0.46,0.5140043148415769,0.5941130411126445,0.4679118134895428,0.171829801217526,0.4636088999805736,0.04251264672658513,0.044589484589484585,0.7361364254723364,0.26,0.4886855264097999,0.5655379567859172,0.3529648416432904,1.0,0.4995824118077496,0.6145455980796484,0.6145455980796484,0.4462424398083488,0.6674768178302075,0.012555975827137954,0.6139472742204364,0.4636836920775902,0.3570999720014765,0.5207993501628555,0.04669429188238613,0.5448163414286107
756,0.15908193209106036,0.7720462727218381,0.2943446330479419,0.6031677333477957,0.576923077,0.43622652638619785,0.6823909622702908,0.4119242604351301,0.9761807688658212,0.4585495726483062,0.21384187241595048,0.20716460579003532,0.6534867261805536,0.509803922,0.6435704662186279,0.5514278676380451,0.5681788066521408,0.0,0.3765157108691254,0.5238602189127605,0.5238602189127605,0.516186854207611,0.5351310509012125,0.14353453799820584,0.6058536782968604,0.5172060304213512,0.39918868455589546,0.6513062990162094,0.19710005785113796,0.4366398214672342
757,0.31379504371901284,0.16913760424746327,0.3936960776090988,0.7968868855347241,0.145833333,0.380941491530099,0.2695481317854549,0.6241535188719314,0.7661059901710731,0.3941163513441587,0.19637542360394872,0.15357679357679355,0.7690733781754918,0.529411765,0.4030806103015805,0.5010222231873325,0.4779332074596243,0.0,0.4417225478624587,0.3189060069847117,0.3189060069847117,0.3996655702892659,0.5613805100609222,0.16812083685148702,0.4269574685804789,0.29550832358143764,0.4537782712959432,0.4205058624906999,0.21569630290415295,0.6118340852639738
758,0.6555811027497499,0.7137902193592681,0.9175648725036964,0.4443364550481437,0.788461538,0.8613754985420674,0.7631881159560707,0.1941381886430177,0.6064026670041966,0.6429561102706037,0.037508366476565566,0.033978005309063336,0.589801668526276,0.36,0.4012271204067903,0.35542861839991513,0.3519563808530676,0.0,0.6508382444955483,0.3769322036919693,0.3769322036919693,0.34760851617105515,0.5959084222131035,0.025122922872626786,0.4112165612289197,0.4880632332427138,0.4112819301141846,0.3727635986920304,0.025074508019565463,0.5736588351768903
759,0.4745103958565127,0.07672201298743002,0.30676998626332425,0.6354787186439823,0.35416666700000005,0.3375738920721087,0.22354966855219505,0.6225596379393508,0.3577491945502989,0.31808774774852444,0.02750705324449246,0.027634061411839186,0.7512070077797897,0.46,0.5483100727506222,0.450396337838614,0.4144249439219185,0.0,0.4635308016051911,0.6076408607236367,0.6076408607236367,0.4759532297063938,0.3034182467409713,0.00794649778606998,0.6078833265692615,0.4406401543620056,0.5255741356930301,0.7119880665677362,0.04302419522758505,0.4243926064145944
