,ORPM_adv_h,weighted_DRPM_h,weighted_ORPM_h,Net_ORPM_adv_a,Winpercent_h,Net_ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,weighted_ORPM_a,+/-_h,TS%_a_y,EFG%_a,DRtg_h,Winpercent_a,+/-_a,TRB_a,ORB_a,btb_a,DRB%_h,AST_a
1023,0.6007267062422899,0.6315121561586716,0.7590235365370707,0.4693344562454352,0.637681159,0.6667487848429141,0.5963989824865905,0.4387141911854905,0.557570124052491,0.5590065557697074,0.23952523557554964,0.2212109031282399,0.5166747166984079,0.588235294,0.7953933389727357,0.5079985511258641,0.3323283833761205,0.0,0.4332979356337912,0.5085463082604412
1024,0.4314773014151799,0.8175133727381696,0.483769968164266,0.4162682820238205,0.4626865670000001,0.6710424293364693,0.8512969431954959,0.11491948634717768,0.6208153653339062,0.5796762612860415,0.22665135575360526,0.22151115337763155,0.418026750505169,0.376811594,0.5130044478668073,0.4457224731761095,0.43829689306755465,1.0,0.5891829026345627,0.30924323337233817
1025,0.6680702281400778,0.492630174485641,0.7205626905179634,0.44179600194063134,0.558823529,0.5300471174136908,0.4024662894792336,0.6876975955271738,0.38442223423780775,0.6664673449822361,0.5145133635979939,0.5181676858666541,0.37559298566082217,0.779411765,0.530253015778378,0.3873014193114344,0.32286995438965777,0.0,0.5721653225048903,0.5033105706541997
1026,0.32730426457817097,0.3972358559830573,0.21201714353062684,0.578573873447178,0.3,0.3961546135666717,0.5019227495164309,0.3933903569501954,0.557408614374285,0.4201606488784915,0.6111974304065347,0.5728039451657257,0.5441722243748028,0.666666667,0.5401780569724841,0.5305345842787892,0.560940977180094,0.0,0.6481019788580231,0.5145331917768882
1027,0.36022578200126426,0.02800490979923964,0.0,0.6026802116781713,0.235294118,0.22804419645420404,0.25834308112331106,0.5113187475526175,0.2795484359974714,0.5773178851832076,0.11070733517593988,0.10859704292312204,0.5461940054425318,0.205882353,0.4325867623746302,0.5780114954857868,0.4649681759705198,1.0,0.4647476917537631,0.6555287097080937
1028,0.518973172068182,0.2747879223648172,0.34285585018410736,0.5010446385605529,0.328358209,0.5053647592732717,0.4829439609914543,0.30890000038190857,0.30490950604774314,0.4419732762364269,0.7731138348729377,0.7505827305860638,0.5612809009958035,0.439393939,0.2856206226289114,0.5221655139939461,0.6076694498444232,0.0,0.623306225786864,0.454732475025008
1029,0.6262498493480521,1.0,0.7846992240782187,0.2838474297957574,0.626865672,0.7189099175461341,0.8218588887196053,0.35628222256078945,0.5321995253821146,0.6771198713190656,0.5241076884367922,0.4669094353334493,0.4232084689984144,0.447761194,0.6564181204493615,0.3909565802868321,0.38446902383420656,0.0,0.4072071872657285,0.5826047889236619
1030,0.4473462990778781,0.2238227644342769,0.4448177740998577,0.6556128737738458,0.352941176,0.3048705538895129,0.18437218044855846,0.85507840353716,0.5501251759441016,0.4638558376585978,0.14790266345566294,0.14387769826933305,0.5363017473894091,0.6,0.4678920207750558,0.3883354984578945,0.2732292463420937,1.0,0.5521370333511229,0.5120750671596107
1031,0.6917303718479405,0.9493884938505469,0.7149681564849398,0.2004267114196091,0.8088235290000001,0.8479789020224944,0.9746942469252736,0.0,0.3315074127890588,0.7808229737459925,0.016318186240094373,0.0138976360507557,0.20498936219224456,0.455882353,0.5892494752966406,0.4563646221219363,0.3888588049742787,0.0,0.5418900223929253,0.4746182605722435
1032,0.7648075193321124,0.5827411171491925,1.0,0.44559355831347097,0.6764705879999999,0.7946666462475862,0.5713637308606057,0.4400136554279813,0.4703849613357751,0.5893325552882919,0.15368906687077255,0.1581210087081944,0.4096790157009518,0.52173913,0.4158539819849636,0.5767403456093455,0.6164166005594358,0.0,0.6464499498783549,0.4512605447967722
1033,0.3612339581099636,0.8298804330229834,0.4352692388850021,0.4595576709259181,0.441176471,0.42960634454698815,0.6265072614649099,0.5768659100931637,0.7128013226650749,0.4992827858746995,0.19006887523850588,0.1897669992618573,0.6198137536817454,0.417910448,0.4819486305182244,0.2783966763368412,0.12926989331476124,1.0,0.3446180823751873,0.2948705658667179
1034,0.5039901895209941,0.8997067466370625,0.5653889934162729,0.3440947115661757,0.695652174,0.5846247015100905,0.7531581948434336,0.3933903569501954,0.557408614374285,0.5404254831568789,0.2520307324879411,0.2334197968161051,0.5048401081662458,0.656716418,0.4901103313184208,0.4315199132877246,0.5150544256428341,1.0,0.5049914377456941,0.4542386015276864
1035,0.2998615050797946,0.6876975955271738,0.38442223423780775,0.5642541945320267,0.768115942,0.2050307411800097,0.34384879776358684,1.0,0.7846992240782187,0.6422158880454667,0.2271593400668559,0.2208918872382615,0.5178877216206966,0.6323529410000001,0.5824416394894107,0.1687479763952447,0.16444939118721108,0.0,0.5081040516207492,0.2653433138067644
1036,0.5436908756411284,0.35628222256078945,0.5321995253821146,0.5376349043030365,0.441176471,0.6460522680296306,0.5662297290632563,0.2238227644342769,0.4448177740998577,0.7327647753128417,0.12732551669602096,0.12800421820962612,0.32245520894452984,0.362318841,0.4269585898439217,0.5046990711960142,0.4999117698744598,1.0,0.8211737740897076,0.44134199945778296
1037,0.6069211429564555,0.6315121561586716,0.7590235365370707,0.46272687823571795,0.642857143,0.8649157848250622,0.8087273364871803,0.014057483184310882,0.5451812506241597,0.5442332605094197,0.15931562488767476,0.13824780574832446,0.519120512715156,0.536231884,0.4690946172640077,0.5511299499081054,0.4547863082179049,0.0,0.31251615452228954,0.6463687342352761
1038,0.5881282753240902,0.2688240643628531,0.1762565506481803,0.3412048812471629,0.253731343,0.5475897150188528,0.6204095772818067,0.02800490979923964,0.0,0.4813492563199955,0.3377582780141468,0.3263945704950819,0.5828203576745471,0.246376812,0.6026776350693629,0.5798349270296133,0.644836674060943,0.0,0.6251382462095587,0.6220089763731231
1039,0.10505074750142183,0.2797514419237074,0.13219089484353858,0.8278999208269502,0.492753623,0.32480568717471026,0.4123505444428426,0.4550503530380222,0.9220893998406952,0.4657469070690744,0.1805275936097977,0.16628830864522398,0.5459300913376206,0.6338028170000001,0.6534698344894664,0.5245092660754367,0.5341655971733369,0.0,0.5871775524605071,0.5123692263916647
