,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Date_c,Home_abb,Date_fmt,Date_shifted,Season
1331,Fri Nov 26 2010,8:30p,Dallas Mavericks,103,San Antonio Spurs,94,Box Score,,18581,,Nov 26 2010,SAS,2010-11-26,11-27-2010,2010-11
8939,Wed Mar 16 2011,8:00p,Orlando Magic,93,Milwaukee Bucks,89,Box Score,OT,13831,,Mar 16 2011,MIL,2011-03-16,03-17-2011,2010-11
9687,Mon Mar 21 2011,8:30p,Golden State Warriors,96,San Antonio Spurs,111,Box Score,,18443,,Mar 21 2011,SAS,2011-03-21,03-22-2011,2010-11
1269,Wed Nov 17 2010,9:30p,Chicago Bulls,94,San Antonio Spurs,103,Box Score,,18581,,Nov 17 2010,SAS,2010-11-17,11-18-2010,2010-11
1290,Sat Nov 20 2010,8:30p,Cleveland Cavaliers,92,San Antonio Spurs,116,Box Score,,16982,,Nov 20 2010,SAS,2010-11-20,11-21-2010,2010-11
9671,Sat Mar 19 2011,8:30p,Charlotte Bobcats,98,San Antonio Spurs,109,Box Score,,19075,,Mar 19 2011,SAS,2011-03-19,03-20-2011,2010-11
8957,Fri Mar 18 2011,8:30p,New Jersey Nets,95,Milwaukee Bucks,110,Box Score,,14563,,Mar 18 2011,MIL,2011-03-18,03-19-2011,2010-11
9738,Mon Mar 28 2011,8:30p,Portland Trail Blazers,100,San Antonio Spurs,92,Box Score,,18583,,Mar 28 2011,SAS,2011-03-28,03-29-2011,2010-11
247,Sat Dec 4 2010,8:30p,Orlando Magic,85,Milwaukee Bucks,96,Box Score,,16218,,Dec 4 2010,MIL,2010-12-04,12-05-2010,2010-11
1116,Wed Oct 27 2010,8:30p,Indiana Pacers,109,San Antonio Spurs,122,Box Score,,18581,,Oct 27 2010,SAS,2010-10-27,10-28-2010,2010-11
1143,Sat Oct 30 2010,8:30p,New Orleans Hornets,99,San Antonio Spurs,90,Box Score,,18581,,Oct 30 2010,SAS,2010-10-30,10-31-2010,2010-11
1187,Sat Nov 6 2010,8:30p,Houston Rockets,121,San Antonio Spurs,124,Box Score,OT,17740,,Nov 6 2010,SAS,2010-11-06,11-07-2010,2010-11
10681,Sun Jan 9 2011,7:00p,Minnesota Timberwolves,91,San Antonio Spurs,94,Box Score,,18581,,Jan 9 2011,SAS,2011-01-09,01-10-2011,2010-11
8911,Sat Mar 12 2011,8:00p,Philadelphia 76ers,74,Milwaukee Bucks,102,Box Score,,15832,,Mar 12 2011,MIL,2011-03-12,03-13-2011,2010-11
8934,Tue Mar 15 2011,10:00p,Dallas Mavericks,101,Portland Trail Blazers,104,Box Score,,20631,,Mar 15 2011,POR,2011-03-15,03-16-2011,2010-11
8984,Tue Mar 22 2011,10:00p,Washington Wizards,76,Portland Trail Blazers,111,Box Score,,20624,,Mar 22 2011,POR,2011-03-22,03-23-2011,2010-11
1288,Sat Nov 20 2010,8:00p,Miami Heat,95,Memphis Grizzlies,97,Box Score,,18119,,Nov 20 2010,MEM,2010-11-20,11-21-2010,2010-11
1240,Sat Nov 13 2010,8:30p,Golden State Warriors,72,Milwaukee Bucks,79,Box Score,,17049,,Nov 13 2010,MIL,2010-11-13,11-14-2010,2010-11
9556,Fri Mar 4 2011,7:30p,Cleveland Cavaliers,119,New York Knicks,115,Box Score,,19763,,Mar 4 2011,NYK,2011-03-04,03-05-2011,2010-11
8963,Sat Mar 19 2011,8:00p,Indiana Pacers,78,Memphis Grizzlies,99,Box Score,,17013,,Mar 19 2011,MEM,2011-03-19,03-20-2011,2010-11
10114,Tue Feb 22 2011,8:00p,Minnesota Timberwolves,88,Milwaukee Bucks,94,Box Score,,13106,,Feb 22 2011,MIL,2011-02-22,02-23-2011,2010-11
10733,Mon Jan 17 2011,1:00p,Phoenix Suns,129,New York Knicks,121,Box Score,,19763,,Jan 17 2011,NYK,2011-01-17,01-18-2011,2010-11
8980,Mon Mar 21 2011,8:00p,Utah Jazz,85,Memphis Grizzlies,103,Box Score,,12688,,Mar 21 2011,MEM,2011-03-21,03-22-2011,2010-11
8966,Sat Mar 19 2011,10:00p,Philadelphia 76ers,101,Portland Trail Blazers,110,Box Score,,20637,,Mar 19 2011,POR,2011-03-19,03-20-2011,2010-11
10149,Sat Feb 26 2011,8:30p,Chicago Bulls,83,Milwaukee Bucks,75,Box Score,,18717,,Feb 26 2011,MIL,2011-02-26,02-27-2011,2010-11
1238,Sat Nov 13 2010,8:00p,Boston Celtics,116,Memphis Grizzlies,110,Box Score,OT,18119,,Nov 13 2010,MEM,2010-11-13,11-14-2010,2010-11
9579,Mon Mar 7 2011,7:30p,Utah Jazz,109,New York Knicks,131,Box Score,,19763,,Mar 7 2011,NYK,2011-03-07,03-08-2011,2010-11
9021,Sun Mar 27 2011,6:00p,San Antonio Spurs,104,Memphis Grizzlies,111,Box Score,,17098,,Mar 27 2011,MEM,2011-03-27,03-28-2011,2010-11
1257,Tue Nov 16 2010,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,99,Box Score,,10827,,Nov 16 2010,MEM,2010-11-16,11-17-2010,2010-11
10729,Sat Jan 15 2011,10:00p,New Jersey Nets,89,Portland Trail Blazers,96,Box Score,,20441,,Jan 15 2011,POR,2011-01-15,01-16-2011,2010-11
8890,Wed Mar 9 2011,8:00p,Cleveland Cavaliers,90,Milwaukee Bucks,110,Box Score,,12499,,Mar 9 2011,MIL,2011-03-09,03-10-2011,2010-11
9581,Mon Mar 7 2011,8:00p,Oklahoma City Thunder,101,Memphis Grizzlies,107,Box Score,,13903,,Mar 7 2011,MEM,2011-03-07,03-08-2011,2010-11
10726,Sat Jan 15 2011,8:00p,Dallas Mavericks,70,Memphis Grizzlies,89,Box Score,,15812,,Jan 15 2011,MEM,2011-01-15,01-16-2011,2010-11
9595,Wed Mar 9 2011,8:00p,New York Knicks,110,Memphis Grizzlies,108,Box Score,,17512,,Mar 9 2011,MEM,2011-03-09,03-10-2011,2010-11
8830,Tue Mar 1 2011,8:00p,Detroit Pistons,90,Milwaukee Bucks,92,Box Score,,11364,,Mar 1 2011,MIL,2011-03-01,03-02-2011,2010-11
383,Wed Dec 22 2010,8:30p,Denver Nuggets,103,San Antonio Spurs,109,Box Score,,18581,,Dec 22 2010,SAS,2010-12-22,12-23-2010,2010-11
8893,Wed Mar 9 2011,8:30p,Detroit Pistons,104,San Antonio Spurs,111,Box Score,,18581,,Mar 9 2011,SAS,2011-03-09,03-10-2011,2010-11
1289,Sat Nov 20 2010,8:30p,Oklahoma City Thunder,82,Milwaukee Bucks,81,Box Score,,16975,,Nov 20 2010,MIL,2010-11-20,11-21-2010,2010-11
1106,Tue Oct 26 2010,10:00p,Phoenix Suns,92,Portland Trail Blazers,106,Box Score,,20603,,Oct 26 2010,POR,2010-10-26,10-27-2010,2010-11
9698,Wed Mar 23 2011,8:00p,Orlando Magic,111,New York Knicks,99,Box Score,,19763,,Mar 23 2011,NYK,2011-03-23,03-24-2011,2010-11
8905,Fri Mar 11 2011,8:30p,Sacramento Kings,103,San Antonio Spurs,108,Box Score,,18712,,Mar 11 2011,SAS,2011-03-11,03-12-2011,2010-11
1115,Wed Oct 27 2010,8:00p,Atlanta Hawks,119,Memphis Grizzlies,104,Box Score,,17519,,Oct 27 2010,MEM,2010-10-27,10-28-2010,2010-11
352,Sat Dec 18 2010,8:30p,Memphis Grizzlies,106,San Antonio Spurs,112,Box Score,OT,18581,,Dec 18 2010,SAS,2010-12-18,12-19-2010,2010-11
1360,Tue Nov 30 2010,7:30p,New Jersey Nets,100,New York Knicks,111,Box Score,,19763,,Nov 30 2010,NYK,2010-11-30,12-01-2010,2010-11
261,Mon Dec 6 2010,8:00p,Miami Heat,88,Milwaukee Bucks,78,Box Score,,17167,,Dec 6 2010,MIL,2010-12-06,12-07-2010,2010-11
10123,Wed Feb 23 2011,7:00p,Oklahoma City Thunder,105,San Antonio Spurs,109,Box Score,,18581,,Feb 23 2011,SAS,2011-02-23,02-24-2011,2010-11
10155,Sun Feb 27 2011,6:00p,Charlotte Bobcats,86,Orlando Magic,100,Box Score,,18846,,Feb 27 2011,ORL,2011-02-27,02-28-2011,2010-11
1337,Sat Nov 27 2010,1:00p,Atlanta Hawks,99,New York Knicks,90,Box Score,,19763,,Nov 27 2010,NYK,2010-11-27,11-28-2010,2010-11
307,Sun Dec 12 2010,3:30p,Portland Trail Blazers,78,San Antonio Spurs,95,Box Score,,16743,,Dec 12 2010,SAS,2010-12-12,12-13-2010,2010-11
10158,Sun Feb 27 2011,7:00p,Memphis Grizzlies,88,San Antonio Spurs,95,Box Score,,18581,,Feb 27 2011,SAS,2011-02-27,02-28-2011,2010-11
10622,Sat Jan 1 2011,8:00p,New Jersey Nets,88,Minnesota Timberwolves,103,Box Score,,12665,,Jan 1 2011,MIN,2011-01-01,01-02-2011,2010-11
10065,Fri Feb 11 2011,8:00p,Milwaukee Bucks,86,Memphis Grizzlies,89,Box Score,,14749,,Feb 11 2011,MEM,2011-02-11,02-12-2011,2010-11
373,Tue Dec 21 2010,8:00p,New Jersey Nets,101,Memphis Grizzlies,94,Box Score,,14113,,Dec 21 2010,MEM,2010-12-21,12-22-2010,2010-11
9656,Fri Mar 18 2011,7:00p,Denver Nuggets,82,Orlando Magic,85,Box Score,,19113,,Mar 18 2011,ORL,2011-03-18,03-19-2011,2010-11
8981,Mon Mar 21 2011,8:30p,Golden State Warriors,96,San Antonio Spurs,111,Box Score,,18443,,Mar 21 2011,SAS,2011-03-21,03-22-2011,2010-11
8581,Mon May 9 2011,9:30p,Oklahoma City Thunder,133,Memphis Grizzlies,123,Box Score,3OT,18119,,May 9 2011,MEM,2011-05-09,05-10-2011,2010-11
10092,Tue Feb 15 2011,8:00p,Philadelphia 76ers,91,Memphis Grizzlies,102,Box Score,,11197,,Feb 15 2011,MEM,2011-02-15,02-16-2011,2010-11
8576,Sat May 7 2011,5:00p,Oklahoma City Thunder,93,Memphis Grizzlies,101,Box Score,OT,18119,,May 7 2011,MEM,2011-05-07,05-08-2011,2010-11
9677,Sun Mar 20 2011,3:30p,Sacramento Kings,127,Minnesota Timberwolves,95,Box Score,,18993,,Mar 20 2011,MIN,2011-03-20,03-21-2011,2010-11
10080,Sun Feb 13 2011,6:00p,Denver Nuggets,108,Memphis Grizzlies,116,Box Score,,15398,,Feb 13 2011,MEM,2011-02-13,02-14-2011,2010-11
10031,Mon Feb 7 2011,8:00p,Los Angeles Lakers,93,Memphis Grizzlies,84,Box Score,,18119,,Feb 7 2011,MEM,2011-02-07,02-08-2011,2010-11
8872,Mon Mar 7 2011,7:00p,Portland Trail Blazers,89,Orlando Magic,85,Box Score,,19001,,Mar 7 2011,ORL,2011-03-07,03-08-2011,2010-11
1138,Sat Oct 30 2010,8:00p,Minnesota Timberwolves,89,Memphis Grizzlies,109,Box Score,,12753,,Oct 30 2010,MEM,2010-10-30,10-31-2010,2010-11
8863,Sun Mar 6 2011,3:30p,Los Angeles Lakers,99,San Antonio Spurs,83,Box Score,,18996,,Mar 6 2011,SAS,2011-03-06,03-07-2011,2010-11
10013,Fri Feb 4 2011,8:00p,Cleveland Cavaliers,105,Memphis Grizzlies,112,Box Score,,11932,,Feb 4 2011,MEM,2011-02-04,02-05-2011,2010-11
9752,Wed Mar 30 2011,8:00p,Chicago Bulls,108,Minnesota Timberwolves,91,Box Score,,19207,,Mar 30 2011,MIN,2011-03-30,03-31-2011,2010-11
9729,Sun Mar 27 2011,7:00p,Boston Celtics,85,Minnesota Timberwolves,82,Box Score,,19178,,Mar 27 2011,MIN,2011-03-27,03-28-2011,2010-11
8586,Fri May 13 2011,9:00p,Oklahoma City Thunder,83,Memphis Grizzlies,95,Box Score,,18119,,May 13 2011,MEM,2011-05-13,05-14-2011,2010-11
10141,Fri Feb 25 2011,8:30p,New Jersey Nets,96,San Antonio Spurs,106,Box Score,,18581,,Feb 25 2011,SAS,2011-02-25,02-26-2011,2010-11
10623,Sat Jan 1 2011,8:30p,Oklahoma City Thunder,74,San Antonio Spurs,101,Box Score,,18581,,Jan 1 2011,SAS,2011-01-01,01-02-2011,2010-11
10666,Fri Jan 7 2011,8:00p,Houston Rockets,95,Orlando Magic,110,Box Score,,19107,,Jan 7 2011,ORL,2011-01-07,01-08-2011,2010-11
415,Tue Dec 28 2010,8:30p,Los Angeles Lakers,82,San Antonio Spurs,97,Box Score,,18581,,Dec 28 2010,SAS,2010-12-28,12-29-2010,2010-11
274,Wed Dec 8 2010,8:00p,Indiana Pacers,95,Milwaukee Bucks,97,Box Score,,12789,,Dec 8 2010,MIL,2010-12-08,12-09-2010,2010-11
9599,Wed Mar 9 2011,8:30p,Detroit Pistons,104,San Antonio Spurs,111,Box Score,,18581,,Mar 9 2011,SAS,2011-03-09,03-10-2011,2010-11
10074,Sat Feb 12 2011,8:30p,Indiana Pacers,103,Milwaukee Bucks,97,Box Score,,17046,,Feb 12 2011,MIL,2011-02-12,02-13-2011,2010-11
10664,Fri Jan 7 2011,8:00p,Utah Jazz,99,Memphis Grizzlies,110,Box Score,,14781,,Jan 7 2011,MEM,2011-01-07,01-08-2011,2010-11
9686,Mon Mar 21 2011,8:00p,Utah Jazz,85,Memphis Grizzlies,103,Box Score,,12688,,Mar 21 2011,MEM,2011-03-21,03-22-2011,2010-11
9611,Fri Mar 11 2011,8:30p,Sacramento Kings,103,San Antonio Spurs,108,Box Score,,18712,,Mar 11 2011,SAS,2011-03-11,03-12-2011,2010-11
9727,Sun Mar 27 2011,6:00p,San Antonio Spurs,104,Memphis Grizzlies,111,Box Score,,17098,,Mar 27 2011,MEM,2011-03-27,03-28-2011,2010-11
1361,Tue Nov 30 2010,8:00p,Los Angeles Lakers,96,Memphis Grizzlies,98,Box Score,,17638,,Nov 30 2010,MEM,2010-11-30,12-01-2010,2010-11
1317,Wed Nov 24 2010,8:00p,Detroit Pistons,84,Memphis Grizzlies,105,Box Score,,11283,,Nov 24 2010,MEM,2010-11-24,11-25-2010,2010-11
10731,Sun Jan 16 2011,9:00p,Denver Nuggets,97,San Antonio Spurs,110,Box Score,,18581,,Jan 16 2011,SAS,2011-01-16,01-17-2011,2010-11
9751,Wed Mar 30 2011,8:00p,Golden State Warriors,91,Memphis Grizzlies,110,Box Score,,13815,,Mar 30 2011,MEM,2011-03-30,03-31-2011,2010-11
1142,Sat Oct 30 2010,8:30p,Charlotte Bobcats,88,Milwaukee Bucks,98,Box Score,,16519,,Oct 30 2010,MIL,2010-10-30,10-31-2010,2010-11
10643,Tue Jan 4 2011,8:00p,Oklahoma City Thunder,105,Memphis Grizzlies,110,Box Score,,12765,,Jan 4 2011,MEM,2011-01-04,01-05-2011,2010-11
9669,Sat Mar 19 2011,8:00p,Indiana Pacers,78,Memphis Grizzlies,99,Box Score,,17013,,Mar 19 2011,MEM,2011-03-19,03-20-2011,2010-11
10715,Fri Jan 14 2011,8:00p,Dallas Mavericks,89,San Antonio Spurs,101,Box Score,,18581,,Jan 14 2011,SAS,2011-01-14,01-15-2011,2010-11
9569,Sun Mar 6 2011,3:30p,Los Angeles Lakers,99,San Antonio Spurs,83,Box Score,,18996,,Mar 6 2011,SAS,2011-03-06,03-07-2011,2010-11
10042,Tue Feb 8 2011,8:00p,Toronto Raptors,74,Milwaukee Bucks,92,Box Score,,11975,,Feb 8 2011,MIL,2011-02-08,02-09-2011,2010-11
10791,Mon Jan 24 2011,7:30p,Washington Wizards,106,New York Knicks,115,Box Score,,19763,,Jan 24 2011,NYK,2011-01-24,01-25-2011,2010-11
1258,Tue Nov 16 2010,8:00p,Los Angeles Lakers,118,Milwaukee Bucks,107,Box Score,,18059,,Nov 16 2010,MIL,2010-11-16,11-17-2010,2010-11
10087,Mon Feb 14 2011,8:00p,Los Angeles Clippers,78,Milwaukee Bucks,102,Box Score,,13111,,Feb 14 2011,MIL,2011-02-14,02-15-2011,2010-11
402,Mon Dec 27 2010,8:00p,Toronto Raptors,85,Memphis Grizzlies,96,Box Score,,14971,,Dec 27 2010,MEM,2010-12-27,12-28-2010,2010-11
8846,Fri Mar 4 2011,7:00p,Chicago Bulls,89,Orlando Magic,81,Box Score,,19207,,Mar 4 2011,ORL,2011-03-04,03-05-2011,2010-11
9544,Wed Mar 2 2011,7:30p,New Orleans Hornets,88,New York Knicks,107,Box Score,,19763,,Mar 2 2011,NYK,2011-03-02,03-03-2011,2010-11
9560,Fri Mar 4 2011,9:30p,Miami Heat,95,San Antonio Spurs,125,Box Score,,18581,,Mar 4 2011,SAS,2011-03-04,03-05-2011,2010-11
10022,Sat Feb 5 2011,8:30p,Detroit Pistons,89,Milwaukee Bucks,78,Box Score,,15791,,Feb 5 2011,MIL,2011-02-05,02-06-2011,2010-11
10754,Wed Jan 19 2011,8:30p,Toronto Raptors,95,San Antonio Spurs,104,Box Score,,18581,,Jan 19 2011,SAS,2011-01-19,01-20-2011,2010-11
10066,Fri Feb 11 2011,8:00p,Los Angeles Lakers,113,New York Knicks,96,Box Score,,19763,,Feb 11 2011,NYK,2011-02-11,02-12-2011,2010-11
10762,Thu Jan 20 2011,10:30p,Los Angeles Clippers,93,Portland Trail Blazers,108,Box Score,,20630,,Jan 20 2011,POR,2011-01-20,01-21-2011,2010-11
10146,Sat Feb 26 2011,8:00p,Sacramento Kings,92,Memphis Grizzlies,120,Box Score,,16028,,Feb 26 2011,MEM,2011-02-26,02-27-2011,2010-11
10101,Wed Feb 16 2011,7:30p,Atlanta Hawks,90,New York Knicks,102,Box Score,,19763,,Feb 16 2011,NYK,2011-02-16,02-17-2011,2010-11
1335,Fri Nov 26 2010,9:30p,Golden State Warriors,111,Memphis Grizzlies,116,Box Score,,14753,,Nov 26 2010,MEM,2010-11-26,11-27-2010,2010-11
10770,Fri Jan 21 2011,8:00p,New York Knicks,92,San Antonio Spurs,101,Box Score,,18581,,Jan 21 2011,SAS,2011-01-21,01-22-2011,2010-11
236,Fri Dec 3 2010,8:00p,Houston Rockets,127,Memphis Grizzlies,111,Box Score,,14577,,Dec 3 2010,MEM,2010-12-03,12-04-2010,2010-11
9684,Mon Mar 21 2011,7:30p,Boston Celtics,96,New York Knicks,86,Box Score,,19763,,Mar 21 2011,NYK,2011-03-21,03-22-2011,2010-11
1219,Wed Nov 10 2010,9:30p,Los Angeles Clippers,95,San Antonio Spurs,107,Box Score,,17309,,Nov 10 2010,SAS,2010-11-10,11-11-2010,2010-11
9757,Thu Mar 31 2011,8:00p,Boston Celtics,107,San Antonio Spurs,97,Box Score,,18583,,Mar 31 2011,SAS,2011-03-31,04-01-2011,2010-11
1241,Sat Nov 13 2010,8:30p,Philadelphia 76ers,93,San Antonio Spurs,116,Box Score,,17627,,Nov 13 2010,SAS,2010-11-13,11-14-2010,2010-11
9601,Thu Mar 10 2011,7:00p,Los Angeles Lakers,88,Miami Heat,94,Box Score,,19986,,Mar 10 2011,MIA,2011-03-10,03-11-2011,2010-11
9613,Sat Mar 12 2011,3:30p,Memphis Grizzlies,85,Miami Heat,118,Box Score,,19600,,Mar 12 2011,MIA,2011-03-12,03-13-2011,2010-11
359,Sun Dec 19 2010,6:00p,Houston Rockets,102,Sacramento Kings,93,Box Score,,13599,,Dec 19 2010,SAC,2010-12-19,12-20-2010,2010-11
10820,Fri Jan 28 2011,7:30p,Detroit Pistons,87,Miami Heat,88,Box Score,,19805,,Jan 28 2011,MIA,2011-01-28,01-29-2011,2010-11
9736,Mon Mar 28 2011,7:30p,Orlando Magic,106,New York Knicks,113,Box Score,OT,19763,,Mar 28 2011,NYK,2011-03-28,03-29-2011,2010-11
1296,Sun Nov 21 2010,6:00p,New Orleans Hornets,75,Sacramento Kings,71,Box Score,,12003,,Nov 21 2010,SAC,2010-11-21,11-22-2010,2010-11
1309,Tue Nov 23 2010,7:30p,Charlotte Bobcats,107,New York Knicks,110,Box Score,,19763,,Nov 23 2010,NYK,2010-11-23,11-24-2010,2010-11
9037,Tue Mar 29 2011,10:00p,Phoenix Suns,113,Sacramento Kings,116,Box Score,,13774,,Mar 29 2011,SAC,2011-03-29,03-30-2011,2010-11
388,Sat Dec 25 2010,12:00p,Chicago Bulls,95,New York Knicks,103,Box Score,,19763,,Dec 25 2010,NYK,2010-12-25,12-26-2010,2010-11
1191,Sat Nov 6 2010,10:00p,Memphis Grizzlies,100,Sacramento Kings,91,Box Score,,14085,,Nov 6 2010,SAC,2010-11-06,11-07-2010,2010-11
9989,Tue Feb 1 2011,10:00p,Boston Celtics,95,Sacramento Kings,90,Box Score,,16482,,Feb 1 2011,SAC,2011-02-01,02-02-2011,2010-11
8567,Sun May 1 2011,3:30p,Boston Celtics,90,Miami Heat,99,Box Score,,20021,,May 1 2011,MIA,2011-05-01,05-02-2011,2010-11
10621,Sat Jan 1 2011,7:30p,Golden State Warriors,107,Miami Heat,114,Box Score,,20254,,Jan 1 2011,MIA,2011-01-01,01-02-2011,2010-11
10641,Tue Jan 4 2011,7:30p,San Antonio Spurs,115,New York Knicks,128,Box Score,,19763,,Jan 4 2011,NYK,2011-01-04,01-05-2011,2010-11
9631,Mon Mar 14 2011,8:00p,San Antonio Spurs,80,Miami Heat,110,Box Score,,20021,,Mar 14 2011,MIA,2011-03-14,03-15-2011,2010-11
9588,Tue Mar 8 2011,7:30p,Portland Trail Blazers,105,Miami Heat,96,Box Score,,19835,,Mar 8 2011,MIA,2011-03-08,03-09-2011,2010-11
10812,Thu Jan 27 2011,8:00p,Miami Heat,88,New York Knicks,93,Box Score,,19763,,Jan 27 2011,NYK,2011-01-27,01-28-2011,2010-11
9568,Sun Mar 6 2011,1:00p,Chicago Bulls,87,Miami Heat,86,Box Score,,19763,,Mar 6 2011,MIA,2011-03-06,03-07-2011,2010-11
1344,Sat Nov 27 2010,10:00p,Chicago Bulls,96,Sacramento Kings,85,Box Score,,13504,,Nov 27 2010,SAC,2010-11-27,11-28-2010,2010-11
380,Wed Dec 22 2010,7:30p,Oklahoma City Thunder,98,New York Knicks,112,Box Score,,19763,,Dec 22 2010,NYK,2010-12-22,12-23-2010,2010-11
10075,Sat Feb 12 2011,10:00p,Oklahoma City Thunder,99,Sacramento Kings,97,Box Score,,14987,,Feb 12 2011,SAC,2011-02-12,02-13-2011,2010-11
9547,Wed Mar 2 2011,10:00p,Portland Trail Blazers,107,Sacramento Kings,102,Box Score,,12286,,Mar 2 2011,SAC,2011-03-02,03-03-2011,2010-11
1362,Tue Nov 30 2010,10:00p,Indiana Pacers,107,Sacramento Kings,98,Box Score,,10927,,Nov 30 2010,SAC,2010-11-30,12-01-2010,2010-11
10113,Tue Feb 22 2011,7:30p,Sacramento Kings,97,Miami Heat,117,Box Score,,19754,,Feb 22 2011,MIA,2011-02-22,02-23-2011,2010-11
10138,Fri Feb 25 2011,7:30p,Washington Wizards,113,Miami Heat,121,Box Score,,19825,,Feb 25 2011,MIA,2011-02-25,02-26-2011,2010-11
374,Tue Dec 21 2010,10:00p,Golden State Warriors,117,Sacramento Kings,109,Box Score,OT,13740,,Dec 21 2010,SAC,2010-12-21,12-22-2010,2010-11
10159,Sun Feb 27 2011,8:00p,New York Knicks,91,Miami Heat,86,Box Score,,19702,,Feb 27 2011,MIA,2011-02-27,02-28-2011,2010-11
10777,Sat Jan 22 2011,7:30p,Toronto Raptors,103,Miami Heat,120,Box Score,,20025,,Jan 22 2011,MIA,2011-01-22,01-23-2011,2010-11
9663,Fri Mar 18 2011,8:30p,New Jersey Nets,95,Milwaukee Bucks,110,Box Score,,14563,,Mar 18 2011,MIL,2011-03-18,03-19-2011,2010-11
1283,Fri Nov 19 2010,10:00p,New Jersey Nets,81,Sacramento Kings,86,Box Score,,11766,,Nov 19 2010,SAC,2010-11-19,11-20-2010,2010-11
9549,Thu Mar 3 2011,8:00p,Orlando Magic,99,Miami Heat,96,Box Score,,19600,,Mar 3 2011,MIA,2011-03-03,03-04-2011,2010-11
248,Sat Dec 4 2010,10:00p,Dallas Mavericks,105,Sacramento Kings,103,Box Score,,12900,,Dec 4 2010,SAC,2010-12-04,12-05-2010,2010-11
10745,Tue Jan 18 2011,7:30p,Atlanta Hawks,93,Miami Heat,89,Box Score,OT,19600,,Jan 18 2011,MIA,2011-01-18,01-19-2011,2010-11
1168,Wed Nov 3 2010,10:30p,Los Angeles Lakers,112,Sacramento Kings,100,Box Score,,16113,,Nov 3 2010,SAC,2010-11-03,11-04-2010,2010-11
10757,Wed Jan 19 2011,10:00p,Portland Trail Blazers,94,Sacramento Kings,90,Box Score,OT,12722,,Jan 19 2011,SAC,2011-01-19,01-20-2011,2010-11
9644,Wed Mar 16 2011,8:00p,Oklahoma City Thunder,96,Miami Heat,85,Box Score,,20083,,Mar 16 2011,MIA,2011-03-16,03-17-2011,2010-11
10659,Thu Jan 6 2011,10:30p,Denver Nuggets,102,Sacramento Kings,122,Box Score,,13184,,Jan 6 2011,SAC,2011-01-06,01-07-2011,2010-11
10833,Sat Jan 29 2011,10:00p,New Orleans Hornets,96,Sacramento Kings,102,Box Score,,14534,,Jan 29 2011,SAC,2011-01-29,01-30-2011,2010-11
9995,Wed Feb 2 2011,7:30p,Dallas Mavericks,113,New York Knicks,97,Box Score,,19763,,Feb 2 2011,NYK,2011-02-02,02-03-2011,2010-11
1149,Mon Nov 1 2010,10:00p,Toronto Raptors,108,Sacramento Kings,111,Box Score,,17317,,Nov 1 2010,SAC,2010-11-01,11-02-2010,2010-11
9600,Wed Mar 9 2011,10:00p,Orlando Magic,106,Sacramento Kings,102,Box Score,,12728,,Mar 9 2011,SAC,2011-03-09,03-10-2011,2010-11
8929,Mon Mar 14 2011,10:00p,Golden State Warriors,119,Sacramento Kings,129,Box Score,,14243,,Mar 14 2011,SAC,2011-03-14,03-15-2011,2010-11
8583,Wed May 11 2011,7:00p,Boston Celtics,87,Miami Heat,97,Box Score,,20208,,May 11 2011,MIA,2011-05-11,05-12-2011,2010-11
9635,Mon Mar 14 2011,10:00p,Golden State Warriors,119,Sacramento Kings,129,Box Score,,14243,,Mar 14 2011,SAC,2011-03-14,03-15-2011,2010-11
9649,Wed Mar 16 2011,10:00p,Cleveland Cavaliers,97,Sacramento Kings,93,Box Score,,13477,,Mar 16 2011,SAC,2011-03-16,03-17-2011,2010-11
8598,Tue May 31 2011,9:00p,Dallas Mavericks,84,Miami Heat,92,Box Score,,20003,,May 31 2011,MIA,2011-05-31,06-01-2011,2010-11
9743,Tue Mar 29 2011,10:00p,Phoenix Suns,113,Sacramento Kings,116,Box Score,,13774,,Mar 29 2011,SAC,2011-03-29,03-30-2011,2010-11
9665,Fri Mar 18 2011,10:00p,Philadelphia 76ers,102,Sacramento Kings,80,Box Score,,15373,,Mar 18 2011,SAC,2011-03-18,03-19-2011,2010-11
1270,Wed Nov 17 2010,10:00p,New York Knicks,113,Sacramento Kings,106,Box Score,,12817,,Nov 17 2010,SAC,2010-11-17,11-18-2010,2010-11
8877,Mon Mar 7 2011,10:00p,Houston Rockets,123,Sacramento Kings,101,Box Score,,12561,,Mar 7 2011,SAC,2011-03-07,03-08-2011,2010-11
8959,Fri Mar 18 2011,10:00p,Philadelphia 76ers,102,Sacramento Kings,80,Box Score,,15373,,Mar 18 2011,SAC,2011-03-18,03-19-2011,2010-11
10645,Tue Jan 4 2011,10:00p,Atlanta Hawks,108,Sacramento Kings,102,Box Score,,11472,,Jan 4 2011,SAC,2011-01-04,01-05-2011,2010-11
8943,Wed Mar 16 2011,10:00p,Cleveland Cavaliers,97,Sacramento Kings,93,Box Score,,13477,,Mar 16 2011,SAC,2011-03-16,03-17-2011,2010-11
8570,Tue May 3 2011,7:00p,Boston Celtics,91,Miami Heat,102,Box Score,,20104,,May 3 2011,MIA,2011-05-03,05-04-2011,2010-11
