,weighted_ORPM_h,weighted_DRPM_h,ORPM_adv_h,Net_ORPM_adv_a,Net_ORPM_adv_h,DRPM_adv_h,Winpercent_h,Winpercent_a,weighted_DRPM_a,DRtg_h,weighted_ORPM_a,DRB_h,+/-_h,FGA_h,ORB_a,DRtg_a,eFG%_h,EFG%_a,TOV%_a,ORB%_a,TRB%_h,FTA_h,+/-_a,ORtg_h,AST_h,AST%_h_x,FT_h,Off_Adv_h,FG%_a,TO RATIO_a
3344,1.0,0.6048691845878349,0.6415905367867045,0.5645442268581042,0.853363635825102,0.6478916776385204,0.706896552,0.525423729,0.31297646250711103,0.6264419702919672,0.7168189264265907,0.3729803538162913,0.5233808603555351,0.39372526440447664,0.3120823600275493,0.6041261750005286,0.5111543697394287,0.08496356524984988,0.5553593260544176,0.5551748157313297,0.4329645138270727,0.3217169346839451,0.4838012326785631,0.4543392360433015,0.3900283167021682,0.3900283167021682,0.4429013157365729,0.5585455853021939,0.6272785607943184,0.10656799259944497
3345,0.1454091423975133,0.0871763842692806,0.3620565731423561,0.6484061893544955,0.2797052685691729,0.2614879558398725,0.389830508,0.5862068970000001,0.5579258607144922,0.6647255317646578,0.4212959961128012,0.6115707514216291,0.454373400915518,0.6205086139857937,0.2320807175640439,0.5542005997388803,0.4611754449285921,0.0915932588151109,0.4418649399978916,0.5185857072993577,0.43378625824290457,0.5438214587674739,0.4598068394467831,0.5225955508040258,0.5902002178971516,0.5902002178971516,0.5898303677497865,0.5395864165426131,0.4591730061669913,0.035222894881673086
3346,0.5498935742705338,0.4703313870090192,0.6800533178680663,0.3445749885745518,0.6684307298677247,0.641110376644777,0.655172414,0.288135593,0.19182286908311305,0.4594992303011207,0.18978693853440096,0.3728146422544043,0.8138595132184843,0.3259591360742178,0.4110418288656484,0.4847278231554957,0.4176663948532993,0.23669186140582016,0.4725184802745277,0.615905209020468,0.5799754375605914,0.31668179441666905,0.5555261848839176,0.4720619426690271,0.4167320375336863,0.4167320375336863,0.3627795639992872,0.6896198279284985,0.6254890944434105,0.1264822134387352
3347,0.12963945553785922,0.6521358786077559,0.19278474760016096,0.5570318719959363,0.25355017624425497,0.528605795522575,0.406779661,0.491525424,0.5956768292839812,0.6278227054392901,0.7440699603375374,0.5401925810388901,0.4896389315935858,0.4657545817525423,0.3777059835175391,0.5729627531306171,0.6032226842187434,0.34859689268938937,0.508132491620086,0.568598241054011,0.5523535833036568,0.3782562323120819,0.6089773078337226,0.6077010264981639,0.4957336270525909,0.4957336270525909,0.3815007568358069,0.34223792597730324,0.5482898467925637,0.14828375286041193
3348,0.4847082637388974,0.6123291291743106,0.3710118825256477,0.5749382519355251,0.5163737361348381,0.5864721009812147,0.421052632,0.6949152540000001,0.4416597761554105,0.5333029593847592,0.742684498687602,0.5003814822396916,0.4474972435994392,0.3471632956675758,0.4390013862308833,0.5624516310958855,0.6788563009163101,0.13744661584209303,0.7115647243606301,0.605745170504585,0.6363690983920284,0.4674590355815647,0.4307600031749298,0.6605439416503585,0.35012879946748193,0.35012879946748193,0.4933137244418835,0.4683007442972386,0.4363122544735893,0.0652871425249942
3349,0.4599210205065029,0.8588430638526636,0.7299605102532515,0.06063781534278051,0.6142138869155964,0.8315710139303989,0.482758621,0.13559322,0.20442377965352784,0.6325641807365198,0.0,0.4883244552680992,0.5312602677537575,0.4490511857215087,0.21139968678645613,0.768260102383237,0.3537907797942601,0.0473668208221984,0.8172944755702384,0.5014140661188161,0.6286666242639253,0.3457574845071829,0.20136610669271995,0.3946027662889616,0.4211856072520153,0.4211856072520153,0.3673676875944337,0.5090922355965433,0.3919461297586193,0.07297050775311646
3350,0.4576908526237762,0.5522414910294061,0.6120961725410141,0.32967033404915325,0.37952634723071293,0.4237284215645385,0.517241379,0.254237288,0.7027781473335982,0.6421452146275762,0.2334985075417481,0.4077410101692648,0.4541501012397022,0.4890806869997884,0.4542545468741874,0.7516019287197737,0.4827132544843916,0.2860411899313501,0.5760682891348765,0.5561658696979483,0.4829598926455484,0.5269108952107996,0.2339361484210473,0.5198273480305066,0.4186709214122833,0.4186709214122833,0.529806943736414,0.4997779185970799,0.395968779032359,0.14673913043478262
3351,0.9199937259273864,0.4103178093441228,0.7171056255756645,0.5316349625028783,0.8793242472019202,0.623852362580438,0.533333333,0.448275862,0.1658713075058294,0.5563711915346045,0.4857824747760575,0.3418587182997271,0.6137343692942276,0.3034701924360085,0.4145674865172364,0.5712155762530257,0.5528183127642878,0.3753174958912297,0.14411113322098584,0.5359378455262825,0.3945028804488713,0.3031800688340721,0.5298122048562224,0.6668340743725503,0.36739546990627947,0.36739546990627947,0.4025348393519967,0.4164712656010992,0.3959227121282136,0.4087852980726132
3352,0.8557956027026057,0.9491215450589164,0.6114293085735621,0.35821188560341977,0.5467120248793151,0.5744340772563942,0.913793103,0.55,0.802211551387462,0.5691595146665469,0.6329369855554815,0.3443723925793081,0.4939329605415959,0.3730361304449352,0.2053407782132945,0.5459110234074468,0.4906024401416595,0.2048330148544827,0.4562841502571906,0.5475497987296453,0.42282837395942396,0.3186497940888127,0.5191731242861579,0.5652979832302737,0.483354110093189,0.483354110093189,0.3512020455242936,0.4719388507827691,0.2681321565764269,0.12909009412819364
3353,0.4383708986183489,0.13151663060831587,0.624291980041974,0.5033171623770757,0.6085458078524589,0.4694449703420837,0.183333333,0.283333333,0.19182286908311305,0.6727041164868041,0.18978693853440096,0.7382647075180814,0.4371679392031633,0.7556394556992349,0.32801293631983897,0.5907592723614135,0.8145646892849472,0.3881510140209332,0.5293066453065648,0.5573328075307105,0.6840072182068112,0.8708804511831402,0.4740451246436209,0.8588061619316438,0.5427794580296307,0.5427794580296307,0.9217804882554296,0.5273919923816807,0.4827942370258183,0.16136261766024204
3354,0.6471899434872557,0.3059837218431771,0.5066006291316958,0.6601008539013369,0.5337012146147745,0.35564429436277073,0.559322034,0.517241379,0.5908975218564889,0.4824512975285551,0.6339886852238641,0.80952279169163,0.5784046325886861,0.6496586798943632,0.2478398057516107,0.575732800067662,0.5146925614631819,0.17441231537341376,0.6685670462036715,0.5608787316339042,0.6091318096054332,0.6088494606171425,0.5524177578025742,0.5153110177106135,0.6609122771455072,0.6609122771455072,0.6517178848878843,0.4717891110094801,0.4938612648556047,0.08537549407114621
