,weighted_ORPM_h,weighted_DRPM_h,ORPM_adv_h,Net_ORPM_adv_a,Net_ORPM_adv_h,DRPM_adv_h,Winpercent_h,Winpercent_a,weighted_DRPM_a,DRtg_h,weighted_ORPM_a,DRB_h,+/-_h,FGA_h,ORB_a,DRtg_a,eFG%_h,EFG%_a,TOV%_a,ORB%_a,TRB%_h,FTA_h,+/-_a,ORtg_h,AST_h,AST%_h_x,FT_h,Off_Adv_h,FG%_a,TO RATIO_a,TOV_h,btb_h,ORB_h,FG%_h,BLK%_h,OFFRTG_a,TRB_h,FG_h,TS%_a_y,STL_h
396,0.31239847365981144,0.5198788170000279,0.4239925771599031,0.4714833847496266,0.4074827600726912,0.5217650377778723,0.4166666670000001,0.518518519,0.4763487414442834,0.5151793212299799,0.4644133193400051,0.5100538323075309,0.4045162601072403,0.6286151159237032,0.7525792616499393,0.3696802661606796,0.7679006118786219,0.0660067311205832,0.709124277184121,0.6915097558147564,0.5501406784711339,0.28802280652000106,0.5237393603641859,0.7539520638863281,0.5340497060950581,0.5340497060950581,0.3699850269388294,0.5933832811260367,0.4763006483382887,0.1005347593582888,0.565177353275332,0.0,0.5555584286057202,0.8368110667625595,0.5180914819352311,0.09957179269149267,0.5956478967687003,0.6037389685829078,0.07339161173991103,0.6299044671383363
397,0.20896279716180968,0.7745640951610581,0.4332192292798214,0.28982316272387537,0.3798562178194853,0.6816040202262099,0.5,0.518518519,0.41135605470863823,0.5647327888242912,0.3425243386021668,0.3042127510064645,0.4653449254705906,0.23883833920502845,0.7564048752346886,0.484553143914806,0.30270214324072864,0.07925233416458137,0.6183386794268423,0.6525418563395793,0.5619059221904324,0.24725064450811665,0.3981298262304235,0.3531954841838792,0.24770309886927466,0.24770309886927466,0.32421118164951024,0.500360334187416,0.496372758951127,0.08905263157894737,0.2969481566015709,1.0,0.42961430771637893,0.2973729283069481,0.4352572630506987,0.11871879328512548,0.3861482334496468,0.1910409193573712,0.0821825635325916,0.19577450243919026
398,0.6579260241601773,0.6993083823662521,0.7706491196852205,0.19947440008532336,0.8118925619701918,0.849654191183126,0.75,0.379310345,0.0,0.26686761475731,0.1166277847897364,0.3238691844684629,0.8132591089827584,0.21181999588290967,0.4660533032026437,0.6160100886611511,0.5249227167378367,0.277086697244535,0.7146070961095466,0.545872131834153,0.43354327332947146,0.23113161523501116,0.4188637839540724,0.473974945779563,0.22988111832734864,0.22988111832734864,0.21601348011414315,0.6623220412169101,0.5146904863984435,0.41144781144781145,0.17423333822244913,0.0,0.0,0.4884660257635589,0.5379474987129241,0.2607767351500677,0.21258060672239304,0.3083755208434798,0.26676258192661656,0.4884416530732874
399,0.27125756512110977,0.2545486133803824,0.4577070244419513,0.5312049267597122,0.5062050974345632,0.5238995292414581,0.384615385,0.538461538,0.2067495548974662,0.5265669230187688,0.3558435162372072,0.7393085345612129,0.4713264338926417,0.6696497905018612,0.6163072141184179,0.6222833405095725,0.5502513014273233,0.2035911945021912,0.5216428543336857,0.6656342590858755,0.6878622559201613,0.6810501457392322,0.3717805984357756,0.5373318807107113,0.6323173948784951,0.6323173948784951,0.685245458150649,0.6568593768076557,0.28121742320875753,0.18140350877192984,0.7197853868812162,0.0,0.7938253052311242,0.560238845180941,0.5476950506417961,0.2224950400424803,0.8719299325272478,0.6973961049933732,0.2055170368832492,0.3885370311105383
400,0.4644133193400051,0.4763487414442834,0.5605531298780858,0.4244794780984275,0.5059729260136901,0.5165483992614401,0.5,0.481481481,0.4432519429214031,0.4807607190504654,0.3433070595838335,0.8470156341042628,0.4017608069270398,0.7441974784816173,0.4208350185194973,0.47447781755722096,0.5668888221741901,0.08789459828778245,0.3971916662968191,0.5625655699093907,0.6569444266834635,0.4848088735891149,0.5138674446692194,0.6111321136246288,0.7404429786818274,0.7404429786818274,0.5334391362163972,0.6808501738341101,0.4443092361474067,0.17810526315789474,0.8051775716682978,1.0,0.7380927363938519,0.5676816053688527,0.5640497576020227,0.11328086232893858,0.9282389412020065,0.7234991711287235,0.08773917472158038,0.5763434626580406
401,1.0,0.7730592270897082,0.7252638639305875,0.4043017482807236,0.8439237733103468,0.7131490330719505,0.851851852,0.464285714,0.346761160945807,0.3881365373745285,0.549472272138825,0.5489504058864221,0.4887409821534857,0.487979347794612,0.4154607769355201,0.5485304599233173,0.7668187378039251,0.055991837924868684,0.1911548715333344,0.5497957674155429,0.5409127239595655,0.42040507875618455,0.5199981654233105,0.9090749378664128,0.6172533080131523,0.6172533080131523,0.3946725077288864,0.574855207966593,0.25050231187607075,0.09842931937172776,0.6115907240444456,0.0,0.4504191072280569,0.8052447630778543,0.6454162455990291,0.06866901012597601,0.5787215602819543,0.5909391226652339,0.06273671403542708,0.5506525489667404
402,0.4180305743469461,0.27463534818185914,0.3276344523605982,0.7459293767215005,0.5770671723884875,0.5230021329231139,0.28,0.740740741,0.2286310823356313,0.7166739676901652,0.7627616696257498,0.4515442789708491,0.27484422627561755,0.4378666337054313,0.5561741565976863,0.20358539105492574,0.3931215058333748,0.30953228256183224,0.4662737198906547,0.6403765698235776,0.48838758000181703,0.3113847822806408,0.9368812093600196,0.08982127478379093,0.3463796235688632,0.3463796235688632,0.28316484374970385,0.4661932628100627,0.5849693706056386,0.18495370370370373,0.6064240523569127,0.0,0.4460856067919052,0.3707896181190514,0.5356994724379374,0.3398380080901712,0.5038068769440013,0.3922172215006003,0.2974447949089007,0.25951217296034523
403,0.5013016363682843,0.4221309439937616,0.6124204641959707,0.41212376068085216,0.5972367032135326,0.5682877900828631,0.576923077,0.307692308,0.2855553638280354,0.5727398332285051,0.2764607079763429,0.5890131315681908,0.3934586356741018,0.500990456837927,0.4566450673231612,0.4873782335195731,0.569248432405301,0.07304903311804656,0.4765735010014848,0.5869035700021002,0.5619293019487633,0.5726983019544589,0.4101918048864193,0.6148431526205127,0.4346852391434333,0.4346852391434333,0.6098504839432558,0.5285746029687524,0.5441849428447657,0.2006324110671937,0.5671222185173508,0.0,0.532337300011659,0.5214378049247996,0.6001782324813629,0.07846346795625134,0.6446575765536573,0.4629008388211605,0.07553604392362817,0.4981599591995981
404,0.3357581607736948,0.4532108987789335,0.4881738055021277,0.44374911062030004,0.4740339466776786,0.5480911137761373,0.230769231,0.384615385,0.3570286712266589,0.5662265736631023,0.3594105497694394,0.2888114548986879,0.3685676070414572,0.3959333856812889,0.4501587529812718,0.5961769514110872,0.4987386311205115,0.09616042402231943,0.18379456693470586,0.5673263045187409,0.4858477710690151,0.3099714285025965,0.36828131665887104,0.5938132479909954,0.3941093754144636,0.3941093754144636,0.2763379931263694,0.4782196649772504,0.307117876267044,0.08468468468468472,0.22681886781118146,0.0,0.2657957334452541,0.4353964720679749,0.5030010357866072,0.12182825606935813,0.3028010062098108,0.3503871781963864,0.1011729821777756,0.5789701460222167
