,weighted_ORPM_h,weighted_DRPM_h,ORPM_adv_h,Net_ORPM_adv_a,Net_ORPM_adv_h,DRPM_adv_h,Winpercent_h,Winpercent_a,weighted_DRPM_a,DRtg_h,weighted_ORPM_a,DRB_h,+/-_h,FGA_h,ORB_a,DRtg_a,eFG%_h,EFG%_a,TOV%_a,ORB%_a
3272,0.4857824747760575,0.1658713075058294,0.2828943744243356,0.8793242472019202,0.5316349625028783,0.376147637419562,0.442307692,0.527272727,0.4103178093441228,0.6186550784467835,0.9199937259273864,0.5889903341018925,0.4837931891422378,0.5358895646085708,0.354591699009175,0.6774647497655901,0.5149063767796633,0.2223774539323136,0.5033791292926647,0.5814827165752336
3273,0.2334985075417481,0.7027781473335982,0.2447142736021054,0.5333048539957985,0.30931992166562444,0.5542644348606751,0.259259259,0.490909091,0.5956768292839812,0.7164601351614115,0.7440699603375374,0.6720762438453298,0.35712779661587746,0.5713522687522156,0.2002954339740891,0.6743500695788378,0.4294914311418661,0.05374962122399506,0.5238487250299001,0.5293068443061805
3274,0.4328960095652699,0.4980247681582666,0.2885502034313321,0.6892302307708321,0.25079482286729304,0.27144528086343794,0.5,0.923076923,0.9491215450589164,0.5555647141238704,0.8557956027026057,0.43246730590570026,0.531421324314586,0.4412264844103139,0.2794752487233824,0.38897794685812825,0.4668628141561434,0.12010378866941775,0.2135877873255252,0.5365653869941373
3275,0.4847082637388974,0.6123291291743106,0.669649560670692,0.25421613937947424,0.6824570106730524,0.7660762485163986,0.41509434,0.4074074070000001,0.0871763842692806,0.6841851386967808,0.1454091423975133,0.3870026416636822,0.3689082517789394,0.36848903287376295,0.37728776046691104,0.5287682625833101,0.4863497183186909,0.06127280598676476,0.5223104229866168,0.4075539708888034
3276,0.5169598824271073,0.5118441546709092,0.38233442093238346,0.6271761507767295,0.4718068897212985,0.4686366793508911,0.490566038,0.581818182,0.5737457111610258,0.6196077953804423,0.7522910405623404,0.4667127249335952,0.5134691721952294,0.4074538738492697,0.3580083627638395,0.4974144038251673,0.4060849318386938,0.24460781927065575,0.7109399673093149,0.4211553488425574
3277,0.4599210205065029,0.8588430638526636,0.3891832433367052,0.4266157643926954,0.6070842641295922,0.8238609671102834,0.461538462,0.5,0.21964104265053064,0.6339020873156099,0.6815545338330925,0.10601422185065308,0.4794766053368323,0.16636483251254494,0.4666432217123261,0.6599078762467331,0.0664208292794019,0.12059336544462405,0.551321355543292,0.4894087395379248
3278,0.6329369855554815,0.802211551387462,0.7516487650088112,0.15678411121008562,0.49735620972162004,0.5760380144523859,0.553571429,0.4,0.6521358786077559,0.5298430022382511,0.12963945553785922,0.42280113418159815,0.5399314723219272,0.4107393853226537,0.4667042554254649,0.5402840423735741,0.5644338993532073,0.14491954904333446,0.6415037175250095,0.5629523585765572
3279,0.5498935742705338,0.4703313870090192,0.34704898578396404,0.7022051896252637,0.3136196250644905,0.2574140279824137,0.666666667,0.905660377,0.9491215450589164,0.5373550377853287,0.8557956027026057,0.31195803467772576,0.5769359082569965,0.3019427156741085,0.3906207753269237,0.5171713977706006,0.4659628920937782,0.13610037086719795,0.1829421818512849,0.5859863787738508
3280,0.6471899434872557,0.3059837218431771,0.5936344614903765,0.5666308177313933,0.40816282824395017,0.21988580254735,0.5555555560000001,0.471698113,0.8588430638526636,0.6202610216709258,0.4599210205065029,0.6068575020971775,0.5134496404429141,0.4846360837083916,0.19919900987936945,0.5548274197870041,0.511146272035736,0.1942209427261468,0.530206481274932,0.5500974170041034
3281,0.2565220438442713,0.0,0.4850002265065578,0.6168797184717207,0.5081094224090171,0.3997951460359731,0.309090909,0.410714286,0.1977735871030712,0.613168006441577,0.28652159083115564,0.6591147383948398,0.4946695168712757,0.498450695382322,0.42054958519558905,0.6965693166071585,0.4591292999381037,0.1348648108240208,0.6301449748736228,0.7286412460827191
3282,0.18978693853440096,0.19182286908311305,0.3660480429553124,0.6189201459158847,0.30619830124630154,0.3173886821437781,0.272727273,0.518518519,0.5522414910294061,0.5894616506750797,0.4576908526237762,0.5610044461465624,0.4744036490245801,0.4874607834470428,0.26985532612217955,0.4533139741765784,0.5539591807786938,0.3215503519569223,0.4657572085094078,0.5153266539388542
3283,0.6339886852238641,0.5908975218564889,0.5978088933027575,0.4215705457248217,0.7418425277700835,0.7327519857209126,0.518518519,0.196428571,0.13151663060831587,0.7602650745207855,0.4383708986183489,0.4047469876037639,0.3920777327339036,0.42659610527660974,0.5498582533037362,0.61173693674099,0.4864845461892782,0.4637796295496741,0.5274222744255053,0.6045096022041617
3284,0.9199937259273864,0.4103178093441228,0.9599968629636932,0.2707817732458733,0.8612615651062528,0.6043191938793059,0.517857143,0.148148148,0.20442377965352784,0.6711531190181504,0.0,0.342093694530374,0.3737847602634095,0.3642547085706993,0.3309312380242284,0.6689196243141363,0.3253411209416922,0.10266660439919674,0.6628143208639248,0.5522108705734633
3285,0.1454091423975133,0.0871763842692806,0.19655905091758646,0.8261423520530966,0.272293320294572,0.2534725993559883,0.4,0.571428571,0.5737457111610258,0.5985502220986024,0.7522910405623404,0.5243461467636912,0.5319173610023857,0.4446780430522749,0.3703835511366621,0.5450638154070239,0.24923895327502502,0.29748283752860405,0.7758799049297239,0.4189457022904905
3286,0.6815545338330925,0.21964104265053064,0.4948010379997525,0.7316794143818921,0.7061770549394577,0.4784594646857198,0.490909091,0.388888889,0.2621554395953627,0.7193640028119365,0.6919524578335877,0.6648483078760157,0.4517182157093668,0.7291988028868714,0.5728101907402283,0.6077558858976017,0.8328715042841397,0.3055001054903679,0.4205942001586982,0.5910797482213379
3287,0.742684498687602,0.4416597761554105,0.37134224934380106,0.7930726698776676,0.5784334002362767,0.41730758805015206,0.727272727,0.735849057,0.6048691845878349,0.5060505884440214,1.0,0.5265966746249001,0.6087677168503242,0.4003010517429749,0.18577666338762489,0.514244122282144,0.5617977944921415,0.2402745995423341,0.5134064986432887,0.4558843512581427
3288,0.4857824747760575,0.1658713075058294,0.3844817741747334,0.7702243986516669,0.5772415268742895,0.4254670414276465,0.452830189,0.537037037,0.31297646250711103,0.6317938966306524,0.7168189264265907,0.6445424865690956,0.4982035568695662,0.5582853087505081,0.4951240134587333,0.5878303223615416,0.5166261121002834,0.13520587487474012,0.5818467842956354,0.6181287125880341
