,weighted_ORPM_h,weighted_DRPM_h,ORPM_adv_h,Net_ORPM_adv_a,Net_ORPM_adv_h,DRPM_adv_h,Winpercent_h,Winpercent_a,weighted_DRPM_a,DRtg_h,weighted_ORPM_a,DRB_h,+/-_h,FGA_h,ORB_a,DRtg_a,eFG%_h,EFG%_a,TOV%_a,ORB%_a,TRB%_h,FTA_h,+/-_a,ORtg_h,AST_h,AST%_h_x,FT_h,Off_Adv_h,FG%_a,TO RATIO_a
739,0.2764607079763429,0.2855553638280354,0.3829031654573404,0.6023798015333307,0.3048396977377135,0.31253343744745354,0.3125,0.625,0.6604884889331284,0.6064917388617086,0.5106543770616622,0.22070002257657892,0.3761188702841788,0.193320599456926,0.7037160469442517,0.7450983107625264,0.1762350684881137,0.06149791410719749,0.44700216609733656,0.6145647381738498,0.4616382400094499,0.0281433103732362,0.2297687746758653,0.13109463992152054,0.18301073049950892,0.18301073049950892,0.0,0.520066684433892,0.5912064599088115,0.059682539682539684
740,0.4678330406354905,0.5969980034223219,0.5830192887802242,0.34734769025473405,0.5936107302813697,0.6721383312220435,0.6122448979999999,0.446808511,0.2527213409782351,0.542718939727068,0.30179446307504204,0.4249460844496501,0.4350070569216312,0.4245682026017207,0.5530052720796508,0.5845633590225363,0.4934907302594209,0.4327026462974228,0.3776667727305328,0.6167325600352499,0.6392889435646583,0.5612036875601544,0.4614543992497782,0.6186121470557625,0.4814498974302334,0.4814498974302334,0.6086868277313469,0.5223029452467403,0.4341046865321705,0.35902777777777783
741,0.7627616696257498,0.2286310823356313,0.7768994362319701,0.4621002157694376,0.5209128488341861,0.22703349358728664,0.692307692,0.571428571,0.7745640951610581,0.59150613569959,0.20896279716180968,0.4756499960863778,0.3349161111331276,0.4988000872384831,0.5087749875955153,0.6300563994841419,0.36341479096993656,0.3414741259477065,0.6318428943591148,0.6625120439519778,0.4476366074636348,0.4606697910851314,0.29430894340074576,0.4353369349077753,0.4153554552991902,0.4153554552991902,0.4934929755725879,0.3245094889197936,0.4956675238493533,0.2550000000000001
742,0.5106543770616622,0.6604884889331284,0.25532718853083103,0.7027159822528565,0.3829556789846069,0.4437146309217101,0.632653061,0.857142857,0.7730592270897082,0.720645079303484,1.0,0.6585550096760151,0.239230100398851,0.573883690650322,0.5809003254953378,0.2114942272970265,0.6745883635516953,0.07215552352425286,0.1314595987410716,0.7008296976532798,0.5194828382709566,0.5717868833844096,0.7726767001498647,0.6606920358609027,0.3198687930570017,0.3198687930570017,0.5529835541777559,0.5777387555225197,0.9056417475882178,0.1065979381443299
743,0.6168843053665815,1.0,0.8084421526832908,0.0,0.6786960450327464,0.8771070322146852,0.770833333,0.375,0.2457859355706295,0.4396591194282181,0.0,0.6624240973993244,0.5811556922048603,0.5967916967639106,0.4435654171213254,0.5666697415194856,0.6701368678404538,0.11106409686569754,0.6078109866912885,0.5485013669373857,0.6204646195686311,0.5931252826849478,0.3350935494616744,0.7368315944442052,0.6040537384943723,0.6040537384943723,0.5472429362083792,0.7336950290097941,0.7405595821169636,0.07421052631578949
744,0.31239847365981144,0.5198788170000279,0.5978853444350375,0.280235144577413,0.6218859935553709,0.7599394085000141,0.583333333,0.333333333,0.0,0.25905432182956245,0.1166277847897364,0.4927691790861874,0.7148842838697725,0.28248387454000945,0.4318171420829571,0.7488220031557731,0.5464374304416657,0.2783536381076604,0.8267017333763791,0.6077878016027958,0.6866055725077572,0.15056741054611145,0.17260572328075302,0.8460889009490473,0.4293887882529276,0.4293887882529276,0.156168480620347,0.7237741393687634,0.40595973943655533,0.4155789473684211
745,0.5295782667619939,0.5967823437999942,0.7064752409861288,0.2456210826988361,0.74131377046239,0.7983911718999971,0.632653061,0.326923077,0.0,0.3113781659954467,0.1166277847897364,0.6099141634942955,0.7028449076483395,0.5018654836446369,0.4378607519416292,0.7078641579191451,0.5384434847500015,0.21284218953089545,0.6805478678771116,0.6304801863347752,0.5663183523884274,0.17424473917767924,0.13279999881659998,0.6384312214153629,0.4807977007001638,0.4807977007001638,0.3128323364013099,0.4337887719174552,0.4408438124705464,0.17625000000000002
746,0.1355839471409072,0.5605030481667898,0.3961384437785369,0.3866018604981531,0.3251487326459769,0.5586255526226933,0.183673469,0.541666667,0.4432519429214031,0.5834349798652437,0.3433070595838335,0.8211157167599508,0.3502584589121432,0.7389491446673697,0.5374596568184289,0.4069649248267268,0.7988768170331644,0.10362609049695727,0.5171598027245817,0.6702325479917213,0.5880850160351659,0.5800624625801193,0.6135992478663349,0.8216716798932798,0.5991863020902795,0.5991863020902795,0.6703080493762058,0.562841070641477,0.5637770196215773,0.1637630662020906
747,0.27125756512110977,0.2545486133803824,0.4847315510230338,0.5014832009449646,0.4855133253626856,0.5009136362010737,0.4375,0.4375,0.2527213409782351,0.4707853826604212,0.30179446307504204,0.7413544933619607,0.5151880481423939,0.6640647428407911,0.5007576833802541,0.5919126657532153,0.6660384342529406,0.30099450334745537,0.4054406475817875,0.5939697211708206,0.6111956831468263,0.9556877871365532,0.4871579420818811,0.8931360115401581,0.7320660885108552,0.7320660885108552,1.0,0.7280506859303042,0.4861800535730094,0.1889690721649485
748,0.4644133193400051,0.4763487414442834,0.5231913724965295,0.4655701482909284,0.5818667827317421,0.6008566966312121,0.448979592,0.387755102,0.27463534818185914,0.5338943348718322,0.4180305743469461,0.2446390996665608,0.44169739598904456,0.2898191846596469,0.4951458717810148,0.5054594807554615,0.4812684736723475,0.2439627726277058,0.3827173996459336,0.6582826398138459,0.4818223784055218,0.14331200857677884,0.4984274641491359,0.4963536590305251,0.3436354605785407,0.3436354605785407,0.12453688736980105,0.7098222711989193,0.2593723147667813,0.2907216494845362
749,0.7627616696257498,0.2286310823356313,0.6911260285911394,0.5564342902794384,0.7929009696957502,0.5291772554971743,0.679245283,0.5,0.1702765713412827,0.5553505065998177,0.3805096124434709,0.4489422633443421,0.4271800239197264,0.5469140915118532,0.537617373740065,0.3764541160190489,0.4402120399594565,0.2433691536309987,0.3938790132841957,0.5786610090455715,0.4564270026745584,0.5297068787827852,0.6919918248506025,0.5203307958646914,0.4568000335845994,0.4568000335845994,0.5743279274127919,0.6819225693348463,0.7343690441109836,0.23333333333333334
