,weighted_ORPM_h,weighted_DRPM_h,ORPM_adv_h,Net_ORPM_adv_a,Net_ORPM_adv_h,DRPM_adv_h,Winpercent_h,Winpercent_a,weighted_DRPM_a,DRtg_h
0,0.44211944916419466,0.7878156237077171,0.6783823313028104,0.13974914698362434,0.5755672925931519,0.7641283152272264,0.5,0.5,0.2665075004831434,0.7367586025403576
1,0.5797856059902354,0.042364712786333684,0.378271436265316,0.885236913311727,0.660745616593418,0.3986060785050672,0.5,0.5,0.24248515377514065,0.5760954249928498
2,0.7710613850603262,0.5306485823147269,0.6852483045694162,0.4294975465241679,0.5962385151982068,0.4651714990500682,0.5,0.5,0.599389339811001,0.5367918339243646
3,0.5058910166531976,0.2985326915863241,0.38330993639660027,0.7201259052645637,0.4782023322300787,0.3739030180602505,0.5,0.5,0.5474093822309541,0.7275880380375229
4,0.6396086565103479,0.6880861935762084,0.5047061570722757,0.479041037867778,0.5527240212059863,0.5742158878986476,0.5,0.5,0.5416068386437191,0.5902090553053444
5,0.6342384676965505,0.2700060885663655,0.6008449039590433,0.5687888495555758,0.6339449982785402,0.4533411552777095,0.5,0.5,0.3620963090074367,0.5484585364479286
6,0.4711944246547725,0.6352548053025789,0.4457044093322685,0.4767243863805655,0.6961956677076953,0.8003963573070378,0.5,1.0,0.042364712786333684,0.530581646061375
7,0.7544658570139223,0.6070271385245309,0.6538362631849262,0.4185361031032872,0.8232512620398029,0.7590005684867829,0.5,0.5,0.09583961152354603,0.5829523784019034
8,0.6369797981262916,0.4628790328147749,0.7758125057838591,0.29198909465970474,0.6802024865859533,0.599494482596042,0.5,0.0,0.2665075004831434,0.6104967875216473
9,0.4408599547342287,0.2796243169029497,0.49937025278501707,0.5694217752787107,0.330646640679167,0.24251750989569384,0.5,1.0,0.7878156237077171,0.7766831208468836
10,0.605267754150927,0.4146465955530767,0.6315391995594646,0.4525008725524309,0.5892815283016822,0.4951488521527997,0.5,0.5,0.42422127056485376,0.5952195806893498
11,0.2850077702432557,0.2255491191138852,0.2569731925914648,0.7713908902561907,0.3674462889400935,0.34541693558599273,0.5,1.0,0.5306485823147269,0.5745290613595561
12,0.18318770329445444,0.1599312325061501,0.29783984965307186,0.7035706834468737,0.4465936830226113,0.4568874341810204,0.5,0.5,0.2450221882227051,0.6372033528083733
13,0.4232540360043648,0.3697600786732309,0.4186922815879261,0.6043813979967863,0.6703852890435944,0.6658065312140891,0.5,0.5,0.04250894116745718,0.674919493315102
14,0.5944767996737471,0.658654475996884,0.5636986924580908,0.4052406847712997,0.4399479481172541,0.4635543291358404,0.5,0.5,0.7305870299205729,0.7169838408406121
15,0.4878988734389794,0.4245466539393401,0.6588130421437324,0.35554752797659633,0.5605466828061512,0.5372457068809474,0.5,0.5,0.3510350747829157,0.4734906485472212
16,0.4121973740200551,0.4422695902266392,0.39744283233267375,0.5872927995677851,0.2917555765294924,0.2995109912792064,0.5,0.5,0.8379732798271947,0.6083006783650817
17,0.40056477592149387,0.599389339811001,0.3976485108852834,0.5072114307996753,0.4838470315925748,0.5936025885986036,0.0,1.0,0.4146465955530767,0.5997327755433437
18,0.8232427334596035,0.24248515377514065,0.6760241544024155,0.6024348346130686,0.6074548500042479,0.30099756418789503,0.0,1.0,0.6352548053025789,0.5656551189845018
19,0.6301963423657966,0.5416068386437191,0.5711487344634085,0.4712596152001949,0.6025151151166342,0.5593102389713502,0.0,1.0,0.4245466539393401,0.4813758960113013
20,0.17027278915151473,0.3510350747829157,0.4140417170597585,0.4823042707078448,0.3556999772522237,0.462919153321066,0.0,0.0,0.42422127056485376,0.6516225612504061
21,0.7392711438599971,0.5474093822309541,0.4841048793998354,0.6205922698813735,0.6113744994528323,0.50849210216858,0.0,0.5,0.5306485823147269,0.5974068907330284
22,0.4467933306440701,0.09583961152354603,0.4704511569954362,0.6897727130101422,0.5630725442937708,0.39730261363655023,0.0,1.0,0.2985326915863241,0.5820545718372869
23,0.5858694728285125,0.04250894116745718,0.4991807344201009,0.758585612483591,0.6628238463010138,0.3973937286358857,0.0,0.0,0.2450221882227051,0.5477337955431114
24,0.7544658570139223,0.6070271385245309,0.5574286002517872,0.5220731702093693,0.545770697554096,0.4589302550816241,1.0,1.0,0.6880861935762084,0.5308461811780057
25,0.5797856059902354,0.042364712786333684,0.4926544031582442,0.762395257797277,0.4657611254183299,0.18774786043672412,0.5,1.0,0.658654475996884,0.6387181675678353
