,weighted_ORPM_h,weighted_DRPM_h,ORPM_adv_h,Net_ORPM_adv_a,Net_ORPM_adv_h,DRPM_adv_h,Winpercent_h,Winpercent_a,weighted_DRPM_a,DRtg_h,weighted_ORPM_a,DRB_h,+/-_h,FGA_h,ORB_a,DRtg_a,eFG%_h,EFG%_a,TOV%_a,ORB%_a
35,0.7627616696257498,0.2286310823356313,0.7135017544260276,0.531825341583329,0.6655530218834959,0.3877100917783489,0.5,0.0,0.4532108987789335,0.3722148991313585,0.3357581607736948,0.4589124182392442,0.6306688276986263,0.4786570143479776,0.536300201614545,0.3951039876352528,0.6716661598498571,0.11245116639743756,0.3584678484133221,0.5851836925988397
36,0.5106543770616622,0.6604884889331284,0.5214106682130858,0.4100758798176882,0.4622003423183509,0.5317452427554032,1.0,0.5,0.5969980034223219,0.4244191990524041,0.4678330406354905,0.406486192353365,0.5312916440793866,0.4237336198551559,0.5937772850080647,0.4235902143595554,0.4962678796754092,0.3123739794180391,0.7148802999761611,0.6378142682740919
37,0.4199420328929071,0.4489777008009025,0.5537717796165478,0.41980238875468107,0.4470284996946745,0.4645494419004372,0.5,0.0,0.5198788170000279,0.6918325536124681,0.31239847365981144,0.4414654866613458,0.3562775455385726,0.5160100079191402,0.516846295823052,0.4260914293098702,0.3888472872474477,0.2264321936450958,0.3338239978908075,0.6160147767025738
38,0.13235777606472476,0.3903373571551921,0.2577367353490716,0.613633855305363,0.07278391201123352,0.195168678577596,0.5,1.0,1.0,0.42871633157849603,0.6168843053665815,0.6094030418426748,0.6146480338251663,0.4680189484988803,0.6401311052280765,0.32235043220366744,0.5335235476749,0.25432734363552056,0.6198318319127465,0.6349879647432901
39,0.5013016363682843,0.4221309439937616,0.692336925789274,0.3242311882639254,0.7257643721592371,0.7110654719968807,1.0,0.5,0.0,0.4090411434551393,0.1166277847897364,0.5792998217350017,0.6096882631175495,0.4695395927530984,0.4447051733271623,0.5829084158378138,0.5364326920536001,0.16876554969221655,0.3104066245061311,0.5979115022973702
40,0.2764607079763429,0.2855553638280354,0.1382303539881714,0.8714723310542956,0.2541719239904288,0.2562480683691636,0.0,0.5,0.7730592270897082,0.4525054433072596,1.0,0.5284421541953169,0.4804720067327176,0.41435587350715947,0.3657568596335207,0.3887443203767493,0.5515249896544429,0.11121061243796823,0.3990033351881488,0.7912236266445288
41,0.20896279716180968,0.7745640951610581,0.4247761236961851,0.2991089375709902,0.4043088208637872,0.7087677119671996,1.0,0.666666667,0.3570286712266589,0.4683727425066864,0.3594105497694394,0.5940196269277885,0.5694499327296662,0.5085360427250246,0.5141410584460017,0.5622395303295141,0.5120287212393294,0.2722243727720569,0.2828936102908395,0.6552926812676589
42,0.1355839471409072,0.5605030481667898,0.3775371673487181,0.4070596485816049,0.44801418233827855,0.6951132384127535,0.333333333,1.0,0.1702765713412827,0.5592584130240643,0.3805096124434709,0.4844113927996011,0.41511176738872413,0.5931530949631441,0.6878864708421335,0.3577249035292292,0.5344558819741723,0.3106124144703215,0.33724429934925026,0.6714192151774951
43,0.5106543770616622,0.6604884889331284,0.6170968345426596,0.3048396977377135,0.6023798015333307,0.6874665625525465,1.0,0.0,0.2855553638280354,0.39849785763467616,0.2764607079763429,0.44641461933254706,0.5560504158645956,0.4797297766594401,0.6673835307232767,0.5272860726257192,0.5488621160445193,0.19999711005730444,0.4735967911148724,0.6082959943262534
44,0.7063654520314357,0.4906993742022954,0.717553943455163,0.3784000795789658,0.7239579216451691,0.6180753804109564,0.5,0.5,0.2545486133803824,0.2990754092906985,0.27125756512110977,0.7531832957362565,0.7415712489502313,0.6213615010190304,0.6793511997041901,0.5038984216480208,0.6928923957219848,0.3977334849841001,0.4157812254579947,0.6372047698178104
45,0.6579260241601773,0.6993083823662521,0.4475821772672138,0.5547852342472953,0.7089863525850711,0.7353386500153104,1.0,0.666666667,0.2286310823356313,0.3176750845732215,0.7627616696257498,0.0345315989279989,0.6279769488128972,0.07766101288129584,0.33381840956398473,0.3604781156308178,0.3288478897067101,0.3874603984769618,0.6640234782327208,0.4786787437895317
46,0.4644133193400051,0.4763487414442834,0.554284901551399,0.4313733107474862,0.6124219880285594,0.6347995932734086,0.666666667,0.5,0.2067495548974662,0.5511942300391809,0.3558435162372072,0.8501736988347464,0.4993175779449373,0.695178260004945,0.6835488923651044,0.5703581122444673,0.7516279275659771,0.4245958947026101,0.5650952122266051,0.6941570443311395
47,0.3433070595838335,0.4432519429214031,0.6133396373970486,0.3147246858414765,0.6388827115811072,0.7216259714607015,0.333333333,0.333333333,0.0,0.5421416781101961,0.1166277847897364,0.5119870736307572,0.4681684939018375,0.5430492778104917,0.4644592434239798,0.6887732418048674,0.578316139169405,0.18125926489688254,0.3792984394995457,0.6088548910711821
48,0.13235777606472476,0.3903373571551921,0.38647361314764267,0.4720483154922724,0.362183505065021,0.5166543429642666,0.333333333,0.5,0.3570286712266589,0.5255955755475705,0.3594105497694394,0.7152148012927283,0.4847334279239893,0.6407314256101122,0.5551887464434127,0.5959638690117867,0.5555410195061061,0.23703538487102316,0.3588584591123544,0.6913887933251246
49,0.4180305743469461,0.27463534818185914,0.4990442707270196,0.5574118976767899,0.4778897769729182,0.4128288236904783,0.0,0.666666667,0.4489777008009025,0.4964456404233081,0.4199420328929071,0.4242080742234793,0.6270289383951556,0.36055243143262217,0.45028001272741097,0.6417934045808253,0.4229925133288141,0.16319846945216054,0.38259065349193777,0.39198685181251264
50,0.3668024838596009,0.25593394426897903,0.5325040103922795,0.5008596673946124,0.5380537439564682,0.5016063016453719,0.0,0.333333333,0.2527213409782351,0.7051772866858409,0.30179446307504204,0.6181166360755515,0.04622133263981632,0.8353006722634605,0.3559252676479159,0.5662121673819711,0.4564686958889178,0.4777201543889119,0.4388823606601901,0.552193719575331
51,0.0,0.2457859355706295,0.3752993260813177,0.4766161367593194,0.3494273109605508,0.5110616933651112,0.0,0.0,0.22366254884040712,0.6833594501723728,0.24940134783736456,0.5420185476032372,0.0705291472477324,0.6775998991044611,0.6270212904811976,0.6608836647293865,0.4869162588851041,0.1772803015048902,0.4308222333013143,0.6451595357235093
