,Unnamed: 0,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE,HOMESCORE,HOMEWIN,,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG,HOME_AST%,AWAY_AST%,HOME_AST/TO,AWAY_AST/TO,HOME_AST RATIO,AWAY_AST RATIO,HOME_OREB%,AWAY_OREB%,HOME_DREB%,AWAY_DREB%,HOME_REB%,AWAY_REB%,HOME_TO RATIO,AWAY_TO RATIO,HOME_EFG%,AWAY_EFG%,HOME_TS%,AWAY_TS%,HOME_PACE,AWAY_PACE,HOME_PIE,AWAY_PIE
0,1319,OKC,MIN,2008-11-02,2008,85,88,1,0,0.0,4.5612,0.0,6.948900000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954000000000000,0.0,4.7250000000000000,0.0,2.4381000000000000,0.0,0.006300000000000000,0.0,2.1924,0.0,2.3751,0.0,6.125490000000000,0.0,0.2709
1,1323,OKC,GSW,2008-12-08,2008,112,102,0,1,0.0,12.7,0.0,6.840000000000000,0.0,6.32,0.0,0.3,0.0,2.1800000000000000,0.0,3.16,0.0,8.75,0.0,6.280000000000000,0.0,0.01,0.0,5.95,0.0,5.990000000000000,0.0,11.088,0.0,7.72
2,0.0,OKC,MEM,2008-12-10,2008.0,108.0,102.0,0.0,2,0.0,3.796875,0.0,5.676562500000000,0.0,3.9046875000000000,0.0,0.07828125,0.0,0.9000000000000000,0.0,0.46875,0.0,4.0171875,0.0,1.9312500000000000,0.0,0.004687500000000000,0.0,1.875,0.0,2.203125,0.0,4.9214062500000000,0.0,1.359375
3,1.0,OKC,NYK,2009-01-06,2008.0,99.0,107.0,1.0,3,0.0,18.083333333333300,0.0,21.395833333333300,0.0,12.145833333333300,0.0,0.36458333333333300,0.0,3.0416666666666700,0.0,2.8333333333333300,0.0,13.583333333333300,0.0,8.333333333333330,0.0,0.020833333333333300,0.0,8.458333333333330,0.0,9.4375,0.0,18.345833333333300,0.0,7.458333333333330
4,2.0,OKC,MIL,2008-10-29,2008.0,98.0,87.0,0.0,4,0.0,20.745,0.0,24.705,0.0,12.51,0.0,0.5625,0.0,3.2625,0.0,5.805000000000000,0.0,13.8375,0.0,9.4725,0.0,0.022500000000000000,0.0,8.6625,0.0,9.675,0.0,22.49325,0.0,9.0
5,3.0,OKC,IND,2009-04-05,2008.0,117.0,99.0,0.0,5,0.0,9.389387755102040,0.0,11.439183673469400,0.0,7.714285714285710,0.0,0.11020408163265300,0.0,1.9285714285714300,0.0,4.727755102040820,0.0,10.105714285714300,0.0,7.207346938775510,0.0,0.03306122448979590,0.0,4.826938775510200,0.0,5.091428571428570,0.0,11.244122448979600,0.0,4.342040816326530
6,4.0,OKC,TOR,2008-12-19,2008.0,83.0,91.0,1.0,6,0.0,12.317684210526300,0.0,13.140947368421100,0.0,7.815789473684210,0.0,0.2344736842105260,0.0,2.678210526315790,0.0,4.1684210526315800,0.0,10.421052631578900,0.0,6.742421052631580,0.0,0.020842105263157900,0.0,6.158842105263160,0.0,6.158842105263160,0.0,9.989621052631580,0.0,4.376842105263160
7,5.0,OKC,DEN,2009-01-02,2008.0,122.0,120.0,0.0,7,0.0,10.262686567164200,0.0,7.889552238805970,0.0,5.820895522388060,0.0,0.14597014925373100,0.0,2.077611940298510,0.0,1.4955223880597000,0.0,5.641791044776120,0.0,4.361194029850750,0.0,0.01791044776119400,0.0,5.740298507462690,0.0,6.0,0.0,9.994029850746270,0.0,6.7343283582089600
8,6.0,OKC,CHI,2009-03-18,2008.0,103.0,96.0,0.0,8,0.0,21.35,0.0,12.90625,0.0,9.114583333333330,0.0,0.36458333333333300,0.0,3.1645833333333300,0.0,10.602083333333300,0.0,9.727083333333340,0.0,10.15,0.0,0.014583333333333300,0.0,9.989583333333330,0.0,10.091666666666700,0.0,13.756458333333300,0.0,12.760416666666700
9,7.0,OKC,SAC,2009-02-08,2008.0,113.0,116.0,1.0,9,0.0,11.144041450777200,0.0,9.342487046632130,0.0,7.3834196891191700,0.0,0.19689119170984500,0.0,2.146113989637310,0.0,2.7367875647668400,0.0,7.767357512953370,0.0,5.325906735751300,0.0,0.019689119170984500,0.0,5.217616580310880,0.0,5.729533678756480,0.0,9.627979274611400,0.0,6.044559585492230
10,8.0,OKC,SAS,2009-03-16,2008.0,76.0,78.0,1.0,10,0.0,24.48775510204080,0.0,19.102040816326500,0.0,16.873469387755100,0.0,0.37142857142857100,0.0,5.014285714285710,0.0,8.83469387755102,0.0,22.736734693877600,0.0,16.316326530612200,0.0,0.05306122448979590,0.0,12.681632653061200,0.0,13.079591836734700,0.0,25.206734693877600,0.0,18.99591836734690
11,9.0,OKC,CLE,2008-12-21,2008.0,102.0,91.0,0.0,11,0.0,19.118279569892500,0.0,10.75268817204300,0.0,5.860215053763440,0.0,0.0,0.0,2.150537634408600,0.0,5.860215053763440,0.0,3.5806451612903200,0.0,5.064516129032260,0.0,0.0,0.0,6.602150537634410,0.0,7.10752688172043,0.0,8.841935483870970,0.0,7.344086021505380
12,10.0,OKC,DET,2009-01-16,2008.0,79.0,89.0,1.0,12,0.0,25.05340206185570,0.0,18.5019587628866,0.0,14.852783505154600,0.0,0.3798556701030930,0.0,4.950927835051550,0.0,7.853195876288660,0.0,16.218556701030900,0.0,12.612061855670100,0.0,0.04268041237113400,0.0,12.761443298969100,0.0,13.209587628866000,0.0,20.653051546391800,0.0,14.596701030927800
