,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE,HOMESCORE,HOMEWIN,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG
80,MEM,PHI,2007-12-22,2007,99,97,0,,,,
81,MEM,NOH,2007-12-26,2007,116,98,0,10.377358490566039,20.057547169811322,9.905660377358492,18.354716981132075
82,NOH,DAL,2008-04-22,2007,103,127,1,7.395408163265308,7.5,7.428571428571429,8.79
83,SAS,NOH,2008-02-23,2007,89,98,1,0.0,17.017021276595745,0.0,12.76595744680851
84,NOH,DAL,2008-04-29,2007,94,99,1,7.395408163265308,7.5,7.428571428571429,8.79
85,SAS,DAL,2008-02-28,2007,94,97,1,0.0,8.104166666666666,0.0,7.677083333333334
86,MEM,LAC,2007-12-14,2007,98,91,0,,,,
87,SAS,MIN,2008-03-28,2007,84,99,1,0.0,25.25,0.0,26.625
88,PHI,GSW,2007-11-24,2007,100,98,0,,,,
89,PHI,ORL,2008-02-01,2007,108,106,0,,,,
90,SAC,UTA,2008-02-08,2007,104,117,1,17.346938775510207,27.61,18.75204081632653,26.202
91,MIA,IND,2007-12-15,2007,106,103,0,,,,
92,SAC,MEM,2008-01-10,2007,113,116,1,,,,
93,MIA,HOU,2007-11-23,2007,91,98,1,,,,
94,MIA,ATL,2007-11-21,2007,82,79,0,,,,
95,PHI,MIL,2008-01-08,2007,87,83,0,,,,
96,BOS,NJN,2007-11-14,2007,69,91,1,,,,
97,SAC,GSW,2008-03-18,2007,105,122,1,17.872340425531913,15.212765957446807,22.831914893617018,12.101063829787234
98,MIA,SAC,2008-02-26,2007,86,107,1,,,,
99,MIA,CHA,2007-11-27,2007,90,110,1,17.233333333333334,20.833333333333336,20.233333333333334,22.52083333333333
100,MIA,TOR,2008-02-04,2007,114,82,0,,,,
101,MIA,MIN,2007-12-17,2007,87,91,1,,,,
102,SAC,WAS,2008-03-28,2007,114,108,0,,,,
103,CLE,LAC,2008-02-02,2007,84,98,1,,,,
104,MIA,LAL,2008-02-10,2007,104,94,0,,,,
105,DEN,MEM,2008-04-16,2007,111,120,1,18.233333333333334,8.164285714285713,15.099999999999998,5.492857142857144
106,MIA,PHI,2008-02-23,2007,101,96,0,,,,
107,BOS,DEN,2007-11-07,2007,93,119,1,,,,
108,SAC,ORL,2008-01-08,2007,100,104,1,,,,
109,NOH,TOR,2007-12-31,2007,97,92,0,,,,
