,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTGHOME_AST%,AWAY_AST%,HOME_AST/TO,AWAY_AST/TO,HOME_AST RATIO,AWAY_AST RATIO,HOME_OREB%,AWAY_OREB%,HOME_DREB%,AWAY_DREB%,HOME_REB%,AWAY_REB%,HOME_TO RATIO,AWAY_TO RATIO,HOME_EFG%,AWAY_EFG%,HOME_TS%,AWAY_TS%,HOME_PACE,AWAY_PACE,HOME_PIE,AWAY_PIE
0,0.0,4.5612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954000000000001,0.0,4.7250000000000005,0.0,2.4381000000000004,0.0,0.006300000000000001,0.0,2.1924,0.0,2.3751,0.0,6.125490000000001,0.0,0.2709
1,0.0,12.7,0.0,6.32,6.32,0.0,0.3,0.0,2.1799999999999997,0.0,3.16,0.0,8.75,0.0,6.279999999999999,0.0,0.01,0.0,5.95,0.0,5.989999999999999,0.0,11.088,0.0,7.72
2,0.0,3.796875,0.0,3.9046874999999996,3.9046874999999996,0.0,0.07828125,0.0,0.8999999999999999,0.0,0.46875,0.0,4.0171875,0.0,1.9312500000000001,0.0,0.004687500000000001,0.0,1.875,0.0,2.203125,0.0,4.9214062499999995,0.0,1.359375
3,0.0,18.083333333333332,0.0,12.145833333333334,12.145833333333334,0.0,0.36458333333333337,0.0,3.0416666666666665,0.0,2.8333333333333335,0.0,13.583333333333334,0.0,8.333333333333334,0.0,0.020833333333333336,0.0,8.458333333333334,0.0,9.4375,0.0,18.345833333333335,0.0,7.458333333333333
4,0.0,20.745,0.0,12.51,12.51,0.0,0.5625,0.0,3.2625,0.0,5.805000000000001,0.0,13.8375,0.0,9.4725,0.0,0.022500000000000003,0.0,8.6625,0.0,9.675,0.0,22.49325,0.0,9.0
5,0.0,9.389387755102042,0.0,7.714285714285714,7.714285714285714,0.0,0.11020408163265306,0.0,1.9285714285714286,0.0,4.727755102040816,0.0,10.105714285714287,0.0,7.207346938775511,0.0,0.03306122448979592,0.0,4.826938775510204,0.0,5.091428571428572,0.0,11.244122448979592,0.0,4.342040816326531
6,0.0,12.317684210526316,0.0,7.815789473684211,7.815789473684211,0.0,0.2344736842105263,0.0,2.678210526315789,0.0,4.1684210526315795,0.0,10.421052631578949,0.0,6.742421052631579,0.0,0.020842105263157898,0.0,6.158842105263158,0.0,6.158842105263158,0.0,9.989621052631579,0.0,4.376842105263158
7,0.0,10.262686567164177,0.0,5.820895522388059,5.820895522388059,0.0,0.14597014925373133,0.0,2.077611940298507,0.0,1.4955223880597013,0.0,5.641791044776119,0.0,4.361194029850746,0.0,0.01791044776119403,0.0,5.740298507462685,0.0,6.0,0.0,9.994029850746267,0.0,6.7343283582089555
8,0.0,21.35,0.0,9.114583333333334,9.114583333333334,0.0,0.36458333333333337,0.0,3.1645833333333333,0.0,10.602083333333335,0.0,9.727083333333335,0.0,10.15,0.0,0.014583333333333335,0.0,9.989583333333334,0.0,10.091666666666669,0.0,13.756458333333335,0.0,12.760416666666668
9,0.0,11.144041450777202,0.0,7.3834196891191715,7.3834196891191715,0.0,0.19689119170984457,0.0,2.146113989637306,0.0,2.7367875647668396,0.0,7.767357512953368,0.0,5.325906735751295,0.0,0.019689119170984457,0.0,5.217616580310881,0.0,5.729533678756477,0.0,9.627979274611398,0.0,6.044559585492228
10,0.0,24.48775510204082,0.0,16.873469387755105,16.873469387755105,0.0,0.37142857142857144,0.0,5.014285714285714,0.0,8.83469387755102,0.0,22.736734693877555,0.0,16.316326530612248,0.0,0.05306122448979592,0.0,12.681632653061225,0.0,13.079591836734695,0.0,25.206734693877554,0.0,18.99591836734694
11,0.0,19.118279569892476,0.0,5.860215053763441,5.860215053763441,0.0,0.0,0.0,2.150537634408602,0.0,5.860215053763441,0.0,3.5806451612903225,0.0,5.064516129032258,0.0,0.0,0.0,6.602150537634409,0.0,7.10752688172043,0.0,8.841935483870968,0.0,7.344086021505376
12,0.0,25.05340206185567,0.0,14.852783505154639,14.852783505154639,0.0,0.3798556701030928,0.0,4.950927835051546,0.0,7.853195876288659,0.0,16.218556701030927,0.0,12.612061855670103,0.0,0.04268041237113402,0.0,12.761443298969072,0.0,13.209587628865979,0.0,20.653051546391755,0.0,14.596701030927834
13,0.0,10.1203125,0.0,5.595833333333334,5.595833333333334,0.0,0.17708333333333334,0.0,1.9302083333333335,0.0,4.427083333333334,0.0,8.854166666666668,0.0,6.127083333333334,0.0,0.017708333333333336,0.0,4.8078125,0.0,4.931770833333334,0.0,8.780677083333334,0.0,4.675
14,0.0,17.17171717171717,0.0,12.586868686868685,12.586868686868685,0.0,0.31424242424242427,0.0,3.7777777777777777,0.0,3.228282828282828,0.0,12.878787878787879,0.0,7.366666666666666,0.0,0.03434343434343434,0.0,9.152525252525251,0.0,9.598989898989899,0.0,17.456767676767676,0.0,6.765656565656565
15,22.59375,0.0,18.24375,0.0,0.0,0.500625,0.0,5.175000000000001,0.0,5.00625,0.0,11.25,0.0,8.568750000000001,0.0,0.037500000000000006,0.0,12.506250000000001,0.0,12.056249999999999,0.0,18.53625,0.0,12.337499999999999,0.0
16,0.0,9.594375,0.0,4.377187500000001,4.377187500000001,0.0,0.39375,0.0,1.96875,0.0,2.1853125,0.0,6.5625,0.0,4.921875,0.0,0.006562500000000001,0.0,5.197500000000001,0.0,4.843125000000001,0.0,6.0965625,0.0,4.843125000000001
