,DRPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,weighted_ORPM_h,Winpercent_h,ORPM_adv_h,weighted_DRPM_a,Net_ORPM_adv_h,Winpercent_a,DRtg_a,+/-_a,FTA_h,OREB%_h,PIE_h,+/-_h,DRtg_h,DEFRTG_h,Def_Adv_h,Previous_Win_h,DEFRTG_a,3P%_h,TRB%_a,FT_h,TOV%_h,EFG%_h,eFG%_h,BLK_h,DRB%_a,BLK%_a,FT%_a,Previous_Win,AST/TO_a,DRB%_h,ORB_a,BLK%_h,TO RATIO_a,TS%_a_y,Off_Adv_h,DREB%_a
3275,0.3198555480517123,0.715546363581141,0.5720550147092256,0.1636889417031422,0.3631325911234502,0.338028169,0.3838762118267004,0.519375329506529,0.42751964960792294,0.352941176,0.6255842813777744,0.6045501403106281,0.490233772768301,0.16011508271570193,0.3751901342302215,0.24316687383033625,0.8233158599827899,0.3329302540720916,0.5684154007498162,0.16666666666666666,0.232446118434819,0.3265065571718093,0.35547420750992764,0.4343686812310775,0.6008720885366141,0.25271155095716497,0.5471721396521537,0.3699157598868144,0.37082595162649296,0.5791397569413355,0.6125849727210925,0.16666666666666666,0.056570135746606326,0.351383481746233,0.2379747622250371,0.2873379719219471,0.4260869565217392,0.34806410949036554,0.4673219752226536,0.3533260632497275
3276,0.5538732447987501,0.7677663905202229,0.6162580872022709,0.10637008042421237,0.08095792936327112,0.228571429,0.20246811677201831,0.0,0.5245478024085407,0.253521127,0.7532313257974008,0.424882125617141,0.6227481224514407,0.012080338794463935,0.2890993696577671,0.41965281027833534,0.6565206324671853,0.04878309163098108,0.5077797653784558,0.5,0.03735667314994906,0.4927212389520732,0.4058056259093177,0.6551030038054043,0.5287399716879282,0.03989329849202461,0.4962860192959029,0.5850074557050257,0.4572422454406648,0.537489900443197,0.4103425241290573,0.5,0.012550997700467324,0.4350116054120707,0.37652849559175017,0.58417362840309,0.041910192444761234,0.06895342349283948,0.4836757243759571,0.052311082110231166
3277,0.38124159555219417,0.6044470873447794,0.6924453587272439,0.5286559831754206,0.5362768535001918,0.5507246379999999,0.4131980277220863,0.7631386299763301,0.4044094495186439,0.8,0.34996377570691944,0.7821043962122866,0.3759593138654284,0.040945810098832136,0.3211825895656888,0.6859397731637424,0.5077338359386673,0.07939661563440856,0.4892056182841911,0.6666666666666666,0.09525070849309514,0.7126676518902644,0.6034575302140861,0.4019990690432293,0.4602681811347921,0.0745218211426688,0.9090351916902064,0.3292976434922602,0.6891702228699483,0.7563100134903525,0.4119513589207606,0.6666666666666666,0.010077727150897879,0.5854283577623144,0.2840786355180971,0.3798767755487629,0.042064333686815135,0.08670078828595645,0.4991410770288306,0.09265319421382404
3278,0.34952055737284843,0.7324643377043079,0.5247630483754024,0.07529272790550727,0.0,0.31884058,0.20832487951825016,0.3724070092938844,0.2988960462944875,0.514285714,0.5926944532625099,0.5232272153698284,0.4307756754179669,0.062012461364862874,0.2956315063934972,0.2546293166051954,0.6989031292311345,0.07188617633338515,0.5181386489297897,0.3333333333333333,0.04524529665772603,0.491515427539827,0.6208968592532859,0.3962276063483976,0.6530840464670563,0.06273033795969576,0.4690423708242258,0.4395340408874155,0.5579809507665242,0.37701118431302016,0.4527733403744642,0.3333333333333333,0.029744011644464125,0.6574345225152882,0.1744595361887288,0.5414395757332816,0.02483024222154657,0.06266379037853917,0.4987837835463385,0.03810597799147419
3279,0.5336323116756305,0.5311537191495348,0.35029053471517224,0.2916497007380826,0.5577697301210325,0.5694444439999999,0.6153216094479441,0.2252443503428527,0.6777503290441595,0.352112676,0.6158309765508666,0.4358892817868808,0.242768416640018,0.04422557244092639,0.3382102397470801,0.7438320586715558,0.3531012336298469,0.10701047307961033,0.5205553447191283,0.8333333333333333,0.07682010622959462,0.3827301417846315,0.38688409853969424,0.21626672988638265,0.4534430644416733,0.10046002543177683,0.477237032268984,0.44996464214227855,0.4493227850525861,0.5567143030816709,0.3301825377024653,0.8333333333333333,0.011653133329201013,0.4382703126185247,0.1769117353541821,0.5387069871392415,0.11673615247170935,0.08888691537833428,0.5098401238711977,0.09232010277707237
3280,0.22948209501691494,0.7608471897432842,0.6243288296374491,0.12974929701497612,0.653752500835658,0.557142857,0.5163543391028049,0.66387363678201,0.5173922296545933,0.61971831,0.4498337313286399,0.7189010471494053,0.5814999911498828,0.538660747317795,0.593293577084759,0.713673326785239,0.524656906517559,0.6827049947292991,0.4280614161307914,0.0,0.7883637548891785,0.4768190923705263,0.4510783201058018,0.5573870212424388,0.7392023583204343,0.6333602107187014,0.5541406679568543,0.42687524444507335,0.44149228720443856,0.4946923103243741,0.6228155613727772,0.0,0.17667942916811696,0.548471423111596,0.3785170980824385,0.5038990014900736,0.7374581939799334,0.8602418651041017,0.3122469950011897,0.7474205184128849
3281,0.4146159787673829,0.6750646093276111,0.8124273938031906,0.519375329506529,0.5720550147092256,0.362318841,0.3663956182704357,0.6879618930109952,0.4606693249463709,0.507042254,0.6243685630534475,0.5498930719325983,0.42843378862479103,0.054063428841403985,0.3068404621593957,0.6932237787566822,0.4891996412859158,0.04368758076799138,0.4877514540844208,0.3333333333333333,0.06167745637569552,0.34352336416481416,0.3764395352978748,0.4618390772244643,0.36018844976597475,0.04477978000772554,0.48975897963928006,0.3299523554875806,0.4283300859516148,0.4452267600008737,0.8170982737106782,0.3333333333333333,0.015324625798455522,0.4634232755364819,0.4263578755392545,0.5654210147097473,0.029925069879970883,0.08547776385565238,0.4851416041386328,0.045580154439199085
3282,0.3301639202361705,0.8476377305103108,0.8995677236863215,0.2631557614145771,0.4163703546754653,0.352112676,0.2314280202102122,0.5984887737641622,0.41839044098718503,0.676056338,0.5185245139274295,0.7071638035082284,0.4608695583269654,0.13112873153441107,0.3646715502352451,0.628381884336301,0.6485606253384231,0.19521181029071147,0.4731240845115115,0.5,0.2346854245314117,0.4961818356172373,0.4858044263415308,0.455011420486237,0.4728024772164647,0.17133313685037824,0.5297259494313725,0.4744814687890418,0.562579148473852,0.5608564237321982,0.6044088230485477,0.5,0.14566416661501266,0.4441879190618026,0.4814275831398908,0.491025119205553,0.0972801270597578,0.21313913989476246,0.4389159494383121,0.17225990050940385
3283,0.7243967097827712,0.2353696485889139,0.4271965785096339,0.9872254847612244,0.39273384898956976,0.623188406,0.480844838797217,0.5441651835729843,0.4317771871659383,0.671428571,0.564266648136501,0.5599399867457548,0.314827264726716,0.13203934772562226,0.5241220495106506,0.8854175294559938,0.31307306893723724,0.18996652019250887,0.4097553483436445,0.16666666666666666,0.3225120540663275,0.5991019944290181,0.4482130663487048,0.3450295985769382,0.5240761435999123,0.4705286483064262,0.5112972322556185,0.6188818241269651,0.4556771503796542,0.4429325506697769,0.31378503575324124,0.16666666666666666,0.17923076923076922,0.5149746641109064,0.1957398184915702,0.7473613712142507,0.25686093123650944,0.4606442367744482,0.4821535484635513,0.5280574955335394
3284,0.7236104244976033,0.2367353812376357,0.2714300580525954,0.8078841769678611,0.6207047373276336,0.732394366,0.6941347327601708,0.36637635752324216,0.6438134154651609,0.371428571,0.5790001899938502,0.6264981113063955,0.5261393341117905,0.2970885323826501,0.9229706390328152,0.6187853791513421,0.4724045845796011,0.3101851851851851,0.5501133516286839,0.16666666666666666,0.2365819209039548,0.4634865710955346,0.5038492182654436,0.5166061277545893,0.3826877660028824,0.6575498575498578,0.43434148874545897,0.6149785992566354,0.5870873844865532,0.4903840949291822,0.6621923888092478,0.16666666666666666,0.009968891402714931,0.4749889224274253,0.6319908573915811,0.5347667643249677,0.26630434782608703,0.07617504051863856,0.7899164011365838,0.3193583015267176
