,DRPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,weighted_ORPM_h,Winpercent_h,ORPM_adv_h,weighted_DRPM_a,Net_ORPM_adv_h,Winpercent_a,DRtg_a,+/-_a,FTA_h,OREB%_h,PIE_h,+/-_h,DRtg_h,DEFRTG_h,Def_Adv_h,Previous_Win_h,DEFRTG_a,3P%_h,TRB%_a,FT_h,TOV%_h,EFG%_h,eFG%_h,BLK_h,DRB%_a,BLK%_a
726,0.5267096397053891,0.4524564501708999,0.7511355515149973,0.8650262775499917,0.5173205902090593,0.553191489,0.38309251934703104,0.8116069981392137,0.3578757952527959,0.571428571,0.35881793253063565,0.5556436910990399,0.5596896802182127,0.3560523403219857,0.2771411336378644,0.6615718466383392,0.6190553299530787,0.20226283779309664,0.6762193745765933,0.5,0.049852973734146114,0.5281464984299381,0.5667400368725388,0.4993910508069915,0.8070646874424974,0.17833155618388105,0.6481926424662129,0.7065376369314132,0.617557061255066,0.4807915592240173
727,0.3353571513720802,0.7206424977945955,0.7383798015612529,0.298211474769641,0.4817874714835768,0.425531915,0.3717038349611619,0.6274971720254806,0.428812688603035,0.531914894,0.3543084218552375,0.7520070375262828,0.5239055213517151,0.10947717630546427,0.2436180663078139,0.5640218907877975,0.5329457099353839,0.2857295590019399,0.28306779114645025,0.0,0.6608333907705113,0.6347487977656997,0.3709992606192393,0.5440870772014315,0.4445971716789564,0.3116023175422367,0.6834655128317061,0.8547980771443344,0.3814295213432256,0.4539440932831638
728,0.6066004153030067,0.6085685462858967,0.6805277407479986,0.4679209075781899,0.7045960972473877,0.395833333,0.5120341782496945,0.2547200769721767,0.7243172288562376,0.708333333,0.6803455510300077,0.4626007439333089,0.4589883791955041,0.1285071749839366,0.28067879962897063,0.7462066237443661,0.35008919300474306,0.11869984973932513,0.3547541926831491,0.16666666666666666,0.3976179856872944,0.3773794901123497,0.4790318673581263,0.4153589170507664,0.6595280599402633,0.1066434201445643,0.5365441725906667,0.8538085966147296,0.2449933692727413,0.4965917290052905
729,0.735727883378332,0.3851934075257255,0.7475728718492067,0.9999999999999998,0.7209182980020721,0.78,0.4866727130764327,0.528544233243336,0.5999935001052789,0.5,0.4458589580249376,0.6187832562983692,0.5537257316283218,0.0,0.17485911396153092,0.5185613370786847,0.17626831961312212,0.06789709944244332,0.5046904625110737,1.0,0.14563726951411662,0.21914487291652,0.4463079648960239,0.511667132052002,0.5631662344046516,0.10558931060785397,0.3468442773920912,0.6693402486839207,0.471907994768961,0.4773659633121916
730,0.4978013132159735,0.7314567649359496,0.7438577678943934,0.2817249549366631,0.0,0.26,0.1280711160528033,0.2861223285047161,0.34604600826277243,0.404255319,0.5377133484285064,0.49907722754178,0.5458870425223656,0.03457346060066053,0.19177927818393736,0.4533031952855625,0.7245658598711624,0.02616069806233721,0.4793706068572829,0.6666666666666666,0.1378739492474529,0.5399153142961457,0.38162260093601263,0.5464723680369714,0.4352570681725652,0.05499808627246593,0.5333329414074643,0.5862497245069399,0.4327225394851386,0.3893027699776423
731,0.42113838332852827,0.4324296214730468,0.11508251754155675,0.23024438639326944,0.2705735803426271,0.306122449,0.5777455314005352,0.3879676197362129,0.4360927713987305,0.326530612,0.6713936491001513,0.38198261351255547,0.3595287974609969,0.218029056537721,0.27761646207011925,0.3322879287578957,0.7406753991137007,0.18213257630371346,0.5739669104463595,0.3333333333333333,0.16692062148425332,0.35258282425828785,0.4543500052134464,0.2582694688330751,0.4453508311037536,0.17825273844509756,0.3710592251720367,0.1890050749217244,0.6447521954200337,0.4400865694445605
732,0.4655693908187294,0.5663606934430642,0.5455355227999101,0.4115030675255193,0.457927590313536,0.333333333,0.45619603375681295,0.4803642858880605,0.4878400679976957,0.541666667,0.28119904515800875,0.7010122236060596,0.2741707431646516,0.467395168395184,0.4613182697985367,0.4988259388833503,0.4784973503301927,0.4829309730970112,0.7237074720461129,0.16666666666666666,0.26680364519013755,0.6245495062736159,0.5595165756986462,0.3871391825149071,0.5085051725775862,0.5326664936658095,0.6515649742039897,0.5903882346978211,0.6637156500708566,0.4574473085120893
733,0.3136280959791271,0.6454521483237041,0.6899719872825893,0.4018704793618469,0.4705238440037264,0.5106382979999999,0.3902759283605685,0.7746142874035928,0.3516952614136373,0.729166667,0.6279683476223694,0.5418717435503099,0.4546821906652308,0.4410366245448704,0.38773033416881136,0.6331754022765268,0.4365466218129106,0.4720336987156146,0.8078713241511033,0.16666666666666666,0.14297897448077154,0.4309240501537061,0.33254184403142145,0.4205115959277304,0.4535063960022974,0.44630831737729415,0.5272588891636066,0.4350152351558646,0.39702308205296377,0.4651721908556309
734,0.43008804934084105,0.5325462441542221,0.6899719872825893,0.6347903860852747,0.8862000796296116,0.456521739,0.598114046173511,0.7746142874035928,0.5658760478728042,0.734693878,0.5831489636946645,0.5262873475103833,0.3421141695270797,0.37521445462835584,0.25182491002855234,0.4563490437878362,0.6145403285368943,0.4477904832230028,0.6102856182479364,0.16666666666666666,0.38384766583665225,0.4774931744574231,0.287709724187776,0.3461379097270224,0.511343726667997,0.3992650084796631,0.35280823184593274,0.5436609551912329,0.3090521162426192,0.4704076074064832
735,0.5225396425939542,0.3436180264383936,0.4271786667430117,0.7452032533050835,0.5228973311146252,0.591836735,0.5478593321858067,0.7001239681171751,0.4147896910548231,0.5,0.6166183902658944,0.3887591891710461,0.32651659570691416,0.045564846442757996,0.12389394472320615,0.5192072286534788,0.4626754484165504,0.3224302204138902,0.6299881479210441,0.16666666666666666,0.23205140560808826,0.24444009116774906,0.4424861454143039,0.3045987088066485,0.3274499699062689,0.1319419870459055,0.22291692829644946,0.4315061532427896,0.5272432847498042,0.4406182506065138
736,0.4882322761053468,0.5326285503600356,0.457927590313536,0.3879676197362129,0.11508251754155675,0.34,0.3285774636140103,0.4115030675255193,0.34456604824010223,0.346938776,0.3813751166053556,0.5079318539400617,0.5166458043169264,0.099297719561272,0.354551944533552,0.4787692923994994,0.6052312079637538,0.1656741607030394,0.37994886213498935,0.3333333333333333,0.4107871849387866,0.16706455682858468,0.6578788038210599,0.4897436519339675,0.4633875365232257,0.2534237959505935,0.2618631434972951,0.5141232122008665,0.6760817455669011,0.4525339872982213
