,DRPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,weighted_ORPM_h,Winpercent_h,ORPM_adv_h,weighted_DRPM_a,Net_ORPM_adv_h,Winpercent_a,DRtg_a,+/-_a,FTA_h,OREB%_h,PIE_h,+/-_h,DRtg_h,DEFRTG_h,Def_Adv_h,Previous_Win_h,DEFRTG_a,3P%_h,TRB%_a,FT_h,TOV%_h,EFG%_h,eFG%_h,BLK_h,DRB%_a,BLK%_a
1637,0.4034905764513299,0.5787373880605037,0.8605423891837383,0.7720462727218381,0.26478293153022264,0.666666667,0.1688634763305178,0.9625993976155623,0.15785773929756824,0.740740741,0.5109514656590517,0.6720441344155136,0.3990800463398159,0.0,0.3054093264248705,0.4913949057144337,0.6233965438390469,0.04943551113042638,0.5022172897313352,0.16666666666666666,0.04617889873513595,0.2243367871452908,0.3790936086644179,0.4228764142500444,0.30867146226493997,0.05329826868288407,0.3496143202826765,0.4007121779920539,0.3489882988844237,0.5233720918772289
1638,0.6449566411415911,0.4485612281801964,0.8254117436926799,1.0000000000000002,0.588013134088277,0.538461538,0.3680485063250316,0.7137902193592681,0.4569051367667073,0.793103448,0.37104224849920336,0.9416208824458472,0.3691109831772437,0.017228709665684457,0.32203024214867304,0.5498344887005858,0.459268373389845,0.06866776842563768,0.4889347016697145,0.6666666666666666,0.08491976616446954,0.4003459964330939,0.4396856388949813,0.35726865038008565,0.4603677118567857,0.09823826966684113,0.6115547749887698,0.490221439526708,0.4321263508446036,0.5197098344345904
1639,0.4282223388280835,0.5000171840108875,0.20773643535631964,0.1941381886430177,0.5455002667942795,0.28571428600000004,0.6877367442963849,0.3358596613339621,0.6172143034317134,0.185185185,0.845975488398394,0.4528991070089894,0.2620154710661675,0.1083587553386211,0.36437736898842027,0.6785836316065278,0.431389058956396,0.14871105549867913,0.4848074383653022,0.5,0.1710249118416562,0.42297911719286746,0.31993792892898737,0.2652018247588532,0.5377982979578763,0.17287672804451326,0.35686288368635577,0.4544846445338586,0.34963844037512715,0.2300795241489657
1640,0.4682025217717018,0.6201788678068648,0.5750675823624141,0.3632706477780741,0.4417593952458119,0.391304348,0.4259043073653637,0.4260532094943064,0.5162089942405553,0.592592593,0.5095416701272493,0.7231906840873727,0.30488845504062845,0.0996276283002492,0.4037869950899276,0.5164014720958524,0.5088310820424379,0.16171798739905935,0.4861076467586706,0.5,0.18212218136888567,0.4400150215504046,0.4176825092221808,0.28856221829059764,0.4540553123097072,0.22922808430661834,0.5051623308143741,0.5515746583887623,0.4453430344695303,0.4866738480114399
1641,0.6568506733507385,0.43583525883464064,0.4800047871470285,0.634723064313651,0.5686773466581302,0.518518519,0.5492862055720119,0.3250291002460365,0.6352493377734882,0.52,0.6502156129991719,0.3902298614783897,0.3469854435059193,0.07050901168548229,0.3517175206294378,0.5587695595869188,0.5865421702642857,0.1205691567273488,0.4884063158732053,0.6666666666666666,0.13759721350352233,0.4576974374334307,0.4783821446962754,0.3440622820719366,0.6608648290836103,0.12662234884457105,0.4110062354889033,0.4237872869531305,0.5564951207612535,0.6146479072631027
1642,0.2134899960004517,0.8127775906704913,0.6202081076481063,0.0182602568106508,0.2579900443886389,0.321428571,0.2986710429231827,0.5839602119854396,0.33819180676849303,0.5555555560000001,0.6811023936972894,0.4578141155333443,0.3875023404643741,0.09111389236545683,0.34400617352000884,0.5626513770806245,0.4792015610683783,0.18456745602436184,0.42328159745961946,0.16666666666666666,0.29724650609574776,0.5078993230455822,0.3580623621330879,0.37423335204048735,0.5459180884366599,0.1744317148572468,0.5558886032629186,0.2645322682216479,0.3789110803609603,0.5169454767846529
1643,0.2286602389900829,0.604345613281313,0.3750330726365563,0.16913760424746327,0.35415628435905033,0.111111111,0.4883962109089712,0.7048846584434836,0.3323880566263128,0.6785714290000001,0.5193369047401377,0.6506245273920764,0.5380001983446272,0.08296296296296299,0.3965519094223758,0.20247723674441487,0.8403219984927401,0.1695351886726651,0.5285597950194685,0.5,0.12758840059488447,0.3351231846305422,0.4643497099972671,0.5464069129439856,0.5263523933505863,0.2231794871794872,0.4722396803364928,0.5523641366067534,0.5506057159700328,0.5697735790853373
1644,0.6164800510092446,0.4849668120273553,0.6204770031584546,0.6928600448853366,0.6814003669893014,0.607142857,0.5338625776729684,0.4628758952401091,0.6303409104267744,0.68,0.4709196595689508,0.6596829202322178,0.4582030183202215,0.0287339513185292,0.32789784065791483,0.6719501926710203,0.538730809486058,0.050848541817775705,0.4554291536464389,0.3333333333333333,0.11631133120984552,0.4934695776049568,0.4521618139421461,0.43079223193482746,0.5462784540220925,0.08905815607024588,0.7654979150820838,0.7073694712553609,0.5010431192499334,0.508310601672468
1645,0.5598109559467805,0.6564753881093315,0.6409458694651871,0.3632706477780741,0.4417593952458119,0.4166666670000001,0.3892876717479744,0.2451768478208888,0.6041426389333591,0.444444444,0.5070921429811946,0.5946581904517085,0.14893536426981552,0.04993327173801459,0.35686731953449263,0.5423873136696202,0.5226188607789876,0.1404528647913154,0.498324685530502,0.3333333333333333,0.14291345881756,0.3672034746720613,0.4219363252825769,0.14402084835344875,0.3581304149334689,0.16623618382780686,0.34052478140486464,0.41161247802955053,0.4300517765174822,0.4979387656944544
1646,0.3277800943527833,0.6514108126455249,0.8605423891837383,0.6225596379393508,0.3218196285922273,0.444444444,0.20056575708169627,0.9625993976155623,0.1892828677267127,0.75,0.5174071661671912,0.648646454531286,0.4317196290338265,0.027996653206737245,0.2952761622783829,0.5409358422416431,0.6590540041380484,0.0557925618458306,0.5111315325541147,0.5,0.03944328354358538,0.4421834914339994,0.3833247942443971,0.4771608236590119,0.18480245502566506,0.03724867724867725,0.6524065053793083,0.7358006751733532,0.3960044750934477,0.5430521074625791
1647,0.5723657945672181,0.5169311031175645,0.4800047871470285,0.4679118134895428,0.15457254314272295,0.148148148,0.3191174297190639,0.3250291002460365,0.4070927771043007,0.538461538,0.5997357240625367,0.4782623319225122,0.5380712180715562,0.09303184125519152,0.3699260934746588,0.3757851619521123,0.6700856484100802,0.10007054977200376,0.4766213205796697,0.3333333333333333,0.13440764884832682,0.4870718835129285,0.4807844163065936,0.5270502224649884,0.3470568038984595,0.14519328387348693,0.7272858003523736,0.5533642825719636,0.5621572223685756,0.4555752681370793
