,DRPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,weighted_ORPM_h,Winpercent_h,ORPM_adv_h,weighted_DRPM_a,Net_ORPM_adv_h,Winpercent_a,DRtg_a,+/-_a,FTA_h,OREB%_h,PIE_h,+/-_h,DRtg_h,DEFRTG_h,Def_Adv_h,Previous_Win_h
1705,0.4721349320505398,0.5201674290367043,0.6223352763896873,0.6225596379393508,0.3218196285922273,0.419354839,0.3329666350377809,0.6775778483679715,0.3278470416710268,0.625,0.5035697413902898,0.7321356405987054,0.3348922640239361,0.02803943044906901,0.3160389894143562,0.5189127073997709,0.6416622165251797,0.020848527281036974,0.4931399929379938,0.5
1706,0.4764670300350008,0.5667520346897961,0.521028200745154,0.4119242604351301,0.87814071215499,0.5,0.6984911763765997,0.4583889557982656,0.740918966273317,0.272727273,0.6273358203885194,0.4606950510685177,0.6764276616689375,0.0636057166088126,0.36772802472502497,0.6460457869279738,0.4031246015841281,0.13945881653285755,0.5570341453662269,0.6666666666666666
1707,0.633974661037542,0.2090294822528296,0.15457254314272295,0.7324382128665589,0.6439612976632619,0.774193548,0.7720132912923343,0.4679118134895428,0.6072651277923435,0.233333333,0.6412832575320611,0.4594959503998861,0.509522834096131,0.03698844111215245,0.30612039955130604,0.7859232071797909,0.4132020069550287,0.06958381061473844,0.4658448899640772,0.8333333333333333
1708,0.4540718838234781,0.4752045701335286,0.20773643535631964,0.2451768478208888,0.6409458694651871,0.40625,0.7407875597924004,0.3358596613339621,0.6698013303184512,0.225806452,0.6814279381626346,0.5837820280906627,0.505785245104877,0.20392156862745103,0.4570639032815199,0.3846173257413181,0.5035634978213903,0.1962052730696798,0.5009902096848133,0.16666666666666666
1709,0.4301828806552843,0.588679465970263,0.4841528974980903,0.3250291002460365,0.4800047871470285,0.5,0.4976943868472385,0.4628795792254748,0.5193775405386493,0.709677419,0.5874332605260383,0.6765897256532915,0.37629368778385097,0.026070146368406526,0.3262351309932132,0.4495432101390885,0.6407967946876688,0.2199212222487467,0.5809601217351141,0.16666666666666666
1710,0.44053224037060457,0.7431949328816561,0.5455002667942795,0.07672201298743002,0.27596037823818265,0.413793103,0.35018365962956377,0.1941381886430177,0.537606074627651,0.333333333,0.5956495575220896,0.6169229188924976,0.4981131584017469,0.12205336159247622,0.38828884971719213,0.4550770317841475,0.6269577139202825,0.08868524882270586,0.4580002386350078,0.3333333333333333
1711,0.4571190735985714,0.3787906677575827,0.15457254314272295,0.3832455267822211,0.566301721278331,0.612903226,0.7288483497653689,0.4679118134895428,0.5644775491393162,0.225806452,0.6112967351074954,0.4938547942094039,0.5177839022271589,0.06921366484738226,0.35856204262592817,0.6728520226557562,0.5125837966913303,0.09958879375618844,0.4680086400633736,0.3333333333333333
1712,0.4644652639073624,0.3779996936662542,0.3750330726365563,0.634723064313651,0.5686773466581302,0.545454545,0.6076318485661328,0.7048846584434836,0.4505812950281888,0.625,0.5976397286675501,0.5777977876670677,0.4294758174503201,0.1232367245439141,0.43156260358332893,0.5645482462955473,0.5147092376875207,0.08326833938886667,0.38614291373934784,0.16666666666666666
1713,0.6646139443367177,0.06725538244452473,0.10033939735080304,0.9625993976155623,0.8605423891837383,0.78125,0.9225379434011448,0.6375772356230157,0.6441099575938339,0.322580645,0.7139384088875005,0.38071912572186256,0.3677341426831857,0.21960784313725493,0.5418445595854924,0.6598037420990717,0.3511905423115413,0.2071826741996233,0.474594121624309,0.16666666666666666
1714,0.5966617163351471,0.42887877821298737,0.4841528974980903,0.6537333987591099,0.4519030996235952,0.515151515,0.4820748360432835,0.4628795792254748,0.5038945412594384,0.71875,0.5902618552279069,0.6576854163132869,0.4453320686412494,0.08286626115613382,0.3361833710212537,0.6000672714209248,0.4917497488950993,0.17163255048396875,0.5552623152397516,0.5
1715,0.39156078026766944,0.7097276244714512,0.566301721278331,0.16913760424746327,0.35415628435905033,0.129032258,0.3820847884304175,0.3832455267822211,0.4887539900248942,0.625,0.5442146281093012,0.6826468656671031,0.4219235973950447,0.0443323820343022,0.30793846814679593,0.4067502780287421,0.7304956650553491,0.05847291745948108,0.477811410797967,0.3333333333333333
1716,0.5462055441376611,0.3102422770971901,0.3218196285922273,0.7137902193592681,0.8254117436926799,0.764705882,0.7799078389766987,0.6225596379393508,0.6320551152923785,0.40625,0.6858295529957279,0.4754428126359286,0.5999615506325787,0.046554079301198766,0.3385289247369265,0.6703648999410544,0.4618436442672649,0.07463956355446832,0.5037914734667454,0.6666666666666666
1717,0.30187413790440804,0.5278080932666569,0.15457254314272295,0.07672201298743002,0.27596037823818265,0.433333333,0.5674700925228991,0.4679118134895428,0.4045101165334581,0.21875,0.6130357398816351,0.5183057025625883,0.4913492108008054,0.2440424267708373,0.4236406619385344,0.4955737063936756,0.6249627731648402,0.29159420870564035,0.5845502833247651,0.16666666666666666
1718,0.5551544883012396,0.4848186604621002,0.6202081076481063,0.6928600448853366,0.6814003669893014,0.636363636,0.5340120358534189,0.5839602119854396,0.5714753672012908,0.59375,0.9172740011091828,0.6613480551657147,0.4048250377297549,0.08077529862519722,0.3199237686856054,0.6199684528880862,0.4554853638328512,0.1218260926034158,0.4493172615855696,0.3333333333333333
1719,0.3587802618281188,0.4794452374732084,0.3750330726365563,0.4260532094943064,0.5750675823624141,0.575757576,0.6111836854851462,0.7048846584434836,0.4541020805582717,0.606060606,0.6818812210605446,0.4823872917235786,0.4772600520896672,0.1306781173366983,0.4543821851871636,0.5484902903408976,0.4988730288170002,0.24535866753817706,0.4789597209873792,0.16666666666666666
1720,0.41831773686898405,0.6346185096453186,0.6891642216806475,0.4628758952401091,0.6204770031584546,0.6333333329999999,0.4618220970397198,0.6241535188719314,0.518368718117484,0.545454545,0.6202394575819687,0.6123066479454237,0.4358600140711987,0.07513991746860152,0.3708412220778014,0.5570033697483617,0.4562372047454604,0.12587832362231954,0.5350044691233709,0.6666666666666666
1721,0.4735290537643367,0.6118030974553921,0.4800047871470285,0.2727635147868545,0.5776174567826796,0.484848485,0.5542553201195604,0.3250291002460365,0.6401750106000414,0.483870968,0.7180817572416168,0.3645500584332065,0.4486233091141714,0.07801453448512273,0.32916593596386345,0.5926442623140041,0.552796916431854,0.07500738809213382,0.4733066551632355,0.5
