,DRPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,weighted_ORPM_h,Winpercent_h,ORPM_adv_h,weighted_DRPM_a,Net_ORPM_adv_h,Winpercent_a,DRtg_a,+/-_a,FTA_h,OREB%_h,PIE_h,+/-_h,DRtg_h,DEFRTG_h,Def_Adv_h,Previous_Win_h
0,0.8276159564014598,0.03055961145472447,0.0,0.9369568677395828,0.4834943626657077,0.5,0.7417471813328538,0.2817249549366631,0.5973022617007542,0.5,0.7981340662527785,0.21051649211372814,0.5316955972764313,0.23817878294895106,0.31332055955324684,0.44330258090118657,0.6940060559618983,0.202025729794573,0.5979985897023008,0.3333333333333333
1,0.37423436016210654,1.0,1.0,0.0,0.6700621978013931,0.5,0.3350310989006966,0.2515312796757869,0.7080690794061307,0.5,0.3503620682819434,0.6730424024649568,0.7365562994432581,0.1148361989218157,0.2299968473719872,0.6444112303466956,0.4759143538076995,0.1910082531410228,0.6137817729512769,0.3333333333333333
2,0.4567998885733821,0.4073515773571264,0.4271786667430117,0.6137237452639392,0.9292828286212996,0.5,0.751052080939144,0.7001239681171751,0.624183344099537,0.5,0.4193525632794983,0.5015284411722954,0.5008410575170217,0.17591204397801094,0.2256933833333361,0.5944698963304926,0.42256182332905984,0.2417797677347139,0.5842187718578928,0.3333333333333333
3,0.3435935075647268,0.7852878517608072,0.8862000796296116,0.3219774012147283,0.5699188228521488,0.5,0.3418593716112686,0.6347903860852747,0.4706878097024494,0.5,0.4534001412425572,0.4331189137930357,0.5146566349053938,0.2296054769817888,0.2575846327493099,0.4730723837938697,0.6815575033273243,0.4516881576882428,0.7129135084328487,0.3333333333333333
4,0.5920549130568665,0.4717784716234237,0.7383798015612529,0.8116069981392137,0.7511355515149973,0.5,0.5063778749768723,0.6274971720254806,0.5675966234737246,0.5,0.2827016720884016,0.4651613369660814,0.2818281022985262,0.10450094101885228,0.2350348324578409,0.5186335511418226,0.4950728548744226,0.19570517739858886,0.5357303125897991,0.0
5,0.44212592457143457,0.5884875007497508,0.4705238440037264,0.2861223285047161,0.7438577678943934,0.5,0.6366669619453335,0.4018704793618469,0.6732172642510665,0.5,0.665913883522464,0.28818722518391104,0.4025805244703589,0.22475705152605044,0.28665431188615004,0.6311661494337806,0.4383987503133926,0.12785895827187524,0.21232729067337971,0.3333333333333333
6,0.8726016266525418,0.4687658728668415,0.6700621978013931,0.7452032533050835,0.5228973311146252,0.5,0.426417566656616,0.0,0.7541687109204718,1.0,0.42211180574760176,0.6057996779882932,0.3988510151430257,0.08303540537423597,0.1966979189395735,0.5603419842357409,0.4141318242314991,0.06871720622774577,0.5282265074715061,0.5
7,0.8212556702991932,0.3930971972734716,0.489828497136266,0.7097239134042621,0.9067922484239924,0.5,0.7084818756438633,0.06721257280587567,0.9193931858207868,0.5,0.4226386687238228,0.5584477319144928,0.4628948798840911,0.1010119940029985,0.3548764857877119,0.6277397911031826,0.4852223026694126,0.17147510965379212,0.5158722950534068,0.16666666666666666
8,0.6234096391533364,0.2285340929866666,0.0,0.528544233243336,0.7475728718492067,0.5,0.8737864359246034,0.2817249549366631,0.7333710044777444,0.0,0.7591753930593352,0.3010534026183155,0.5402927919852325,0.28767059769084524,0.5625419508980882,0.6166137531467074,0.5226123702720545,0.33170211747827233,0.5235237814273161,0.3333333333333333
9,0.1806273035150291,0.5893105642347203,0.4834943626657077,0.298211474769641,0.4817874714835768,0.5,0.4991465544089346,0.9369568677395828,0.2788047857143329,1.0,0.6334170310764132,0.437666574088344,0.3900414372114341,0.22007771624391875,0.2862509202966151,0.4052726130940293,0.7482014620784121,0.2027345878520893,0.403893565449837,0.0
10,0.4939827979433476,0.4372653523778933,0.34806716866981485,0.4679209075781899,0.7045960972473877,0.5,0.6782644642887864,0.4799553116914948,0.6151364027750795,0.5,0.8032202017443071,0.38941745902311137,0.6031966137608454,0.19107687535542572,0.21923241691396256,0.5496657825251773,0.5018743760839818,0.1707119016397776,0.58178067800596,0.3333333333333333
11,0.3082603205646651,0.8519533950652127,0.9292828286212996,0.23024438639326944,0.2705735803426271,0.5,0.1706453758606637,0.6137237452639392,0.3266594480170015,1.0,0.38898931513794544,0.6611165147405345,0.3790637656258064,0.0,0.18643797220581984,0.5660307998356237,0.47378809864337296,0.22143678405655154,0.5898989500004267,0.3333333333333333
12,0.4465246106932727,0.7637592614923909,0.6805277407479986,0.1477692983587221,0.132585058675586,0.5,0.2260286589637937,0.2547200769721767,0.4295835789516095,0.5,0.7074997637525038,0.2797056284411612,0.6508591167829487,0.2246626686656672,0.2999828568563051,0.38600494747290337,0.5588651095181212,0.2637567602095133,0.5481199863523996,0.3333333333333333
13,0.7056608934736159,0.6347724373357889,0.6783071716674496,0.4115030675255193,0.457927590313536,0.5,0.3898102093230432,0.00018128057828725733,0.7206046141628946,0.5,0.3799248395415744,0.6920506811795274,0.6661964257386969,0.17175787106446774,0.11137678880541052,0.4001865538528565,0.6100627604507198,0.15780564663799346,0.5772462057283355,0.3333333333333333
14,0.4547940049268005,0.3758076908646418,0.5173205902090593,0.7746142874035928,0.6899719872825893,0.5,0.5863256985367651,0.8650262775499917,0.42094139309717016,0.5,0.4408573617227012,0.5449024990311141,0.4078333616024157,0.06713061379757883,0.14493037172389328,0.4233354066110877,0.6671628707054886,0.10680829129487768,0.5262726026884494,0.6666666666666666
