,weighted_DRPM_h,ORPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,+/-_h,Winpercent_h,Net_ORPM_adv_a,weighted_DRPM_a,DRB_h,+/-_a,ORB_a,DRtg_h,EFG%_a,3PA_h,FGA_a,ORtg_h,DRtg_a,TRB_a
311,0.3999554946983736,0.5858420460586692,0.4383708986183489,0.6100549907356873,0.7239274554474497,0.630694402506271,0.4301463554994329,0.571428571,0.5116078114226656,0.13856668968583158,0.5568908678590873,0.3468292932155054,0.5496209413724943,0.6078859211030728,0.4075411237301096,0.3953005582831808,0.6654021928332262,0.767458359968872,0.6811969023175556,0.5716245487177993
312,0.20210569455696606,0.22285848909843187,0.7440699603375374,0.18978693853440096,0.2725053762652569,0.28724855509638697,0.360712534702446,0.25,0.7684519788383248,0.6276085843641921,0.297874822344523,0.5405882032693153,0.3636380436996764,0.7624497306333647,0.6507211035832488,0.16524444151217801,0.4627297338744937,0.4166974851002478,0.5333579370362015,0.34642765420077193
313,0.6372937035691124,0.7835519952173651,0.4328960095652699,1.0,0.7623050187141641,0.5562859504063498,0.37720339948149495,0.65,0.4011006039573957,0.5247218027564129,0.3524340179780792,0.5200418597401666,0.3940801823080165,0.7023646410042393,0.657178790952297,0.3927671319461815,0.463433181068794,0.4501944364253127,0.5599424870361138,0.4388161687842818
314,0.09184954732417244,0.3298133338107279,0.4857824747760575,0.1454091423975133,0.4533659955701612,0.4585432847635632,0.4081384468073523,0.380952381,0.6771119527494126,0.17476297779704605,0.5061171490664651,0.6512359064057542,0.3688229877589245,0.7593938785585516,0.588380703690676,0.41240380106646396,0.415596194766379,0.6559466168657893,0.4276849833442261,0.3951298804868301
315,0.3297538277752225,0.4305116618619925,0.8557956027026057,0.7168189264265907,0.3921054107936269,0.16487691388761128,0.4155394398175949,0.6315789470000001,0.7717431235158414,1.0,0.6163824924187186,0.6077548334304848,0.3185034528903162,0.9129905539580312,0.4025013571374646,0.4238824855097669,0.4137782651214282,0.37584924869142655,0.4417833892522057,0.44546283562954603
316,0.5878339435228596,0.3393057487125996,0.742684498687602,0.4212959961128012,0.4726511475235822,0.5612493126746294,0.4186386289978952,0.571428571,0.5929621610162061,0.4653353181736009,0.3961079899040446,0.5502299351379087,0.32191245003008645,0.7214020261765202,0.14386008849934911,0.15601932074564262,0.3509988069026546,0.435327829082088,0.5133290447339378,0.4787318378633828
317,0.6451535447299328,0.48387419065589504,0.5169598824271073,0.4847082637388974,0.47384086189266794,0.5529357778392671,0.3081315025541954,0.318181818,0.4435237342970792,0.5392819890513988,0.565309772581088,0.5026146793755,0.25470283657652915,0.7204190913280122,0.10089879710940368,0.440628100388742,0.3027005091270447,0.5980351539370051,0.5125343980714847,0.3019679615082058
318,0.604501830295519,0.5591511776692382,0.6339886852238641,0.7522910405623404,0.5824804490895514,0.4909643760671356,0.4171229066379063,0.571428571,0.5259542976199153,0.6225730781612477,0.3387565439575129,0.5726134563729388,0.5046171247026194,0.6183765040453614,0.16946930532537147,0.5160623137993655,0.6007329865982555,0.4762363827003519,0.5366877580262694,0.6507625171297223
319,0.5818448584423673,0.40525045456826025,0.6471899434872557,0.4576908526237762,0.5573142572036199,0.6297293115240276,0.4251704061559485,0.6,0.5434389221413041,0.3223862353943122,0.4687257395214838,0.5138958743133445,0.2970522540942238,0.6123192165202116,0.11179916397761618,0.4786157694082937,0.5897802980392575,0.8242333201669046,0.5064665730229428,0.5401009460599193
320,0.4323132389947512,0.6435283701859524,0.6329369855554815,0.9199937259273864,0.5733601023392875,0.2935492329283219,0.4263501464203117,0.590909091,0.6033791306657277,0.8452147731381074,0.3496312069028657,0.5190352307374477,0.27980589533974337,0.6292448976642515,0.5651358102455979,0.2887106146620755,0.3927754483967177,0.4827132356333327,0.5906477923740341,0.30365794033932336
321,0.2314150846053089,0.6301292688601456,0.4212959961128012,0.6815545338330925,0.559523604781974,0.3217905705412247,0.4934100172856697,0.545454545,0.5786152322029546,0.5878339435228596,0.5796583698394041,0.3674454884665798,0.4561895211060107,0.6490222036190053,0.46150885462935,0.5969584357245206,0.5087932468560767,0.6298527107981476,0.6910214367876322,0.4823857912487951
322,0.6870941682893468,0.2898729406336627,0.5498935742705338,0.12963945553785922,0.2994285439197421,0.5957751367805328,0.3287193550726967,0.409090909,0.4425399313747511,0.4955438947282811,0.4110278910282691,0.5898032547142671,0.22620223305845602,0.6201053447819527,0.6465826831171791,0.1319347789120443,0.3176843600483654,0.3063066384221768,0.3013515893123929,0.22184656437900005
323,0.0,0.4090755726129613,0.4383708986183489,0.2565220438442713,0.5305422416097172,0.4307166551570841,0.3480819564844515,0.4,0.692784605160031,0.13856668968583158,0.7925244020320585,0.3249546741973913,0.5564150762717704,0.6331681872653462,0.2197630054602616,0.5013534956239301,0.6643825251512371,0.7289756477151093,0.7188004106305423,0.5979312944029139
324,0.7404511582233375,0.3738580163828453,0.4857824747760575,0.2334985075417481,0.5015515490384781,0.7828440902131457,0.4296261226060561,0.409090909,0.3833003616266995,0.17476297779704605,0.5315246094053424,0.6463792635760047,0.36584596930257596,0.6364161837346562,0.3990323289692227,0.5467858642393663,0.4485533678956812,0.6411692136600244,0.4803737260120222,0.4285257992422653
325,0.3999554946983736,0.41140292332317546,0.7872491440893363,0.6100549907356873,0.5329590762434748,0.4199089840188695,0.4574634140909777,0.590909091,0.702446868141365,0.5601375266606347,0.4461549218755877,0.9469375391364292,0.3563997418228404,0.6018953328550666,0.016591325809140384,0.35601515496232783,0.43891303354646494,0.6123387831539188,0.2682552369945875,0.4691907341710062
326,0.5392819890513988,0.6152191457979759,0.28652159083115564,0.5169598824271073,0.6413809054955378,0.6654532916268074,0.3754705773051881,0.473684211,0.3654312427693223,0.2083754057977837,0.2436511105080105,0.4407812112695204,0.24428912664567265,0.6515444192678386,0.359465813853909,0.2670518244077481,0.5327692967363432,0.36225048461742704,0.5613502284663909,0.4604994949024258
327,0.9048820652357557,0.35792553008448275,0.7440699603375374,0.4599210205065029,0.42027077597234397,0.6386367404357818,0.4408428772851259,0.473684211,0.4500996340355892,0.6276085843641921,0.1860555114997089,0.533662809842082,0.2843610844039495,0.6869782958862793,0.3874789094285713,0.21277038275894491,0.40583976648996106,0.35613831718575384,0.5699734451235398,0.3008058506321593
