,weighted_DRPM_h,ORPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,+/-_h,Winpercent_h,Net_ORPM_adv_a,weighted_DRPM_a,DRB_h,+/-_a,ORB_a,DRtg_h,EFG%_a,3PA_h,FGA_a,ORtg_h,DRtg_a,TRB_a,OFFRTG_a,Winpercent_a,FT_a,FT_h,AST%_a_y,FG%_a,ORtg_a,AST%_a_x,AST_a,FGA_h
3523,0.5113187475526175,0.2602624497302004,0.7590235365370707,0.2795484359974714,0.3210522090464466,0.439903295696973,0.31724729721389844,0.197183099,0.6328677066703108,0.6315121561586716,0.7566584718565161,0.5279599247854735,0.2594036566523449,0.6776904961922743,0.15360442027108695,0.5154236999070174,0.3745362400197417,0.6881416297761247,0.5839497275011165,0.2977739738184543,0.12681884928580964,0.6478873239999999,0.2092459868882036,0.6200170888507389,0.18701776384535007,0.4495280600091768,0.381366013245567,0.4787242814741808,0.4787242814741808,0.6484265132778048
3524,0.3972358559830573,0.4137974546464096,0.38442223423780775,0.21201714353062684,0.2588154842347783,0.35476913022794176,0.3562042550494005,0.305555556,0.4863119734461281,0.6876975955271738,0.7933855982601528,0.4944019147073925,0.3168696432576357,0.6403911702755128,0.06694160540314388,0.7037556417970421,0.5596397208356426,0.5395976433732641,0.7506558274028113,0.4134164835059778,0.060649702720187326,0.7571428570000001,0.6743857765660939,0.6683748834806458,0.0634993006993007,0.7264089685386701,0.7531396020759441,0.5780931345281499,0.5780931345281499,0.8167878422712198
3525,0.4400136554279813,0.5637645555758338,0.34285585018410736,0.4703849613357751,0.5893006035467426,0.5826128665315821,0.5031989953104872,0.535211268,0.4441802796980608,0.2747879223648172,0.7383319405264291,0.5768618925510318,0.4181837866547684,0.551681259849324,0.07887367576687965,0.6537972239935392,0.4132349820591129,0.34713961062624155,0.5857732506943807,0.505387129577104,0.07618365339378128,0.35714285700000004,0.6315714638859051,0.4984546396521311,0.05584613324405759,0.3564093950431689,0.4656661940196744,0.4736110510735597,0.4736110510735597,0.5971727982259099
3526,1.0,0.5320682667801276,0.7205626905179634,0.7846992240782187,0.6552828416573836,0.7536849127571795,0.5168759448214385,0.628571429,0.38431050377842607,0.492630174485641,0.23104165382692776,0.5619385114333466,0.4424590883833618,0.6125755092100573,0.036561224190090176,0.3741500821718808,0.3192836097428491,0.2650709543037576,0.5249922247662445,0.4437046431492205,0.03648837367727872,0.577464789,0.402273445500563,0.3989626649824623,0.04771845005332386,0.4143932805980519,0.4303370081148501,0.31098713927656074,0.31098713927656074,0.2955903573580758
3527,0.6130665245184452,0.5345379691828909,0.5501251759441016,0.6192011143098833,0.3978775194298817,0.3789940604906426,0.6265667397358858,0.5915492960000001,0.4739714049254689,0.85507840353716,0.5336095373695916,0.5113289912592787,0.26229083062864866,0.482762139181617,0.10576140604309618,0.4445868637568671,0.4456055230608004,0.5572610731937077,0.6205653398113012,0.3717045120088536,0.10303222141217352,0.5972222220000001,0.5209453487648861,0.6714086056476768,0.07650568237008258,0.2149960735495664,0.2989034186948163,0.5118497786922785,0.5118497786922785,0.3389628659816715
3528,0.0,0.3870493992073869,0.557408614374285,0.3315074127890588,0.4598844821535646,0.30330482152490224,0.5145948040926271,0.442857143,0.7639448716730778,0.3933903569501954,0.34594981567092736,0.3674921387017216,0.4246271675046793,0.5138209721281427,0.1137075537075537,0.465174933751796,0.4048755527561373,0.5027903515626272,0.7590323215247079,0.389015585677372,0.1064482192820574,0.637681159,0.5007459800050978,0.3942017507876136,0.08720186393289839,0.4262816749884029,0.4784535727517243,0.3943317645810307,0.3943317645810307,0.2769604451058424
3529,0.4387141911854905,0.5611504425837444,0.4352692388850021,0.557570124052491,0.376765457387846,0.30441687908125353,0.4414008417611557,0.563380282,0.4940751523215601,0.8298804330229834,0.4554245975431489,0.27776158698490866,0.5623739168727377,0.7368966744477451,0.10867285880836017,0.28314294652870065,0.5472826307338448,0.5329459040746614,0.7990127507942852,0.4435844364867752,0.10334962931127112,0.428571429,0.27440057652179284,0.4860727724160897,0.06959742080179422,0.4496727435997733,0.5024897501022106,0.5488583646455363,0.5488583646455363,0.38424861436147306
3530,0.2797514419237074,0.34846082797926825,0.4352692388850021,0.13219089484353858,0.14989039429422668,0.22493550445036206,0.4413060106189613,0.492957746,0.5682554738297145,0.8298804330229834,0.5321213926278591,0.32646583224348913,0.6338810209240714,0.6906257053265991,0.1488549390988415,0.3512968197781611,0.6629604078778947,0.5606307142857319,0.7082583754398251,0.5911913355749627,0.1307483614483722,0.436619718,0.3979831664935458,0.3726594631239139,0.10766951019263883,0.5982309840002129,0.6409771643911435,0.6291328378294808,0.6291328378294808,0.5285270107277387
3531,0.6876975955271738,0.4503261330367709,0.483769968164266,0.38442223423780775,0.2901885328267085,0.4350921113945021,0.5173666286677251,0.76056338,0.40375424711062347,0.8175133727381696,0.46763796108402,0.5716708408602211,0.40704565944027343,0.7088113425262923,0.10358581393064152,0.6599089284763678,0.5952437299882568,0.7499081820725113,0.5869510548074873,0.5120386088738931,0.08067655324320219,0.464788732,0.5171392612604921,0.6091394407814911,0.07455172413793103,0.523380028037946,0.5785513302376898,0.5622197876680871,0.5622197876680871,0.5267759717168138
3532,0.5768659100931637,0.39535596141218987,0.9220893998406952,0.7128013226650749,0.6344729638064017,0.5609077785275707,0.4630886517759554,0.428571429,0.6892507915442236,0.4550503530380222,0.26222500084232164,0.6602293757528626,0.3755747072477819,0.6855874085403523,0.0746405424767998,0.2914849481084893,0.3933968602495125,0.30235735010646503,0.496056980691355,0.3889604981242649,0.076822010974573,0.643835616,0.4100137119131776,0.5527909349721891,0.07430530348860656,0.4231800205344587,0.5027395622755769,0.4679497530407834,0.4679497530407834,0.1952666459949457
3533,0.11491948634717768,0.6446539762724237,0.3315074127890588,0.6208153653339062,0.7977627208691398,0.5574597431735888,0.5277942847912722,0.375,0.5898335350475169,0.0,0.3774088941950955,0.4107399376325721,0.24952120928338656,0.654095604368095,0.1329829965872369,0.4124765612547395,0.2744691981180846,0.4883413949397872,0.6660203772247618,0.2402924984601433,0.11978331595087255,0.436619718,0.38336143073624895,0.3375377774791765,0.11572754965273545,0.32246305117891383,0.592828159535898,0.3304552212464702,0.3304552212464702,0.36100166852200455
