,weighted_DRPM_h,ORPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,+/-_h,Winpercent_h,Net_ORPM_adv_a,weighted_DRPM_a,DRB_h,+/-_a,ORB_a,DRtg_h,EFG%_a,3PA_h,FGA_a,ORtg_h,DRtg_a,TRB_a
1981,0.4348356109503097,0.3176702484532202,0.7731107858836173,0.4084512827900577,0.4397898322779946,0.4552215029044331,0.39342966257014733,0.326530612,0.6760721359782869,0.5243926051414434,0.5862691807044469,0.5611064737653729,0.356484857337581,0.7159542627178727,0.3444127888572333,0.517641606682468,0.4230264465360583,0.6349000013677976,0.5606054862151457,0.3683666507241968
1982,0.3423850321806323,0.2615422849466912,0.6395351550078078,0.1626197249011901,0.2342282448417147,0.3292281662490548,0.5457779495977899,0.352941176,0.6479721399832004,0.6839286996825228,0.6054044127198016,0.6404574630079002,0.5469882960735006,0.5816399842303139,0.28678117998506353,0.537140188456465,0.6023898758120705,0.4849010100763082,0.4738187077897896,0.5617488414633542
1983,0.5413768094786033,0.6516151976743491,0.4375767512657379,0.7408071466144359,0.7357534951623745,0.6356771839859267,0.4039788301442949,0.458333333,0.44739811908830585,0.27002244150675003,0.2593203870291172,0.5356510259951615,0.5105634921610597,0.6582252642523673,0.153866146848603,0.4868796140060564,0.5802569818302796,0.4727712660325901,0.6475637234136634,0.5108536914725277
1984,0.28918284559910434,0.5197191958877397,0.4642196437524368,0.5036580355279163,0.396022801861834,0.2810934083187525,0.28162489132372553,0.34,0.5792949221303193,0.7269960289615993,0.2891900386046448,0.4704578321002556,0.4568846371251348,0.8029681064568962,0.3941020642775029,0.3388666854563083,0.4877319673902841,0.36753008642562396,0.8334295025356805,0.4475287832370695
1985,0.23238825109659395,0.7734636076561441,0.2792076242313017,0.8261348395435899,0.8068334892428273,0.5085808873915826,0.5268360229852506,0.660377358,0.5071224983910408,0.2152264763134289,0.5599875707856088,0.2807293400772378,0.4954617658582762,0.5372427119009762,0.13587925077286786,0.611205748234539,0.5551836884067347,0.6927063192821574,0.7861133880595927,0.5311437774186824
1986,0.029600408106728426,0.5910575828535068,0.3966308234745305,0.5787459891815443,0.4981105387849527,0.2177754005327108,0.5716319906406725,0.36,0.6643812990437942,0.5940496070413069,0.9349678488919712,0.3876951523280968,0.4508168021610208,0.5563964038881384,0.30921177587844256,0.9152188302583432,0.4481200837852116,0.750191559241444,0.6971912331809309,0.4606645440188921
1987,0.8358136283918969,0.5061192298263072,0.6046396625512918,0.6168781222039061,0.6058079403777412,0.7144845992738986,0.5006034888464834,0.7692307690000001,0.399101151905103,0.4068444298440997,0.5753458996624421,0.7402136742445016,0.3802095704246124,0.29102115782137544,0.2734409623298512,0.4822101864073544,0.4511879270898833,0.1608948956130432,0.5127897819855715,0.4816337468847362
1988,0.25673079126090964,0.3187368744361108,0.4388565859631464,0.07633033483536783,0.14104671307060673,0.23587168477277365,0.5405645728111124,0.288461538,0.5809114153714661,0.7849874217153624,0.5977746207133173,0.5263731494552829,0.4785969899755044,0.5907046641545954,0.20298370747543326,0.4890651993950358,0.4886791026460924,0.5627144508150681,0.5588475059636822,0.5396316481942907
1989,0.3535937014105875,0.5047223638796762,0.4196865048826385,0.4291312326419907,0.5268991429427113,0.4961170400384425,0.6143906463396844,0.489795918,0.5254858023125948,0.3613596213337026,0.4367591389686949,0.5256540866161584,0.33326404984269065,0.5552583680707088,0.16809116809116809,0.41835422297016334,0.410725269015112,0.5175601297844953,0.5582540701380322,0.422325357668449
1990,0.2602760119660066,0.5202019005212248,0.5936744390223376,0.6340782400647872,0.499597034251425,0.3030856623663632,0.6881901057746624,0.42,0.6618287868309801,0.6541046872332801,0.3619143479135401,0.4674258476292719,0.30398403726091155,0.4986677209179008,0.1939746620597685,0.2316791021996405,0.4151947095850137,0.5328656464841979,0.6293987834733363,0.3885467367427873
1991,0.6303931227208041,0.5945967424868595,0.2792076242313017,0.4684011092050207,0.6160370020889814,0.7075833232036877,0.5252581849670668,0.588235294,0.32139263730091394,0.2152264763134289,0.14112687827857615,0.22350442419693015,0.5006975577521348,0.5489046256490118,0.2334472934472935,0.3423468535276841,0.552117858471786,0.3275350613002549,0.8387381432770125,0.4777901337510553
1992,0.7849874217153624,0.4269642391178157,0.584928107727515,0.4388565859631464,0.6868341136866248,0.8776204314049191,0.6138768212000069,0.78,0.4123062008193605,0.029746558905524575,0.5969422772155749,0.240935706718674,0.5363908802324732,0.4847616001029782,0.11527485380116954,0.481959373432764,0.5173240475545112,0.486542394857489,0.7781312613237018,0.5386958810131006
1993,0.4165467255385003,0.5873464704719208,0.1626197249011901,0.3373126658450316,0.4867824494930834,0.537080846678934,0.3616974629366396,0.18,0.3590026394693818,0.3423850321806323,0.5005015927146472,0.5364588445223808,0.455584445078495,0.6882570077583328,0.0350328170123392,0.5302860371297929,0.4967080662538954,0.4191322973976986,0.6118650664958785,0.5171787857522372
1994,0.4557197564529936,0.4403082971036954,0.7562472475381748,0.6368638417455657,0.5254958629067418,0.4269652733036114,0.43685820920855534,0.470588235,0.6573323723349855,0.6017892098457708,0.32719074995366393,0.6971638224617625,0.4005088033079924,0.6608872012849558,0.032005819239861816,0.32207257103174725,0.5899252093741648,0.5328867657720616,0.5121687620637387,0.6224432587283716
1995,0.4168764459425271,0.5238992880216788,0.4375767512657379,0.4853753273090955,0.5995195040745055,0.5734270022178886,0.6252191511256784,0.52,0.5054964914294829,0.27002244150675003,0.4649121256680595,0.5480898856841012,0.5886188568388753,0.5948457063565425,0.1889002849002849,0.5411594847831884,0.6118692195513389,0.31508645694908644,0.6182827680439367,0.5808843825620469
1996,0.0837880728722048,0.40203539675739547,0.6395351550078078,0.44360594852259866,0.3840916204726639,0.199929686594841,0.6620241241219207,0.431372549,0.7686469878429316,0.6839286996825228,0.7107893116163182,0.7145086563117189,0.4621812128973109,0.5564234772615145,0.21236802413273004,0.5040317047718207,0.4901612126865068,0.677055703886599,0.4447120042697568,0.505333915315385
1997,0.5940496070413069,0.38332999362148606,0.6299708362315586,0.3966308234745305,0.4283035615576172,0.5292763415780397,0.4762889691857376,0.5,0.5254311967024653,0.5354969238852276,0.4813230511158057,0.5716776576790437,0.2588275337079173,0.665010361417188,0.05321905927966535,0.47559238859982,0.4759438096394671,0.4261859372086932,0.6046738916420022,0.39661346082387394
