,weighted_DRPM_h,ORPM_adv_h,weighted_ORPM_a,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,+/-_h,Winpercent_h,Net_ORPM_adv_a,weighted_DRPM_a,DRB_h,+/-_a,ORB_a,DRtg_h,EFG%_a,3PA_h,FGA_a,ORtg_h,DRtg_a,TRB_a,OFFRTG_a,Winpercent_a,FT_a,FT_h,AST%_a_y,FG%_a,ORtg_a,AST%_a_x,AST_a,FGA_h
742,0.5392819890513988,0.685775370014797,0.1454091423975133,0.5169598824271073,0.694166232127103,0.7237162208636131,0.6596930885876523,0.468085106,0.2882416590107045,0.09184954732417244,0.35016809755519984,0.5132883800883898,0.2413873407150873,0.5029345794176455,0.1372914060166508,0.34968406207510344,0.2696504142546832,0.5651717419137894,0.6319190464505444,0.291216425227814,0.13537911285952936,0.387755102,0.2690295506329365,0.1988587000539932,0.11540528733189287,0.3591230439930789,0.3581513096393509,0.3126965944052699,0.3126965944052699,0.2414887046405527
743,0.9048820652357557,0.3020627089019485,0.8557956027026057,0.4599210205065029,0.2515803001705407,0.4524410326178778,0.23338302256851096,0.456521739,0.5112144111162183,1.0,0.4978148516831117,0.7939423783664079,0.19663787915496053,0.7916587829212167,0.22358079946339374,0.4366119353256536,0.293566581589183,0.453473949198912,0.3355554490286743,0.380334456551118,0.19714983212896947,0.916666667,0.3679518276089567,0.4021858976083031,0.24109824109824124,0.4849295723422062,0.6416985252746585,0.502258561555729,0.502258561555729,0.4073240130048103
744,0.2314150846053089,0.6975164715009685,0.28652159083115564,0.6815545338330925,0.7314154330793836,0.5115198394037626,0.4648716005415057,0.52,0.5048926063079221,0.2083754057977837,0.32931004587656,0.3639656825228993,0.32071166293734904,0.6657003953295995,0.11693613449607645,0.5771084806466898,0.3515548712136102,0.5286976140179399,0.6855693881216038,0.2617050054204435,0.12893800460704247,0.450980392,0.33694542350052165,0.3769335791134682,0.11055504969158507,0.5859158386109181,0.3826068893257734,0.2479793321880447,0.2479793321880447,0.3424971626888749
745,0.27620850138755365,0.6267907796076194,0.4383708986183489,0.6919524578335877,0.7687259935377639,0.568820905850861,0.4307078583186797,0.375,0.5676642571519628,0.13856668968583158,0.4242232435875272,0.34064327852167864,0.4327869247375385,0.8050960889523889,0.1902306774183111,0.38255120211210464,0.6020446503824806,0.3930709857395038,0.7791057625061902,0.5822889160394462,0.23731220494017774,0.19607843100000005,0.8102974156362632,0.2941152528258069,0.2153236546435068,0.6299550530622613,0.5584502814112167,0.4548575809322813,0.4548575809322813,0.4221437595381259
746,0.7404511582233375,0.2447142736021054,0.7440699603375374,0.2334985075417481,0.2964159373430761,0.5564212869295727,0.1724018201345087,0.28,0.5245855828942334,0.6276085843641921,0.4313272792331105,0.3006673332147077,0.4869940600896814,0.8534209193398294,0.09435012326582998,0.40425684213451535,0.7591323991667913,0.4826138425324358,0.6184131949988323,0.5659036537669895,0.08956437556447715,0.509803922,0.9825513276555592,0.3277258033130549,0.05765696889550102,0.6730449885365433,0.6900260779002156,0.5809750918978998,0.5809750918978998,0.3644461546014429
747,0.5247218027564129,0.41142050941479136,0.6100549907356873,0.4328960095652699,0.5086130054234592,0.5623831540290197,0.5828911603503074,0.48,0.5490021295079228,0.3999554946983736,0.44726214621015226,0.6124215724688378,0.4207423903800662,0.5073629123371608,0.42464898673061097,0.43518218032388745,0.4980847832374371,0.5100693331818817,0.5123465866225352,0.5113860545676684,0.49599479509707206,0.673469388,0.8177290300943489,0.3576721252975644,0.19439032269491,0.5860686265758848,0.3796435011324554,0.37862610172483424,0.37862610172483424,0.40270032930966
748,0.8452147731381074,0.4580590295644453,0.7168189264265907,0.6329369855554815,0.6498377630352099,0.7577304726814424,0.4668155730372704,0.568627451,0.4622219399887,0.3297538277752225,0.5169689712820282,0.5692985921263118,0.4724203974991393,0.7883451839562777,0.14965081819669873,0.4133778636808321,0.484002852774044,0.5057815144717637,0.3550600248911341,0.4609572341753293,0.15838796273737318,0.530612245,0.37307778752194093,0.3899381131119585,0.22013852191721506,0.6156633402553426,0.5551423755983089,0.3356436352590894,0.3356436352590894,0.4129018438596646
749,0.20210569455696606,0.3525393373977518,0.4847082637388974,0.18978693853440096,0.26455764281128524,0.27847607491351656,0.26490999175630714,0.24,0.6265791559541533,0.6451535447299328,0.3742836413228348,0.435838593679456,0.5221142618700505,0.7736144591648245,0.4178731640954021,0.2982405964593816,0.5693399688692182,0.4673101533737891,0.6032318248340208,0.6138142635025419,0.4154282477039107,0.428571429,0.6456308547115434,0.4239374152310734,0.27393893618812243,0.6502101518553337,0.5901277940136761,0.4186138733468636,0.4186138733468636,0.27343354618681115
750,0.5818448584423673,0.40525045456826025,0.6471899434872557,0.4576908526237762,0.5573142572036199,0.6297293115240276,0.3338737252857326,0.489795918,0.5434389221413041,0.3223862353943122,0.4087642160648958,0.6403176029745709,0.3163903028825724,0.6498820723199975,0.06927926392169903,0.5787197237523936,0.5025605509330616,0.3316899001956176,0.4930562524462057,0.4824164767575729,0.05945804037442884,0.56,0.3970463659846258,0.5529960245933125,0.08773334277921441,0.6122774416343145,0.3895162887978513,0.5290761466868394,0.5290761466868394,0.4535891439857962
751,0.6372937035691124,0.6238544797188297,0.7522910405623404,1.0,0.7261652737039983,0.5163959366367967,0.387500105060156,0.729166667,0.575812117866306,0.604501830295519,0.473600253112016,0.6825124487984761,0.3200032296936357,0.5526156731617085,0.10558431802072384,0.4197638000758303,0.4915971675924432,0.5450632543552253,0.469789022510162,0.4498844721693131,0.0998072872152518,0.568627451,0.29597145412319315,0.3190455764074148,0.13413914489555762,0.3859895886278117,0.3682544709345516,0.4703475525396312,0.4703475525396312,0.4160457282433931
752,0.4323132389947512,0.5663722909190251,0.7872491440893363,0.9199937259273864,0.7024979243442497,0.4360878561670583,0.3545245749566728,0.538461538,0.6877890563550502,0.5601375266606347,0.3302999522737617,0.6188452015105632,0.2614109156852739,0.6938395224727145,0.13786581423314226,0.4029972035280493,0.3576406971958624,0.35022968577643165,0.4295556149318224,0.33091926988410875,0.13306806588310807,0.8367346940000001,0.40276412473984985,0.3343623765900652,0.1460449618911458,0.398611938895761,0.5968355530879039,0.4610358580289084,0.4610358580289084,0.3807012258234288
