,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,Net_ORPM_adv_a,Winpercent_h,weighted_DRPM_h,ORPM_adv_h,weighted_DRPM_a,Winpercent_a,weighted_ORPM_a
0,0.7209945537656529,0.4627965921935616,0.5251102461500597,0.4519510415008354,0.5,0.8853993515251087,0.487785206479595,0.83659469471148,0.5,0.7443933260185945
1,0.2979401391169475,0.6366145943565013,0.7709344976166941,0.5014239895278289,0.5,0.5265924155476357,0.3854282229324266,0.0,0.5,0.5174149025454534
2,0.7990770679562329,0.6135396051424582,0.5966349902154487,0.3676168841438433,0.5,0.8028353240101509,0.6465465723085566,0.6150140854022558,0.5,0.5183510889072276
3,0.9578046576822394,0.8432168505522436,0.7830360001218237,0.3771990750550315,0.5,0.8725473817589873,0.6881907062520526,0.3224343016522459,0.5,0.5973047877207872
4,0.7015115333366015,0.5618900526956417,0.3446684756538455,0.6472317784971977,0.5,0.3088327603672162,0.5582593274030658,0.6107374765833837,0.5,0.5899094230564195
5,0.6594250956964712,0.811517067099297,0.9744294525893642,0.002026589757428754,0.5,0.9718076143493458,0.8423166954533801,0.04969930535347344,0.5,0.0036800450811912406
6,0.14487893355045578,0.1619468915127062,0.4770718183996016,0.5438807957011201,0.5,0.7582717610852473,0.1584908367490872,0.8028353240101509,1.0,0.7990770679562329
7,0.24620151017060696,0.4332687266613309,0.42778613706043145,0.5466145506261716,0.5,0.2192412622604571,0.4572498816305764,0.35959722599296257,0.5,0.32809403515200897
8,0.258906418463519,0.2931919995534733,0.3064061528805639,0.4790195160481669,0.5,0.2857906314378858,0.4972833025483132,0.6620625808815882,0.5,0.26411054940899725
9,0.0,0.4725398558845922,0.6607851311704429,0.6055239210204101,0.5,0.3125044294911895,0.2298953923456955,0.0,0.0,0.5174149025454534
10,0.5949319429220435,0.6167868687436044,0.70511932226004,0.3736362363735893,0.5,0.7758058678051379,0.5467300922734931,0.3771328293601696,0.5,0.5054153428550985
11,0.3723098017447892,0.24616590216814704,0.423529330400914,0.3659744022472208,0.5,0.7385792837956068,0.4549372381724714,0.8872088417771764,0.5,0.4586324480776538
