,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,Net_ORPM_adv_a,Winpercent_h,weighted_DRPM_h,ORPM_adv_h,weighted_DRPM_a,Winpercent_a,weighted_ORPM_a,DRtg_h,PIE_h,TOV%_a,DRtg_a,FG_h,+/-_h,EFG%_a,TRB_a,AST/TO_h,TS%_a_x
2143,0.3316172090927641,0.22328112131815275,0.4046351198037135,0.6033645916195091,0.474576271,0.7028340881958577,0.22513936830352746,0.8881867216283865,0.7419354840000001,0.8581427955974921,0.6009691343149502,0.8903956904527595,0.6715186068066891,0.4991808200613239,0.4010510885467337,0.38003667469897,0.3247292686545022,0.3975246002762553,0.11609523809523806,0.4362202920353521
2144,1.0,0.8922861503389674,0.7621221491056134,0.4297813970266864,0.774193548,0.7787728582826761,0.7035968315174117,0.2693082575017769,0.344262295,0.6099880129665539,0.34898420636806216,0.4936830886202968,0.6882217054634864,0.6373564240699507,0.5364650370964278,0.8326155927500289,0.1541005291005291,0.5417045480194472,0.20673758865248212,0.5000907420415772
2145,0.6186190134137937,0.6579960425611501,0.7134492638002385,0.2464780932149195,0.661290323,0.7340734561730704,0.6988694150421481,0.31921021649640235,0.344262295,0.2376629094179701,0.38714214355204224,0.45087470784745,0.5803087159358549,0.5648041880559203,0.6567192974849896,0.629568605279756,0.06840193704600482,0.3884079601181089,0.0657421602787456,0.4343071503700031
2146,0.6602104372194322,0.6782552289464698,0.6752468095549258,0.4531401308194354,0.655737705,0.6652623674510388,0.5563956296301499,0.3246499996192257,0.327868852,0.552178443754072,0.4378799838172033,0.5698670843484652,0.4884567853940876,0.6482185548809781,0.5160226847975462,0.668251567408997,0.11371527777777778,0.4292398720585667,0.2453703703703703,0.4606717437291989
2147,0.16662107868597714,0.39094791703828224,0.494193279166928,0.4224972501172743,0.409836066,0.3452183420666014,0.4752952717674475,0.3565043731065622,0.6,0.21394568622180252,0.3875904551253309,0.3868952958938307,0.5554219899001693,0.5237685122967899,0.5399794699964549,0.4432535935730344,0.09259259259259256,0.6359179058115081,0.0554006968641115,0.4741385719628451
2148,0.3062059792916144,0.24660648104858315,0.2592966736022474,0.8194183475427708,0.1,0.34360271630811895,0.17265011393471458,0.8114373670932228,0.677419355,0.933280470421776,0.7402317125047401,0.3560917998718747,0.6562081761961873,0.3077918937487937,0.7825008748025295,0.4724066767732085,0.10863095238095236,0.5789198447425862,0.04106404958677684,0.6581046860088432
2149,0.18299146017988185,0.14769945670535595,0.41620563545819106,0.4606055666336996,0.3666666670000001,0.7124361182128363,0.27845363422553465,0.8753001212154259,0.644067797,0.6073877422425938,0.6278991256594694,0.39122101273551135,0.5652302546733546,0.511711704422824,0.7611982070748008,0.4164450203452524,0.19607843137254904,0.37065829980055,0.05737049941927987,0.3549422840022097
2150,0.6810439612070875,0.4614663794449556,0.37916286687857936,0.4597605377018524,0.5862068970000001,0.5592237187779773,0.6098723438895031,0.7940846109050614,0.5,0.4705714757514259,0.4899340879161125,0.35164038178020185,0.6190511725228087,0.6350827300407059,0.4469659755088137,0.5446441728987884,0.104875283446712,0.6608767382074443,0.023049479166666657,0.4966286328415705
2151,0.4207036579391871,0.5794084193890283,0.5899021416687547,0.6112489264275682,0.525423729,0.4314181479768033,0.3892758073975711,0.25668297633678466,0.35,0.6328079527246107,0.6326442595565187,0.498494459410644,0.6311054029312897,0.5986234076577507,0.6734542890693602,0.35996861321246765,0.12330224185894287,0.6710572718039006,0.07175384615384613,0.5031215631847541
2152,0.43024767294981375,0.4869668068258931,0.3618039921569017,0.5201300093682975,0.362068966,0.18900404260458475,0.5923700508983694,0.4576039079937944,0.5166666670000001,0.2533027429882065,0.37332701083031794,0.4429721079742479,0.40471809823872384,0.3957660422288546,0.4751406500226977,0.5272620275477835,0.14819205690574985,0.36976807496870623,0.07807239057239053,0.25313091197839005
2153,0.3316172090927641,0.5859414322527245,0.7883702761279073,0.33377091734233266,0.483333333,0.7028340881958577,0.4806977050659249,0.1423532280096103,0.278688525,0.3685928650763911,0.5905719476056319,0.7148444769968973,0.3174867849700688,0.6608343416715015,0.4567226689297286,0.3986954477757202,0.13179723502304147,0.5960778582802035,0.14644736842105255,0.5831450455506094
2154,0.4391615276544893,0.3574427762133083,0.3948835680686562,0.5556128810433555,0.508196721,0.5297675582848412,0.4063183268530101,0.7340734561730704,0.666666667,0.6186190134137937,0.6052858962842821,0.4938926435242598,0.5377262746011244,0.4349864950559677,0.5606807143204884,0.38463479121843397,0.3246753246753247,0.5472954828070018,0.04769999999999998,0.4800247391959864
2155,0.4511166167304764,0.4490468053550429,0.4395032582761088,0.6328413456177523,0.516129032,0.4416413302767707,0.3799716922274085,0.5592237187779773,0.5932203389999999,0.6810439612070875,0.5481691681765946,0.3888162376671397,0.5349535874945084,0.437931069928053,0.4883137196712615,0.5752321504792819,0.038928571428571423,0.3433586372535641,0.024837080536912744,0.3613644811404916
2156,0.4031332454413344,0.42362954348960136,0.5227842941716022,0.4967631411611936,0.5,0.6014365869336197,0.4102618720141238,0.5571526858065428,0.655737705,0.5750364393544487,0.6283050416212693,0.3829637535622696,0.4932287603477072,0.3758903511632869,0.4265786562027555,0.34861031172123336,0.12522477522477524,0.41624437477352905,0.008971354166666664,0.5609453404688247
2157,0.2533027429882065,0.2333558916821105,0.3347569284565063,0.8007276996400949,0.524590164,0.4576039079937944,0.11020378684589917,0.7787728582826761,0.7777777779999999,1.0,0.3861144365075295,0.3774690360069596,0.5940103714953348,0.3308300887819953,0.4766160520258954,0.7178871434887883,0.09693877551020406,0.4679831103401528,0.038221153846153835,0.4249829556801637
2158,0.3984586917927159,0.4671442373807261,0.441135311967635,0.5759064251846522,0.225806452,0.3479575750339178,0.44963565873397,0.46236787912621996,0.5,0.4949370930841186,0.6561506330157755,0.3291926748142381,0.5438577364055877,0.5850956051505887,0.7022204333612018,0.5496606347545199,0.0689655172413793,0.49461069595382706,0.0069493006993006975,0.4347454928528079
2159,0.6328079527246107,0.6539490358035853,0.45527934815085297,0.5163548921421769,0.344262295,0.25668297633678466,0.6704950852000082,0.34360271630811895,0.098360656,0.3062059792916144,0.5622007224150188,0.37963423555748976,0.5063884118197414,0.8102179317011851,0.8625292369543454,0.4776741493435324,0.12290715372907153,0.6484729278457354,0.046290945790080716,0.7045025386282417
