,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,Net_ORPM_adv_a,Winpercent_h,weighted_DRPM_h,ORPM_adv_h,weighted_DRPM_a,Winpercent_a,weighted_ORPM_a,DRtg_h,PIE_h,TOV%_a,DRtg_a,FG_h,+/-_h,EFG%_a,TRB_a,AST/TO_h,TS%_a_x,FG%_h,PIE_a,PACE_h,DREB%_h,DEFRTG_a,3P%_a,TO RATIO_h,PF_a,ORB%_h,3P_h
2632,0.9560933433324286,0.5128092272451638,0.3624646741652188,0.2093636568388771,0.636363636,0.7326842462234827,0.9108627176288306,1.0,0.363636364,0.16904089410667497,0.4052162377401252,0.4850745089435956,0.5175086678411001,0.5250788106361244,0.6102500398030091,0.6028391509970201,0.10682791635172588,0.4288266131873703,0.05260689354275739,0.4808962891611195,0.5032888955153463,0.6521013171552099,0.14517667653748714,0.1305477437048118,0.15625215532105666,0.3545381154601529,0.13045375218150088,0.3706460307270527,0.41340744935934176,0.4339487233807667
2633,0.3696835674766496,0.2636628527788229,0.16706684361996055,0.7785697627122168,0.307692308,0.2011569990734003,0.3101671370837025,0.8482509519523679,0.833333333,0.7333291680414171,0.5201645053909885,0.5095546485188372,0.5272141863998121,0.5099122607757869,0.4953179171286921,0.5186623552157129,0.2443349753694581,0.525185414728404,0.11118881118881116,0.5802095163318954,0.4605971996658405,0.7004917901761853,0.2414965845700497,0.21460672660672656,0.167334489179991,0.5742397586913076,0.1072261072261072,0.6272032442423683,0.4277631166267319,0.40394134995079456
2634,0.8059390461554068,0.7867506054976693,0.5164415614012292,0.5744205738473841,0.9,0.29852243818874513,0.6865462705909379,0.2665663690657314,0.5,0.4485892724649034,0.40520061526394135,0.4202956909712434,0.6185743418524527,0.5561398794335876,0.6709258858289544,0.6871888414079084,0.3157894736842105,0.6234860317729727,0.09083762886597936,0.5847682533982147,0.5512086051471619,0.7263960895331064,0.29043095783721024,0.2661487481590575,0.1831005586592179,0.5206691886811098,0.1481958762886598,0.6864656866479467,0.42797439262481896,0.5995329107761703
2635,0.312935331067056,0.4488382249467173,0.4843534350627981,0.4924961913254497,0.166666667,0.3727455790661938,0.472632325285807,0.4031564809549626,0.454545455,0.3653611036894289,0.6619566225032567,0.5061234456797303,0.6602195794582526,0.19664442338904944,0.4949088931299819,0.3180343163697409,0.04727891156462585,0.480449331310326,0.05962499999999999,0.4909970136411769,0.4866615250231184,0.6319911704175138,0.19144913418313025,0.16183526785714286,0.05736233040702315,0.19749989141684,0.08085937500000001,0.4653493857973108,0.4797619833523111,0.3954495538517568
2636,0.3345345079099412,0.4661855845093553,0.4821724369713972,0.6193849163901406,0.3,0.357292622199669,0.3707477093071767,0.3919425451926472,0.363636364,0.5821313999933111,0.648715186716783,0.6616941664938598,0.6195319465892262,0.5108810855746153,0.495790461013785,0.3669344446178001,0.2529761904761905,0.3657016961939528,0.04602631578947367,0.3981746437157132,0.455835829828278,0.7160317669468409,0.2621176847833532,0.14437127819548876,0.25096019553072635,0.2749648205210397,0.1997368421052632,0.4633409592861424,0.4348477487366479,0.4132623202692017
2637,0.3273666131049451,0.4646395041667817,0.3507544875107298,0.6651552680162989,0.25,0.09692835830295077,0.4436290508517529,0.3870042091920372,0.272727273,0.4353513284092646,0.5277568568935391,0.5588939610899345,0.5903623811329181,0.5858743573111124,0.6794236373725683,0.5420987916341524,0.1618045112781955,0.46636580756408,0.0,0.4619891780319855,0.5339263814533273,0.6511458818479526,0.23289707173410876,0.1722744360902256,0.2479211996471626,0.3312066931729626,0.0,0.4833607520149165,0.4151970934247126,0.4324042394593588
2638,0.7974766838798399,0.6070256020791215,0.5025097302010116,0.44261106249727256,0.666666667,0.6314759846444004,0.6536065296067219,0.6265980348057891,0.9,0.5032265848643939,0.4644694286568828,0.4667502540860036,0.5060493141873249,0.37294650842428706,0.5761824297398399,0.6212108050100805,0.10989010989010987,0.3085247895588043,0.15755829015544034,0.336002066225658,0.6530491370020369,0.6528944844303801,0.15435166041550072,0.13643915618060698,0.08234583154275893,0.3283741875798848,0.07597150259067356,0.24083075952192298,0.5913425548278898,0.3529902305639135
2639,0.2785741762344164,0.3369368635411171,0.3745033441115143,0.5554119070170607,0.3,0.3504559088887833,0.40532867628477603,0.5943731204244035,0.333333333,0.4599274458411857,0.5930009880422538,0.7836401922388401,0.5570044869557004,0.6329006560056049,0.6254862559374975,0.442793592699264,0.5858585858585859,0.3225006922145736,0.2414999999999999,0.6741051202998454,0.5416792026958827,0.7716656254040556,0.8405086170143904,0.6188797843665768,0.44404237909824495,0.6100195362979168,0.3742924528301887,0.4890300181865986,0.5983311897773355,0.4771238563603329
2640,0.5372328954724137,0.3546440187688709,0.3481601359015181,0.5019203795997214,0.666666667,0.5557810074500581,0.4964209752379329,0.8508992796354073,0.636363636,0.5440889086465496,0.6778043720150264,0.5406964671795602,0.6054063864258746,0.4941552419616374,0.5544036574801615,0.5328051207810645,0.3367003367003367,0.3960855019831471,0.4504999999999999,0.28872361802270663,0.4108684829314706,0.7082870435361721,0.31862514294727706,0.2716600000000001,0.21728928013844206,0.22499666192693246,0.16291666666666665,0.4183273866788596,0.4258287090286055,0.46919191525295295
2641,0.16904089410667497,0.4303830783993947,0.8713985849949747,0.5313371248891029,0.333333333,1.0,0.07157396706607466,0.2781440542866219,0.5,0.9897377937395514,0.5550700770728421,0.6128384384911705,0.5716151460955653,0.5846241573646415,0.3658049756528218,0.512969591374605,0.11173974540311173,0.4229967252606003,0.6821782178217819,0.5056604172901475,0.4218754802849796,0.6489383216665033,0.3146712222387505,0.24687741631305996,0.2507812932131202,0.3722603924441962,0.0,0.4748095155640192,0.28656970553159306,0.3235863604932409
2642,0.722190212550383,0.6796664150699467,0.5804279705847106,0.5265256050031429,0.5,0.5482635736344212,0.5731144975302144,0.3919425451926472,0.333333333,0.5821313999933111,0.5899113063899396,0.6088518925638116,0.6075367142192525,0.5279838749732395,0.6106146605512218,0.4739376739739806,0.11544011544011545,0.4108577993829125,0.11485657894736838,0.4453371473051025,0.5111967901517461,0.6549041694371662,0.35037669590989184,0.2935556390977445,0.0973421364482817,0.3602379957415429,0.2723684210526316,0.5749747360333399,0.3783637672347904,0.3747960585211788
