,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,Net_ORPM_adv_a,Winpercent_h,weighted_DRPM_h,ORPM_adv_h,weighted_DRPM_a,Winpercent_a,weighted_ORPM_a,DRtg_h,PIE_h,TOV%_a,DRtg_a,FG_h,+/-_h,EFG%_a,TRB_a,AST/TO_h,TS%_a_x,FG%_h,PIE_a,PACE_h,DREB%_h,DEFRTG_a,3P%_a,TO RATIO_h,PF_a,ORB%_h,3P_h,btb_h,Net_Off_adv_h,PF_h,ORtg_a,OREB%_a,REB%_a,DRB_h,FG%_a,PACE_a,+/-_a
412,0.2026875553399195,0.3191805380554667,0.2118890423356929,0.839898575421222,0.321428571,0.0,0.2671525771651231,0.5762219153286142,0.5555555560000001,0.6683824010096733,0.36599300653372796,0.20842638893641213,0.6303149846262746,0.6229087684786191,0.5086197491355486,0.5233079569266234,0.6953073491491586,0.3167574692128716,0.05721996245306631,0.4857314852023762,0.4826429552955489,0.5956093690694999,0.394626267209542,0.306408979685576,0.6239156683392603,0.5103543647643853,0.319248670212766,0.3516103210380761,0.4626787319666306,0.4392729047820169,0.0,0.5657110246453315,0.4875836223392057,0.5247189349628162,0.4104334484081321,0.7278208204036882,0.607005167135383,0.4590666373351884,0.6536034599179222,0.41374830152516784
413,0.3263261223364557,0.3127733318727898,0.2271440532418732,0.6050809952743161,0.111111111,0.15368365035998394,0.4865796136621589,0.6993955438762376,0.6785714290000001,0.35316689501213794,0.8642882348720848,0.3382629115554797,0.5191232426015577,0.41192907841500426,0.3946429063592082,0.10308502193690476,0.29713143888996435,0.6990754337701226,0.08796296296296294,0.8355289537398581,0.35732862838258106,0.4054090322027147,0.3505745538201593,0.2604351608015825,0.2550706098346201,0.8302940957428584,0.17177083333333334,0.7993072022931011,0.41813862554145376,0.2624397738154633,0.0,0.40985224684765226,0.6539040252550488,0.7006773706955672,0.2445661268191215,0.2778876369018661,0.5689763505054619,0.844275094002381,0.20534197518622,0.6222292573637835
414,0.7470557822144872,0.6417064044980345,0.6171309154186244,0.4705899177418521,0.607142857,0.6871472737602871,0.5391638344338519,0.4528854429230382,0.68,0.6687281133467835,0.44813496627620747,0.16862392184582312,0.5982173984627898,0.3487817690240821,0.656580412692287,0.6508292415902649,0.2458444043733195,0.5279268640257103,0.0,0.566330554141848,0.7717948532502729,0.3904528963923872,0.09844169917230194,0.06573893204316311,0.2305537068266208,0.41271222965692345,0.0,0.5279799293303449,0.3440438470831399,0.3995355401331659,0.0,0.2405860786702165,0.5462483967756366,0.5698727940626265,0.28867357746870176,0.2537929581514792,0.6113258652788671,0.5894796493937983,0.19098019120337972,0.6320238653388861
415,0.4389552851051196,0.6127841175325583,0.5601451661585674,0.6638099280035892,0.4166666670000001,0.3514275482487833,0.3719554271584635,0.2311372159316486,0.444444444,0.6950444307881926,0.4259027514028879,0.2402053039471244,0.6127113996851533,0.3959590711071483,0.09277936265818172,0.4996654372458902,0.3925023635454695,0.3897848462749448,0.05948105943948258,0.5396956727253137,0.2024280871105803,0.4299806779315005,0.3322705713079296,0.2850728207632663,0.2883880394973072,0.5471129718782611,0.2713841623036649,0.3794926832794557,0.28292294482651176,0.19055000923038487,1.0,0.3421839924689832,0.3317983735717637,0.633163147133856,0.0783561992324372,0.3142109269111022,0.10354289694290668,0.6078782472186157,0.29221997168978386,0.5617142918718643
416,0.284751680186067,0.1547885067806779,0.32681776813296043,0.6581042231027431,0.444444444,0.6155392865786712,0.15368870536871254,0.9619037503127504,0.75,0.9773742694486418,0.614163990224962,0.08801823215359345,0.5151487199696272,0.4094122520594649,0.4665135066494699,0.4979719742367222,0.09552971252972983,0.3790323772411505,0.037064825930372136,0.5382055987450091,0.6286935021192449,0.35324433433493696,0.10776798399175903,0.09967064841723544,0.06343879383795183,0.39119332837292653,0.0,0.4333942696060328,0.3387625798540612,0.19805906348582886,0.0,0.0685786482791146,0.5172114199936321,0.6000611188191264,0.18738078723773194,0.19609759102497007,0.4761535564724023,0.5358101408270313,0.0819328952789182,0.6200904178853525
417,0.0697262202566129,0.3952456187900045,0.5727701584023315,0.5066005989191441,0.148148148,0.4580150287265767,0.29079988821680386,0.3124747119219138,0.538461538,0.4881264438230051,0.6293861021073198,0.2724725425525561,0.4277981914619407,0.516787772883596,0.7377276122216422,0.3052871148461152,0.1987908830960915,0.6217527958807071,0.03191251119737234,0.5570592094838679,0.7416358089080098,0.32256126691885584,0.28847417290342703,0.2544384751178527,0.2698959906413497,0.5082129647302455,0.249270304568528,0.7591338444536748,0.5648927719282171,0.3325268168493106,0.0,0.3180555880345965,0.8019898017547609,0.5284255376579217,0.040364698592546704,0.13744969459013584,0.7378178564909328,0.5548520292406589,0.2550071788125575,0.4358584337369699
418,0.6711172494871621,0.7078137202234717,0.706171918978246,0.4523565527711666,0.607142857,0.6715808299819,0.5287462998299671,0.2592369920254081,0.464285714,0.6136246498272279,0.4216114637061068,0.3797041493828615,0.560988354701088,0.5510620450626655,0.8073852409329424,0.4908205486271033,0.2531377916216109,0.4624988407923513,0.07983193277310921,0.6633149829833518,0.4494638115395359,0.4100692765384858,0.2367455486558339,0.1871675518039884,0.36001376040506083,0.647554951593474,0.09743303571428573,0.40999830324122266,0.4001248862676602,0.929136031591926,0.0,0.3991315580245221,0.7730501276166394,0.7256873794824108,0.3256856540084388,0.3802751940963949,0.8133264474248666,0.6067634111346855,0.3709599929672174,0.5988461650904433
419,0.9322076635013344,0.6355388716553296,0.538815268641698,0.13627177633756474,0.7666666670000001,0.7084667472960494,0.9661038317506672,0.6308362100126534,0.37037037,0.0,0.14207788543340022,0.5369937958660731,0.4737394856845861,0.5256342071122745,0.33994454167981136,0.9746950609489999,0.6818567966496852,0.3556455498539964,0.5555555555555554,0.5189918900815881,0.5023776030078752,0.5102732724927879,0.5875338307707085,0.482462124922302,0.7470662996990738,0.4617158695222202,0.0,0.3548853770338281,0.5799828777463404,0.5326668567136095,0.0,0.921606703148105,0.32921192186578685,0.2027819023574557,0.5168844382418313,0.6122160926232739,0.30755761934915193,0.5270926358411377,0.4913251724354366,0.4765682738054439
420,0.7570375790353123,0.7632683000421644,0.6930127987993397,0.5209254391388599,0.571428571,0.617162813530328,0.5309965741235599,0.2311372159316486,0.428571429,0.6950444307881926,0.5827078757086506,0.1601507858730619,0.7826321754807568,0.3808572395697472,0.620187412021052,0.498143298623477,0.16130773133131066,0.5150364732472837,0.04482541679773512,0.6200492904836629,0.6827774978079768,0.3286982831148283,0.15333814337490742,0.1042675931642372,0.16985131375350407,0.5016394019100966,0.07294451871657756,0.601000713581059,0.43630580081731024,0.34537194886670863,0.0,0.22361568616769506,0.497752735035365,0.5943458258913933,0.14309039095307233,0.17073149921580671,0.7044435731161238,0.6951699536179379,0.165814413234511,0.4932478094097697
421,0.5723323694246346,0.5590430832323607,0.3631300237935745,0.659120076080117,0.275862069,0.17914924301729634,0.539436401127474,0.4528891954301474,0.6785714290000001,0.4934595671696866,0.36335353167124,0.3655724340176527,0.7339816387330598,0.4227175189604796,0.4102460699586189,0.6524632487386408,0.33764115338303924,0.10309377438038214,0.19862604540023887,0.2876283536678963,0.33594011868575235,0.5237060515071601,0.5736303144648051,0.5065497806049335,0.3792617688632324,0.3479986802203736,0.2770497311827957,0.19196846659495964,0.3384950703355344,0.2837699884186101,0.0,0.5180793505690742,0.4620602517147908,0.2684267002749236,0.3349757525667744,0.6095011146129602,0.5496042777986979,0.28685816604253417,0.4212591862543018,0.6388134978251079
